,Attribute,Importance,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Index_Category
16,ema_5,20.393356860106344,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
6,mama,10.656647361021799,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
13,tema_30,10.058555889897354,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
17,ema_10,10.042125235761432,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
3,MA_10,5.124982165855328,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
18,ema_15,4.461792376230763,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
0,dema_30,3.3248572034587296,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
19,ema_20,1.3138943791061748,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
9,midprice,1.0066050279978411,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
8,midpoint,0.6680299631346979,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
12,T3ema,0.6610320964360608,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
20,ema_25,-0.5502823470135971,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
21,ema_30,-1.7000078205555986,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
2,kama_30,-2.1531972457260564,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
22,ema_35,-2.4307285601693644,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
23,ema_40,-2.9050174382583354,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
15,wma,-3.0131320952534493,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
24,ema_45,-3.2191554444364123,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
25,ema_50,-3.405745162252728,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
7,fama,-4.8954733745212975,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
11,SMA_50,-5.340593319758684,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
5,MA_50,-5.340593319758684,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
4,MA_20,-5.849513474847765,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
10,SMA_30,-6.652012887897851,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
1,HT,-7.705468594517857,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
14,trima,-12.09400608692886,0.42078088119590873,0.410464109226145,0.9749515972894482,0.5777076685906859,Overlap_ind
12,macdhist,3.7321631831370863,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
7,cci,3.391028278978404,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
20,rsi_14,2.790355594685191,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
8,cmo,2.790355594685115,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
29,willR,2.700462956370775,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
22,slowd,1.9886133545429654,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
16,mom,1.7965125071876475,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
23,stochf_k,1.4432004651786519,0.6742968135326515,0.5759736951789932,0.7524806389157793,0.6525012460323706,Momentum_ind
