,Attribute,Importance,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Index_Category,Industry
16,ema_5,3.2042649516607615,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
13,tema_30,2.0528824282640143,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
6,mama,1.9766268609568567,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
17,ema_10,1.675594041531164,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
3,MA_10,1.0807664044550855,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
0,dema_30,0.8236590399579665,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
18,ema_15,0.742502736453203,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
12,T3ema,0.36610739951763127,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
9,midprice,0.23881116041612574,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
8,midpoint,0.14355005045324307,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
19,ema_20,0.14110294610398647,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
20,ema_25,-0.26799757330469864,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
15,wma,-0.4898290234151119,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
21,ema_30,-0.5598976108207285,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
2,kama_30,-0.6733068715679771,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
7,fama,-0.7596990481457063,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
22,ema_35,-0.7767982403115062,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
4,MA_20,-0.8518560045062776,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
23,ema_40,-0.9436360714168645,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
24,ema_45,-1.0757403078958108,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
25,ema_50,-1.1811613316794913,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
1,HT,-1.3447818935975937,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
10,SMA_30,-1.408590642079592,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
11,SMA_50,-1.80725937890494,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
5,MA_50,-1.80725937890494,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
14,trima,-2.133491017090469,0.38491459496025704,0.38337025046856366,0.9920634920634921,0.5530293720044243,Overlap_ind,Industrials
7,cci,3.313234946044579,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
29,willR,3.0793416959185467,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
12,macdhist,2.8370908841163716,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
20,rsi_14,2.7571031981747463,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
8,cmo,2.7571031981747334,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
22,slowd,1.7305565773470724,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
1,adxr,1.2348118902198233,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
16,mom,1.2286229370410624,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
23,stochf_k,1.2001433857298685,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
18,plus_dm,1.1717452940760156,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
6,bop,1.0801308197824862,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
15,MINUS_DM,0.6396623977004641,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
3,aroondown,0.5624059076946752,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
5,aroonosc,0.44313475179856693,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
17,plus_di,0.30384172952781474,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
26,fastd,0.26582308841631525,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
25,fastk,-0.10917666634457829,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
9,dxi,-0.1388921926547619,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
4,aroonup,-0.1627626415568722,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
28,ultosc,-0.6509321654293184,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
19,ppo,-0.6610672623184279,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
0,adx,-0.9519527518531786,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
27,trix,-1.2355622381046751,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
14,MINUS_DI,-1.3780496025202182,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
2,apo,-1.6431225493962267,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
10,macd,-1.6796496389703608,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
11,macdsignal,-3.0653888234991022,0.6629460510739049,0.5473974491554636,0.7001763668430335,0.6144321919133294,Momentum_ind,Industrials
0,ad,0.7508537114738894,0.38271604938271603,0.38303994583615436,0.9977954144620811,0.5535714285714286,Volume_ind,Industrials
1,adosc,-0.6031588017897311,0.38271604938271603,0.38303994583615436,0.9977954144620811,0.5535714285714286,Volume_ind,Industrials
2,obv,-1.1114258296523887,0.38271604938271603,0.38303994583615436,0.9977954144620811,0.5535714285714286,Volume_ind,Industrials
1,natr,3.1950094575606514,0.3835616438356164,0.3835616438356164,1.0,0.5544554455445544,Volatility_ind,Industrials
2,Trange,1.2378493779805093,0.3835616438356164,0.3835616438356164,1.0,0.5544554455445544,Volatility_ind,Industrials
0,atr,-1.4840617812637207,0.3835616438356164,0.3835616438356164,1.0,0.5544554455445544,Volatility_ind,Industrials
3,quadrature,4.910667684797567,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
2,inphase,3.3995538965433036,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
4,sine,2.969759066903684,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
0,HT_DCperiod,0.8574641884615418,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
1,HT_DCphase,0.1292195690576402,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
5,leadsine,-1.7140412741480004,0.5800777946896668,0.4690469334868989,0.7182539682539683,0.5674969517505661,Cycle_ind,Industrials
60,natr,4.054625240294246,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
46,rsi_14,2.9783321895824066,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
34,cmo,2.9783321895823884,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
70,trend_bbands,2.8398415935104984,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
27,adxr,1.3622767840738914,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
43,plus_di,1.331945647074137,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
55,willR,1.3252947866802145,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
72,trend_macd,1.1669457193535169,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
48,slowd,0.9151842411641347,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
49,stochf_k,0.8332940291206677,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
50,stochf_d,0.824186115299924,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
47,slowk,0.824186115299924,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
44,plus_dm,0.7934538432085465,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
41,MINUS_DM,0.5761109039952732,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
61,Trange,0.563327272097559,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
102,trend_ema_20_40,0.5599902816963753,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
59,atr,0.5502033330586509,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
66,sine,0.5328079651409608,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
33,cci,0.39025877603584674,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
62,HT_DCperiod,0.3834384424924071,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
117,trend_ema_40_45,0.37936460317900517,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
30,aroonup,0.3680258517104067,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
96,trend_ema_15_40,0.35662050049220967,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
80,trend_ema_5_35,0.3452475647782651,0.660916624386944,0.54332784184514,0.7270723104056437,0.6219121252121441,All,Industrials
