"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"2021-04-20",98.050003,98.25,96.959999,97.400002,1671800,97.400002
"2021-04-21",98.209999,98.489998,97.309998,97.989998,1332600,97.989998
"2021-04-22",97.809998,98.080002,97.199997,97.510002,1400100,97.510002
"2021-04-23",97.870003,99.239998,97.589996,98.68,1526900,98.68
"2021-04-26",98.279999,98.510002,96.709999,97.139999,1827400,97.139999
"2021-04-27",97.309998,97.309998,96.5,97.019997,1063500,97.019997
"2021-04-28",97.169998,97.300003,96.07,96.470001,1049400,96.470001
"2021-04-29",96.93,98.220001,96.510002,97.940002,1134600,97.940002
"2021-04-30",97.57,97.620003,96.440002,97.050003,2096300,97.050003
"2021-05-03",97.910004,99.139999,97.389999,97.610001,1921000,97.610001
"2021-05-04",97.25,97.470001,95.610001,95.940002,2038500,95.940002
"2021-05-05",96,96.389999,94.129997,94.449997,2005300,94.449997
"2021-05-06",94.889999,95.199997,94.120003,95.019997,2148000,95.019997
"2021-05-07",89,91.68,88.349998,91.25,6011900,91.25
"2021-05-10",91.139999,92.82,90.699997,91.599998,3256100,91.599998
"2021-05-11",89.900002,92.239998,89.900002,91.540001,2029800,91.540001
"2021-05-12",91.029999,91.260002,89.599998,89.790001,2263400,89.790001
"2021-05-13",90.230003,90.639999,89.279999,89.470001,2323200,89.470001
"2021-05-14",89.800003,92.589996,89.610001,92.139999,2229900,92.139999
"2021-05-17",91.050003,91.699997,90.580002,91.349998,1460000,91.349998
"2021-05-18",91.620003,91.639999,90.529999,90.809998,1553800,90.809998
"2021-05-19",90.339996,90.800003,89.839996,90.730003,1771800,90.730003
"2021-05-20",90.82,92.93,90.720001,92.5,2582300,92.5
"2021-05-21",92.879997,93.07,91.480003,92.010002,1842000,92.010002
"2021-05-24",92.610001,93.769997,92.32,93.230003,2164000,93.230003
"2021-05-25",93.720001,94.230003,92.519997,93.029999,2110800,93.029999
"2021-05-26",93.510002,93.919998,93.150002,93.410004,1453300,93.410004
"2021-05-27",93.940002,94.190002,93.120003,93.309998,2245000,93.309998
"2021-05-28",93.529999,94.699997,93.400002,94.269997,1383800,94.269997
"2021-06-01",94.389999,94.830002,93.309998,93.589996,2822800,93.589996
"2021-06-02",94.279999,95.82,93.860001,94.830002,2414200,94.830002
"2021-06-03",94.089996,95.209999,93.760002,95.050003,1990600,95.050003
"2021-06-04",95.5,95.879997,94.93,95.370003,1342900,95.370003
"2021-06-07",95.379997,95.389999,93.709999,94.300003,1698300,94.300003
"2021-06-08",94.449997,94.639999,93.269997,94.160004,1456500,94.160004
"2021-06-09",94.220001,94.5,93.080002,93.239998,1261400,93.239998
"2021-06-10",92.5,94.139999,92.5,93.769997,1727600,93.769997
"2021-06-11",93.980003,94,93.040001,93.5,1078300,93.5
"2021-06-14",93.120003,93.669998,93,93.400002,1504800,93.400002
"2021-06-15",93.809998,93.809998,92.050003,92.190002,1806900,92.190002
"2021-06-16",91.050003,92.720001,91.050003,91.519997,3156600,91.519997
"2021-06-17",91.519997,92.839996,91.339996,92.57,1582000,92.57
"2021-06-18",92.269997,92.940002,91.639999,91.760002,3401300,91.760002
"2021-06-21",92.160004,92.550003,91.209999,92.040001,1533500,92.040001
"2021-06-22",92.089996,92.279999,91.209999,91.779999,1599000,91.779999
"2021-06-23",91.82,91.93,90.290001,90.309998,1858600,90.309998
"2021-06-24",90.550003,90.690002,89.82,90.139999,2605500,90.139999
"2021-06-25",90.400002,95.290001,89.25,92.120003,4427500,92.120003
"2021-06-28",92.080002,92.879997,91.019997,91.459999,1977400,91.459999
"2021-06-29",91.540001,91.769997,90.860001,91.559998,1418600,91.559998
"2021-06-30",91.599998,91.900002,91.07,91.349998,1985900,91.349998
"2021-07-01",91.260002,91.669998,90.959999,91.150002,1703200,91.150002
"2021-07-02",91.580002,92.029999,90.75,90.860001,1543300,90.860001
"2021-07-06",90.860001,91.169998,90.309998,90.610001,2289200,90.610001
"2021-07-07",90.889999,90.949997,90.43,90.839996,1276400,90.839996
"2021-07-08",90,90.879997,89.550003,89.839996,1723600,89.839996
"2021-07-09",89.550003,90.540001,89.470001,90.239998,1394300,90.239998
"2021-07-12",90.389999,91.309998,90.190002,91.169998,1492900,91.169998
"2021-07-13",91.410004,92.419998,91.269997,92.019997,1605300,92.019997
"2021-07-14",92.260002,93.5,92.120003,93,2151700,93
"2021-07-15",93.029999,93.879997,92.800003,93.620003,2595900,93.620003
"2021-07-16",93.699997,94.059998,93.029999,93.07,1578300,93.07
"2021-07-19",93.07,93.480003,91.860001,92.25,1923100,92.25
"2021-07-20",92.440002,94.160004,92.209999,93.709999,1558000,93.709999
"2021-07-21",93.620003,94.449997,93.139999,93.349998,1269800,93.349998
"2021-07-22",93.419998,93.57,92.610001,93.370003,864000,93.370003
"2021-07-23",94.959999,96.940002,94.559998,96.290001,1924500,96.290001
"2021-07-26",96.080002,96.43,95.199997,96,1797000,96
"2021-07-27",96.25,96.580002,94.660004,95.18,3238700,95.18
"2021-07-28",95.169998,95.489998,93.730003,94.050003,1524800,94.050003
"2021-07-29",94.199997,94.919998,93.839996,94.580002,1269400,94.580002
"2021-07-30",94.779999,95.080002,94.050003,94.32,1676400,94.32
"2021-08-02",94.480003,94.629997,92.620003,93.360001,2040200,93.360001
"2021-08-03",93.669998,93.959999,92.239998,93.040001,1963800,93.040001
"2021-08-04",92.839996,93.43,91.900002,92.010002,1531700,92.010002
"2021-08-05",92.57,92.650002,91.82,91.949997,2009200,91.949997
"2021-08-06",94,98.5,94,96.970001,4956700,96.970001
"2021-08-09",97.360001,98.900002,97.209999,98.470001,2752700,98.470001
"2021-08-10",98.919998,99.889999,98.459999,98.790001,2187200,98.790001
"2021-08-11",99.099998,99.620003,98.370003,98.720001,1469700,98.720001
"2021-08-12",98.870003,98.870003,97.440002,97.620003,1186600,97.620003
"2021-08-13",97.589996,98.230003,97.220001,98.120003,1386500,98.120003
"2021-08-16",98.360001,98.580002,97.809998,98.419998,1085000,98.419998
"2021-08-17",97.949997,98.050003,97.349998,97.519997,1221300,97.519997
"2021-08-18",97.370003,97.629997,95.809998,95.860001,1050200,95.860001
"2021-08-19",95.139999,97.290001,94.900002,97.18,1369200,97.18
"2021-08-20",97.360001,97.849998,96.519997,96.739998,1329800,96.739998
"2021-08-23",96.419998,97.099998,96.230003,96.75,1013900,96.75
"2021-08-24",96.940002,96.940002,95.730003,96.629997,996000,96.629997
"2021-08-25",96.639999,97.290001,96.169998,97.129997,995000,97.129997
"2021-08-26",97.139999,97.379997,96.660004,96.839996,964700,96.839996
"2021-08-27",97.010002,97.790001,96.599998,97.330002,985800,97.330002
"2021-08-30",97.389999,97.910004,97.089996,97.809998,871400,97.809998
"2021-08-31",97.970001,98,97.169998,97.57,1550300,97.57
"2021-09-01",97.779999,98.199997,97.190002,97.800003,1428000,97.800003
"2021-09-02",97.980003,98.400002,97.239998,97.599998,1046700,97.599998
"2021-09-03",97.099998,97.760002,96.230003,97.580002,1142700,97.580002
"2021-09-07",97.360001,97.360001,95.07,95.18,1528900,95.18
"2021-09-08",95.120003,96.889999,95.010002,96.839996,1176700,96.839996
"2021-09-09",96.910004,97.110001,96.190002,96.349998,967700,96.349998
"2021-09-10",96.489998,96.559998,95.879997,95.919998,1114500,95.919998
"2021-09-13",96.540001,96.93,95.199997,95.389999,1287600,95.389999
"2021-09-14",95.620003,96.199997,94.830002,94.959999,1518300,94.959999
"2021-09-15",95,95.75,94.360001,95.139999,1537900,95.139999
"2021-09-16",94.910004,96.040001,94.470001,95.879997,1075800,95.879997
"2021-09-17",94.660004,95.889999,93.809998,94.639999,3123400,94.639999
"2021-09-20",94.239998,94.260002,91.970001,92.790001,1745800,92.790001
"2021-09-21",93.160004,93.739998,91.739998,91.800003,1396200,91.800003
"2021-09-22",92.410004,93.220001,91.349998,92.57,1524900,92.57
"2021-09-23",92.599998,93.559998,92.489998,93.089996,1446300,93.089996
"2021-09-24",92.739998,93.389999,92.150002,92.739998,1374200,92.739998
"2021-09-27",92.169998,92.589996,91.279999,91.790001,1591700,91.790001
"2021-09-28",91.32,91.589996,89.190002,89.5,2168600,89.5
"2021-09-29",89.5,90.040001,89.220001,89.330002,1426400,89.330002
"2021-09-30",89.910004,90.099998,88.809998,88.830002,2275300,88.830002
"2021-10-01",89.580002,90.18,88.360001,89.879997,1947800,89.879997
"2021-10-04",89.870003,90.370003,88.120003,88.5,2818100,88.5
"2021-10-05",88.760002,90.040001,88.519997,89.550003,1587400,89.550003
"2021-10-06",88.889999,90.330002,88.550003,90.099998,1576200,90.099998
"2021-10-07",90.870003,91.43,89.989998,90.07,1858200,90.07
"2021-10-08",90.269997,90.57,89.190002,89.269997,1605400,89.269997
"2021-10-11",89.019997,89.25,87.93,88.050003,1117700,88.050003
"2021-10-12",88.059998,88.809998,87.669998,87.940002,1548600,87.940002
