"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"2021-09-24",142.190002,144.240005,141.639999,143.259995,668000,140.229004
"2021-09-27",146.509995,152.839996,145.289993,151.229996,1572700,148.030396
"2021-09-28",152.5,152.729996,150.020004,151.130005,1394900,147.932526
"2021-09-29",151.550003,154.050003,150.130005,152.990005,810900,149.753174
"2021-09-30",154.259995,154.710007,149.220001,149.339996,1453000,146.180374
"2021-10-01",152.320007,154.179993,149.940002,152.800003,955600,149.567169
"2021-10-04",153.429993,155.759995,152.570007,153.649994,1151600,150.39917
"2021-10-05",155.419998,156.600006,153.639999,153.809998,987600,150.555801
"2021-10-06",152.490005,152.639999,148.759995,152.240005,993100,149.019043
"2021-10-07",153.740005,155.020004,152.75,153.690002,583600,150.438354
"2021-10-08",153,155.259995,152.649994,153.740005,783100,150.487289
"2021-10-11",154.649994,155.240005,151.309998,151.479996,722300,148.275101
"2021-10-12",150.800003,152,149.940002,150.690002,620500,147.501831
"2021-10-13",149.619995,150.309998,145.720001,149.229996,816700,146.072708
"2021-10-14",150.639999,151.110001,149.039993,151.020004,961900,147.824844
"2021-10-15",152.889999,153.25,150.089996,151.130005,659300,147.932526
"2021-10-18",150.449997,152.520004,150,150.839996,564300,147.648651
"2021-10-19",151.369995,151.639999,149.660004,151.639999,975500,148.431717
"2021-10-20",151.639999,160.619995,151.210007,160.410004,1314700,157.016174
"2021-10-21",160.059998,160.639999,156.259995,159.759995,1577600,156.379929
"2021-10-22",159.949997,162.539993,158.380005,159.880005,997600,156.497406
"2021-10-25",160.679993,160.679993,158.100006,159,849700,155.636002
"2021-10-26",158.919998,158.919998,155.100006,155.380005,1074000,152.092606
"2021-10-27",154.330002,154.360001,148.809998,149.110001,1442900,145.955231
"2021-10-28",149.270004,149.710007,147.440002,148.070007,1232600,144.937271
"2021-10-29",148.369995,148.899994,146.419998,147.119995,1280400,144.007355
"2021-11-01",149.029999,152.940002,148.520004,152.710007,922600,149.47908
"2021-11-02",152.320007,154.809998,151.399994,153.820007,1059600,150.565613
"2021-11-03",153.179993,160.190002,152.839996,159.330002,1222800,155.95903
"2021-11-04",158.570007,158.660004,152.679993,154.169998,960800,150.908173
"2021-11-05",155.830002,157.289993,154.130005,155.089996,735300,151.808731
"2021-11-08",156.020004,157.289993,155.25,156.589996,845900,153.276993
"2021-11-09",155.199997,155.899994,153.419998,154.610001,659200,151.338882
"2021-11-10",155.649994,157.149994,154.570007,156.389999,748100,153.081223
"2021-11-11",156.190002,159.919998,155.779999,159.220001,815300,155.851364
"2021-11-12",159.330002,160.820007,157.850006,159.869995,1067000,156.487595
"2021-11-15",160.360001,162.259995,159.679993,160.210007,899000,156.820404
"2021-11-16",160.559998,161.610001,159.220001,160.419998,853600,157.02597
"2021-11-17",160.320007,161.520004,158.639999,161.169998,916400,157.760086
"2021-11-18",162.229996,162.690002,159.139999,159.419998,1160600,156.047119
"2021-11-19",157.270004,159.050003,154.509995,157.369995,913800,154.040482
"2021-11-22",160.330002,163.149994,159.179993,161.369995,806800,157.955856
"2021-11-23",162.419998,163.259995,161.419998,161.850006,946400,158.425705
"2021-11-24",161.449997,163.149994,160.050003,161.470001,576900,158.053741
"2021-11-26",154.860001,155.149994,151.160004,153.990005,956700,150.73201
"2021-11-29",155.210007,155.910004,150.770004,152.160004,1053300,150.110504
"2021-11-30",149.789993,149.990005,145.929993,146.610001,1277300,144.635254
"2021-12-01",150.039993,152.050003,143.940002,144.039993,1107200,142.099854
"2021-12-02",145.910004,152.160004,143.979996,150.720001,1117300,148.68988
"2021-12-03",150.559998,150.899994,145.789993,146.960007,901300,144.98053
"2021-12-06",150.300003,154.220001,148.839996,151.679993,774400,149.636932
"2021-12-07",152.5,154.389999,151.860001,152.710007,727000,150.653076
"2021-12-08",152.990005,154.270004,151.470001,151.949997,705500,149.90332
"2021-12-09",150.910004,153.440002,150.220001,152.240005,1075200,150.189423
"2021-12-10",152.869995,153.639999,151.070007,152.210007,1038000,150.159821
"2021-12-13",151.770004,152.360001,147.5,147.630005,821100,145.64151
"2021-12-14",148.240005,151.149994,147.649994,149.419998,1044300,147.407379
"2021-12-15",150.380005,151.889999,148.740005,150.619995,887300,148.591217
"2021-12-16",153,156.660004,151.880005,153.179993,1176600,151.116745
"2021-12-17",152.869995,152.869995,146.860001,147.149994,1977200,145.167969
"2021-12-20",144.429993,145.080002,141.490005,144.699997,983800,142.750961
"2021-12-21",146.949997,149.679993,146.440002,149.050003,693800,147.042374
"2021-12-22",148.800003,151.440002,148.059998,150.509995,643000,148.482697
"2021-12-23",151.899994,153.210007,150.660004,150.949997,481100,148.916779
"2021-12-27",151.229996,153.550003,149.770004,153.479996,570800,151.412689
"2021-12-28",152.830002,154.910004,152.830002,154.190002,415300,152.113159
"2021-12-29",154.199997,155,152.889999,154.100006,480400,152.024368
"2021-12-30",154.729996,155.809998,153.059998,153.179993,600900,151.116745
"2021-12-31",152.550003,154.360001,152.429993,153.580002,578600,151.511368
"2022-01-03",155.770004,158.639999,155.240005,158.25,1049800,156.118469
"2022-01-04",160.740005,166.199997,160.389999,164,1325800,161.791
"2022-01-05",165,167.770004,164.580002,165.289993,1396800,163.063614
"2022-01-06",167.729996,173.679993,167.729996,171.929993,1675000,169.614182
"2022-01-07",172.380005,177.309998,170.990005,176.929993,1698100,174.546829
"2022-01-10",179.440002,180,175.300003,177.490005,1798800,175.099319
"2022-01-11",178.070007,179.190002,175.960007,178.199997,1106600,175.799744
"2022-01-12",178.5,180.490005,178.179993,179.529999,1708300,177.111816
