"","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume","ATVI.Adjusted"
"2020-10-15",81.019997,81.470001,80.110001,80.349998,3863800,79.490334
"2020-10-16",80.949997,81.610001,80.519997,80.620003,4683700,79.757446
"2020-10-19",82.279999,82.510002,79.809998,80.080002,4463100,79.223221
"2020-10-20",80.5,81.129997,79.599998,80.139999,3364600,79.282578
"2020-10-21",80.989998,82.589996,80.720001,81.940002,5305100,81.063316
"2020-10-22",82.209999,82.209999,79.57,80.769997,4341200,79.90583
"2020-10-23",81,81.379997,79.889999,81.040001,4303400,80.172951
"2020-10-26",80.75,81.760002,79.760002,80.489998,4235500,79.62883
"2020-10-27",81,81.489998,80.080002,80.959999,5469700,80.093803
"2020-10-28",80.18,80.68,78.93,79.010002,5910400,78.164673
"2020-10-29",78.959999,79.470001,77.129997,77.769997,9877200,76.937927
"2020-10-30",77.449997,78.279999,74.370003,75.730003,11977700,74.919769
"2020-11-02",76.550003,77.769997,75.699997,76.400002,7306600,75.582588
"2020-11-03",76.580002,77.68,75.760002,76.260002,6820400,75.444092
"2020-11-04",78.93,80.019997,77.669998,79.370003,8632900,78.520821
"2020-11-05",80.739998,81.68,79.889999,80.139999,6581700,79.282578
"2020-11-06",79.870003,80.139999,77.269997,78.809998,7576500,77.966805
"2020-11-09",75,78.230003,71.190002,75.410004,13716600,74.603188
"2020-11-10",74.800003,76.239998,73.209999,75.120003,8658900,74.316292
"2020-11-11",76.349998,76.690002,75.709999,76.550003,5511000,75.730995
"2020-11-12",77.120003,78.400002,76.529999,76.709999,4881200,75.889275
"2020-11-13",77.5,77.699997,76.610001,77.550003,5594600,76.720291
"2020-11-16",76.720001,77.5,75.57,77.440002,7877000,76.611473
"2020-11-17",77.519997,78.800003,77.010002,77.110001,6210300,76.284996
"2020-11-18",76.949997,77.07,75.260002,75.5,9287200,74.692223
"2020-11-19",73.959999,76.699997,73.739998,75.93,8750700,75.117622
"2020-11-20",75.699997,77.709999,75.5,76.809998,6730400,75.988197
"2020-11-23",76.919998,77.339996,75.110001,75.919998,6952000,75.107727
"2020-11-24",75.93,76.050003,74.910004,75.230003,7252300,74.42511
"2020-11-25",75.93,77.139999,75.650002,76.510002,4822900,75.691422
"2020-11-27",77.699997,78.209999,76.660004,78.139999,3382500,77.30397
"2020-11-30",78.32,79.730003,77.779999,79.480003,15235000,78.629639
"2020-12-01",79.940002,79.989998,78.629997,79.93,5794200,79.074829
"2020-12-02",79.720001,80.010002,78.739998,79.150002,4780600,78.303177
"2020-12-03",79.309998,79.809998,78.550003,78.790001,4860000,77.947021
"2020-12-04",78.720001,80.93,78.639999,80.879997,6414300,80.014656
"2020-12-07",81.400002,82.949997,81.18,82.269997,6730800,81.389786
"2020-12-08",82.480003,83.639999,81.989998,83.629997,6740000,82.735237
"2020-12-09",83.5,83.68,81.870003,82.580002,11116600,81.696472
"2020-12-10",82.279999,83.93,81.68,83.110001,8503300,82.220802
"2020-12-11",83.129997,84.040001,82.870003,83.68,5864200,82.784706
"2020-12-14",84.269997,86.260002,84.080002,85.940002,7506200,85.020523
"2020-12-15",86.25,86.959999,85.589996,86.919998,5925700,85.990036
"2020-12-16",87.260002,88.290001,86.839996,88.220001,6969300,87.276131
"2020-12-17",88.870003,89.349998,86.980003,88.459999,6796900,87.513565
"2020-12-18",89.040001,90.779999,88.290001,90.370003,14075300,89.40313
"2020-12-21",89.480003,90.050003,87.18,88.809998,7304000,87.859818
"2020-12-22",89.440002,89.610001,88.300003,89.419998,5084000,88.463287
"2020-12-23",89.949997,90.489998,88.800003,90.209999,4728300,89.244835
"2020-12-24",90.300003,91.220001,90.279999,90.959999,2269100,89.986816
"2020-12-28",91.760002,92.260002,90.769997,91.43,4378300,90.45179
"2020-12-29",91.629997,92.110001,90.849998,91.370003,3741400,90.392433
"2020-12-30",91.75,92.599998,91.43,91.580002,2689600,90.600182
"2020-12-31",91.739998,92.989998,91.529999,92.849998,4311000,91.85659
"2021-01-04",92.699997,92.910004,89.220001,89.900002,7423100,88.938156
"2021-01-05",90.32,90.75,89.099998,90.690002,4544100,89.719704
"2021-01-06",89.059998,89.900002,87.889999,88,7422100,87.058479
"2021-01-07",88.860001,90.75,88.269997,89.669998,6142200,88.710609
"2021-01-08",90.07,91.370003,89.529999,91.300003,4408800,90.323181
"2021-01-11",91.300003,91.849998,90.550003,90.910004,6685900,89.937347
"2021-01-12",91,91.190002,87.959999,89.25,5401100,88.295113
"2021-01-13",89.639999,90.339996,88.440002,89.769997,4223700,88.80954
"2021-01-14",90.160004,91.239998,89.650002,89.989998,5466000,89.027191
"2021-01-15",89.989998,90.75,88.57,90.690002,8461400,89.719704
"2021-01-19",90.919998,93.370003,90.830002,93.150002,5711900,92.153381
"2021-01-20",93.959999,95.870003,93.57,95.120003,5703200,94.10231
"2021-01-21",95.470001,95.699997,94.209999,94.599998,4488800,93.587868
"2021-01-22",94.68,95.230003,93.82,94.43,3755100,93.419685
"2021-01-25",95.529999,95.760002,92.739998,93.400002,5373500,92.400711
"2021-01-26",93.349998,93.68,92.139999,92.379997,6424300,91.391617
"2021-01-27",91,91,88.209999,88.669998,12152900,87.721313
"2021-01-28",89.57,91.419998,89.010002,90.269997,6685600,89.304192
"2021-01-29",90,91.330002,89.739998,91,7025500,90.026382
"2021-02-01",91.480003,92.160004,90.860001,91.419998,4271100,90.441887
"2021-02-02",92.040001,94.18,91.809998,93.980003,5782600,92.974503
"2021-02-03",93.889999,94.07,92.589996,92.769997,6666800,91.777443
"2021-02-04",93.349998,94.419998,92.410004,92.68,8296500,91.688408
"2021-02-05",100.660004,104.230003,100,101.610001,17047800,100.522865
"2021-02-08",102.050003,103.080002,100.389999,101.190002,5969800,100.107368
"2021-02-09",101.949997,103.769997,101.059998,102.730003,5298900,101.63089
"2021-02-10",103.040001,103.440002,101.25,102.760002,4744600,101.660568
"2021-02-11",103.5,104.220001,102.550003,103.239998,3306500,102.135429
"2021-02-12",102.779999,103.889999,102.139999,103.809998,3023500,102.699333
"2021-02-16",103.82,104.529999,102.480003,102.959999,3773000,101.858429
"2021-02-17",102.580002,103.370003,101.809998,102.349998,3742100,101.254951
"2021-02-18",101.830002,102.400002,100.940002,102.25,5087800,101.156021
"2021-02-19",102.949997,103.080002,100.589996,100.800003,4369500,99.721542
"2021-02-22",99.82,99.82,96.410004,96.580002,6152800,95.546684
"2021-02-23",95.07,96.849998,93.550003,96.419998,6238400,95.388397
"2021-02-24",95.449997,96.059998,94.519997,95.690002,5925500,94.666206
"2021-02-25",95.32,96.419998,93.790001,95.099998,5414200,94.08252
"2021-02-26",96,97.209999,95.160004,95.610001,6388200,94.587067
"2021-03-01",97.089996,98.919998,96.889999,98.720001,5135600,97.663795
"2021-03-02",98.910004,98.989998,96.589996,96.75,3985000,95.714867
"2021-03-03",96.290001,96.529999,92.879997,93.709999,5283200,92.70739
"2021-03-04",93.080002,94.559998,90.739998,91.540001,5777200,90.560608
"2021-03-05",92.199997,93.389999,90.32,92.580002,8348600,91.589478
"2021-03-08",91.75,92.830002,89.129997,89.209999,6742600,88.255539
"2021-03-09",91.599998,93.690002,91.599998,92.5,6325600,91.510338
"2021-03-10",93.260002,93.699997,91.089996,91.309998,4283300,90.333069
"2021-03-11",92.970001,93.830002,92.43,92.940002,4464900,91.945633
"2021-03-12",91.889999,93.129997,91.150002,93.040001,3280400,92.044563
"2021-03-15",92.870003,93.050003,91.400002,92.580002,3146200,91.589478
"2021-03-16",93.559998,94.800003,92.93,93.279999,4552800,92.28199
"2021-03-17",92.400002,92.93,90.82,92.440002,4644900,91.450981
"2021-03-18",90.739998,91.629997,89.169998,89.580002,6691500,88.621582
"2021-03-19",89.690002,91.540001,89.690002,90.489998,13501000,89.521835
"2021-03-22",90.629997,92.529999,90.550003,91.870003,4290000,90.887085
"2021-03-23",92.589996,92.599998,91.080002,91.379997,4426200,90.402313
"2021-03-24",91.550003,91.550003,89.669998,90.510002,4800200,89.541634
"2021-03-25",90.410004,91.129997,89.059998,90.849998,5016700,89.877991
"2021-03-26",91.239998,92.489998,90.769997,92.400002,6161300,91.411407
"2021-03-29",92.25,94.919998,92.029999,94.019997,8660800,93.014069
"2021-03-30",92.440002,92.879997,90.790001,92.660004,6147900,91.668633
"2021-03-31",92.849998,94.080002,92.5,93,6522700,92.00499
"2021-04-01",93.940002,95.699997,93.739998,95.540001,6085500,94.517815
"2021-04-05",96.010002,98.419998,95.519997,97.870003,5251600,96.822884
"2021-04-06",98.190002,98.190002,97.029999,97.32,8070000,96.27877
"2021-04-07",96.459999,97.330002,96.410004,96.839996,4469200,95.803902
"2021-04-08",97.809998,97.870003,96.150002,96.459999,3590000,95.427971
"2021-04-09",96.07,96.309998,94.550003,95.779999,4301000,94.755241
"2021-04-12",95.099998,96.279999,95,96.139999,4719900,95.111389
"2021-04-13",97,98.25,96.489998,97.540001,5710800,96.496414
"2021-04-14",97.099998,97.529999,96.410004,96.690002,4066500,96.118668
"2021-04-15",97.050003,98.040001,96.400002,97.779999,7324200,97.202217
"2021-04-16",98.099998,98.099998,96.050003,96.480003,7126500,95.909904
"2021-04-19",96.93,97.580002,95.330002,96,4797100,95.432739
"2021-04-20",96.269997,96.330002,94.120003,94.470001,4499000,93.911781
"2021-04-21",93.480003,93.559998,91.889999,93.18,8000200,92.629402
"2021-04-22",93.300003,94.489998,92.980003,93.699997,5742700,93.146324
"2021-04-23",93.699997,94.040001,92.690002,93.019997,4029900,92.470345
"2021-04-26",92.620003,94.389999,92.510002,94.239998,5055900,93.683136
"2021-04-27",94.510002,94.860001,91.260002,91.599998,8922200,91.058739
"2021-04-28",92.290001,92.300003,91,91.25,6692800,90.710808
"2021-04-29",91.669998,92.160004,91.080002,92.089996,4796400,91.545837
"2021-04-30",91.360001,91.989998,90.889999,91.190002,6614300,90.651161
"2021-05-03",91.699997,92.019997,90.790001,91.150002,6641800,90.611397
"2021-05-04",90.839996,90.970001,87.440002,88.690002,15147500,88.165939
"2021-05-05",93.599998,94.769997,90,90.080002,13079100,89.547722
"2021-05-06",90,93.519997,89.639999,93.029999,8024600,92.480286
"2021-05-07",93.43,95.120003,93.040001,94.800003,6511800,94.23983
"2021-05-10",95.059998,95.739998,93.139999,93.169998,6067500,92.619461
"2021-05-11",93.660004,95.769997,92.940002,95.339996,6530700,94.776634
"2021-05-12",94.279999,94.800003,92.260002,92.660004,6176200,92.11248
"2021-05-13",93.470001,94.050003,92.830002,93.419998,4741200,92.867981
"2021-05-14",94.400002,94.400002,93.059998,93.349998,3656400,92.798393
"2021-05-17",92.68,93.080002,91.529999,92.300003,5175800,91.754608
"2021-05-18",92.550003,95.349998,92.25,93.660004,6263000,93.106567
"2021-05-19",92.269997,94.419998,92.199997,94.260002,4213900,93.703026
"2021-05-20",94.639999,97.230003,94.580002,96.57,6742700,95.999374
"2021-05-21",96.970001,97.07,95.25,95.370003,5431700,94.806465
"2021-05-24",95.93,96.769997,95.82,96.5,3196800,95.929787
"2021-05-25",96.870003,97.370003,96.269997,96.57,3284400,95.999374
"2021-05-26",97.120003,98.480003,96.809998,97.300003,3880500,96.72506
"2021-05-27",97,97.57,96.589996,97.25,7742700,96.675354
"2021-05-28",97.440002,98.080002,97.169998,97.25,3092400,96.675354
"2021-06-01",97.260002,97.599998,96.129997,96.449997,3502500,95.880074
"2021-06-02",96.330002,96.650002,94.980003,95.389999,3277900,94.82634
"2021-06-03",94.5,95.709999,94.07,94.980003,3805100,94.41877
"2021-06-04",95.139999,97.32,95.139999,96.839996,2990800,96.267769
"2021-06-07",96.889999,97.290001,96.279999,97.120003,2655200,96.546127
"2021-06-08",97.449997,97.610001,96.589996,96.800003,2596900,96.228012
"2021-06-09",97.349998,97.93,96.379997,96.529999,3608600,95.95961
"2021-06-10",96.279999,97.879997,96.089996,97.690002,4409500,97.112755
"2021-06-11",97.800003,98.360001,97.360001,98.150002,4112700,97.570038
"2021-06-14",98.389999,99.459999,97.610001,99.18,5834400,98.593948
"2021-06-15",98.860001,98.989998,95.379997,95.970001,6154000,95.402916
"2021-06-16",95.75,95.949997,92.779999,94.059998,7440900,93.504204
"2021-06-17",93.629997,94.459999,92.669998,93.190002,5088100,92.639343
"2021-06-18",93.120003,93.370003,91.050003,91.489998,8509900,90.949387
"2021-06-21",91.879997,92.760002,90.860001,91.82,4659600,91.277435
"2021-06-22",91.949997,92.099998,91.18,91.879997,4654100,91.337082
"2021-06-23",91.870003,91.980003,90.230003,90.790001,6446800,90.253525
"2021-06-24",91.860001,93.07,91.550003,92.510002,5640100,91.963364
"2021-06-25",92.639999,93.739998,92.169998,92.260002,8943300,91.714844
"2021-06-28",92.790001,96.150002,92.599998,95.400002,7032900,94.836288
"2021-06-29",95.419998,95.910004,94.07,95.610001,4160300,95.045044
"2021-06-30",95.720001,95.989998,95.139999,95.440002,4372600,94.876053
"2021-07-01",95.07,95.400002,93.220001,93.900002,5055100,93.345146
"2021-07-02",94.75,95.040001,93.580002,94.269997,3101400,93.712959
"2021-07-06",94.470001,95.199997,93.68,94.400002,3833300,93.842194
"2021-07-07",95.260002,95.269997,93.139999,93.309998,3444200,92.758629
"2021-07-08",92.400002,93.050003,91.75,92.18,6128600,91.635315
"2021-07-09",91.879997,92.599998,91.459999,92.379997,3587000,91.834129
"2021-07-12",93.330002,93.419998,92.43,92.910004,4054700,92.361
"2021-07-13",93.5,93.860001,92.870003,93.25,5476700,92.69899
"2021-07-14",93.540001,93.769997,92.099998,92.32,4959100,91.774483
"2021-07-15",92.370003,92.599998,90.599998,90.68,8746100,90.144173
"2021-07-16",90.870003,92.389999,90.839996,91.800003,7411300,91.257561
"2021-07-19",91.75,92.25,89.900002,90.300003,7741500,89.766426
"2021-07-20",90.620003,91.709999,89.559998,91.510002,6627000,90.969276
"2021-07-21",91.779999,91.919998,90.400002,91.169998,5725700,90.631279
"2021-07-22",90.389999,90.68,89.559998,90.470001,5159500,89.935417
"2021-07-23",90.660004,91.730003,90.019997,91.5,3889300,90.959328
"2021-07-26",91.029999,91.400002,89.989998,90.139999,4587400,89.607368
"2021-07-27",89.940002,89.940002,81.559998,84.050003,23141100,83.553352
"2021-07-28",84.889999,87.300003,84.720001,84.82,13160400,84.318802
"2021-07-29",84.870003,85.220001,83.5,83.57,10839500,83.076187
"2021-07-30",83.150002,84.650002,82.849998,83.620003,7055900,83.125893
"2021-08-02",84.029999,84.169998,82.540001,82.760002,6225000,82.270973
"2021-08-03",80.989998,81.449997,77.809998,79.830002,17329600,79.358292
"2021-08-04",83.510002,83.900002,80.449997,81.519997,19758100,81.0383
"2021-08-05",81.559998,82.040001,79.349998,80.32,9871300,79.84539
"2021-08-06",79.900002,82.5,79.900002,82.43,9692100,81.942924
"2021-08-09",81.860001,82.389999,81.239998,81.410004,6082900,80.928955
"2021-08-10",81.760002,83.360001,81.269997,82.989998,7770000,82.499611
"2021-08-11",83.510002,86.230003,83.080002,85,13387700,84.497742
"2021-08-12",85.110001,85.480003,83.169998,85.169998,7353200,84.666733
"2021-08-13",86.300003,86.389999,83.449997,83.849998,5369200,83.35453
"2021-08-16",83.5,84.029999,83.050003,83.849998,4320800,83.35453
"2021-08-17",83.050003,84.389999,82.470001,83.370003,4780300,82.877373
"2021-08-18",83.599998,84.139999,82.769997,82.830002,4559800,82.340561
"2021-08-19",82.209999,84.540001,82.190002,83.169998,5449700,82.678551
"2021-08-20",82.870003,83.669998,82.220001,82.629997,7366200,82.141739
"2021-08-23",82.93,83.489998,81.889999,82.220001,8666100,81.734169
"2021-08-24",82.75,82.809998,81.190002,81.790001,11799500,81.306709
"2021-08-25",82.120003,82.120003,80,80.809998,10410300,80.332497
"2021-08-26",81.589996,82.489998,81.190002,81.25,7365000,80.769897
"2021-08-27",81.449997,82.660004,81.300003,82.43,6000600,81.942924
"2021-08-30",81.5,81.559998,79.919998,81.120003,8405200,80.640671
"2021-08-31",81.480003,83.379997,81.199997,82.370003,9477900,81.883278
"2021-09-01",82.730003,83.379997,82,82.300003,6226000,81.813698
"2021-09-02",82.75,82.849998,81.139999,81.309998,8433800,80.829536
"2021-09-03",81.209999,81.650002,80.779999,81.18,5605400,80.70031
"2021-09-07",81.410004,81.419998,77.889999,78.470001,15531700,78.006325
"2021-09-08",78.470001,80.32,78.269997,80.290001,8227700,79.815567
"2021-09-09",78.809998,79.410004,77.129997,78.050003,11325800,77.588806
"2021-09-10",78.160004,80.839996,77.339996,79.639999,12098700,79.169411
"2021-09-13",80.120003,80.760002,78.150002,78.529999,7337400,78.065971
"2021-09-14",78.779999,78.889999,77.660004,77.839996,6235300,77.380043
"2021-09-15",77.730003,78.769997,77.099998,78.25,5526500,77.787621
"2021-09-16",78.32,79.599998,78.040001,79.279999,9376800,78.811539
"2021-09-17",79.419998,80.5,78,79.559998,11009600,79.089882
"2021-09-20",78.639999,78.82,74.870003,76.18,12231900,75.729858
"2021-09-21",76.610001,76.639999,72.940002,73.029999,14206900,72.598465
"2021-09-22",73.190002,74.029999,72.199997,72.809998,10297300,72.379768
"2021-09-23",73.129997,75.470001,72.709999,74.669998,9311100,74.228775
"2021-09-24",74.5,75.589996,74.110001,75.260002,7429800,74.815292
"2021-09-27",75.029999,75.949997,73.690002,75.080002,6517900,74.63636
"2021-09-28",74.660004,77.080002,74.660004,76.330002,11157200,75.878967
"2021-09-29",76.529999,78.93,76.5,77.379997,9700800,76.92276
"2021-09-30",77.559998,78.410004,77,77.389999,7537900,76.932701
"2021-10-01",78.059998,79.040001,77.199997,78.529999,5861300,78.065971
"2021-10-04",78.190002,78.32,76.860001,77.18,5955600,76.723946
"2021-10-05",77.25,77.650002,76.230003,76.800003,9771000,76.346191
"2021-10-06",75.93,78.029999,75.690002,77.290001,9477600,76.833298
"2021-10-07",77.269997,78.5,76.769997,77.360001,8527400,76.902885
"2021-10-08",77.760002,78.360001,77.25,77.610001,8885200,77.151405
"2021-10-11",77.739998,77.760002,76.260002,76.32,6326400,75.869026
"2021-10-12",76.449997,76.540001,74.589996,74.919998,6640900,74.477295
"2021-10-13",75.339996,76.099998,75.019997,75.25,6597500,74.805351
"2021-10-14",75.940002,77.160004,75.57,76.110001,5471100,75.660271
"2021-10-15",76.5,77.07,76.190002,76.400002,6472800,75.948555
"2021-10-18",76.139999,76.720001,75.239998,76.400002,5417400,75.948555
"2021-10-19",76.769997,77.199997,75.949997,77.18,4238500,76.723946
"2021-10-20",77.519997,78.080002,77.080002,78.080002,4537900,77.618629
"2021-10-21",77.720001,78.739998,76.720001,78.699997,5904300,78.234962
"2021-10-22",78.620003,80.919998,78.620003,79.269997,6960400,78.80159
"2021-10-25",79.43,81.510002,79.400002,81.190002,8345800,80.710251
"2021-10-26",81.809998,82.339996,80.419998,80.760002,6420400,80.282791
"2021-10-27",80.220001,80.339996,78.550003,78.650002,6261500,78.185265
"2021-10-28",78.599998,78.959999,76.650002,78.879997,10842600,78.413895
"2021-10-29",78.93,79.370003,77.730003,78.190002,8370200,77.727982
"2021-11-01",78.940002,80.010002,78.540001,79.349998,7569400,78.881119
"2021-11-02",79.290001,79.370003,77.040001,77.669998,10370400,77.211052
"2021-11-03",66.25,67.190002,64.550003,66.75,43753600,66.355576
"2021-11-04",67.470001,68.739998,66.650002,68.230003,16203300,67.826836
"2021-11-05",68.57,68.779999,66.919998,67.830002,13716900,67.429199
"2021-11-08",68.43,68.43,66.620003,66.82,12825700,66.425163
"2021-11-09",66.989998,67.550003,66.529999,67.099998,8812000,66.703506
"2021-11-10",66.730003,67.449997,66.519997,66.660004,7966200,66.266113
"2021-11-11",67.25,67.529999,66.019997,67.5,13235000,67.101143
"2021-11-12",67.720001,70.040001,67.339996,69.690002,13923000,69.278206
"2021-11-15",69.32,70.68,68.139999,70.43,11628200,70.013832
"2021-11-16",70.550003,72.139999,65.459999,66.139999,38243200,65.749184
"2021-11-17",65.529999,65.639999,63.5,64.199997,28771200,63.820641
"2021-11-18",63.599998,64.050003,60.900002,62.669998,24241700,62.299683
"2021-11-19",63.75,64.089996,62.169998,62.380001,14485100,62.011398
"2021-11-22",60.93,62.41,59.779999,62.200001,16583200,61.832462
"2021-11-23",61.849998,62.919998,61.330002,61.77,16564300,61.405003
"2021-11-24",61.84,61.84,60.75,60.91,9681500,60.550083
"2021-11-26",61.279999,61.68,60.18,60.619999,8305900,60.261799
"2021-11-29",60.889999,60.950001,59.650002,60.310001,7749600,59.953632
"2021-11-30",60.02,60.43,58.439999,58.599998,19291100,58.253735
"2021-12-01",59.110001,59.209999,57.189999,57.279999,11607000,56.941532
"2021-12-02",57.279999,58.18,56.619999,57.290001,8606200,56.951477
"2021-12-03",56.98,57.439999,56.400002,57.360001,13287400,57.021061
"2021-12-06",57.529999,58.450001,57.240002,58.09,9409000,57.74675
"2021-12-07",58.919998,59.27,58.279999,58.77,11553500,58.422729
"2021-12-08",58.779999,60.009998,58.029999,59.27,9785500,58.919777
"2021-12-09",58.599998,59.810001,58.52,59.07,8520500,58.720959
"2021-12-10",59.16,59.41,57.470001,58.599998,10161000,58.253735
"2021-12-13",58.599998,59.450001,58.02,58.700001,8652700,58.353146
"2021-12-14",58.16,59.880001,58.150002,59.52,8793500,59.168301
"2021-12-15",59.110001,60.509998,58.830002,60.259998,7387100,59.903923
"2021-12-16",60.549999,61.630001,60.18,61.490002,10074500,61.126659
"2021-12-17",61.099998,62.07,60.599998,61.360001,16960300,60.997425
"2021-12-20",61.009998,62.23,60.669998,61.799999,8369400,61.434826
"2021-12-21",62.25,63.639999,61.860001,63.59,11097700,63.214249
"2021-12-22",63.259998,64.120003,63.139999,64.099998,15089700,63.721233
"2021-12-23",64.010002,65.389999,63.860001,65.160004,8721700,64.774979
"2021-12-27",65.239998,65.739998,65,65.449997,10640700,65.063255
"2021-12-28",66.059998,67.589996,65.599998,66.669998,13806800,66.276047
"2021-12-29",66.57,67.18,66.190002,67.160004,9051500,66.763161
"2021-12-30",67.199997,67.889999,67.050003,67.489998,7509100,67.091202
"2021-12-31",67.32,67.639999,66.300003,66.529999,9475100,66.136879
"2022-01-03",66.440002,67.669998,65.800003,67.419998,13208100,67.021614
"2022-01-04",67.839996,68.010002,66.93,67.199997,9464000,66.802917
"2022-01-05",67.199997,67.860001,66.260002,66.290001,14988200,65.898293
