"","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume","ATVI.Adjusted"
"2020-07-01",75.449997,78.230003,74.970001,78.029999,10187400,77.195152
"2020-07-02",78.860001,79.110001,77.050003,77.510002,5169300,76.680717
"2020-07-06",78.459999,79.440002,78.050003,78.669998,6041800,77.828308
"2020-07-07",79,80.379997,78.389999,78.5,6038800,77.660126
"2020-07-08",79.059998,79.349998,77.970001,79.279999,4863400,78.431778
"2020-07-09",79.93,80.75,78.82,80.639999,6005700,79.777229
"2020-07-10",80.720001,81.529999,79.629997,81.269997,6071100,80.40049
"2020-07-13",82.010002,82.050003,77.519997,77.949997,7437600,77.116005
"2020-07-14",76.809998,79.889999,76.209999,79.769997,4875300,78.916534
"2020-07-15",78.519997,79.580002,77.459999,79.150002,6994300,78.303177
"2020-07-16",78.879997,79.480003,77.870003,79.370003,4950100,78.520821
"2020-07-17",79.410004,79.849998,77.949997,78.639999,6241500,77.79863
"2020-07-20",79.07,81.370003,78.68,81.160004,5556400,80.291664
"2020-07-21",81.650002,81.830002,79.620003,80.760002,5495800,79.89595
"2020-07-22",80.970001,81.379997,80.419998,81.099998,2937400,80.232307
"2020-07-23",81.489998,82.669998,79.379997,79.610001,5963000,78.758247
"2020-07-24",79.32,80.75,78.120003,79.989998,4371200,79.134178
"2020-07-27",80.599998,81.800003,80.589996,81.629997,3777200,80.75663
"2020-07-28",81.370003,81.860001,80.589996,80.720001,3637100,79.856377
"2020-07-29",81.260002,81.440002,80.620003,81.199997,2957200,80.331238
"2020-07-30",80.599998,82.019997,79.910004,81.699997,4034000,80.825882
"2020-07-31",82.809998,83.449997,81.760002,82.629997,8922500,81.745934
"2020-08-03",84.410004,85.050003,82.870003,84.790001,8589600,83.882828
"2020-08-04",86.769997,87.040001,83.949997,86.449997,16110300,85.525063
"2020-08-05",84.650002,86.019997,83.349998,84.32,12546300,83.417854
"2020-08-06",87.550003,87.730003,85.5,86.839996,9586300,85.910896
"2020-08-07",84.43,85.400002,80.989998,82.470001,9181900,81.587654
"2020-08-10",82.43,83.510002,80.839996,82.260002,8018200,81.379898
"2020-08-11",81.510002,81.510002,78.699997,79.120003,9095700,78.273499
"2020-08-12",79.580002,81.989998,79.580002,81.709999,6198600,80.835785
"2020-08-13",82.279999,82.980003,81.199997,81.290001,5329100,80.420273
"2020-08-14",81.970001,82.300003,79.980003,80.400002,9390000,79.539795
"2020-08-17",80.970001,82.050003,80.169998,81.989998,7091800,81.112785
"2020-08-18",82.599998,83.279999,81.589996,83.129997,4479300,82.240585
"2020-08-19",82.949997,83.730003,81.730003,81.980003,5566100,81.10289
"2020-08-20",82.019997,84.220001,81.860001,84,5604100,83.101273
"2020-08-21",84.050003,84.089996,82.730003,83.209999,5102000,82.319725
"2020-08-24",83.339996,83.660004,81.910004,83.099998,4281900,82.210907
"2020-08-25",82.93,83.849998,82.370003,83.620003,3659000,82.725342
"2020-08-26",83.830002,84.940002,83.540001,84.480003,7046400,83.576149
"2020-08-27",85,85,82.779999,83.900002,4221300,83.002357
"2020-08-28",83.949997,84.029999,82.309998,83.209999,4646700,82.319725
"2020-08-31",82.809998,83.93,82.690002,83.519997,6269500,82.626411
"2020-09-01",83.839996,84.489998,82.599998,83.330002,5927400,82.438454
"2020-09-02",83.580002,84.019997,82.480003,83.449997,7125100,82.557159
"2020-09-03",82.959999,83,79.410004,80.309998,7988400,79.45076
"2020-09-04",79.099998,79.800003,75.68,79.010002,8947300,78.164673
"2020-09-08",76.580002,77.489998,75.919998,76.18,11025000,75.364944
"2020-09-09",77.849998,80,77.260002,79.589996,6984700,78.738464
"2020-09-10",80.290001,81.110001,78.730003,79.089996,8458000,78.243805
"2020-09-11",79.830002,80.519997,77.629997,77.970001,6024500,77.135796
"2020-09-14",79.040001,79.419998,78.480003,79.120003,6221600,78.273499
"2020-09-15",80,82.209999,79.779999,81.75,6500800,80.875351
"2020-09-16",81.68,82.389999,79.830002,79.989998,4996100,79.134178
"2020-09-17",78.059998,79.190002,77.709999,78.769997,7609500,77.927238
"2020-09-18",79.330002,80.639999,78.080002,80.089996,9409400,79.233109
"2020-09-21",79.639999,81.470001,79.160004,81.410004,6293200,80.538994
"2020-09-22",82.309998,83.279999,80.760002,82.650002,6237500,81.765724
"2020-09-23",82.529999,83.150002,79.889999,80.129997,5849100,79.272682
"2020-09-24",79.279999,80.889999,79.25,79.690002,5023700,78.837395
"2020-09-25",79.879997,81.330002,79.059998,80.980003,4954300,80.113594
"2020-09-28",81.629997,82.019997,80.510002,81.949997,3838100,81.073212
"2020-09-29",81.830002,82,80.540001,80.779999,4828500,79.915726
"2020-09-30",80.610001,82.019997,80.400002,80.949997,7455000,80.083908
"2020-10-01",81.720001,83.540001,81.379997,82.68,6035900,81.795403
"2020-10-02",81.989998,81.989998,78.129997,78.300003,8789500,77.462265
"2020-10-05",79.360001,80.169998,78.400002,79.989998,5561100,79.134178
"2020-10-06",79.769997,80.639999,78.120003,78.300003,4887000,77.462265
"2020-10-07",78.68,78.93,77.660004,78.470001,5421300,77.630447
"2020-10-08",78.699997,78.959999,77.349998,77.800003,5492100,76.967613
"2020-10-09",78.190002,78.75,77.720001,78.209999,5433200,77.373222
"2020-10-12",79.279999,81.919998,78.949997,81.059998,6724600,80.192734
"2020-10-13",81.440002,82.459999,80.459999,81.980003,5270300,81.10289
"2020-10-14",82.510002,82.959999,81.080002,81.900002,5515900,81.02375
