"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2020-07-01",122,124.349998,121.699997,124.169998,819400,118.244019
"2020-07-02",125.860001,127.489998,125.379997,126.879997,960300,120.824692
"2020-07-06",127.809998,128.779999,125.830002,128.199997,876600,122.081696
"2020-07-07",127.199997,128.070007,125.889999,127.050003,694200,120.986588
"2020-07-08",126.910004,128.110001,122.080002,123.370003,968400,117.482201
"2020-07-09",123.599998,123.839996,120.160004,122.300003,1100800,116.46328
"2020-07-10",122.870003,125.540001,121.830002,125.25,520600,119.272476
"2020-07-13",126.32,127.160004,124.290001,124.519997,778100,118.577316
"2020-07-14",124.650002,127.410004,124.489998,127.010002,611000,120.948479
"2020-07-15",128.869995,130.360001,128.330002,129.720001,595900,123.529152
"2020-07-16",129.289993,130.639999,128.570007,129.610001,517600,123.424393
"2020-07-17",130.429993,132.309998,129.300003,130.990005,774800,124.738556
"2020-07-20",131,131.309998,127.410004,128.720001,1306100,122.576866
"2020-07-21",129.25,129.899994,127.709999,127.940002,542000,121.834099
"2020-07-22",128.479996,130,127.639999,128.550003,547900,122.414993
"2020-07-23",128.720001,130.559998,127.199997,128.490005,834500,122.357872
"2020-07-24",128.639999,128.789993,125.519997,126.82,781400,120.767555
"2020-07-27",127.18,129.160004,126.129997,128.789993,702100,122.643547
"2020-07-28",128.779999,129.809998,127.480003,128.339996,827100,122.215004
"2020-07-29",128.820007,129.979996,128.139999,128.240005,804500,122.119781
"2020-07-30",126.669998,126.910004,123.43,124.489998,915300,118.548752
"2020-07-31",124.290001,126.040001,122.410004,125.949997,1081400,119.939087
"2020-08-03",126.220001,126.220001,124.169998,124.540001,1060100,118.596375
"2020-08-04",123.470001,126.800003,122.150002,125.889999,810900,119.881943
"2020-08-05",126.970001,128.800003,126.330002,126.419998,947600,120.386642
"2020-08-06",125.980003,126.5,125.18,125.379997,761400,119.396271
"2020-08-07",125.57,126.959999,124.400002,126.800003,664300,120.748512
"2020-08-10",126.599998,130.880005,126.599998,130.550003,1188700,124.319542
"2020-08-11",131.600006,132.75,125.059998,125.290001,2052600,119.310585
"2020-08-12",126.93,128.889999,126.139999,127,797300,120.938972
"2020-08-13",125.470001,125.709999,123.580002,123.809998,878800,117.901215
"2020-08-14",123.209999,124.239998,122.550003,123.169998,530500,117.291756
"2020-08-17",123.620003,124.440002,122.57,123.290001,434300,117.406021
"2020-08-18",123.309998,124.599998,122.199997,122.620003,612900,116.768005
"2020-08-19",123.269997,123.269997,121.690002,121.980003,417400,116.158546
"2020-08-20",120.940002,121.230003,119.650002,120.690002,852900,114.930107
"2020-08-21",120.300003,121.099998,118.830002,120.550003,728900,114.796791
"2020-08-24",121.519997,122.959999,120.900002,122.889999,397300,117.025108
"2020-08-25",124.18,124.760002,122.639999,122.879997,588200,117.015579
"2020-08-26",124.470001,126.120003,124.099998,124.900002,794400,118.939186
"2020-08-27",125.120003,125.559998,122.639999,123.580002,579500,117.68219
"2020-08-28",123.870003,125.089996,122.230003,124.470001,451900,118.529716
"2020-08-31",124.169998,125.519997,123.139999,123.790001,683700,117.882164
"2020-09-01",123.400002,124.75,121.5,124.739998,930500,118.786827
"2020-09-02",125.25,126.540001,124.360001,125.959999,1165700,119.948601
