"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2020-10-21",168.160004,170.240005,166.690002,166.75,480300,161.598907
"2020-10-22",167.160004,170.789993,166.210007,170.320007,439400,165.05864
"2020-10-23",171.729996,172.399994,169.809998,170.389999,495200,165.12648
"2020-10-26",167.759995,168.240005,163.440002,165.610001,500900,160.494125
"2020-10-27",165.740005,165.740005,162.020004,162.389999,522300,157.373596
"2020-10-28",159.009995,161.149994,156.539993,158.25,739900,153.361496
"2020-10-29",158.979996,162.759995,155.330002,161.110001,730200,156.133133
"2020-10-30",159.919998,161.490005,157.830002,160.830002,656300,155.861801
"2020-11-02",163.860001,165.529999,162.389999,164.449997,517200,159.369965
"2020-11-03",167,170.100006,166.399994,167.449997,584000,162.277283
"2020-11-04",164.490005,172.940002,161.940002,168.399994,848000,163.197952
"2020-11-05",170.860001,174.630005,170.529999,172.690002,646200,167.355423
"2020-11-06",172.949997,172.949997,168.699997,169.779999,365400,165.532196
"2020-11-09",182.580002,187.479996,182.179993,182.940002,1386800,178.362946
"2020-11-10",182.740005,184.529999,178.649994,183.169998,1034400,178.587173
"2020-11-11",185.160004,185.179993,180.029999,181.300003,566400,176.763977
"2020-11-12",180.380005,180.880005,175.669998,177.300003,577400,172.864059
"2020-11-13",179.580002,185.619995,178.990005,184.880005,711200,180.254395
"2020-11-16",188.460007,188.570007,184.320007,185.970001,635100,181.317139
"2020-11-17",183.610001,185.080002,181.509995,184.229996,581500,179.620667
"2020-11-18",184.5,188.440002,183.279999,183.330002,446300,178.743195
"2020-11-19",181.820007,184.100006,180.259995,183.630005,436900,179.03569
"2020-11-20",182.809998,182.990005,179.770004,179.800003,527900,175.301529
"2020-11-23",181.729996,184.25,181.080002,183.759995,526500,179.16243
"2020-11-24",186.809998,193.190002,185.720001,192.669998,763000,187.849518
"2020-11-25",191.789993,191.940002,188.479996,190.190002,670000,185.431549
"2020-11-27",190.080002,191.5,189.25,190.75,300300,185.977539
"2020-11-30",188.350006,190.119995,184.740005,185.240005,1096700,180.605408
"2020-12-01",189.509995,190.789993,187.929993,190.25,773700,185.490067
"2020-12-02",189.949997,193.860001,189.309998,193.440002,823000,188.600266
"2020-12-03",193.080002,196.690002,192.850006,194.710007,722400,189.83847
"2020-12-04",196.050003,198.160004,195.429993,196.279999,514200,191.369202
"2020-12-07",195.139999,195.339996,192.559998,194.440002,810700,189.575226
"2020-12-08",192.389999,193.699997,191.559998,192.509995,649000,187.693512
"2020-12-09",194.020004,196.419998,191.809998,193.240005,690200,188.405243
"2020-12-10",191.199997,193.119995,190.270004,192.850006,838500,188.025024
"2020-12-11",190.380005,192.330002,189.479996,191.740005,539900,186.94278
"2020-12-14",194.610001,194.610001,190.889999,190.990005,941800,186.211548
"2020-12-15",193.089996,193.149994,189.639999,190.770004,678300,185.997055
"2020-12-16",192.25,192.679993,188.860001,189.740005,790700,184.992813
"2020-12-17",190.199997,190.789993,188.169998,190.050003,686100,185.295074
"2020-12-18",188.050003,190.320007,185.630005,186.940002,2279700,182.262863
"2020-12-21",186.550003,187.770004,182.830002,186.759995,767800,182.087372
"2020-12-22",187.240005,187.720001,184.440002,185.059998,591500,180.429916
"2020-12-23",185.630005,189.690002,185.630005,188.539993,445000,183.822845
"2020-12-24",188.979996,189.880005,186.949997,189.699997,212100,184.953812
"2020-12-28",191.160004,193.070007,189.929993,189.979996,402700,185.226822
"2020-12-29",190.970001,191.360001,188.839996,189.070007,408500,184.339584
"2020-12-30",188.830002,192.5,188.830002,191.350006,393700,186.562531
"2020-12-31",191.210007,194.660004,191.130005,194.330002,422300,189.467972
"2021-01-04",195.300003,195.899994,185.800003,188.110001,587800,183.40361
"2021-01-05",188.110001,189.850006,185.710007,187.009995,560900,182.3311
"2021-01-06",191.259995,199.940002,190.830002,197.740005,736400,192.792648
"2021-01-07",200,202.179993,199.410004,200.130005,585900,195.122879
"2021-01-08",200.75,201.639999,198.520004,201.550003,545400,196.507355
"2021-01-11",199.220001,201.960007,199.110001,201.580002,855100,196.536591
"2021-01-12",202.089996,206.149994,201.339996,204.550003,733300,199.432297
"2021-01-13",204.559998,204.860001,201.5,203.070007,462600,197.989334
"2021-01-14",203.970001,207.279999,202.529999,206.949997,749600,201.772232
"2021-01-15",204.630005,208.529999,203.429993,208.279999,665100,203.068939
"2021-01-19",209.600006,213.729996,209.270004,212.990005,822600,207.661118
"2021-01-20",213.740005,214.490005,211.389999,213.160004,536500,207.826843
"2021-01-21",213.399994,214.5,211.940002,211.940002,663000,206.637405
"2021-01-22",210.399994,212.449997,210,211.789993,447100,206.491119
"2021-01-25",210.330002,213.470001,209.350006,211.610001,630600,206.315659
"2021-01-26",213.229996,213.410004,210.339996,211.270004,551300,205.984146
"2021-01-27",207.279999,209.960007,201.059998,201.460007,890900,196.419586
"2021-01-28",204.470001,209.410004,199.309998,206.660004,771200,201.489487
"2021-01-29",204.970001,204.970001,197.809998,197.869995,1012400,192.919403
"2021-02-01",199.820007,201.059998,196.770004,200.839996,610000,195.815109
"2021-02-02",203.630005,206.199997,202.740005,205.089996,518100,199.958771
"2021-02-03",204.350006,205.300003,201.039993,201.860001,844300,196.80957
"2021-02-04",202.470001,209.429993,202.270004,209.309998,478800,204.073212
"2021-02-05",210.690002,213.289993,209.889999,211.059998,462300,205.779388
"2021-02-08",211.309998,213.509995,210.940002,213.309998,392700,207.973099
"2021-02-09",212.830002,215.449997,211.460007,214.660004,565100,209.289352
"2021-02-10",215.229996,217.740005,213.740005,215.050003,746100,209.669571
"2021-02-11",215,215.910004,212.960007,214.699997,445000,210.345566
"2021-02-12",214,218.350006,213.789993,218.080002,412900,213.657028
"2021-02-16",219.75,221.369995,218.649994,220.190002,828600,215.724243
"2021-02-17",219.160004,219.800003,216.300003,218.389999,401600,213.960754
"2021-02-18",215.75,217.300003,212.800003,214.199997,601500,209.855728
"2021-02-19",215.75,224.699997,214.309998,224.490005,1233600,219.937042
"2021-02-22",223.460007,227.929993,222.139999,225.880005,872000,221.298843
"2021-02-23",227.960007,227.960007,222.809998,226.5,717300,221.906265
"2021-02-24",226.25,232.809998,225.210007,232.100006,641500,227.392685
"2021-02-25",233.490005,233.910004,223.110001,223.940002,569900,219.398193
"2021-02-26",224.100006,226.289993,220.380005,221.240005,886700,216.752945
"2021-03-01",224.979996,230.729996,224.979996,229.080002,651300,224.433945
"2021-03-02",228.270004,229.070007,225.789993,225.789993,753600,221.210648
"2021-03-03",226.75,228.259995,223.380005,223.690002,894000,219.153259
"2021-03-04",221.910004,224.270004,213.380005,217.240005,946700,212.834091
"2021-03-05",221.259995,223.300003,213.899994,222.300003,958600,217.791458
"2021-03-08",225,230,223.479996,224.070007,854500,219.525543
"2021-03-09",223.660004,227.039993,221.300003,223.5,856100,218.967102
"2021-03-10",225.75,228.490005,224.470001,225.649994,1166500,221.073502
"2021-03-11",224.940002,229.339996,222.25,226.539993,993600,221.945465
"2021-03-12",229.179993,229.419998,224.539993,225.490005,698500,220.916748
"2021-03-15",226.130005,228.179993,221.830002,228.130005,972800,223.503204
"2021-03-16",226.279999,227.619995,220.399994,221.119995,917800,216.635376
"2021-03-17",221.759995,225.529999,220.309998,225.490005,939300,220.916748
"2021-03-18",227.009995,236.440002,225.669998,226.899994,1623900,222.298126
"2021-03-19",225.179993,230.339996,221.899994,228.429993,3287000,223.797104
"2021-03-22",228.419998,230.080002,225.830002,229.179993,918000,224.531906
"2021-03-23",227.789993,229.160004,220.820007,221.570007,768100,217.076248
"2021-03-24",223.600006,228.380005,222.470001,222.470001,624700,217.958008
"2021-03-25",222.529999,228.399994,219.179993,227.690002,678900,223.072128
"2021-03-26",229.509995,232.660004,226.539993,232.580002,713900,227.862961
"2021-03-29",229.850006,231.679993,226.110001,229.279999,574100,224.629868
"2021-03-30",230.440002,233.860001,230.389999,232.800003,360100,228.078476
"2021-03-31",232.529999,235.160004,231.690002,232.449997,627500,227.73558
"2021-04-01",234.050003,235.550003,232.690002,235.410004,494700,230.635559
"2021-04-05",238.449997,240.520004,235.970001,238.279999,551600,233.447357
"2021-04-06",238.289993,239.649994,235.740005,236.429993,409800,231.634857
"2021-04-07",237.110001,238.910004,235.149994,238.089996,373600,233.261185
"2021-04-08",237.669998,238.199997,234.720001,237.059998,330500,232.25209
"2021-04-09",239.320007,241.179993,237.899994,240.789993,434500,235.906433
"2021-04-12",241.75,246.389999,240.860001,245.669998,578500,240.687469
"2021-04-13",244.440002,245.050003,240.990005,243.289993,626900,238.355743
"2021-04-14",242.919998,248.630005,241.809998,246.929993,624200,241.921921
"2021-04-15",248.039993,249.270004,244.770004,247.520004,560900,242.499954
"2021-04-16",248.979996,249.220001,246.259995,248.770004,547300,243.724609
"2021-04-19",248.699997,249.669998,246.029999,246.710007,422400,241.706375
"2021-04-20",245.020004,245.649994,240.360001,242.380005,654400,237.464188
"2021-04-21",240.949997,247.600006,240.429993,247.330002,441000,242.313812
"2021-04-22",247.539993,247.539993,242.179993,242.899994,479100,237.973648
"2021-04-23",243.850006,250,242.649994,249.139999,503000,244.087082
"2021-04-26",249.630005,251.259995,247.169998,247.5,602600,242.480347
"2021-04-27",250.990005,259.640015,250.990005,256.529999,774000,251.327209
"2021-04-28",256.410004,257.720001,254.759995,256.619995,500500,251.415375
"2021-04-29",260,261.839996,257.529999,260.839996,611100,255.549805
"2021-04-30",259.700012,260.779999,256.269989,258.399994,818000,253.159286
"2021-05-03",261.230011,261.73999,256.929993,257.850006,748100,252.620453
"2021-05-04",256.029999,258.380005,252.080002,257.529999,745000,252.306915
"2021-05-05",259.959991,262.899994,257.190002,261.25,471800,255.951523
"2021-05-06",261.299988,263.73999,258.480011,263.600006,492500,258.253815
"2021-05-07",259.730011,266.410004,258.859985,265.649994,495900,261.382751
"2021-05-10",266.480011,269.290009,264.059998,264.100006,410500,259.857635
"2021-05-11",260.089996,261.700012,255.020004,258.149994,639900,254.00322
"2021-05-12",258.98999,261.450012,249.610001,250.839996,779500,246.810638
"2021-05-13",249.600006,256.059998,249.600006,253.919998,664400,249.841171
"2021-05-14",254.960007,260.220001,252.990005,258.339996,509600,254.190155
"2021-05-17",256.76001,258.630005,254.070007,257.149994,512500,253.019287
"2021-05-18",257.420013,259.049988,252.5,252.779999,746800,248.719467
"2021-05-19",248.240005,252.410004,247.309998,252.259995,609000,248.20784
"2021-05-20",252.630005,255.240005,250.720001,252.740005,477700,248.680145
"2021-05-21",253.380005,256.890015,253.380005,254.270004,715400,250.185547
"2021-05-24",255.809998,256.480011,253.509995,254.710007,441800,250.6185
"2021-05-25",256.190002,258.980011,253.490005,253.5,844500,249.427917
"2021-05-26",254.979996,257.390015,252.289993,255.729996,655100,251.622101
"2021-05-27",258.640015,260.959991,256.839996,260.299988,1849900,256.118683
"2021-05-28",261.309998,261.5,256.899994,259.839996,625300,255.666061
"2021-06-01",263.160004,263.790009,260.410004,262.279999,599200,258.066895
"2021-06-02",262.279999,263.059998,259.130005,262.690002,463600,258.470276
"2021-06-03",261.829987,266.450012,260.970001,263.820007,514300,259.582153
"2021-06-04",263.649994,265.570007,261.369995,265.410004,377700,261.146576
"2021-06-07",266.820007,266.820007,264.359985,264.859985,414900,260.605438
"2021-06-08",263.529999,265.079987,260.309998,263.910004,462400,259.670715
"2021-06-09",262.26001,263.190002,260.309998,260.720001,649600,256.531952
"2021-06-10",263.309998,264.390015,256.850006,257.320007,496900,253.186584
"2021-06-11",258.119995,259.070007,257.269989,258.559998,560100,254.406647
"2021-06-14",258.26001,258.5,253.270004,254.619995,903100,250.529922
"2021-06-15",254.009995,256.890015,252.139999,254.919998,711500,250.825119
"2021-06-16",254.149994,255.229996,249.25,253.610001,958100,249.536148
"2021-06-17",254.649994,254.649994,243.460007,244.960007,839300,241.025101
"2021-06-18",240.279999,240.710007,236.350006,236.660004,1336300,232.858429
"2021-06-21",239.270004,242.279999,238.729996,241.350006,632400,237.473099
"2021-06-22",241.429993,244.740005,239.130005,242.970001,906800,239.067078
"2021-06-23",242.990005,244.490005,241.330002,243.070007,629200,239.165482
"2021-06-24",245.360001,246,242.410004,245.440002,572100,241.497391
"2021-06-25",246.759995,249.889999,246.080002,248.639999,2011000,244.645996
"2021-06-28",247.779999,248.330002,245.440002,246.570007,613000,242.609253
"2021-06-29",248.75,250.289993,247.309998,248.190002,584900,244.203217
"2021-06-30",247.259995,249.779999,247.059998,248.880005,590300,244.882141
"2021-07-01",250.369995,252.199997,249.050003,250.990005,537200,246.958252
"2021-07-02",250.539993,251.649994,250.070007,250.919998,372200,246.889359
"2021-07-06",250.020004,250.660004,246,247.190002,457600,243.219269
"2021-07-07",245.050003,249.130005,245.050003,248.929993,517500,244.931335
"2021-07-08",245.070007,246.820007,240.419998,241.330002,672700,237.4534
"2021-07-09",245.529999,249.059998,244.210007,248.949997,564500,244.951004
"2021-07-12",246.729996,252.169998,246.639999,251.649994,443200,247.60762
"2021-07-13",251.570007,251.979996,248.639999,249.600006,395300,245.590561
"2021-07-14",249.259995,251.320007,245.039993,246.850006,422800,242.884735
"2021-07-15",244.830002,250.830002,244.679993,248.860001,452100,244.862457
"2021-07-16",249.630005,250.119995,246.660004,246.779999,486300,242.815872
"2021-07-19",241.949997,242.229996,236.550003,238.110001,478000,234.285141
"2021-07-20",237.889999,247.369995,237.889999,245.820007,486700,241.871292
"2021-07-21",248.460007,252.779999,247.710007,251.119995,475300,247.086151
"2021-07-22",250.139999,250.520004,246.699997,246.880005,457700,242.914261
"2021-07-23",248.199997,250.690002,247.839996,248.889999,445000,244.891968
"2021-07-26",249.490005,252.440002,248.529999,251.149994,368700,247.115662
"2021-07-27",241.740005,252.309998,241.740005,249.550003,714200,245.541367
"2021-07-28",251.550003,254.270004,248.889999,252.059998,532300,248.011047
"2021-07-29",254.820007,260.049988,253.289993,259.209991,556700,255.046173
"2021-07-30",258.51001,261.920013,257.350006,257.559998,457100,253.422699
"2021-08-02",259.619995,263.149994,257.880005,258.420013,444100,254.268906
"2021-08-03",259.049988,260.540009,254.610001,259.869995,380700,255.695587
"2021-08-04",257.329987,260.029999,255.289993,255.559998,339700,251.454819
"2021-08-05",257.670013,261.700012,256.519989,261.690002,370700,257.486359
"2021-08-06",263.380005,266.429993,262.450012,265.589996,379800,262.457001
"2021-08-09",264.929993,267.040009,262.529999,265.609985,289700,262.476746
"2021-08-10",266.119995,270.390015,264.429993,268.429993,354100,265.263519
"2021-08-11",268.450012,272.940002,267.730011,271.320007,546400,268.119415
"2021-08-12",269.799988,273.179993,269.609985,272.799988,345800,269.58194
"2021-08-13",272.809998,273.589996,270.450012,272.170013,300400,268.959412
"2021-08-16",270.839996,272.410004,268.450012,271.26001,321700,268.060181
"2021-08-17",268.970001,270.859985,265.690002,268.730011,397600,265.559998
"2021-08-18",267.440002,269.25,263.660004,264.019989,413000,260.905548
"2021-08-19",260.070007,264.420013,258.670013,260.359985,467000,257.288696
"2021-08-20",260.609985,263.670013,259.720001,261.600006,511400,258.514099
"2021-08-23",263.079987,266.329987,262,265.019989,471500,261.893738
"2021-08-24",265.570007,268.720001,265.299988,268.140015,282500,264.976959
"2021-08-25",269.220001,274.220001,268.480011,272.679993,309500,269.463379
"2021-08-26",273.339996,273.339996,269.98999,270.019989,355800,266.834747
"2021-08-27",270.869995,276.589996,270.540009,276.420013,578500,273.159271
"2021-08-30",277.630005,277.950012,272.709991,272.779999,286600,269.562195
"2021-08-31",272.970001,274.5,271.429993,272.910004,609600,269.690674
"2021-09-01",272.450012,273.170013,268.579987,272.279999,439900,269.068085
"2021-09-02",273.589996,274.640015,272.290009,273.940002,345900,270.708527
"2021-09-03",272.980011,275,271.440002,272.350006,388200,269.137268
"2021-09-07",271.970001,274.109985,269.809998,269.839996,374900,266.65686
"2021-09-08",269.649994,271,267.329987,269.100006,334400,265.925598
"2021-09-09",269.01001,273.230011,268.5,269.549988,351400,266.37027
"2021-09-10",272.220001,272.220001,266.649994,266.730011,370900,263.583588
"2021-09-13",270.01001,270.519989,266.970001,269.589996,372600,266.40979
"2021-09-14",269.940002,271.329987,265.839996,266.579987,432900,263.435364
"2021-09-15",267.040009,273.070007,266,271.269989,540200,268.069977
"2021-09-16",272.279999,273.649994,268.720001,271.25,390300,268.050262
"2021-09-17",270.480011,273.709991,267.700012,269.549988,1194200,266.37027
"2021-09-20",262.529999,262.529999,251.490005,256.309998,810000,253.286484
"2021-09-21",258.690002,258.73999,252.199997,253.5,519200,250.509628
"2021-09-22",257.200012,260.75,255.869995,259.130005,442900,256.073242
"2021-09-23",261.950012,270.230011,261.910004,267.75,425500,264.591553
"2021-09-24",267.299988,272.179993,267.25,271.399994,385400,268.198456
"2021-09-27",272.179993,278.459991,272.179993,277.600006,493900,274.325348
"2021-09-28",276.940002,279,270.790009,271.149994,509000,267.951416
"2021-09-29",272.140015,273.170013,269.559998,270.709991,331400,267.516602
"2021-09-30",272.540009,273.26001,263.980011,264.119995,581300,261.004364
"2021-10-01",265.519989,270.429993,262.890015,268.529999,484200,265.362335
"2021-10-04",266.820007,271.799988,263.450012,264.890015,444600,261.765289
"2021-10-05",266.869995,274.019989,266.040009,272.929993,494800,269.710449
"2021-10-06",268.869995,273.839996,267.029999,273.190002,477000,269.967377
"2021-10-07",275.730011,280.890015,275.730011,276.350006,512100,273.090088
"2021-10-08",276.600006,281.670013,275.549988,279.100006,380900,275.807648
"2021-10-11",278.829987,284.089996,277.179993,277.230011,400300,273.959717
"2021-10-12",277.980011,280.790009,274.579987,279.48999,397700,276.193024
"2021-10-13",279.350006,279.73999,272.980011,278.350006,356400,275.066498
"2021-10-14",282.149994,285.940002,280.149994,285.829987,456400,282.458252
"2021-10-15",289.429993,292.299988,287.480011,289.869995,466000,286.450623
"2021-10-18",289.23999,290.600006,286.899994,289.01001,343200,285.600739
"2021-10-19",290.850006,293.75,289.5,293.179993,304300,289.721558
"2021-10-20",292.109985,297.380005,291.410004,296.730011,322500,293.229675
"2021-10-21",296.200012,298,294.769989,296.109985,346200,292.617004
"2021-10-22",296.619995,298.940002,295.320007,298.200012,607000,294.682343
"2021-10-25",299.299988,300.579987,297.109985,298,451100,294.484711
"2021-10-26",299.76001,301,297.309998,297.309998,480300,293.802826
"2021-10-27",305,307.549988,295.5,296.320007,595900,292.824524
"2021-10-28",297.880005,303.609985,297.880005,303.529999,559500,299.949463
"2021-10-29",302.640015,306.26001,300.660004,302.130005,533300,298.565979
"2021-11-01",303.480011,305.970001,301.589996,305.769989,381700,302.163025
"2021-11-02",306,309.98999,305.76001,307.869995,572000,304.238251
"2021-11-03",305.839996,311.179993,305.839996,310.23999,386800,306.580292
"2021-11-04",309.700012,309.980011,303.709991,306.690002,439600,303.072174
"2021-11-05",308.299988,310.26001,304.880005,305.23999,402800,302.754761
"2021-11-08",307.149994,309.100006,305.730011,306.929993,395200,304.43103
"2021-11-09",305.119995,306.890015,302.549988,305.200012,496700,302.715149
"2021-11-10",303.48999,308.25,302.200012,304.829987,395700,302.348114
"2021-11-11",304.350006,308.119995,303.540009,306.109985,346000,303.617676
"2021-11-12",305.980011,309.059998,304.200012,308.529999,328100,306.018005
"2021-11-15",308.850006,310.549988,306.829987,307.679993,376900,305.174927
"2021-11-16",308.079987,312.149994,305.600006,308.679993,456500,306.166779
"2021-11-17",308,308.549988,301.579987,302.410004,565300,299.947845
"2021-11-18",304.100006,305.459991,300.230011,303.170013,414800,300.701691
"2021-11-19",300.049988,301.929993,295.089996,299.549988,781000,297.111115
"2021-11-22",303.220001,306.410004,299.070007,301.309998,580000,298.856781
"2021-11-23",301.350006,304.630005,299.720001,303.970001,513600,301.495148
"2021-11-24",301.529999,303.769989,299.179993,302.459991,435100,299.997437
"2021-11-26",291.75,294.970001,285.51001,291.73999,499200,289.364716
"2021-11-29",297.649994,297.649994,288.410004,293.709991,574000,291.318665
"2021-11-30",289.019989,291.649994,285.299988,289.600006,2654100,287.242157
"2021-12-01",296.450012,299.359985,284.720001,284.940002,827100,282.620087
"2021-12-02",287.700012,297.279999,286.200012,295.779999,549000,293.371826
"2021-12-03",297.200012,297.570007,286.390015,290.200012,656000,287.83725
"2021-12-06",293.839996,296.299988,290.920013,293.640015,591900,291.249237
"2021-12-07",298.559998,303.170013,297.940002,301.579987,468200,299.124573
"2021-12-08",301.049988,304.380005,298.76001,300.579987,548300,298.132721
"2021-12-09",298.820007,300.230011,296.48999,297.350006,445600,294.929047
"2021-12-10",299.48999,299.940002,293.369995,297.809998,637400,295.385284
"2021-12-13",297.369995,297.369995,291.290009,292.839996,589700,290.45575
"2021-12-14",292.01001,296.130005,291.200012,292.23999,840400,289.860657
"2021-12-15",293.480011,298.299988,290.140015,298.23999,545600,295.811798
"2021-12-16",302.320007,305.5,298.73999,300.230011,609500,297.785614
"2021-12-17",298.869995,299.709991,292.200012,294.630005,1524500,292.231171
"2021-12-20",290.450012,290.450012,278.690002,283.820007,613700,281.509186
"2021-12-21",287.809998,295.630005,287.709991,294.5,541800,292.102234
"2021-12-22",294.799988,299.660004,293.98999,298.690002,371900,296.258118
"2021-12-23",299.839996,304.130005,299.839996,302.279999,345900,299.818909
"2021-12-27",304.450012,307.73999,302.73999,307.390015,332500,304.887299
"2021-12-28",305.390015,310,305.380005,305.670013,547400,303.181335
"2021-12-29",305.690002,308.540009,304.329987,305.410004,333800,302.923431
"2021-12-30",306.299988,307.609985,301.619995,301.970001,251400,299.511444
"2021-12-31",301.079987,303.809998,301.079987,301.660004,282600,299.203949
"2022-01-03",303.679993,306.339996,302.420013,304.26001,390500,301.782776
"2022-01-04",308.540009,319.470001,306.230011,318.079987,819500,315.490265
"2022-01-05",323.200012,323.350006,314.51001,314.940002,736100,312.375824
"2022-01-06",317.700012,320.079987,314.059998,319.200012,512800,316.601166
"2022-01-07",319.470001,320.200012,316.269989,319.329987,587300,316.730072
"2022-01-10",321,321,312.130005,318.649994,651100,316.055634
"2022-01-11",319.890015,326.459991,316.690002,326.029999,488200,323.375519
"2022-01-12",326.850006,330.420013,324.720001,328.200012,453300,325.527893
"2022-01-13",328.890015,332.369995,326.279999,327.320007,500300,324.655029
"2022-01-14",320.570007,328.720001,319.940002,328.579987,589100,325.904755
