"","AMP.Open","AMP.High","AMP.Low","AMP.Close","AMP.Volume","AMP.Adjusted"
"2020-07-01",150.440002,151.720001,145.580002,145.830002,797400,140.38208
"2020-07-02",150.089996,151.110001,145.160004,145.449997,679900,140.016281
"2020-07-06",150.179993,151.979996,149.199997,150.199997,701700,144.588821
"2020-07-07",148.639999,149.179993,145.880005,146.130005,848600,140.670883
"2020-07-08",145.669998,148.990005,145.669998,148.410004,796900,142.865692
"2020-07-09",148.389999,148.649994,142.369995,143.289993,627900,137.936966
"2020-07-10",143.699997,148.910004,143.559998,148.580002,762100,143.029373
"2020-07-13",150.220001,151.589996,147.759995,147.990005,748100,142.461395
"2020-07-14",147.539993,150.210007,146.380005,149.800003,552000,144.203766
"2020-07-15",153.649994,154.610001,150.529999,154.100006,638600,148.343124
"2020-07-16",152.630005,155.110001,151.229996,152.889999,531700,147.178329
"2020-07-17",153.800003,154.100006,152,153.369995,636000,147.640396
"2020-07-20",152.039993,154.759995,151.119995,154.380005,735200,148.612686
"2020-07-21",154.850006,158.710007,154.830002,157.330002,670700,151.452469
"2020-07-22",156.589996,160.139999,156.589996,157.960007,749000,152.058914
"2020-07-23",157.229996,159.649994,156.440002,156.809998,617100,150.951874
"2020-07-24",156,157.710007,155.110001,155.259995,624200,149.459778
"2020-07-27",154.559998,156.869995,152.199997,156.339996,565900,150.499451
"2020-07-28",154.699997,156.240005,154.029999,154.050003,692500,148.294998
"2020-07-29",153.699997,157.050003,152.029999,156.910004,866600,151.048126
"2020-07-30",153.320007,153.320007,148.789993,152.039993,955500,146.360077
"2020-07-31",152.419998,154.419998,151.070007,153.630005,692900,147.890701
"2020-08-03",154.419998,156.440002,152.529999,155.690002,583800,149.873718
"2020-08-04",154.050003,154.850006,151.669998,153.419998,765500,147.688507
"2020-08-05",155.339996,157.240005,155.190002,156.169998,634700,150.3358
"2020-08-06",155.059998,156.789993,154.309998,155.850006,508400,150.02774
"2020-08-07",153.889999,159.929993,153.669998,159.839996,620400,154.902344
"2020-08-10",160,162.199997,160,160.830002,497400,155.861801
"2020-08-11",164,165.729996,162.320007,162.550003,744900,157.528656
"2020-08-12",165.380005,165.470001,159.179993,161.080002,474700,156.104065
"2020-08-13",159.669998,161.25,158.779999,159,536100,154.088318
"2020-08-14",158.380005,160.979996,157.820007,159.660004,474900,154.727936
"2020-08-17",159.690002,159.820007,157.759995,157.830002,437600,152.954468
"2020-08-18",158.050003,158.350006,156.339996,156.5,600100,151.665558
"2020-08-19",156.649994,160.059998,156.570007,156.850006,588900,152.004745
"2020-08-20",155.240005,157.389999,154.270004,155.139999,516100,150.347549
"2020-08-21",155.240005,156.789993,153.919998,154.509995,654900,149.737015
"2020-08-24",155.380005,157.75,155.330002,157.720001,914800,152.84787
"2020-08-25",159.479996,159.880005,156.860001,156.990005,537200,152.140411
"2020-08-26",156.770004,156.919998,155.029999,155.740005,528100,150.929016
"2020-08-27",155.779999,160.490005,155.5,159.100006,567300,154.185257
"2020-08-28",160.020004,160.020004,156.960007,158.889999,498900,153.98172
"2020-08-31",158.889999,158.889999,156.789993,156.800003,750500,151.956299
"2020-09-01",155.589996,157.429993,154.100006,157.160004,688900,152.305161
"2020-09-02",157.029999,160.690002,156.369995,159.729996,589100,154.795776
"2020-09-03",160.639999,163.509995,154.960007,156.339996,630800,151.510498
"2020-09-04",159.440002,160.279999,153.5,156.539993,614500,151.704315
"2020-09-08",154.360001,154.5,148.880005,149.509995,780500,144.891479
"2020-09-09",150.970001,151.539993,148.389999,150.100006,675500,145.463257
"2020-09-10",150.449997,152.350006,149.389999,150.070007,810800,145.434174
"2020-09-11",150.679993,153.149994,149.910004,152.100006,667700,147.401474
"2020-09-14",153.5,156.880005,153.419998,156.029999,725600,151.210052
"2020-09-15",156.050003,156.139999,153.380005,153.850006,774200,149.097412
"2020-09-16",154.279999,159.75,153.860001,157.429993,651500,152.566803
"2020-09-17",154.899994,157.5,153.210007,157,683900,152.150116
"2020-09-18",156.699997,159.580002,155.610001,157.710007,1436300,152.838181
"2020-09-21",153.619995,155.139999,147.679993,150.389999,913000,145.744293
"2020-09-22",150.110001,152.369995,147.160004,148.690002,630400,144.096802
"2020-09-23",149.339996,151.240005,145.190002,145.350006,459700,140.860001
"2020-09-24",145.460007,147.059998,141.820007,144.610001,519700,140.142838
"2020-09-25",142.770004,148.059998,142.639999,146.740005,502300,142.207047
"2020-09-28",149.720001,152.800003,147.899994,151.479996,710500,146.800613
"2020-09-29",150.25,151.539993,147,150.380005,521900,145.734619
"2020-09-30",151.630005,156.380005,150.839996,154.110001,954700,149.34938
"2020-10-01",155.190002,156.910004,153.169998,155.309998,596400,150.512314
"2020-10-02",152.149994,160.690002,152.020004,158.850006,576600,153.942963
"2020-10-05",161.039993,163.419998,160.869995,162.660004,668000,157.635284
"2020-10-06",164.520004,165.559998,159.440002,159.800003,656400,154.863602
"2020-10-07",162.619995,165.669998,161.809998,164.889999,692400,159.796371
"2020-10-08",166.580002,169.5,165.399994,169.309998,464000,164.079819
"2020-10-09",170,171.669998,169.130005,170.339996,532200,165.078018
"2020-10-12",169.75,172.929993,169.75,172.039993,563500,166.72551
"2020-10-13",170.75,171.949997,165.960007,166.729996,748700,161.579514
"2020-10-14",167.559998,169.149994,166.619995,167.070007,481000,161.909027
"2020-10-15",164.550003,171.679993,164.110001,170.979996,479600,165.698242
"2020-10-16",171.479996,171.779999,168.570007,169.949997,648300,164.700058
"2020-10-19",171.399994,173.110001,168.660004,169.039993,557300,163.818192
"2020-10-20",169.289993,171.100006,167.529999,167.990005,710300,162.800613
