"","RHI.Open","RHI.High","RHI.Low","RHI.Close","RHI.Volume","RHI.Adjusted"
"2020-07-01",53.220001,53.220001,51.349998,51.490002,1281900,49.676228
"2020-07-02",52.220001,53.189999,51.639999,51.720001,815000,49.898129
"2020-07-06",52.5,53.110001,51.869999,52.41,678700,50.56382
"2020-07-07",51.959999,51.959999,50.549999,50.59,795100,48.80793
"2020-07-08",50.68,50.93,49.889999,50.529999,774800,48.75005
"2020-07-09",50.330002,50.439999,49.040001,49.27,624100,47.534428
"2020-07-10",49.759998,50.740002,49.240002,50.68,1476700,48.894764
"2020-07-13",50.93,52.5,50.639999,51.549999,1102600,49.734112
"2020-07-14",51.360001,52.040001,50.639999,51.990002,776400,50.158611
"2020-07-15",53,54.450001,52.75,54.099998,1070400,52.194286
"2020-07-16",54.310001,55.32,53.98,54.669998,722400,52.744205
"2020-07-17",54.77,54.77,53.919998,54.16,628400,52.252174
"2020-07-20",53.830002,54.209999,52.830002,53.080002,865400,51.210217
"2020-07-21",53.27,54.049999,53.18,53.599998,775400,51.711903
"2020-07-22",53.52,53.970001,53.09,53.549999,596700,51.663658
"2020-07-23",53.130001,54.59,53.130001,53.849998,1015500,51.953098
"2020-07-24",54.029999,55.599998,52.509998,52.73,1278800,50.872551
"2020-07-27",52.66,52.82,51.970001,52.32,1045800,50.47699
"2020-07-28",52,52.52,51.07,51.139999,1202300,49.338554
"2020-07-29",51.330002,52.200001,50.93,51.950001,922400,50.120022
"2020-07-30",51.439999,51.630001,50.419998,50.93,1084900,49.135956
"2020-07-31",50.709999,50.950001,49.720001,50.869999,1166900,49.078068
"2020-08-03",51.02,51.84,50.419998,51,805800,49.203491
"2020-08-04",50.98,51.990002,50.889999,51.810001,1119800,49.984955
"2020-08-05",52.23,53.450001,52.130001,53.209999,953800,51.335636
"2020-08-06",53.02,53.68,52.740002,52.799999,913700,50.940079
"2020-08-07",52.66,53.709999,52.27,53.580002,841100,51.692612
"2020-08-10",53.610001,55.119999,53.599998,55.099998,577000,53.159058
