"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2020-11-09",146.410004,149.339996,139.919998,141.869995,1783800,138.6866
"2020-11-10",142.110001,143.970001,140.899994,142.820007,1141500,139.615295
"2020-11-11",143.770004,143.770004,141.289993,142.649994,1105300,139.449097
"2020-11-12",141.75,142.229996,138.410004,139.869995,768200,136.731461
"2020-11-13",141.229996,143.229996,140.699997,142.820007,748900,139.615295
"2020-11-16",145,145.669998,142.899994,144.270004,1043800,141.032761
"2020-11-17",143.050003,143.729996,140.550003,143.270004,917100,140.055176
"2020-11-18",144.080002,144.869995,142.690002,142.800003,873800,139.595734
"2020-11-19",142.029999,143.779999,140.660004,143.220001,745300,140.006317
"2020-11-20",142.960007,143.899994,141.330002,143.039993,915500,139.830338
"2020-11-23",144.190002,145.690002,143.550003,144.779999,822600,141.531311
"2020-11-24",146.399994,148.089996,145.889999,147.929993,1480700,144.610611
"2020-11-25",147.5,147.830002,145.830002,146.690002,779200,143.398438
"2020-11-27",146.990005,147.899994,146.419998,147.779999,321900,144.463989
"2020-11-30",147.300003,147.350006,144.350006,146.770004,1414900,143.476654
"2020-12-01",149.160004,149.880005,147.839996,149.110001,1253900,145.764145
"2020-12-02",148.630005,149.300003,146.860001,147.110001,801300,143.809036
"2020-12-03",147.160004,148.029999,145.160004,145.429993,992800,142.166718
"2020-12-04",146.279999,147.740005,146.029999,146.929993,1112500,143.633072
"2020-12-07",146.5,146.899994,144.720001,144.899994,917100,141.64859
"2020-12-08",144.179993,145.830002,143.970001,144.880005,1024200,141.629044
"2020-12-09",145.199997,145.809998,143.520004,145.389999,959100,142.127625
"2020-12-10",144.460007,145.440002,142.610001,143.330002,1115200,140.113815
"2020-12-11",142.339996,143.460007,141.419998,142.929993,1223800,139.722824
"2020-12-14",143.800003,144.009995,141.369995,141.759995,995700,138.579071
"2020-12-15",143.190002,144.690002,142.429993,144.119995,1210000,140.886078
"2020-12-16",144.860001,145.339996,142.179993,142.889999,1166100,139.683716
"2020-12-17",144.050003,144.600006,142.580002,144.289993,850700,141.052292
"2020-12-18",144.259995,145.910004,142.369995,145.429993,2417500,142.166718
"2020-12-21",143.669998,146.809998,142.330002,146.100006,900200,142.821686
"2020-12-22",146.509995,146.520004,143.889999,144.699997,1079700,141.453094
"2020-12-23",144.710007,146.110001,143.869995,143.869995,948400,140.641724
"2020-12-24",143.800003,145.309998,143.149994,145,300800,141.746368
"2020-12-28",145.639999,146.949997,143.169998,143.169998,1154500,139.957443
"2020-12-29",143.809998,144.039993,141.320007,142.899994,884600,139.693481
"2020-12-30",143.210007,144.320007,142.850006,143.220001,987800,140.006317
"2020-12-31",143.039993,144.440002,141.929993,144.220001,930000,140.983871
"2021-01-04",144.660004,145,140.830002,141.309998,1223300,138.13916
"2021-01-05",141.610001,144.759995,141.570007,144.339996,1316400,141.101166
"2021-01-06",145.490005,149.809998,145.490005,148.929993,1871600,145.588165
"2021-01-07",149.729996,151.320007,149.440002,150.830002,1537100,147.445557
"2021-01-08",150.610001,150.949997,147.429993,148.300003,1141400,144.972305
"2021-01-11",146.919998,149.960007,146.350006,149.449997,1116000,146.096512
"2021-01-12",149.190002,152.300003,148.449997,151.279999,1071300,147.885452
"2021-01-13",150.880005,153.059998,149.910004,152.009995,1361300,148.599075
"2021-01-14",153.5,153.809998,151.220001,151.75,1635700,148.34491
"2021-01-15",150.360001,150.899994,146.429993,148.039993,2938500,144.718155
"2021-01-19",148.440002,149.389999,144.960007,145.039993,1904200,141.785461
"2021-01-20",146,146.410004,142.770004,144.550003,1265200,141.306458
"2021-01-21",145.119995,145.279999,142.610001,143.529999,1737400,140.309357
"2021-01-22",138.75,142.179993,137.559998,137.820007,2543000,134.727478
"2021-01-25",137.559998,141.220001,135.169998,140.600006,1940900,137.445114
"2021-01-26",142.720001,143.25,140.649994,141.009995,1447300,137.845871
"2021-01-27",138.419998,140.429993,136.440002,139.949997,2282000,136.809677
"2021-01-28",141.520004,143.149994,139.070007,139.139999,1800900,136.017853
"2021-01-29",137.949997,138.220001,133.779999,134.710007,1949100,131.687271
"2021-02-01",135.860001,138.940002,134.919998,138.580002,1963000,135.470428
"2021-02-02",139.990005,142.399994,138.289993,140.529999,2201300,137.376648
"2021-02-03",139.929993,141.440002,139.320007,139.910004,1426800,136.770569
"2021-02-04",140.050003,140.880005,139.130005,139.259995,1681300,136.135147
"2021-02-05",140.630005,140.979996,138.169998,140.110001,1921800,136.96611
"2021-02-08",141.399994,141.699997,139.610001,140.220001,1116800,137.073608
"2021-02-09",140.369995,140.630005,137.100006,137.289993,1526600,134.209366
"2021-02-10",138.350006,138.889999,136.960007,137.960007,1314100,134.864349
"2021-02-11",138.449997,139.289993,137.029999,138.059998,818700,134.962082
"2021-02-12",137.089996,138.869995,136.779999,138.550003,927400,135.441116
"2021-02-16",139.5,139.5,136.399994,137.350006,804500,134.268021
"2021-02-17",136.190002,137.649994,134.75,136.600006,917200,133.534882
"2021-02-18",135.509995,136.740005,134.669998,136.289993,939500,133.760574
"2021-02-19",136.710007,137.809998,135.910004,136.669998,1331600,134.133545
"2021-02-22",135.5,136.559998,134.179993,134.449997,1828500,131.954727
"2021-02-23",134.770004,135.809998,132.100006,134.970001,1405000,132.465073
"2021-02-24",135.479996,137.940002,135.389999,136.889999,904200,134.349442
"2021-02-25",136.5,137.110001,133.960007,134.970001,1033000,132.465073
"2021-02-26",135.369995,136,133.679993,134.820007,1521200,132.317871
"2021-03-01",136.029999,138.869995,136.029999,137.850006,959400,135.291626
"2021-03-02",137.960007,142.389999,137.960007,140.770004,2242000,138.157455
"2021-03-03",140.759995,141.399994,139.570007,139.619995,1473500,137.028778
"2021-03-04",139.589996,140.300003,135.080002,137.830002,1738700,135.272003
"2021-03-05",138.660004,142.809998,138.100006,142.610001,1348700,139.963287
"2021-03-08",142.710007,148.440002,142.410004,146.100006,1693600,143.388535
"2021-03-09",146.970001,148.070007,145.740005,146.070007,1733100,143.3591
"2021-03-10",146.570007,149.990005,146.360001,148.479996,1099000,145.724335
"2021-03-11",148.630005,149.149994,145.820007,146.070007,1263500,143.3591
"2021-03-12",146.649994,147.539993,144.070007,145.300003,1322000,142.603363
"2021-03-15",144.759995,145.509995,142.690002,145.050003,1533800,142.358002
"2021-03-16",145.330002,145.839996,142.570007,144.800003,1196900,142.112656
"2021-03-17",145.169998,146.940002,144.5,146.559998,1003000,143.839996
"2021-03-18",146.899994,150.220001,145.740005,149.800003,1259800,147.019852
"2021-03-19",149.199997,149.25,147.279999,147.419998,1901600,144.684006
"2021-03-22",147.800003,148.289993,146.679993,147.940002,1054900,145.194366
"2021-03-23",147.669998,149.460007,146.789993,147.470001,1364900,144.733093
"2021-03-24",147.490005,150.529999,147.490005,148.160004,1136300,145.410294
"2021-03-25",148.449997,152.509995,147.389999,152.339996,1408600,149.512711
"2021-03-26",153.369995,154.940002,151.929993,154.820007,1405500,151.946686
"2021-03-29",154.979996,156.210007,154.169998,155.520004,1077400,152.633698
"2021-03-30",155.25,156.570007,152.539993,152.789993,1416400,149.954346
"2021-03-31",152.410004,153.119995,149.899994,150.259995,1662600,147.471313
"2021-04-01",150.259995,152.039993,148.960007,151.960007,1670000,149.139755
"2021-04-05",151.5,154.110001,151.449997,153.559998,2452200,150.710068
"2021-04-06",153.369995,154.029999,152.279999,153.570007,1643500,150.719879
"2021-04-07",153.539993,153.929993,146.820007,147.970001,2148700,145.223816
"2021-04-08",148.039993,150.009995,146.729996,148.050003,1641200,145.302322
"2021-04-09",149.119995,150.570007,148.600006,150.470001,1014000,147.677414
"2021-04-12",150.490005,152.220001,150.160004,151.389999,1256600,148.580353
"2021-04-13",150.669998,151.449997,149.240005,151.070007,1092000,148.266281
"2021-04-14",150.740005,152.470001,150.259995,150.869995,1674500,148.069992
"2021-04-15",152.210007,154.009995,151.619995,153.970001,1852800,151.112473
"2021-04-16",169.289993,172.669998,166.910004,167.410004,7097800,164.30304
"2021-04-19",167.539993,169.940002,165.899994,168.779999,2069100,165.647583
"2021-04-20",169.009995,170.839996,168.300003,169,1399900,165.86351
"2021-04-21",169.919998,173.880005,169.229996,173.570007,1575300,170.348709
"2021-04-22",173.070007,174.360001,171,171.559998,1243000,168.376007
"2021-04-23",171.5,175.070007,171.220001,174.649994,1143200,171.408646
"2021-04-26",175.740005,176.630005,172.740005,173.130005,1076800,169.91687
"2021-04-27",172,172.949997,171,172.229996,1598800,169.033569
"2021-04-28",172.690002,173.679993,171.889999,172.550003,1211200,169.347641
"2021-04-29",172.699997,173.410004,171.539993,173.190002,755000,169.975754
"2021-04-30",172.889999,173.880005,170.119995,171.240005,1777000,168.061935
"2021-05-03",172.639999,173.990005,172.110001,173.009995,654200,169.799088
"2021-05-04",171.979996,179.559998,171.979996,178.75,1945900,175.432556
"2021-05-05",177.649994,179.820007,176.389999,179.039993,994100,175.717194
"2021-05-06",179.990005,180.210007,177.910004,180.089996,962600,176.747696
"2021-05-07",179.550003,179.820007,177.880005,179.490005,723800,176.688644
"2021-05-10",180.529999,181.350006,179.220001,179.270004,1171400,176.472061
"2021-05-11",179.460007,179.630005,176.410004,178.990005,953300,176.196426
"2021-05-12",178.169998,178.619995,173.419998,173.850006,1261400,171.136673
"2021-05-13",174.729996,178.449997,173.610001,178.039993,1147800,175.261261
"2021-05-14",178.130005,179.850006,177.210007,179.100006,658500,176.304718
"2021-05-17",178.820007,180.460007,177.529999,179.960007,1046400,177.151291
"2021-05-18",180.259995,180.520004,177.110001,177.160004,1275200,174.394989
"2021-05-19",176.039993,176.619995,173.949997,176.350006,949000,173.597656
"2021-05-20",176.660004,178.869995,176.490005,177.479996,1032900,174.710007
"2021-05-21",178.720001,180.970001,178.389999,178.449997,883100,175.664856
