"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2020-11-25",199,199.350006,195.389999,196.460007,518400,195.889069
"2020-11-27",197.880005,200.949997,196.990005,200,216800,199.418777
"2020-11-30",200,201.610001,197.820007,199.839996,582900,199.259232
"2020-12-01",201.179993,202.779999,199.589996,201.460007,412000,200.874542
"2020-12-02",201.460007,202.649994,198.029999,198.839996,410800,198.262146
"2020-12-03",199.330002,200.440002,195.880005,196.639999,822400,196.068542
"2020-12-04",197,199.259995,195.910004,198.850006,1078800,198.272125
"2020-12-07",197.990005,199.960007,196.059998,197.330002,625800,196.756531
"2020-12-08",196.550003,202.669998,196.550003,202.100006,633500,201.51268
"2020-12-09",201.910004,202.630005,199.690002,202.369995,506100,201.781876
"2020-12-10",202.839996,208.300003,202.330002,207.589996,795500,206.98671
"2020-12-11",206.570007,207.490005,202.669998,204.160004,870100,203.566681
"2020-12-14",205.279999,207.490005,204.110001,204.110001,851100,203.51683
"2020-12-15",205.610001,206.289993,204.190002,205.770004,526900,205.172012
"2020-12-16",207,207.75,201.270004,201.970001,865600,201.383041
"2020-12-17",203.210007,203.419998,201.210007,202.690002,699400,202.100952
"2020-12-18",202.270004,205.350006,201.559998,205.110001,1261500,204.513916
"2020-12-21",202.490005,205.070007,201.100006,204.919998,585600,204.324478
"2020-12-22",204.740005,205.210007,202.449997,203.389999,392000,202.79892
"2020-12-23",203.169998,204.779999,202.550003,204.059998,434000,203.466965
"2020-12-24",205,205,202.740005,203.869995,206000,203.277527
"2020-12-28",205.389999,206.300003,201.470001,202.520004,824900,201.931458
"2020-12-29",202.970001,203.759995,200.820007,202.199997,568900,201.612381
"2020-12-30",202.509995,203.5,200.990005,201.509995,398800,200.924377
"2020-12-31",201.149994,203.729996,200.460007,203.550003,372200,202.95845
"2021-01-04",203.309998,205.429993,200.679993,204.880005,789300,204.284592
"2021-01-05",205.990005,210.119995,205.330002,208.779999,639200,208.173248
"2021-01-06",207.270004,218.460007,207.270004,217.149994,756100,216.518921
"2021-01-07",218.740005,220.350006,216.919998,218.289993,635500,217.655609
"2021-01-08",217.509995,219.149994,210.139999,213.550003,858600,212.929398
"2021-01-11",213.529999,217.199997,212.610001,217,651800,216.36937
"2021-01-12",217,220.5,216.759995,220.199997,676200,219.560059
"2021-01-13",219.820007,222.279999,219.690002,220.059998,656100,219.420471
"2021-01-14",221.110001,222.139999,219.539993,220.199997,553500,219.560059
"2021-01-15",219.880005,223.809998,218.089996,223.710007,628200,223.059875
"2021-01-19",226.350006,227.320007,221.100006,225.740005,925900,225.083969
"2021-01-20",226,230,224.800003,229.910004,811900,229.241852
"2021-01-21",228.610001,230.770004,227.610001,228.449997,635000,227.786087
"2021-01-22",228.850006,229.160004,226.690002,228.899994,612300,228.234772
"2021-01-25",229.830002,229.830002,223.309998,225.440002,711800,224.784836
"2021-01-26",225.320007,226.339996,221.949997,221.970001,505500,221.324921
"2021-01-27",218.779999,219.990005,212.850006,214.809998,872400,214.18573
"2021-01-28",216.100006,221.429993,215.369995,219.789993,764600,219.151245
"2021-01-29",221.839996,234.300003,219.899994,228.910004,931700,228.244751
"2021-02-01",229.679993,237.880005,229.100006,234.410004,914300,233.728775
"2021-02-02",236.529999,237.75,233.380005,233.389999,643700,232.711731
"2021-02-03",233.080002,233.470001,225.339996,227.990005,532100,227.327438
"2021-02-04",227.229996,230.149994,223.389999,223.779999,651500,223.129669
"2021-02-05",225.850006,227.210007,224.199997,226.550003,528100,225.891617
"2021-02-08",228.820007,229.679993,223.509995,225.970001,642300,225.313293
"2021-02-09",225.720001,228.279999,223.360001,226.779999,732200,226.120941
"2021-02-10",228.979996,232.130005,227.800003,229.199997,647600,228.533905
"2021-02-11",235,239.5,228.009995,237.210007,1181100,236.520645
"2021-02-12",238.789993,242.309998,236.809998,238.259995,890100,237.567581
"2021-02-16",237.059998,239.149994,233.179993,236.369995,1073800,235.683075
"2021-02-17",236,252.449997,235.380005,242.949997,1395500,242.243942
"2021-02-18",241.690002,243.380005,238.25,242.820007,590900,242.114334
"2021-02-19",243.759995,247.220001,241.119995,246.380005,1144000,245.663986
"2021-02-22",243.770004,245.800003,240.339996,243.860001,719900,243.151306
"2021-02-23",244.520004,252.270004,237.690002,247.149994,1628800,246.431747
"2021-02-24",239.720001,246.979996,236.490005,244.5,1031200,243.789444
"2021-02-25",242.300003,244.740005,235.029999,236.529999,779300,235.842606
"2021-02-26",237.380005,241.679993,234.259995,239.910004,1121600,239.212784
"2021-03-01",242,247.279999,241.179993,241.5,865000,240.798172
"2021-03-02",244.369995,246.919998,241.789993,243.649994,776100,242.94191
"2021-03-03",243.259995,244.210007,238.75,239.919998,514100,239.222763
"2021-03-04",238.300003,241.050003,232.520004,234.899994,684100,234.217346
"2021-03-05",237.770004,238.820007,230.889999,237.800003,661400,237.108917
"2021-03-08",237.520004,245.740005,236.800003,240.570007,597900,239.87088
"2021-03-09",242.330002,244.990005,238.740005,239.220001,723600,238.524796
"2021-03-10",241.779999,242.360001,231.639999,232.619995,980300,231.94397
"2021-03-11",233.699997,237.910004,233.699997,237.289993,1089900,236.600388
"2021-03-12",236.820007,238.800003,233.919998,238.710007,501600,238.016281
"2021-03-15",238.509995,240.529999,237.059998,239.929993,530700,239.232727
"2021-03-16",239.419998,240.220001,237,238.729996,424600,238.036209
"2021-03-17",238.25,241.300003,237.210007,238.759995,422200,238.066116
"2021-03-18",239.550003,241.809998,238.279999,239.929993,570600,239.232727
"2021-03-19",239.259995,241.919998,238.330002,240.220001,754300,239.521881
"2021-03-22",239.600006,244.100006,238.009995,243.100006,436700,242.393524
"2021-03-23",242.020004,243.119995,238.300003,238.779999,403900,238.086075
"2021-03-24",247.5,254.910004,246.210007,250.419998,1533000,249.692245
"2021-03-25",248.5,249.830002,243.190002,248.479996,1077800,247.757874
"2021-03-26",249.369995,252.940002,248.169998,252.850006,372800,252.115189
"2021-03-29",250.979996,252.720001,248.949997,251.580002,492200,250.848877
"2021-03-30",251.880005,254.179993,250.119995,253.539993,617100,252.803177
"2021-03-31",254.850006,259.290009,253.630005,255.029999,717400,254.288849
"2021-04-01",255.009995,255.009995,250.360001,252.699997,710800,251.965622
"2021-04-05",253.339996,256.040009,251.050003,252.669998,417200,251.935699
"2021-04-06",252.809998,254.330002,251.25,251.869995,401300,251.138031
"2021-04-07",251.179993,252.539993,249.699997,252.300003,423900,251.566788
"2021-04-08",251.660004,255,250.149994,252.020004,434200,251.287598
"2021-04-09",253.949997,255.130005,252.449997,254.75,482500,254.009659
"2021-04-12",256,257.779999,253.919998,255.660004,529100,254.917023
"2021-04-13",255.940002,257.48999,253.990005,254.050003,552500,253.311691
"2021-04-14",254.520004,256.690002,252.600006,253.119995,644700,252.384399
"2021-04-15",254.509995,260.570007,254.460007,259.410004,728300,258.656128
"2021-04-16",260.640015,263.079987,256.75,262.200012,585000,261.438019
"2021-04-19",261.25,263.619995,258.959991,260.51001,560100,259.75293
"2021-04-20",259.75,261.040009,255.850006,260,474700,259.244415
"2021-04-21",260.98999,261.839996,259.200012,261.359985,330900,260.600433
"2021-04-22",261.660004,266.420013,261.660004,264.850006,505300,264.080322
"2021-04-23",264.23999,266.23999,262.459991,263.950012,477400,263.182922
"2021-04-26",264.98999,266.029999,263.700012,264.649994,371300,263.88089
"2021-04-27",263.640015,266.140015,262.910004,264.160004,368400,263.392303
"2021-04-28",262.399994,264.589996,261.829987,262.709991,378400,261.946533
"2021-04-29",268.899994,269.950012,262.75,267,779700,266.22406
"2021-04-30",266.200012,269.429993,263.75,265.869995,673700,265.097351
"2021-05-03",268,269.899994,265.600006,267.329987,616600,266.553101
"2021-05-04",268.670013,274.130005,266.970001,273.579987,844300,272.784912
"2021-05-05",273.679993,277.209991,269.399994,276.209991,697000,275.407288
"2021-05-06",275.579987,278.089996,273.5,278.079987,624600,277.271851
"2021-05-07",278.109985,280.619995,276.940002,278.140015,483900,277.331696
"2021-05-10",279.779999,280.690002,277.019989,277.079987,724700,276.27475
"2021-05-11",275.709991,278.630005,274.829987,276.100006,613600,275.297607
"2021-05-12",277.329987,280.170013,271.200012,271.910004,788200,271.119781
"2021-05-13",272,277.859985,271.579987,276.570007,640900,275.766266
"2021-05-14",277.200012,280.190002,274.119995,274.5,522400,273.702271
"2021-05-17",273.929993,275,266.769989,267.329987,968800,266.553101
"2021-05-18",267.820007,270.809998,265,267.029999,857800,266.253967
"2021-05-19",265.079987,267.309998,262.079987,267.040009,555400,266.263947
"2021-05-20",268.440002,271.640015,267.339996,269.609985,687300,268.826447
"2021-05-21",270.549988,272.630005,267.959991,269.01001,583700,268.228241
"2021-05-24",270.959991,273.410004,270.769989,271.269989,584300,270.481628
"2021-05-25",272.470001,276.540009,272.329987,274.450012,850200,273.652435
"2021-05-26",274.5,277.410004,273.76001,275.149994,759500,274.350372
"2021-05-27",275.100006,276.380005,274,275.420013,1002700,274.619598
"2021-05-28",277,277.5,273.529999,274.480011,487500,273.682343
"2021-06-01",273.149994,274.480011,263,263.73999,1800300,262.973511
"2021-06-02",264.440002,265.98999,260.579987,263.519989,813000,262.75415
"2021-06-03",263.100006,266.480011,263.100006,265.179993,435400,264.409332
"2021-06-04",265.440002,267.470001,265.140015,266.350006,535600,265.575958
"2021-06-07",266.559998,268.040009,261.230011,264.059998,899000,263.292603
"2021-06-08",264.630005,264.950012,257.850006,260.410004,1073600,259.653229
"2021-06-09",261,261.619995,259.019989,259.190002,778600,258.436768
"2021-06-10",259.829987,262.579987,259.609985,261.01001,718600,260.251465
"2021-06-11",261.339996,262.299988,257.26001,258.549988,727600,257.798615
"2021-06-14",257.929993,260.220001,257.23999,259.829987,620500,259.07489
"2021-06-15",260.959991,262.119995,259.220001,260.429993,519800,259.673157
"2021-06-16",260,260.809998,258,259.089996,552100,258.337036
"2021-06-17",259.220001,260.869995,256.809998,260.179993,518100,259.423859
"2021-06-18",259.230011,261.589996,259.059998,260.190002,889500,259.433838
"2021-06-21",260.609985,266.230011,260.380005,265.329987,732700,264.558899
"2021-06-22",266,267.850006,264.76001,267.320007,548300,266.543152
"2021-06-23",267.209991,267.670013,263.640015,263.850006,526200,263.083221
"2021-06-24",264.980011,266.290009,263.019989,264.98999,563300,264.219879
"2021-06-25",266,269.839996,265.410004,267.23999,738200,266.463348
"2021-06-28",268.119995,270.420013,266.399994,270.059998,621900,269.275177
"2021-06-29",271.540009,276.859985,270.730011,276,718000,275.197906
"2021-06-30",275.790009,276.869995,272.130005,275.850006,561800,275.04834
"2021-07-01",276.829987,278.51001,275.869995,277.98999,525100,277.182098
"2021-07-02",278.450012,278.910004,276.559998,277.950012,372100,277.142242
"2021-07-06",277.880005,279.01001,275.179993,278.570007,560400,277.760437
"2021-07-07",278.559998,281.279999,277.600006,281.269989,587000,280.452576
"2021-07-08",279.279999,280.23999,275.76001,277.130005,437200,276.324615
"2021-07-09",278.570007,281.25,277.480011,281.029999,400500,280.213287
"2021-07-12",281.529999,284.170013,280.600006,281.470001,644300,280.652008
"2021-07-13",280.799988,281.929993,278.98999,279.709991,396100,278.897125
"2021-07-14",280.019989,281.179993,274.709991,277.23999,597700,276.434296
"2021-07-15",276.529999,277.76001,274.76001,276.950012,622200,276.145142
"2021-07-16",277.369995,278.820007,275.029999,276.450012,1493800,275.646606
"2021-07-19",274.609985,277.390015,271.459991,274.820007,795200,274.021332
"2021-07-20",275,279.779999,274.480011,276.779999,610100,275.975647
"2021-07-21",277.130005,277.75,273.829987,277.48999,499400,276.683563
"2021-07-22",278.109985,281.269989,275.25,281.100006,501800,280.283081
"2021-07-23",281.980011,285.820007,281.980011,283.769989,627800,282.945313
"2021-07-26",282.839996,285.589996,280.589996,281.100006,428200,280.283081
"2021-07-27",280.48999,283.350006,279.640015,283.130005,419400,282.30719
"2021-07-28",283.160004,284.279999,279.869995,283.190002,540100,282.367004
"2021-07-29",285.619995,296.100006,284.269989,294.660004,1181200,293.80368
"2021-07-30",296.179993,298.890015,295.049988,296.149994,645800,295.289337
"2021-08-02",296.829987,299.670013,294.660004,297.609985,1063400,296.745087
"2021-08-03",299.070007,300.190002,294.890015,300.079987,1580900,299.207916
"2021-08-04",299.890015,304.73999,299.220001,300.079987,1785800,299.207916
"2021-08-05",301.220001,303.480011,295,298.910004,1011500,298.041321
"2021-08-06",298.970001,300.670013,295.399994,298.25,684800,297.38324
"2021-08-09",298.799988,301.559998,297.75,301.149994,672400,300.274811
"2021-08-10",301.279999,304.040009,299.829987,301.649994,480900,300.773346
"2021-08-11",302.600006,302.600006,299.76001,299.98999,357700,299.118164
"2021-08-12",300.049988,301.309998,298.119995,300.519989,719400,299.646637
"2021-08-13",301.429993,303.040009,298.670013,302.040009,604800,301.162231
"2021-08-16",302.549988,307.529999,302.059998,306.320007,686100,305.42981
"2021-08-17",306,307.25,304.279999,305.459991,309000,304.572266
"2021-08-18",305.679993,307.23999,300.26001,300.440002,358200,299.566895
"2021-08-19",299,303.559998,297.399994,302.769989,402700,301.890106
"2021-08-20",303.359985,307.290009,303.359985,306.26001,599700,305.369965
"2021-08-23",306.839996,306.839996,303.589996,303.709991,396500,302.827362
"2021-08-24",303.299988,303.51001,298.48999,302.109985,477200,301.232025
"2021-08-25",302.350006,304.529999,300.609985,304.26001,254200,303.375793
"2021-08-26",304.26001,304.480011,300.970001,301.630005,324200,300.753418
"2021-08-27",302.149994,302.790009,299.940002,300.519989,347300,299.646637
"2021-08-30",300.660004,304.100006,299.589996,303.179993,305700,302.29892
"2021-08-31",303.730011,307.25,302.609985,303.380005,669600,302.498352
"2021-09-01",303,305.190002,299.160004,304.970001,382300,304.08371
"2021-09-02",306.119995,309.279999,305.589996,308.339996,564400,307.443909
"2021-09-03",307.670013,307.679993,303.109985,306.649994,605200,305.75882
"2021-09-07",305.200012,305.200012,297.839996,303.459991,754400,302.578094
"2021-09-08",303.790009,307.399994,301.73999,307.070007,693800,306.177612
"2021-09-09",307.459991,309.600006,302.619995,303.160004,537400,302.278992
"2021-09-10",304.649994,305,300.630005,300.950012,548100,300.075409
"2021-09-13",301.170013,301.769989,295.720001,297.459991,470100,296.59552
"2021-09-14",298.649994,300.459991,296.420013,296.799988,528800,295.937439
"2021-09-15",296.779999,300.730011,295.98999,299.700012,803800,298.829041
"2021-09-16",300.040009,301.600006,296.609985,296.829987,473200,295.967346
"2021-09-17",294.799988,297.940002,293.579987,295.929993,1145300,295.069977
"2021-09-20",293.5,297.51001,291.579987,293.910004,703100,293.055847
"2021-09-21",296.089996,296.940002,293.579987,294.160004,575100,293.305145
"2021-09-22",296.190002,296.209991,290.640015,291.459991,759800,290.612976
"2021-09-23",293.369995,299.119995,291.920013,296.73999,643100,295.877625
"2021-09-24",296.899994,298.700012,294.390015,296.369995,391700,295.508698
"2021-09-27",295.100006,295.609985,289.570007,290.730011,449600,289.885101
"2021-09-28",289.140015,289.140015,281.190002,283.01001,570400,282.187531
"2021-09-29",284.230011,288.98999,284.230011,286.910004,495600,286.076202
"2021-09-30",287.529999,289.98999,281.440002,281.440002,578500,280.622101
"2021-10-01",280.950012,281.049988,273.369995,279.480011,661400,278.667816
"2021-10-04",277.5,280.079987,274.049988,275.040009,693000,274.240692
"2021-10-05",276.290009,278.329987,274.619995,276.100006,442400,275.297607
"2021-10-06",275.190002,275.950012,271.049988,275.410004,456900,274.609619
"2021-10-07",276.940002,281.48999,275.970001,279.299988,554900,278.488312
"2021-10-08",279.660004,280.019989,276.73999,278.339996,510700,277.531097
"2021-10-11",277.51001,278.049988,273.48999,274.220001,409400,273.423065
"2021-10-12",275.589996,276.079987,272.649994,273.980011,372700,273.183777
"2021-10-13",275.01001,275.01001,270.399994,273.470001,380400,272.675262
"2021-10-14",275.700012,278,275,275.709991,697600,274.908752
"2021-10-15",277.170013,277.170013,270.920013,271.600006,801200,270.810699
"2021-10-18",270.899994,274.880005,269.269989,274.290009,482300,273.492889
"2021-10-19",277.619995,278.98999,275.149994,276.049988,412200,275.247742
"2021-10-20",277.640015,280.700012,276.790009,278.640015,472900,277.830261
"2021-10-21",279.910004,281.799988,273.690002,279.809998,596200,278.996826
"2021-10-22",279.440002,282.859985,279.359985,282.149994,410900,281.330017
"2021-10-25",282.190002,282.459991,278.950012,281.070007,581800,280.253174
"2021-10-26",280.950012,284.880005,279.51001,283.559998,467500,282.735931
"2021-10-27",283.640015,284.26001,280.01001,280.48999,517500,279.674835
"2021-10-28",286.140015,286.980011,277.679993,285.230011,1010800,284.401093
"2021-10-29",285.230011,287.390015,281.720001,287.019989,670500,286.185883
"2021-11-01",287.149994,290.619995,283.700012,288.779999,773700,287.940765
"2021-11-02",289.040009,289.76001,285.429993,286.23999,613700,285.408142
"2021-11-03",285.640015,287.48999,281.980011,287.48999,542800,286.65451
"2021-11-04",287.299988,288.190002,283.519989,284.23999,432400,283.41394
"2021-11-05",280,282.179993,274.01001,274.839996,870000,274.04126
"2021-11-08",276.859985,280.929993,275,280.609985,405500,279.794495
"2021-11-09",279.959991,281.119995,273.149994,276.549988,1018500,275.746307
"2021-11-10",276.619995,284.769989,276.619995,283.839996,686300,283.015106
"2021-11-11",283.790009,287.899994,280.950012,286.880005,457000,286.046295
"2021-11-12",296.01001,299.149994,290.5,297.230011,1312900,296.366211
"2021-11-15",293.929993,294.160004,284.369995,285.309998,685000,284.480835
"2021-11-16",286.220001,291.619995,285.839996,288.369995,447900,287.531952
"2021-11-17",289.290009,293.079987,287.679993,289.730011,361400,288.888
"2021-11-18",287.649994,290.089996,284.220001,287.48999,398800,286.65451
"2021-11-19",289.279999,289.279999,281.929993,283.320007,622900,282.496643
"2021-11-22",282.179993,286.899994,281.679993,283.76001,491200,282.935364
"2021-11-23",282.700012,286.529999,280.359985,285.910004,330000,285.079102
"2021-11-24",284.76001,286.459991,281.809998,283.730011,271500,282.905457
"2021-11-26",286.339996,296,284,289.299988,622100,288.459229
"2021-11-29",289.299988,294.98999,287.589996,291.920013,494200,291.071655
"2021-11-30",290.230011,291.649994,284.470001,285.329987,1063000,284.500763
"2021-12-01",285.440002,291.600006,284.179993,285.450012,454400,284.620453
"2021-12-02",286.190002,294.26001,286.190002,291.269989,630300,290.423523
"2021-12-03",292.029999,295.029999,287.76001,290.320007,501200,289.476288
"2021-12-06",291.549988,293.459991,287.140015,289.26001,427200,288.419373
"2021-12-07",292.709991,296.799988,291.339996,296.109985,456300,295.249451
"2021-12-08",296.73999,297.769989,290.480011,296.829987,430100,295.967346
"2021-12-09",285.809998,290.920013,281.559998,281.970001,2457100,281.150543
"2021-12-10",284.600006,292.609985,282.160004,288.390015,1455800,287.55191
"2021-12-13",288.390015,297.829987,288.350006,292.440002,1140100,291.590118
"2021-12-14",293.089996,295.679993,290.950012,294.660004,1023200,293.80368
"2021-12-15",296.480011,308.440002,294.820007,307.160004,1070800,306.267365
"2021-12-16",306.420013,313.040009,306.359985,310.130005,1039700,309.228729
"2021-12-17",308.519989,311.950012,307.459991,307.920013,1360300,307.025146
"2021-12-20",309,311.75,303.48999,309.410004,862900,308.510803
"2021-12-21",310.040009,311.269989,299.630005,302.589996,792100,301.710632
"2021-12-22",303.790009,308.320007,302.829987,304.220001,656500,303.335907
"2021-12-23",306.230011,306.649994,298.5,301.910004,1201700,301.032623
"2021-12-27",305.109985,307.73999,303.230011,306.809998,1069600,305.918365
"2021-12-28",307.399994,309.869995,306.790009,307,429300,306.107819
"2021-12-29",309.26001,310.850006,305.600006,308.670013,1012100,307.77298
"2021-12-30",310.700012,315.01001,310.670013,313.339996,534300,312.429382
"2021-12-31",313.23999,317.170013,313.149994,314.209991,477500,313.296844
"2022-01-03",313.100006,313.98999,296.48999,298.179993,971300,297.313446
"2022-01-04",297.5,298.049988,287.209991,290.209991,1276700,289.366608
"2022-01-05",290.369995,293.359985,286.440002,286.570007,802800,285.737183
"2022-01-06",287.01001,293.929993,284.130005,288.549988,857600,287.711426
"2022-01-07",288.549988,291.679993,284.179993,285.269989,642800,284.440948
"2022-01-10",284.700012,292.320007,284.649994,291.619995,706500,290.772491
"2022-01-11",290.359985,292.570007,286.350006,291.940002,691400,291.091583
"2022-01-12",287.579987,287.579987,277.899994,282.790009,1138300,281.96817
"2022-01-13",281.980011,282.200012,275.369995,277.809998,878300,277.002655
"2022-01-14",277.290009,281,271.890015,276.079987,916100,275.277649
"2022-01-18",272.769989,275.019989,270.420013,271.779999,860700,270.990173
