"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"2020-07-01",165.979996,168.039993,163.25,167.029999,749500,166.544586
"2020-07-02",169.169998,171.179993,168.259995,170.270004,1071400,169.775177
"2020-07-06",172.619995,173.979996,171,172.589996,675500,172.088425
"2020-07-07",171.869995,174.509995,171.75,173.119995,992000,172.616882
"2020-07-08",173.119995,174.770004,171.949997,174.460007,763400,173.953003
"2020-07-09",173.820007,174.619995,170.309998,173.119995,621900,172.616882
"2020-07-10",173.399994,174.529999,170.800003,172.679993,562500,172.178162
"2020-07-13",178,182.949997,175.580002,178.259995,1222500,177.741943
"2020-07-14",181.490005,187.970001,179.119995,187.839996,1279000,187.294113
"2020-07-15",190,190.869995,186.169998,188.75,865900,188.201462
"2020-07-16",188.25,194,187.259995,190.449997,548100,189.896515
"2020-07-17",191.679993,194.820007,191.679993,193.649994,673900,193.087219
"2020-07-20",194,196.289993,192.389999,195.479996,585900,194.911896
"2020-07-21",195.880005,197.830002,195.610001,196.809998,579900,196.238037
"2020-07-22",197.550003,200.679993,197.059998,200.070007,801400,199.488571
"2020-07-23",199.300003,201.880005,197.169998,198.759995,680600,198.182373
"2020-07-24",197.990005,199.199997,194.080002,198.740005,811300,198.162445
"2020-07-27",197.940002,201.639999,197.100006,201.300003,903300,200.714996
"2020-07-28",203.020004,206.740005,195.039993,196.539993,1436600,195.968826
"2020-07-29",198.199997,199.5,194.179993,194.610001,1036300,194.044434
"2020-07-30",193.389999,195.330002,191.470001,194.839996,750200,194.273758
"2020-07-31",194.550003,195.089996,189.559998,192.919998,640400,192.359344
"2020-08-03",192.429993,198.050003,192.279999,196.020004,523400,195.450348
"2020-08-04",195.190002,196.389999,192.990005,194.770004,469600,194.203979
"2020-08-05",195.809998,196.570007,193,193.520004,586500,192.957611
"2020-08-06",193.240005,194.380005,188.399994,189.770004,797300,189.218506
"2020-08-07",189.130005,193.130005,189.130005,193.110001,807800,192.548798
"2020-08-10",192.710007,193.369995,187.179993,187.380005,762000,186.835449
"2020-08-11",187.600006,189.720001,182.059998,186.130005,903900,185.589081
"2020-08-12",187.080002,189.199997,185.660004,188.100006,529700,187.55336
"2020-08-13",187.169998,190.699997,185.919998,190.589996,504800,190.036118
"2020-08-14",190.410004,191.119995,188.479996,189.839996,422300,189.2883
"2020-08-17",190.559998,190.880005,185.770004,187.759995,897200,187.21434
"2020-08-18",187.889999,189.050003,185.520004,186.520004,518600,185.977951
"2020-08-19",187.669998,187.669998,182.220001,182.710007,687800,182.179031
"2020-08-20",181.630005,185.339996,181.380005,181.679993,584100,181.152008
"2020-08-21",181.679993,182.279999,179.850006,180.619995,800300,180.095093
"2020-08-24",181.369995,181.479996,177.729996,179.070007,618900,178.549606
"2020-08-25",178.800003,180.029999,176.970001,179.570007,848100,179.048157
"2020-08-26",178.779999,179.619995,176.770004,179.289993,1057900,178.768951
"2020-08-27",173.949997,178.210007,170.050003,174.259995,2923100,173.753571
"2020-08-28",174.479996,177.589996,172.360001,177.410004,1105600,176.894424
"2020-08-31",176.619995,177.720001,175.729996,175.75,687700,175.239243
"2020-09-01",175.649994,177.720001,172.410004,174.110001,838200,173.604019
"2020-09-02",175,177.759995,173.039993,176.919998,631500,176.405838
"2020-09-03",177.080002,178.369995,172.570007,174.720001,710000,174.212234
"2020-09-04",175.240005,177.270004,171.220001,175.720001,758900,175.209335
"2020-09-08",174.419998,176,171.179993,173.729996,751500,173.225113
"2020-09-09",174.929993,177.360001,173.009995,175.720001,779600,175.209335
"2020-09-10",177.020004,184.449997,176.610001,181.589996,1382100,181.062271
"2020-09-11",183.179993,183.179993,179.679993,181.470001,495900,180.942627
"2020-09-14",181.800003,184.009995,180.630005,183.130005,597300,182.597809
"2020-09-15",184.009995,188.809998,183.419998,185.919998,632700,185.379684
"2020-09-16",187.550003,187.820007,184.639999,185.309998,691900,184.771454
"2020-09-17",183.830002,183.830002,180.809998,183.059998,613800,182.528
"2020-09-18",182.690002,184.529999,180.830002,183.399994,775600,182.867004
"2020-09-21",180.600006,185.169998,178.589996,184.330002,756500,183.794312
"2020-09-22",183.449997,186.300003,182.139999,184.899994,593100,184.36264
"2020-09-23",184.600006,184.600006,178.320007,178.679993,703100,178.160721
"2020-09-24",178.300003,180.080002,176.490005,177.850006,429900,177.333145
"2020-09-25",177.75,181.850006,176.869995,180.990005,449500,180.46402
"2020-09-28",183.050003,186.220001,183.050003,184.070007,425900,183.53508
"2020-09-29",185.289993,188.639999,184.289993,186.470001,551500,185.928085
"2020-09-30",185.979996,189.839996,185.830002,188.270004,660600,187.72287
"2020-10-01",189.119995,191.470001,185.880005,186.910004,465000,186.366821
"2020-10-02",184.5,189.899994,183.410004,187.990005,449300,187.44368
"2020-10-05",189.720001,194.300003,189.600006,193.059998,715600,192.498932
"2020-10-06",193.300003,195.960007,191.070007,191.110001,389500,190.554611
"2020-10-07",192.630005,194.669998,191.960007,192.509995,525200,191.950531
"2020-10-08",193.619995,194.759995,191.300003,194.259995,331300,193.69545
"2020-10-09",195.490005,196.860001,194.330002,195.759995,344400,195.191086
"2020-10-12",196.610001,197.050003,193.410004,193.649994,349100,193.087219
"2020-10-13",192.110001,195.559998,191.220001,194.25,557600,193.685486
"2020-10-14",195.020004,197.089996,191.550003,192.869995,383600,192.309494
"2020-10-15",191.320007,193.889999,190,192.740005,457700,192.179871
"2020-10-16",194.520004,202.360001,194.389999,199.089996,761500,198.511414
"2020-10-19",198.869995,201.279999,198.399994,199.910004,613300,199.329041
"2020-10-20",201.429993,207.029999,201.429993,205.210007,917900,204.613632
"2020-10-21",204.610001,206.190002,203.029999,203.160004,652200,202.569595
"2020-10-22",204.570007,205.660004,201.860001,205.259995,610000,204.663483
"2020-10-23",206.990005,211.210007,206.089996,207.490005,677400,206.887009
"2020-10-26",205.259995,205.649994,200.070007,201.960007,788500,201.373077
"2020-10-27",202.509995,212.470001,201.929993,206.490005,1147600,205.889923
"2020-10-28",203.220001,208.199997,201.929993,204,613400,203.40715
"2020-10-29",203.710007,204,195.559998,199.520004,885800,198.94017
"2020-10-30",198.960007,200.270004,196.130005,199.770004,534000,199.189438
"2020-11-02",204.389999,207.800003,202.240005,207.229996,693500,206.627762
"2020-11-03",209.160004,212.25,208.940002,210.490005,781800,209.878296
"2020-11-04",212,216.199997,210.460007,211.710007,980800,211.094742
"2020-11-05",215.009995,218.770004,213.080002,214.419998,602000,213.79686
"2020-11-06",214.589996,217.759995,213.460007,213.929993,535500,213.308289
"2020-11-09",210.5,211.369995,194.5,198.550003,1509300,197.972992
"2020-11-10",199.860001,201.5,192.789993,201.160004,1001900,200.575409
"2020-11-11",203.190002,206.070007,202.009995,203.5,635800,202.9086
"2020-11-12",204.059998,204.679993,199.949997,201.539993,499700,200.954285
"2020-11-13",202.910004,203.559998,199.330002,199.589996,658600,199.009964
"2020-11-16",201.600006,206.490005,196.440002,204.5,711800,203.905701
"2020-11-17",202.149994,205.419998,200.309998,204.770004,678100,204.174911
"2020-11-18",205.660004,206.039993,198.619995,199.029999,626400,198.451584
"2020-11-19",199.589996,200.800003,197.020004,198.770004,539900,198.192352
"2020-11-20",198.580002,205.679993,198.580002,202.729996,763000,202.140839
"2020-11-23",204.419998,205.690002,198.070007,198.369995,613300,197.793503
"2020-11-24",199.520004,200.960007,196.929993,198.759995,578500,198.182373
