"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2020-09-08",138.520004,138.639999,135.039993,135.940002,6847500,129.591232
"2020-09-09",136.419998,139.559998,136.270004,138.149994,6002900,131.698013
"2020-09-10",138.119995,138.720001,136.509995,136.699997,5242500,130.31572
"2020-09-11",137.690002,138.660004,137.160004,138.139999,4398000,131.688492
"2020-09-14",138.440002,139.580002,138.330002,138.630005,4767400,132.155609
"2020-09-15",138.789993,139.770004,138.389999,138.630005,4046500,132.155609
"2020-09-16",139.570007,140.169998,137.600006,137.699997,6049900,131.269028
"2020-09-17",137.059998,137.880005,136.190002,137.520004,4648500,131.097458
"2020-09-18",136.910004,137.929993,136.259995,137.369995,10192800,130.954437
"2020-09-21",137,137.470001,134.699997,136.710007,7092600,130.325287
"2020-09-22",136.490005,139.029999,136.240005,137.960007,4722800,131.516907
"2020-09-23",138.419998,138.419998,136.089996,136.309998,6373700,129.943939
"2020-09-24",136.669998,137.149994,135.710007,136.919998,5708200,130.525482
"2020-09-25",135.889999,137.990005,135.889999,137.619995,4969900,131.192764
"2020-09-28",138.559998,139.940002,137.779999,138.009995,5810800,131.564545
"2020-09-29",138.389999,138.419998,136.660004,137.259995,4492100,130.849564
"2020-09-30",138.160004,139.850006,137.809998,138.990005,8727800,132.498795
"2020-10-01",139.580002,139.990005,138.210007,139.240005,5713400,132.737122
"2020-10-02",137.929993,139.119995,136.949997,138.119995,6077900,131.669403
"2020-10-05",138.720001,139.649994,138.300003,139.389999,6333900,132.880112
"2020-10-06",139.419998,140.770004,138.809998,139.610001,6042900,133.089828
"2020-10-07",140.080002,141.389999,139.369995,140.699997,4640900,134.128937
"2020-10-08",140.559998,141.929993,140.360001,141.649994,4569800,135.034546
"2020-10-09",141.839996,143.639999,141.699997,142.919998,6551700,136.245239
"2020-10-12",143.330002,145.330002,143.330002,144.490005,5791500,137.741928
"2020-10-13",143.820007,144.839996,143.460007,144.210007,4509400,137.474991
"2020-10-14",144.179993,145.100006,143.080002,144.039993,3860700,137.312927
"2020-10-15",143.059998,144.389999,142.889999,143.830002,4997100,137.112762
"2020-10-16",144.419998,145.869995,143.919998,144.389999,6806100,137.646576
"2020-10-19",144.470001,145.389999,141.130005,141.910004,6427600,135.28241
"2020-10-20",145.610001,145.690002,141.899994,142.479996,7582100,135.82579
"2020-10-21",142.490005,144.339996,142.470001,143.25,5649700,136.559814
"2020-10-22",141.490005,142.75,141.080002,141.449997,4502900,135.592606
"2020-10-23",141.759995,142.880005,141.759995,142.380005,4278100,136.484131
"2020-10-26",141.5,142.050003,140.009995,141.300003,5315500,135.448822
"2020-10-27",141.940002,143.339996,141.649994,142.360001,6806700,136.464951
"2020-10-28",140.449997,140.940002,137.309998,137.660004,8192200,131.959564
"2020-10-29",137.350006,139.089996,135.800003,137.570007,5476900,131.873291
"2020-10-30",137.179993,137.990005,134.679993,137.100006,6422000,131.422775
"2020-11-02",138.509995,140,137.440002,138.5,6682800,132.764771
"2020-11-03",139.320007,142.660004,139.320007,141.220001,6244200,135.372147
"2020-11-04",140.460007,143,140.270004,140.639999,5820600,134.816162
"2020-11-05",142.440002,143.529999,141.779999,142.380005,5673100,136.484131
"2020-11-06",142.669998,144.070007,142.380005,143.229996,4702300,137.298904
"2020-11-09",146.149994,146.919998,137.600006,137.990005,12664700,132.275894
"2020-11-10",138.100006,140.619995,137.149994,140.259995,7854000,134.451904
"2020-11-11",141.850006,143,140.649994,142.070007,5554300,136.186951
"2020-11-12",142.289993,142.550003,141.070007,142.149994,5631700,136.263626
"2020-11-13",142.210007,144.479996,141.880005,144.279999,6466800,138.305405
"2020-11-16",144.779999,144.779999,141.259995,142.429993,7976600,136.532028
"2020-11-17",141.889999,143.470001,141.75,141.880005,6396800,136.004807
"2020-11-18",141.990005,142.100006,139.660004,139.699997,6097100,133.915054
"2020-11-19",139.869995,140.119995,138.449997,139.529999,5284100,133.752121
"2020-11-20",139.529999,140.350006,138.630005,139.300003,4726900,133.531662
"2020-11-23",139.320007,139.949997,137.860001,138.759995,4770600,133.014008
"2020-11-24",138.830002,139.839996,138.070007,138.309998,7101800,132.582642
"2020-11-25",138.160004,139.389999,138.039993,138.679993,8411300,132.937317
"2020-11-27",138.589996,138.889999,137.529999,138.610001,4252200,132.870224
"2020-11-30",138,139.199997,136.740005,138.869995,11640400,133.119446
"2020-12-01",139.160004,139.539993,138.160004,139.369995,7169700,133.59874
"2020-12-02",139.369995,139.940002,137.490005,138.360001,6963000,132.630585
"2020-12-03",138.089996,138.350006,135.539993,137.339996,8742500,131.652802
"2020-12-04",137.210007,137.860001,135.869995,137.470001,6617200,131.77742
"2020-12-07",136.610001,137.740005,136.559998,137.679993,6918000,131.978729
"2020-12-08",137.020004,138.779999,136.429993,138.050003,6493500,132.33342
"2020-12-09",137.830002,138.039993,136.25,136.410004,6773400,130.761307
"2020-12-10",136.520004,136.919998,135.039993,135.509995,6800500,129.89859
"2020-12-11",134.460007,136.800003,134.199997,136.509995,6548000,130.857178
"2020-12-14",137.020004,137.929993,135.770004,135.850006,6485300,130.224487
"2020-12-15",136.389999,137.539993,136.240005,136.649994,5397000,130.991379
"2020-12-16",136.710007,138.270004,136.710007,137.270004,5382500,131.585724
"2020-12-17",138.009995,139.119995,137.949997,138.25,7405300,132.525146
"2020-12-18",138.259995,140.070007,137.449997,139.039993,19988800,133.282394
"2020-12-21",137.960007,138.429993,136.220001,137.520004,6732400,131.825378
"2020-12-22",137.289993,138.070007,136.380005,136.550003,5023100,130.895523
"2020-12-23",137.389999,137.550003,136.130005,136.339996,6004200,130.694229
"2020-12-24",136.199997,138.130005,136.199997,137.720001,2588200,132.017059
"2020-12-28",138.149994,139.389999,137.949997,138.679993,3714700,132.937317
"2020-12-29",139.220001,139.940002,138.199997,138.419998,5139300,132.688095
"2020-12-30",138.600006,138.919998,137.550003,137.770004,3261400,132.065002
"2020-12-31",138.309998,139.289993,137.389999,139.139999,4076400,133.378265
"2021-01-04",139.660004,139.860001,136.350006,137.820007,8330900,132.112946
