"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2022-01-18",39.900002,40.439999,39.439999,39.540001,15088100,39.540001
"2022-01-19",39.5,39.799999,38.73,38.82,10958600,38.82
"2022-01-20",39.049999,40.16,38.759998,38.84,12935700,38.84
"2022-01-21",38.830002,38.830002,37.360001,37.860001,17872100,37.860001
"2022-01-24",36.950001,37.93,35.880001,37.91,19890100,37.91
"2022-01-25",37.5,38.869999,37.299999,38.720001,14674100,38.720001
"2022-01-26",39.310001,39.959999,38.34,38.759998,12451700,38.759998
"2022-01-27",39.240002,40.029999,38.029999,38.34,12297400,38.34
"2022-01-28",38.110001,38.389999,36.77,38.279999,12889100,38.279999
"2022-01-31",37.82,39.720001,37.66,39.689999,10657300,39.689999
"2022-02-01",39.799999,40.57,39.57,40.490002,9668800,40.490002
"2022-02-02",40.130001,40.959999,39.73,40.52,10249800,40.52
"2022-02-03",40,40.599998,39.68,39.73,9922000,39.73
"2022-02-04",39.59,40.09,39.09,39.849998,9481900,39.849998
"2022-02-07",40.470001,41.290001,40.419998,40.939999,11417500,40.939999
"2022-02-08",41.360001,42.720001,41,42.610001,14194800,42.610001
"2022-02-09",42.919998,44.509998,42.849998,43.880001,18904000,43.880001
"2022-02-10",43.43,44.73,43.310001,43.900002,13210100,43.900002
"2022-02-11",43.900002,44.799999,41.919998,42.330002,19893400,42.330002
"2022-02-14",42.380001,43.25,41.709999,41.970001,11581600,41.970001
"2022-02-15",43.459999,44.75,43.330002,44.490002,15528800,44.490002
"2022-02-16",44.099998,45.139999,43.98,44.41,14029100,44.41
"2022-02-17",43.77,44.130001,42.950001,43.310001,9463700,43.310001
"2022-02-18",43.099998,43.68,42.700001,42.84,11574900,42.84
"2022-02-22",41.689999,42.84,41.439999,41.889999,13329600,41.889999
"2022-02-23",42.299999,42.389999,40.110001,40.189999,12322200,40.189999
"2022-02-24",37.599998,40.490002,37.470001,40.330002,22659700,40.330002
"2022-02-25",40.759998,42,40.639999,41.540001,15398700,41.540001
"2022-02-28",40.330002,40.360001,39.02,39.919998,22808100,39.919998
"2022-03-01",39.5,39.59,37.380001,37.639999,21467500,37.639999
"2022-03-02",38.299999,38.779999,37.849998,38.040001,15773500,38.040001
"2022-03-03",38.490002,38.740002,36.380001,36.560001,17589100,36.560001
"2022-03-04",35.509998,35.869999,34.169998,34.52,23278800,34.52
"2022-03-07",34,34.200001,29.98,30.110001,34889300,30.110001
"2022-03-08",30.719999,32.740002,29.75,31.219999,29492100,31.219999
"2022-03-09",32.93,33.779999,32.560001,32.759998,25808000,32.759998
"2022-03-10",32.119999,33.41,31.52,32.549999,17588900,32.549999
"2022-03-11",33.310001,33.400002,32.009998,32.07,16978700,32.07
"2022-03-14",32,33.200001,31.65,32.07,17253800,32.07
"2022-03-15",34.740002,35.470001,33.990002,34.860001,27330200,34.860001
"2022-03-16",35.509998,36.950001,35.439999,36.93,23558200,36.93
"2022-03-17",35.709999,37.150002,35.369999,37.150002,17062300,37.150002
"2022-03-18",36.790001,37.919998,36.380001,37.68,18429600,37.68
"2022-03-21",37.130001,37.23,35.880001,36.09,18386400,36.09
"2022-03-22",36.450001,37.240002,36.330002,36.98,13587700,36.98
"2022-03-23",36.720001,36.790001,36.07,36.220001,12069300,36.220001
"2022-03-24",36.389999,37.27,35.959999,37.259998,11302400,37.259998
"2022-03-25",37.290001,38.240002,37.240002,37.91,11313100,37.91
"2022-03-28",38.419998,38.610001,37.439999,38.34,11430600,38.34
"2022-03-29",39.650002,40.259998,39.130001,39.52,15372200,39.52
"2022-03-30",39.099998,39.529999,38.91,39.330002,9363500,39.330002
"2022-03-31",39.400002,40.099998,39.240002,39.57,9930100,39.57
"2022-04-01",39.669998,39.900002,39.009998,39.310001,8606300,39.310001
"2022-04-04",39.220001,39.619999,38.709999,39.400002,9482700,39.400002
"2022-04-05",39.509998,39.869999,38.57,39.029999,12713400,39.029999
"2022-04-06",38.009998,38.060001,36.720001,37.59,16995200,37.59
"2022-04-07",37.369999,37.5,36.169998,37.130001,11688800,37.130001
"2022-04-08",36.98,37.34,36.509998,36.740002,8615600,36.740002
"2022-04-11",36.700001,38.560001,36.529999,38.209999,14142900,38.209999
"2022-04-12",38.360001,38.950001,37.77,38.619999,15762600,38.619999
"2022-04-13",40.209999,41.099998,39.810001,41.02,33528700,41.02
"2022-04-14",41.970001,42.869999,41.330002,42.360001,29128900,42.360001
"2022-04-18",42.080002,43.07,41.849998,42.130001,17011900,42.130001
"2022-04-19",42.810001,43.77,42.720001,43.040001,18453000,43.040001
"2022-04-20",43.279999,44.240002,43.189999,43.540001,17466800,43.540001
"2022-04-21",44.810001,46.27,44.540001,44.73,31849600,44.73
"2022-04-22",45.009998,45.349998,43.549999,43.689999,15557200,43.689999
"2022-04-25",43.400002,43.549999,42.23,43.27,15156900,43.27
"2022-04-26",42.830002,43.049999,41.549999,41.900002,14561200,41.900002
"2022-04-27",42.18,43.439999,41.759998,43.110001,13640400,43.110001
"2022-04-28",43.509998,44.419998,42.889999,44.330002,11953000,44.330002
"2022-04-29",44.169998,44.75,42.82,43.029999,13460500,43.029999
"2022-05-02",42.950001,43.400002,41.57,42.669998,13417100,42.669998
"2022-05-03",42.639999,43.689999,42.209999,43.349998,10401900,43.349998
"2022-05-04",42.759998,43.970001,42.34,43.849998,13381200,43.849998
"2022-05-05",43.150002,43.740002,41.799999,42.130001,11983100,42.130001
"2022-05-06",41.970001,41.970001,40.400002,41,12996000,41
"2022-05-09",40.290001,40.450001,38.02,38.25,18582900,38.25
"2022-05-10",38.860001,39.330002,37.849998,38.68,13950000,38.68
"2022-05-11",38.669998,39.919998,37.709999,37.889999,14402400,37.889999
"2022-05-12",37.310001,37.759998,35.700001,36.669998,17218100,36.669998
"2022-05-13",37.490002,38.450001,37.450001,38.330002,11594800,38.330002
"2022-05-16",38.32,39,38.110001,38.169998,11062500,38.169998
"2022-05-17",39.849998,40.82,39.209999,40.720001,13594300,40.720001
"2022-05-18",40.310001,40.830002,39.009998,39.310001,11216900,39.310001
"2022-05-19",38.75,39.919998,38.650002,39.240002,9564300,39.240002
"2022-05-20",39.900002,40.049999,37.639999,38.639999,10687600,38.639999
"2022-05-23",39.380001,39.990002,38.720001,39.52,9005200,39.52
"2022-05-24",38.82,38.950001,36.779999,37.220001,10856500,37.220001
"2022-05-25",37.080002,38.689999,37.029999,38.599998,10436800,38.599998
"2022-05-26",39.130001,41.240002,39,40.830002,15248300,40.830002
"2022-05-27",41,42.23,41,42.23,10730600,42.23
"2022-05-31",40.709999,42.450001,40.580002,41.689999,14691200,41.689999
"2022-06-01",42.130001,42.299999,39.23,39.540001,17573200,39.540001
"2022-06-02",39.400002,40.290001,39.220001,39.990002,13761600,39.990002
"2022-06-03",39.200001,39.419998,38.060001,38.540001,14797300,38.540001
"2022-06-06",39,39.290001,38.310001,39,12330400,39
"2022-06-07",38.369999,39.790001,38.25,39.740002,9604700,39.740002
"2022-06-08",38.84,39.529999,38.169998,38.220001,9643000,38.220001
"2022-06-09",38.099998,38.209999,36.709999,36.75,11976600,36.75
"2022-06-10",36,37.099998,35,35.119999,19434400,35.119999
"2022-06-13",34,34.099998,32.009998,32.209999,20879100,32.209999
"2022-06-14",32.599998,32.77,30.860001,31.379999,20521200,31.379999
"2022-06-15",32.02,32.740002,31.35,31.959999,20995200,31.959999
"2022-06-16",30.67,30.879999,29.209999,29.58,20696200,29.58
"2022-06-17",29.719999,30.48,28.76,30.26,28372800,30.26
"2022-06-21",30.799999,30.959999,29.76,30.049999,15125900,30.049999
"2022-06-22",29.92,30.49,29.6,30,16042000,30
"2022-06-23",29.889999,30.120001,28.790001,29.559999,15793200,29.559999
"2022-06-24",29.52,31.290001,29.52,31.200001,16932200,31.200001
"2022-06-27",31.33,31.4,30.34,30.440001,12782900,30.440001
"2022-06-28",31,32.240002,30.280001,30.33,14358200,30.33
"2022-06-29",29.969999,30.01,29.209999,29.639999,13101500,29.639999
