"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2020-09-02",138,140.300003,136.639999,139.559998,2337400,138.310043
"2020-09-03",138.240005,138.240005,131.220001,132.820007,3430500,131.630417
"2020-09-04",131.630005,132.649994,126.910004,130.130005,2429700,128.964508
"2020-09-08",127.459999,127.5,123.330002,124.300003,4622600,123.186722
"2020-09-09",126.540001,129.520004,124.889999,128.699997,2776500,127.547287
"2020-09-10",129.880005,131.130005,126.339996,127.260002,2460000,126.120209
"2020-09-11",127.989998,128.389999,124.400002,126.019997,1746600,124.891304
"2020-09-14",127.93,128.009995,125.93,126.18,1376900,125.049873
"2020-09-15",127.989998,129.860001,127.5,128.330002,2129600,127.180618
"2020-09-16",128.990005,129.520004,126.470001,126.739998,1832200,125.604858
"2020-09-17",124.220001,126.540001,123.540001,125.260002,2151800,124.138115
"2020-09-18",125.489998,126.699997,123.370003,125.900002,3402700,124.772385
"2020-09-21",124.330002,128.470001,124.150002,128.289993,2017400,127.140968
"2020-09-22",129.839996,131.220001,128.460007,131.020004,2081900,129.846558
"2020-09-23",131.570007,132.320007,127.940002,128.419998,2444400,127.269814
"2020-09-24",128.210007,130.309998,128.089996,129.320007,2001500,128.161774
"2020-09-25",129.509995,132.009995,128.690002,131.190002,1915600,130.015015
"2020-09-28",133.360001,133.850006,130.869995,132.279999,1796500,131.09523
"2020-09-29",132.059998,132.429993,129.5,130.020004,1793500,128.855469
"2020-09-30",129.729996,131.990005,129.449997,130.410004,2164200,129.241989
"2020-10-01",132.070007,134.059998,131.460007,132.779999,1868800,131.590775
"2020-10-02",131.369995,132.240005,127.709999,129.070007,1751200,127.913994
"2020-10-05",130.089996,132.949997,129.070007,130.720001,1270100,129.54921
"2020-10-06",130.360001,130.399994,124.519997,124.839996,3753700,123.721863
"2020-10-07",126.410004,126.5,123.970001,125.010002,3257500,123.890366
"2020-10-08",126.099998,126.379997,124.419998,125.989998,1959600,124.861572
"2020-10-09",126.860001,128.440002,125.919998,127.449997,1991700,126.308487
"2020-10-12",128.979996,132.070007,127.830002,130.880005,2106600,129.707794
"2020-10-13",131.869995,133.539993,130.160004,132.940002,2117300,131.749329
"2020-10-14",133.789993,133.860001,131.740005,132.75,2520500,131.561035
"2020-10-15",131.070007,132.410004,129.880005,131.339996,1900100,130.163681
"2020-10-16",132.5,133.259995,131.050003,131.919998,1925000,130.738464
"2020-10-19",133.139999,133.889999,129.509995,129.869995,1454300,128.706802
"2020-10-20",130.419998,130.600006,127.089996,127.360001,2249200,126.219307
"2020-10-21",127.980003,129.449997,127.300003,127.650002,2200800,126.506706
"2020-10-22",127.779999,128.009995,125.400002,126.919998,1791800,125.783241
"2020-10-23",127.239998,127.650002,125.529999,126.769997,1215200,125.63459
"2020-10-26",126.410004,127.5,125.029999,126.68,2166000,125.545387
"2020-10-27",127.360001,127.580002,126.099998,126.620003,1452800,125.485947
"2020-10-28",125.620003,127.07,124.809998,125.599998,2079600,124.47506
"2020-10-29",125.790001,126.169998,122.769997,123.900002,2633500,122.790306
"2020-10-30",122.989998,124.089996,118.519997,119.830002,3312900,118.756744
"2020-11-02",120.940002,121.059998,117.790001,119.809998,2650000,118.736931
"2020-11-03",120.75,121.459999,119.400002,120.739998,2022200,119.6586
"2020-11-04",124.879997,126.980003,123.720001,125.309998,2594800,124.187668
"2020-11-05",128.880005,128.880005,126.279999,128.330002,3291700,127.180618
"2020-11-06",119.5,120.699997,114.529999,119.190002,12151100,118.122475
"2020-11-09",116.459999,121.300003,110.150002,116.970001,7097200,115.922371
"2020-11-10",116.989998,120.529999,114.779999,118.93,4454200,117.864815
"2020-11-11",120.300003,120.639999,117.589996,119.779999,3572900,118.707191
"2020-11-12",120.93,122.32,118.970001,119.32,2339800,118.25132
"2020-11-13",120.220001,121.459999,119.370003,120.800003,2110900,119.718079
"2020-11-16",119.25,120.709999,117.550003,118.599998,3069300,117.537766
"2020-11-17",119.330002,120.650002,118.050003,118.519997,2954200,117.458473
"2020-11-18",118.339996,118.580002,116.650002,116.839996,2509200,115.793526
"2020-11-19",116.739998,121.519997,116.410004,120.139999,2839200,119.063965
"2020-11-20",119.529999,123,119.099998,121.870003,3186800,120.778473
"2020-11-23",122.029999,123.389999,120.440002,121.860001,2085800,120.76857
"2020-11-24",121.489998,121.970001,119.739998,120.25,3471800,119.172981
