"","CBOE.Open","CBOE.High","CBOE.Low","CBOE.Close","CBOE.Volume","CBOE.Adjusted"
"2020-07-01",93.449997,97.389999,93.089996,96.459999,1077900,96.459999
"2020-07-02",97.790001,97.790001,94.220001,95.089996,658100,95.089996
"2020-07-06",96.489998,96.620003,94.839996,95,540900,95
"2020-07-07",93.120003,94.480003,92.589996,93.709999,590800,93.709999
"2020-07-08",93.360001,93.82,92.290001,93.010002,779000,93.010002
"2020-07-09",92.980003,93.080002,89.669998,90.190002,1097600,90.190002
"2020-07-10",90.349998,91.839996,90.120003,91.550003,828800,91.550003
"2020-07-13",92.489998,93.779999,91.029999,91.489998,507300,91.489998
"2020-07-14",91.760002,92.099998,89.980003,90.610001,706000,90.610001
"2020-07-15",91.879997,94.129997,91.330002,94.040001,615500,94.040001
"2020-07-16",94.480003,94.480003,91.82,92.910004,378300,92.910004
"2020-07-17",93.279999,93.790001,92.080002,92.660004,410100,92.660004
"2020-07-20",92.68,94.93,92.010002,93.32,674100,93.32
"2020-07-21",95,95.019997,92.739998,93.120003,684300,93.120003
"2020-07-22",93.550003,93.550003,90.910004,91.650002,836800,91.650002
"2020-07-23",91.489998,92.790001,90.580002,91.209999,868000,91.209999
"2020-07-24",90.449997,91.139999,88.959999,89.459999,722500,89.459999
"2020-07-27",89.339996,90,87.220001,87.330002,771800,87.330002
"2020-07-28",87.779999,89.459999,87.300003,87.43,698800,87.43
"2020-07-29",87.639999,89.5,86.739998,89.139999,569900,89.139999
"2020-07-30",87.800003,89.330002,86.889999,86.889999,911600,86.889999
"2020-07-31",87.389999,87.879997,85.540001,87.699997,1113800,87.699997
"2020-08-03",86.919998,88.290001,85.150002,86.330002,862900,86.330002
"2020-08-04",87.139999,88.199997,85.580002,85.580002,872400,85.580002
"2020-08-05",86.349998,87.959999,85.25,86.669998,1061400,86.669998
"2020-08-06",86.540001,88.260002,85,85,931900,85
"2020-08-07",85.160004,88.389999,85,88.059998,883500,88.059998
"2020-08-10",87.910004,87.940002,85.540001,85.540001,1063800,85.540001
"2020-08-11",86.470001,88.910004,86.349998,88.82,878000,88.82
"2020-08-12",88.519997,89.57,86.82,86.82,751700,86.82
"2020-08-13",87.059998,87.519997,86.139999,86.239998,397100,86.239998
"2020-08-14",86.110001,88.260002,86.07,88.260002,616900,88.260002
"2020-08-17",88.599998,90.260002,88.010002,89.82,774000,89.82
"2020-08-18",89.970001,90.699997,89.160004,90.18,719700,90.18
"2020-08-19",90.760002,91,88.910004,89.019997,780700,89.019997
"2020-08-20",88.660004,90.309998,88.580002,89.620003,554700,89.620003
"2020-08-21",89.050003,92.379997,89.010002,91.639999,1147400,91.639999
"2020-08-24",92.489998,93.300003,91.540001,92.690002,717400,92.690002
"2020-08-25",92.879997,92.959999,90.120003,90.599998,1066400,90.599998
"2020-08-26",90.059998,94.269997,89.599998,91.230003,896800,91.230003
"2020-08-27",90.580002,92.910004,90.580002,92.410004,687000,92.410004
"2020-08-28",93.330002,93.330002,91.43,91.75,639100,91.75
"2020-08-31",92.519997,92.68,89.949997,91.790001,886500,91.790001
"2020-09-01",91.199997,91.199997,88.220001,90.07,736900,90.07
"2020-09-02",89.720001,91.139999,88.010002,88.470001,823700,88.470001
"2020-09-03",88.959999,90.470001,88.599998,89.800003,868200,89.800003
"2020-09-04",89.610001,92.160004,89.07,91.029999,970100,91.029999
"2020-09-08",90.349998,90.730003,87.669998,89.669998,1034300,89.669998
"2020-09-09",90.019997,91.480003,89.18,89.949997,741300,89.949997
"2020-09-10",90.029999,90.800003,87.07,87.089996,1037200,87.089996
"2020-09-11",87.650002,88.900002,87.290001,88.849998,949000,88.849998
"2020-09-14",89.43,90.529999,88.629997,89.940002,639800,89.940002
"2020-09-15",89.43,90.879997,89.010002,89.610001,546500,89.610001
"2020-09-16",89.699997,91.099998,89.650002,90.559998,748600,90.559998
"2020-09-17",90.059998,91.459999,88.739998,88.940002,587300,88.940002
"2020-09-18",88.709999,90.849998,87.629997,90.849998,1647600,90.849998
"2020-09-21",90.300003,90.849998,89.139999,90,1124600,90
"2020-09-22",89.629997,90.610001,88.959999,89.839996,898100,89.839996
"2020-09-23",89.080002,91.650002,88.010002,89.07,1672700,89.07
"2020-09-24",88.43,90.080002,88.040001,89.300003,574100,89.300003
"2020-09-25",88.629997,89.730003,88.339996,89.699997,452100,89.699997
"2020-09-28",90.480003,91.57,88.839996,89,519800,89
"2020-09-29",89.260002,90.57,83.790001,86.889999,1329300,86.889999
"2020-09-30",87.68,88.919998,86.660004,87.739998,879200,87.739998
"2020-10-01",88.5,88.949997,87.160004,88.589996,613200,88.589996
"2020-10-02",87.290001,88.239998,86.779999,87.489998,547900,87.489998
"2020-10-05",89.230003,89.370003,87.730003,87.830002,753000,87.830002
