"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2020-09-10",9.58,9.69,8.86,8.87,12149700,7.924294
"2020-09-11",8.79,9.02,8.66,8.97,10429000,8.114262
"2020-09-14",9.04,9.22,8.9,9.12,6228100,8.249951
"2020-09-15",9.17,9.39,9.13,9.23,8890400,8.349457
"2020-09-16",9.4,9.93,9.22,9.76,7845100,8.828895
"2020-09-17",9.51,9.97,9.46,9.95,6791100,9.000769
"2020-09-18",9.91,10.07,9.67,9.78,12580600,8.846988
"2020-09-21",9.38,9.46,9.13,9.27,5664200,8.385641
"2020-09-22",9.34,9.49,9.11,9.2,5359300,8.322319
"2020-09-23",9.26,9.34,8.68,8.68,6896800,7.851927
"2020-09-24",8.64,9.14,8.43,8.96,9167500,8.105215
"2020-09-25",8.77,8.97,8.68,8.82,6859700,7.978569
"2020-09-28",9.56,10.02,8.99,9.8,39400900,8.865078
"2020-09-29",9.76,9.77,8.97,9.57,25306900,8.657019
"2020-09-30",9.61,9.76,9.4,9.46,12237500,8.557516
"2020-10-01",9.41,9.54,9.02,9.1,12066500,8.231859
"2020-10-02",8.7,9.86,8.65,9.6,14637600,8.684158
"2020-10-05",9.87,10.16,9.62,10.15,12036800,9.181688
"2020-10-06",10.45,10.59,9.69,9.73,11454000,8.801755
