"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2020-08-28",153.740005,154.089996,151.449997,152.460007,413600,146.18895
"2020-08-31",151.759995,152.740005,149.690002,151.520004,636600,145.287598
"2020-09-01",150.089996,150.770004,147.630005,150.330002,740400,144.14653
"2020-09-02",150.289993,152.889999,148.800003,151.350006,739000,145.124588
"2020-09-03",153.080002,154.429993,147.839996,150.119995,618600,143.94516
"2020-09-04",151.529999,153.479996,146.820007,147.509995,598700,141.44252
"2020-09-08",147.089996,147.949997,141.350006,141.759995,899400,135.929016
"2020-09-09",142.419998,143.809998,138.610001,141.350006,575700,135.535904
"2020-09-10",142.880005,144.259995,137.639999,137.830002,794100,132.16069
"2020-09-11",138.100006,148.240005,138.100006,147.399994,837500,141.337036
"2020-09-14",148,148.110001,144.059998,146.850006,602800,140.809677
"2020-09-15",146.770004,147.139999,144,145.270004,448000,139.294662
"2020-09-16",145.169998,150.100006,143.970001,147.940002,360500,141.854843
"2020-09-17",146.009995,151.190002,145.470001,150.589996,383200,144.395828
"2020-09-18",150,151.520004,148.779999,149.179993,670800,143.043823
"2020-09-21",146.699997,147.440002,142.690002,143.899994,477300,137.981018
"2020-09-22",143.899994,145.919998,142.300003,143.610001,365100,137.702972
"2020-09-23",144.199997,145.539993,138.220001,139.429993,431500,133.69487
"2020-09-24",139.289993,141.029999,136.440002,139.490005,410500,133.752426
"2020-09-25",138.639999,142.100006,138.639999,141.220001,275500,135.411255
"2020-09-28",143.220001,145.240005,141.699997,143.130005,340600,137.242676
"2020-09-29",142.619995,143.520004,140.869995,141.210007,233100,135.401657
"2020-09-30",142.089996,142.929993,140.039993,140.75,368200,134.960602
"2020-10-01",140.759995,142.860001,139.300003,139.979996,364200,134.222244
"2020-10-02",137.210007,144.320007,137.210007,144.130005,392800,138.201553
"2020-10-05",146.110001,147.070007,144.580002,146.320007,337500,140.301468
"2020-10-06",147.910004,151.279999,146.580002,147.130005,412900,141.078156
"2020-10-07",148.419998,150.639999,147.369995,147.940002,317200,141.854843
"2020-10-08",148.779999,149.699997,146.149994,149.639999,279100,143.484909
"2020-10-09",150.919998,151.389999,149.009995,149.979996,406400,143.810928
"2020-10-12",149.979996,152.270004,148.110001,149.449997,243300,143.30275
"2020-10-13",148,150.080002,147.570007,148.460007,262000,142.35347
"2020-10-14",147.369995,152.880005,147.369995,151.529999,237700,145.29718
"2020-10-15",150.479996,150.479996,146.850006,147.550003,379800,141.480896
"2020-10-16",147.789993,150.429993,146.25,148,376600,141.912369
"2020-10-19",148.429993,149.979996,146.5,146.960007,215300,140.915176
"2020-10-20",147.679993,149.479996,146.149994,147.699997,227400,141.624695
"2020-10-21",147.699997,150.149994,146.649994,149.520004,295100,143.369858
"2020-10-22",149.940002,152.529999,149.199997,152.229996,231700,145.968384
"2020-10-23",153.25,153.850006,152.110001,152.820007,258900,146.534119
"2020-10-26",151.449997,151.770004,148.860001,149.710007,341600,143.552048
"2020-10-27",148.809998,149.229996,146.179993,146.509995,284100,140.483658
"2020-10-28",144.050003,146.380005,140.929993,141.460007,352300,135.641388
"2020-10-29",140.559998,143.470001,138.800003,142.970001,324100,137.089279
"2020-10-30",142.639999,147.660004,142.639999,147.479996,301300,141.413757
"2020-11-02",149.429993,152.119995,147.320007,149.5,397300,143.350693
"2020-11-03",152.279999,158,151.600006,156.899994,392600,150.446274
"2020-11-04",157.889999,158.740005,150.660004,150.720001,566900,144.520477
"2020-11-05",151.990005,159.449997,148.850006,151.809998,794500,145.565659
"2020-11-06",151.5,154.820007,151.5,152.720001,323600,146.438202
"2020-11-09",160,164.690002,155.240005,155.970001,632100,149.55455
"2020-11-10",157.199997,164.399994,157.139999,161.539993,488700,154.895432
"2020-11-11",161.529999,162.100006,157.919998,158.039993,449000,151.539383
"2020-11-12",157.160004,159.479996,156.059998,158.529999,314400,152.009232
"2020-11-13",160.139999,165.190002,159.580002,164.009995,378600,157.26384
