"","AAP.Open","AAP.High","AAP.Low","AAP.Close","AAP.Volume","AAP.Adjusted"
"2020-07-01",142.360001,143.669998,139.669998,141.949997,709500,137.110809
"2020-07-02",144.240005,145.610001,140.300003,141.839996,467000,137.004562
"2020-07-06",144.149994,144.309998,138.25,138.960007,841300,134.222778
"2020-07-07",137.919998,138.960007,136.470001,136.679993,799000,132.020462
"2020-07-08",136.289993,136.960007,132.929993,136.449997,1361200,131.798309
"2020-07-09",135.679993,136.809998,132.320007,133.75,543000,129.190353
"2020-07-10",133.309998,134.779999,131.899994,134.449997,614900,129.866501
"2020-07-13",135.220001,139.5,134.050003,135.130005,1064000,130.523315
"2020-07-14",134.970001,139.580002,133.539993,138.580002,1069800,133.855713
"2020-07-15",140.800003,143.970001,140.220001,143.679993,912000,138.781845
"2020-07-16",143.470001,147.559998,142.979996,145.350006,941400,140.394943
"2020-07-17",146.199997,146.220001,143.029999,144.860001,386500,139.921616
"2020-07-20",145.199997,145.660004,142.970001,144.899994,417700,139.960251
"2020-07-21",145.380005,148.080002,145.029999,147.380005,756100,142.355713
"2020-07-22",146.899994,150.070007,146.899994,149.399994,493800,144.306839
"2020-07-23",150,150.889999,146.979996,148.369995,762500,143.311951
"2020-07-24",148.229996,149.770004,147.080002,147.270004,755800,142.249481
"2020-07-27",147.389999,147.880005,146,146.830002,771300,141.824448
"2020-07-28",147.059998,148.059998,145.949997,146.190002,808500,141.206284
"2020-07-29",146.610001,148.809998,146.130005,148.210007,1249400,143.15741
"2020-07-30",154.110001,154.770004,148.729996,152.869995,1350800,147.658554
"2020-07-31",152.660004,153.350006,147.550003,150.139999,829000,145.021622
"2020-08-03",151.539993,153.089996,149.710007,152.550003,498300,147.349487
"2020-08-04",152.169998,152.940002,150.350006,152.789993,4e+05,147.581284
"2020-08-05",153.229996,154.139999,151.139999,151.720001,845300,146.547745
"2020-08-06",150.949997,152.789993,150.600006,151.830002,396400,146.654007
"2020-08-07",150.910004,153.210007,150.779999,151.970001,1424500,146.78923
"2020-08-10",152.5,154.220001,151.949997,153.320007,595500,148.093201
"2020-08-11",155,155.440002,151.789993,151.940002,764800,146.760269
"2020-08-12",153.580002,156,153.449997,154.279999,681500,149.020477
"2020-08-13",154.470001,156.869995,153.800003,155.990005,686300,150.672195
"2020-08-14",155.110001,159.309998,155.110001,158.660004,1130300,153.251144
"2020-08-17",160.080002,161.479996,158.979996,161,2043400,155.511383
"2020-08-18",170.5,170.5,159.720001,162.850006,2563500,157.29834
"2020-08-19",163.169998,163.839996,158.929993,160.809998,1289500,155.327881
"2020-08-20",159.300003,160.020004,157.059998,157.440002,1080200,152.072769
"2020-08-21",157.050003,158.320007,155.570007,156.110001,697100,150.788086
"2020-08-24",156.979996,157.970001,154.520004,157.139999,636500,151.78299
"2020-08-25",157.259995,157.259995,153.960007,156.059998,525200,150.739792
"2020-08-26",155.770004,157.580002,155.449997,156.479996,575600,151.145477
"2020-08-27",156.949997,156.949997,154.539993,154.720001,473200,149.445496
"2020-08-28",155.380005,155.589996,153.130005,154.770004,611600,149.49379
"2020-08-31",154.770004,158.740005,151.509995,156.309998,1242100,150.981277
"2020-09-01",155.779999,157.779999,154.429993,156.389999,634800,151.058563
"2020-09-02",156.440002,159.559998,155.539993,158.100006,635600,152.710281
"2020-09-03",158,158.550003,154.309998,155.179993,591100,149.889786
"2020-09-04",155.889999,156.009995,150.759995,153.75,589100,148.508514
"2020-09-08",152.649994,154.690002,150.839996,151.729996,1198000,146.557404
"2020-09-09",152.619995,155.679993,152.619995,154.350006,715900,149.088104
"2020-09-10",154.649994,155.720001,153.100006,153.559998,418700,148.325027
"2020-09-11",154.470001,155.320007,153.080002,154.589996,493900,149.319916
"2020-09-14",156.899994,158.919998,156.130005,157.309998,785900,151.947159
"2020-09-15",157.910004,158.410004,156.509995,156.880005,496800,151.53186
"2020-09-16",157.029999,157.110001,154.300003,154.639999,512800,149.368195
"2020-09-17",152.559998,154.949997,152,154.759995,630700,149.726166
"2020-09-18",154.380005,155.970001,152.539993,153.880005,717100,148.874786
"2020-09-21",151.009995,151.75,147.610001,148.429993,854800,143.602066
"2020-09-22",148.990005,152.460007,146.419998,150.110001,1244900,145.227417
"2020-09-23",150.570007,150.940002,146.300003,146.449997,618900,141.686493
"2020-09-24",144.520004,148.839996,142.460007,146.710007,1115900,141.938019
"2020-09-25",146.330002,150.399994,146.259995,149.410004,778600,144.550201
"2020-09-28",150.880005,154.169998,150.009995,153.389999,726400,148.400726
"2020-09-29",153.889999,153.889999,151.660004,151.710007,610400,146.775406
"2020-09-30",151.479996,154.869995,151.449997,153.5,546700,148.507156
"2020-10-01",153.559998,156.259995,153.199997,154.850006,649700,149.813263
"2020-10-02",152.240005,156.350006,151.660004,155.5,487300,150.442108
"2020-10-05",155.740005,158.160004,154.919998,155.860001,556700,150.790405
"2020-10-06",160.259995,160.779999,155.059998,155.160004,837200,150.113159
"2020-10-07",155.619995,158.5,155.279999,156.809998,1065700,151.709503
"2020-10-08",157.800003,158.5,155.119995,157.660004,404400,152.53186
"2020-10-09",158.580002,158.580002,155.070007,155.320007,840400,150.26796
"2020-10-12",155.509995,156.389999,153.630005,156.25,720400,151.167709
"2020-10-13",155.610001,158.080002,155.220001,157.380005,753400,152.260941
"2020-10-14",158.160004,159.179993,154.789993,156.580002,581800,151.486969
"2020-10-15",154.979996,157.910004,154.080002,157.520004,697300,152.396423
"2020-10-16",157.520004,157.610001,154.830002,154.990005,477200,149.9487
"2020-10-19",156.110001,157.350006,152.770004,153.25,603800,148.265289
