"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume","HAS.Adjusted"
"2020-07-01",74.690002,75.919998,74.379997,74.690002,731600,69.664276
"2020-07-02",76.400002,76.980003,74.330002,74.599998,692600,69.58033
"2020-07-06",75.400002,76.220001,74.089996,74.839996,743600,69.804169
"2020-07-07",74.639999,74.669998,73.160004,73.540001,680000,68.591652
"2020-07-08",73.379997,73.93,72.169998,73.260002,595300,68.330482
"2020-07-09",73.099998,73.489998,71.010002,71.5,1182700,66.688919
"2020-07-10",71.510002,74.199997,71.400002,74.18,670300,69.188576
"2020-07-13",75,75.43,72.760002,73.610001,649300,68.656929
"2020-07-14",73.650002,74.779999,73.099998,74.620003,589800,69.598984
"2020-07-15",75.400002,78.68,75.139999,78.330002,765200,73.059341
"2020-07-16",78,79.339996,77.099998,77.510002,599500,72.29451
"2020-07-17",77.830002,78.959999,77.050003,77.489998,789400,72.275848
"2020-07-20",76.980003,78.239998,76.690002,78,762700,72.751534
"2020-07-21",79.029999,80.730003,78.599998,78.830002,910800,73.525696
"2020-07-22",77.279999,79.900002,77.279999,79.150002,689100,73.824158
"2020-07-23",79.559998,80.800003,79.120003,79.800003,858500,74.430428
"2020-07-24",80.239998,80.800003,77.019997,77.589996,1653100,72.369118
"2020-07-27",75.040001,75.400002,70.779999,71.839996,5159500,67.006035
"2020-07-28",71.809998,73.389999,71.160004,72.410004,1411100,67.537682
"2020-07-29",72.860001,74.580002,72.129997,74.029999,1123000,69.048668
"2020-07-30",73.330002,73.879997,72.510002,73.300003,761400,68.36779
"2020-07-31",72.529999,72.860001,71.07,72.760002,1111300,68.499596
"2020-08-03",72.959999,74.919998,72.279999,74.870003,1113100,70.486053
"2020-08-04",74.25,75.220001,73.93,74.860001,1140500,70.476631
"2020-08-05",75.389999,77.419998,75.379997,77.360001,981800,72.830254
"2020-08-06",77.379997,77.660004,76.540001,76.889999,707800,72.387772
"2020-08-07",76.480003,76.760002,75.589996,76.75,543800,72.255966
"2020-08-10",77.169998,79.050003,76.699997,78.970001,787600,74.345985
"2020-08-11",79.650002,80.449997,78.470001,78.720001,664600,74.110611
"2020-08-12",79.309998,80.389999,78.459999,79.82,732600,75.14621
"2020-08-13",79.330002,79.940002,78.68,78.940002,476900,74.317726
"2020-08-14",79.349998,80.169998,78.57,79.629997,473400,74.967323
"2020-08-17",79.75,79.75,77.980003,78.389999,546700,73.799934
"2020-08-18",78.209999,78.93,77.510002,78.650002,462900,74.044708
"2020-08-19",78.940002,79.940002,78.290001,78.589996,363300,73.988213
"2020-08-20",78.040001,78.199997,76.459999,77.449997,5e+05,72.914986
"2020-08-21",77.339996,77.919998,76.330002,76.82,591100,72.321861
"2020-08-24",77.139999,80.300003,76.529999,79.940002,517000,75.259178
"2020-08-25",80.650002,80.650002,78.849998,79.379997,452800,74.731964
"2020-08-26",79.800003,80,78.440002,79.449997,483100,74.797874
"2020-08-27",79.470001,82.080002,79.410004,80.68,658300,75.955849
"2020-08-28",81,81.360001,79.5,80.940002,689100,76.200623
"2020-08-31",80.589996,80.599998,78.5,78.940002,750400,74.317726
"2020-09-01",78.57,81.93,78,81.900002,711100,77.104424
"2020-09-02",82.93,83.139999,80.900002,82.559998,646000,77.725761
"2020-09-03",82.650002,83.260002,79.260002,80.010002,755800,75.325081
"2020-09-04",80.709999,81,78.199997,79.059998,613400,74.430702
"2020-09-08",77.480003,79.190002,77.160004,78.089996,869900,73.517487
"2020-09-09",78.5,79.5,76.769997,78.370003,1463900,73.781113
"2020-09-10",79.050003,80,78.199997,78.57,1098500,73.969383
"2020-09-11",79.290001,79.290001,78.059998,78.650002,782200,74.044708
"2020-09-14",78.730003,80.43,77.099998,77.18,1099800,72.660789
"2020-09-15",77.43,78.440002,76.400002,77.410004,1169500,72.877327
"2020-09-16",76.779999,80.010002,76.650002,78.510002,1105500,73.91291
"2020-09-17",77.220001,80.589996,77.099998,80.410004,1257000,75.70166
"2020-09-18",80.290001,81.970001,79.510002,79.910004,1765700,75.230942
"2020-09-21",78.419998,78.529999,75.599998,76.07,1066900,71.615776
"2020-09-22",76.120003,77.57,75.25,75.449997,716800,71.032082
"2020-09-23",77.919998,79.75,76.779999,76.879997,987500,72.378349
"2020-09-24",77.260002,77.449997,75.269997,76.160004,702500,71.700508
"2020-09-25",76.050003,77.230003,75.400002,76.970001,693700,72.463097
