"","HAS.Open","HAS.High","HAS.Low","HAS.Close","HAS.Volume","HAS.Adjusted"
"2020-09-28",78,78.650002,77.290001,78.25,482400,73.668137
"2020-09-29",79.18,81.900002,78.839996,81.239998,941600,76.483055
"2020-09-30",84.029999,85.82,82.290001,82.720001,1427800,77.876404
"2020-10-01",82.989998,84.610001,82.379997,82.949997,765300,78.092926
"2020-10-02",81.370003,84.129997,80.239998,82.970001,812400,78.111755
"2020-10-05",83.199997,84.580002,82.839996,83.089996,808700,78.224724
"2020-10-06",83.919998,84.989998,82.779999,83.050003,815900,78.187073
"2020-10-07",84.290001,85.169998,83.660004,84.93,521300,79.957001
"2020-10-08",85.309998,88,85.019997,87.959999,742000,82.80957
"2020-10-09",88.150002,90,88.110001,89.160004,836100,83.939308
"2020-10-12",89.440002,89.660004,87.050003,87.739998,708600,82.602455
"2020-10-13",87.830002,87.830002,86.220001,86.889999,644200,81.802231
"2020-10-14",87.379997,88.139999,85.75,85.849998,607000,80.823128
"2020-10-15",85.019997,87.040001,84.900002,86.809998,492100,81.726913
"2020-10-16",86.879997,87.849998,86.160004,87.599998,636100,82.470657
"2020-10-19",88.510002,88.879997,86.120003,86.550003,711900,81.482132
"2020-10-20",87.239998,88.089996,86.309998,86.660004,548200,81.585686
"2020-10-21",86.5,87.779999,86.230003,86.949997,669400,81.858711
"2020-10-22",87.269997,89.910004,86.559998,89.82,1165900,84.560661
"2020-10-23",91.949997,92.949997,91,92,1972000,86.613007
"2020-10-26",87.019997,87.900002,82.25,83.400002,3951200,78.516579
"2020-10-27",84.089996,86.400002,82.669998,85.099998,2330000,80.117027
"2020-10-28",83.650002,84.550003,81.720001,84.040001,1717000,79.119102
"2020-10-29",83.410004,84.870003,82.199997,83.870003,1015900,78.959068
"2020-10-30",82.699997,83.440002,81.690002,82.720001,1198400,78.512962
"2020-11-02",83.529999,84.099998,82.010002,82.400002,839700,78.209244
"2020-11-03",83.660004,85.330002,82.339996,84.709999,755200,80.401756
"2020-11-04",84.099998,84.639999,82.230003,82.379997,839300,78.190247
"2020-11-05",83.959999,84.489998,83.019997,84.099998,818800,79.822777
"2020-11-06",84.480003,85.459999,83.18,84.339996,588900,80.050568
"2020-11-09",88.080002,88.730003,85.059998,85.400002,1742700,81.056671
"2020-11-10",85.720001,87.220001,84.75,85.650002,947800,81.293945
"2020-11-11",86.330002,87.43,85.650002,86.529999,981900,82.129196
"2020-11-12",86.379997,86.379997,83.339996,84.220001,700700,79.936676
"2020-11-13",84.830002,88.669998,84.82,87.720001,1152500,83.258659
"2020-11-16",89.860001,90.940002,87.779999,90.889999,891800,86.267448
"2020-11-17",90.480003,92.470001,89.269997,91.889999,641800,87.216583
"2020-11-18",91.940002,94.300003,90.989998,92.080002,1032200,87.396927
"2020-11-19",91.669998,92.559998,90.239998,91.75,628300,87.083702
"2020-11-20",91.470001,93.400002,90.739998,93.019997,832900,88.289108
"2020-11-23",93.220001,93.739998,91.879997,92.620003,679300,87.909462
"2020-11-24",93.440002,94,91.809998,92.099998,1144700,87.415909
"2020-11-25",91.550003,92.339996,90.900002,92.139999,587300,87.45388
"2020-11-27",91.889999,93.199997,91.489998,92.32,227900,87.624718
"2020-11-30",92.010002,93.25,90.690002,93.029999,1223400,88.298607
"2020-12-01",94.339996,97.129997,93.800003,96.190002,1914000,91.297905
"2020-12-02",94.769997,94.970001,91.300003,93.93,1192100,89.152832
"2020-12-03",93.900002,95.220001,92.360001,92.660004,907300,87.947433
"2020-12-04",92.900002,93.709999,90.919998,91.07,1477800,86.438293
"2020-12-07",90.669998,90.989998,89.400002,89.57,1079300,85.014572
"2020-12-08",89.019997,91.110001,88.839996,89.720001,702000,85.15696
"2020-12-09",91.050003,91.540001,88.43,88.760002,1366700,84.245773
"2020-12-10",88.18,89.279999,87.699997,88.68,783700,84.169853
"2020-12-11",88.18,89.5,87.519997,89,889400,84.473572
"2020-12-14",90.169998,91.32,89.489998,90.110001,682700,85.527115
"2020-12-15",90.879997,92.760002,89.139999,92.25,1001300,87.558281
"2020-12-16",92.199997,95.559998,92,94.760002,1485500,89.940628
"2020-12-17",94.760002,96.07,93.029999,93.209999,934500,88.46946
"2020-12-18",93.75,94.300003,92,93.809998,1873700,89.03894
"2020-12-21",92.650002,94.800003,91.330002,93.599998,1095500,88.839615
"2020-12-22",93.690002,94.239998,92.25,92.379997,583300,87.681664
"2020-12-23",92.989998,93.449997,91.839996,92.75,671600,88.032845
"2020-12-24",93.220001,93.339996,92.010002,93.150002,201000,88.412506
"2020-12-28",93.510002,94.150002,92.830002,93.339996,476100,88.59285
"2020-12-29",93.779999,93.800003,92.209999,93.379997,459600,88.630806
"2020-12-30",93.309998,94.839996,93.010002,94,507400,89.219269
"2020-12-31",93.75,94.190002,92.800003,93.540001,559200,88.782677
"2021-01-04",93.739998,93.739998,90.389999,91.959999,990000,87.283012
"2021-01-05",92.209999,94.269997,92,93.18,537700,88.440987
"2021-01-06",93,95.480003,93,94.489998,693700,89.684357
"2021-01-07",95.43,95.589996,94.25,94.790001,646900,89.969093
"2021-01-08",95.260002,97.529999,95.010002,97.260002,908900,92.313477
"2021-01-11",96.5,97.93,96.129997,96.849998,575500,91.924316
"2021-01-12",97,99.629997,96.529999,99.120003,843600,94.07888
"2021-01-13",98.720001,99.599998,98.230003,99.25,640800,94.202271
"2021-01-14",99.540001,101.239998,98.989998,99.209999,1058800,94.164299
"2021-01-15",98.419998,98.559998,96.18,97.199997,1018100,92.256516
"2021-01-19",97.580002,97.68,94.760002,96.290001,769200,91.392815
"2021-01-20",95.910004,96.669998,94.120003,94.739998,664900,89.921638
"2021-01-21",94.889999,97.949997,94.309998,97,706500,92.066711
"2021-01-22",96.779999,97.760002,95.480003,97.480003,437900,92.522301
"2021-01-25",97.470001,98.449997,95.32,95.830002,638000,90.956207
"2021-01-26",96.849998,96.849998,93.07,95.190002,1081400,90.348763
"2021-01-27",94.239998,95.339996,91.260002,93.290001,1162600,88.54538
"2021-01-28",93.879997,95.620003,93.360001,95.139999,1059900,90.3013
"2021-01-29",94.260002,95.32,93.019997,93.82,726700,89.048439
"2021-02-01",93.75,94.540001,92.75,94.360001,418800,90.214844
"2021-02-02",94.959999,96.480003,94.050003,95.489998,757000,91.295197
"2021-02-03",95.669998,96.940002,94.629997,96.5,645200,92.260826
"2021-02-04",96.440002,97.849998,96,96.870003,633900,92.614578
"2021-02-05",97.379997,98.459999,96.029999,97.279999,1244400,93.006569
"2021-02-08",99.610001,99.68,92.410004,93.150002,2631700,89.057991
"2021-02-09",92.949997,93.300003,90.589996,90.739998,1355500,86.75386
"2021-02-10",90.839996,93.489998,89.75,92.290001,1447600,88.235771
"2021-02-11",92.099998,92.610001,90.160004,90.650002,1068700,86.667809
"2021-02-12",90.550003,91.540001,90.25,91.480003,717300,87.461357
"2021-02-16",91.599998,92.599998,89.379997,89.43,894900,85.501419
"2021-02-17",89.639999,91.199997,89.160004,90.879997,750700,86.887711
"2021-02-18",90.050003,91.879997,90.050003,91.43,509100,87.413559
"2021-02-19",92.230003,92.440002,89.959999,90,705000,86.046379
"2021-02-22",89.650002,91.970001,89.360001,91.760002,808400,87.729065
"2021-02-23",91.699997,92.239998,90.550003,91.379997,850300,87.365738
"2021-02-24",91.110001,92.330002,90.360001,90.910004,889800,86.916397
"2021-02-25",91.160004,94.050003,89.190002,91.839996,1880900,87.805527
"2021-02-26",92.269997,95.07,92,93.709999,2478700,89.593391
"2021-03-01",94.139999,96.18,93.559998,95.059998,1000100,90.884087
"2021-03-02",95.43,95.910004,93.360001,95.290001,753500,91.103973
"2021-03-03",95.5,95.599998,92.879997,93.029999,617500,88.94326
"2021-03-04",93.050003,93.580002,90.32,92.239998,1017100,88.187965
"2021-03-05",92.959999,95.099998,91.529999,94.790001,802200,90.625938
"2021-03-08",94.639999,98.25,94.190002,97.290001,715800,93.016129
"2021-03-09",97.760002,98.949997,95.559998,95.82,1167100,91.61071
"2021-03-10",96.489998,97.110001,95.150002,96.760002,661400,92.509415
"2021-03-11",96.580002,97.629997,94.480003,94.879997,927800,90.711998
"2021-03-12",95.120003,95.379997,94.029999,94.889999,763600,90.721558
"2021-03-15",95.220001,97.68,94.989998,97.410004,717500,93.130852
"2021-03-16",97.839996,98,96.339996,97.410004,690600,93.130852
"2021-03-17",96.690002,97.400002,92.760002,94.970001,1135500,90.798035
"2021-03-18",94.910004,97.449997,94.669998,95.529999,713000,91.333435
"2021-03-19",95.199997,96.360001,94.279999,95.93,2762400,91.715874
"2021-03-22",96.629997,98.040001,95.709999,96.849998,811600,92.595444
"2021-03-23",96.559998,97.32,96.129997,96.75,737000,92.499847
"2021-03-24",96.940002,98.199997,95.620003,95.629997,770300,91.429039
"2021-03-25",94.629997,98.870003,94.580002,98.349998,756100,94.029549
"2021-03-26",98.489998,99.489998,97.760002,98.5,628900,94.172966
"2021-03-29",98,98.650002,96.949997,97.900002,608500,93.599327
"2021-03-30",97.82,98.400002,96.510002,96.879997,973300,92.624138
"2021-03-31",97,97.260002,95.610001,96.120003,1411500,91.897522
"2021-04-01",96.25,97.32,95,95.459999,878700,91.266525
"2021-04-05",95.699997,96.449997,94.879997,95.550003,811800,91.352562
"2021-04-06",95.480003,96.550003,95.050003,95.769997,750700,91.562889
"2021-04-07",96.059998,97.5,95.949997,97.190002,603300,92.920517
"2021-04-08",97.480003,97.650002,94.940002,96.209999,1743600,91.983582
"2021-04-09",96.330002,96.830002,94.730003,95.239998,718000,91.05619
"2021-04-12",94.790001,97.269997,94.360001,97.110001,737700,92.844025
"2021-04-13",96.629997,100.470001,95.669998,98.839996,1723200,94.498032
"2021-04-14",98.260002,100.290001,97.389999,99.989998,1069300,95.597519
"2021-04-15",100.32,100.360001,98.839996,99.010002,845300,94.660568
"2021-04-16",99.5,99.650002,97.970001,98,1016600,93.694939
"2021-04-19",98,98.669998,96.879997,98.010002,644700,93.704498
"2021-04-20",98.169998,98.260002,96.150002,96.730003,771300,92.480721
"2021-04-21",96.75,98.449997,96.57,97.690002,616300,93.398552
"2021-04-22",97.660004,98.959999,97.150002,98.480003,673400,94.153854
"2021-04-23",99.370003,100.510002,96.769997,97.150002,891200,92.882286
"2021-04-26",97.209999,97.589996,95.589996,97.019997,987300,92.757996
"2021-04-27",96.75,99.849998,95.730003,98.349998,1256700,94.029549
"2021-04-28",98.610001,98.610001,96.769997,98,703900,93.694939
"2021-04-29",98.809998,99.510002,98.019997,99.089996,756700,94.737045
"2021-04-30",98.239998,99.470001,98.129997,99.449997,1035600,95.738235
"2021-05-03",99.709999,100.480003,98.459999,99.360001,837200,95.651604
"2021-05-04",99.440002,99.540001,97.82,98.199997,669500,94.534889
"2021-05-05",98.110001,99.75,98.040001,99.379997,534400,95.670845
"2021-05-06",99.790001,100.120003,98.699997,99.43,637000,95.718979
"2021-05-07",99.75,100.419998,99.110001,99.150002,583400,95.44944
"2021-05-10",99.760002,101.099998,99.059998,99.389999,7e+05,95.680473
"2021-05-11",99.239998,100.029999,97.830002,98.209999,682900,94.54451
"2021-05-12",98.169998,98.709999,94.580002,94.760002,705800,91.223282
"2021-05-13",94.949997,97.099998,94.949997,96.309998,550400,92.715424
"2021-05-14",96.059998,97.059998,95.419998,96.300003,728600,92.705803
"2021-05-17",96.360001,96.43,94.870003,96.080002,708000,92.494019
"2021-05-18",96.019997,96.480003,94.919998,94.980003,641800,91.435066
"2021-05-19",94.370003,94.669998,92.75,93.839996,745600,90.337608
"2021-05-20",93.540001,95,93.199997,94.800003,568200,91.261787
"2021-05-21",94.660004,95.18,93.940002,94.059998,600800,90.5494
"2021-05-24",94.449997,94.449997,93.669998,94.120003,437500,90.60717
"2021-05-25",94.43,94.879997,93.889999,94.040001,489500,90.530151
"2021-05-26",94.300003,95,94.040001,94.830002,433000,91.290672
"2021-05-27",94.980003,96.18,94.760002,95.919998,1160500,92.339989
"2021-05-28",96.43,96.43,95.199997,95.970001,425100,92.388123
"2021-06-01",96.5,96.760002,95.599998,96.290001,523300,92.696182
"2021-06-02",96.400002,96.660004,94.949997,95.459999,668500,91.897163
"2021-06-03",95.489998,95.75,94.150002,95.57,768600,92.003052
"2021-06-04",95.639999,95.830002,94.139999,95.239998,549200,91.685364
"2021-06-07",95.620003,95.650002,94.470001,94.75,399200,91.213654
"2021-06-08",95.160004,96.800003,94.410004,96.370003,429300,92.773193
"2021-06-09",96.75,96.800003,95.330002,95.400002,317400,91.839409
"2021-06-10",95.629997,96.489998,95.209999,96.220001,429000,92.628799
"2021-06-11",96.300003,97.639999,96.059998,97.470001,644000,93.83213
"2021-06-14",97.230003,97.629997,94.940002,95.5,727500,91.935661
"2021-06-15",95.379997,95.440002,94.43,95.120003,573600,91.569855
"2021-06-16",95.07,95.07,93.620003,94,642100,90.491646
"2021-06-17",93.989998,94.139999,90.809998,91.839996,923300,88.412254
"2021-06-18",91.050003,92,90.550003,91.029999,1126400,87.6325
"2021-06-21",91.260002,92.760002,90.800003,92.160004,677100,88.720322
"2021-06-22",92.110001,93.18,91.050003,92.870003,595900,89.403831
"2021-06-23",92.989998,93.349998,92.510002,92.709999,671700,89.249794
"2021-06-24",92.940002,93.779999,92.879997,93.18,568800,89.702255
"2021-06-25",93.330002,93.699997,92.800003,93.540001,688500,90.048813
"2021-06-28",94,94.57,93.370003,93.610001,815200,90.116203
"2021-06-29",93.970001,94.620003,93.529999,94,906000,90.491646
"2021-06-30",94.209999,94.599998,93.669998,94.519997,826800,90.992233
"2021-07-01",94.900002,95.779999,94.849998,95.339996,568600,91.781631
"2021-07-02",95.650002,96.839996,95.529999,96.650002,686600,93.04274
"2021-07-06",96.459999,96.690002,94.57,95.620003,498100,92.051186
"2021-07-07",95.75,97.110001,95.529999,96.93,498600,93.312286
"2021-07-08",96.190002,97.230003,95.389999,96.889999,591100,93.273788
"2021-07-09",97.629997,98.25,97.220001,97.980003,431000,94.323105
"2021-07-12",97.589996,98.260002,97.220001,98.150002,341800,94.486755
"2021-07-13",98.160004,98.32,97.279999,97.57,480500,93.928406
"2021-07-14",97.650002,98.419998,97.300003,97.790001,624800,94.140198
"2021-07-15",97.730003,97.849998,94.510002,94.800003,1006200,91.261787
"2021-07-16",94.57,94.849998,93.610001,94.040001,678100,90.530151
"2021-07-19",93.040001,93.449997,90.82,91.800003,796800,88.373764
"2021-07-20",92.160004,94.389999,91.910004,94,654000,90.491646
"2021-07-21",94.370003,95.290001,93.839996,94.220001,421900,90.703438
"2021-07-22",94.199997,94.199997,92.860001,93.239998,393900,89.76001
"2021-07-23",93.68,93.68,91.68,92.410004,1105300,88.960991
"2021-07-26",98.099998,104.889999,96.879997,103.720001,3870500,99.848869
"2021-07-27",102.82,103.459999,100.339996,101.370003,1496100,97.586578
"2021-07-28",101.400002,102.690002,99.75,99.879997,1437600,96.152191
"2021-07-29",100.510002,100.760002,99.360001,100.489998,970400,96.73941
"2021-07-30",99.870003,101.5,99.18,99.440002,1622600,96.380806
"2021-08-02",100.07,101.599998,99.470001,99.650002,637500,96.584343
"2021-08-03",100.050003,100.870003,98.669998,100.379997,899200,97.291893
"2021-08-04",100.339996,101.010002,99.150002,99.559998,553900,96.497116
"2021-08-05",99.610001,99.730003,98.410004,99.07,507900,96.022186
"2021-08-06",99.220001,99.949997,97.68,97.989998,573500,94.97541
"2021-08-09",98.279999,98.959999,97.919998,98.199997,369700,95.178947
"2021-08-10",98.07,99.029999,97.790001,98.68,339300,95.644188
"2021-08-11",98.519997,99.059998,97.730003,98.709999,471000,95.673264
"2021-08-12",98.980003,99.349998,98.410004,99.07,678500,96.022186
"2021-08-13",99.330002,100.269997,99.040001,100.260002,528200,97.175583
"2021-08-16",99.849998,100.769997,99.480003,99.980003,548100,96.904198
"2021-08-17",99.400002,99.400002,96.25,97.309998,542100,94.31633
"2021-08-18",96.949997,97.209999,95.900002,95.949997,464200,92.998177
"2021-08-19",96.349998,97.269997,94.290001,94.779999,636000,91.864174
"2021-08-20",95.099998,96.379997,94.910004,95.839996,463100,92.891556
"2021-08-23",96.07,97.580002,96.07,97.18,444700,94.190331
"2021-08-24",96.940002,98.449997,96.900002,97.660004,405200,94.655563
"2021-08-25",98.010002,98.839996,97.690002,98.440002,405700,95.411575
"2021-08-26",98.339996,98.849998,97.720001,97.93,383000,94.917259
"2021-08-27",97.660004,98.870003,97.510002,98.449997,365900,95.421257
"2021-08-30",98.989998,99.519997,98.190002,98.330002,322900,95.304962
"2021-08-31",98.559998,98.739998,97.739998,98.309998,639900,95.285568
"2021-09-01",98.540001,99.769997,98.059998,98.849998,390100,95.808952
"2021-09-02",99.080002,99.440002,98.440002,98.940002,246000,95.896194
"2021-09-03",99.089996,99.410004,98.410004,99.360001,249300,96.303268
"2021-09-07",99.790001,100.949997,99.489998,100.209999,657400,97.127113
"2021-09-08",100.220001,100.650002,97.889999,98.110001,435300,95.091728
"2021-09-09",98.209999,99,97.699997,98.040001,523600,95.02388
"2021-09-10",98.360001,99.019997,97.760002,98.019997,361300,95.004494
"2021-09-13",98.279999,98.639999,97.139999,97.559998,406800,94.55864
"2021-09-14",97.809998,97.809998,96.699997,97.480003,433600,94.48111
"2021-09-15",97.230003,98.790001,96.760002,98.599998,499400,95.56665
"2021-09-16",98.220001,99.089996,97.769997,98.739998,500100,95.702339
"2021-09-17",98.18,98.669998,96.529999,97.529999,1381100,94.529556
"2021-09-20",96.699997,97.279999,94.849998,95.599998,830600,92.658936
"2021-09-21",96.190002,97.529999,92.830002,92.860001,785400,90.003242
"2021-09-22",92.860001,94.489998,91.43,94.309998,859700,91.408623
"2021-09-23",94.93,96.019997,94.580002,94.650002,476000,91.738167
"2021-09-24",94.279999,95.379997,93.93,94.43,417900,91.524933
"2021-09-27",94.269997,95.519997,93.980003,94.07,411200,91.17601
"2021-09-28",93.980003,94.290001,91.730003,92.519997,696700,89.673691
"2021-09-29",92.879997,93.239998,92.129997,92.239998,423000,89.402306
"2021-09-30",92.650002,92.660004,88.82,89.220001,1430100,86.47522
"2021-10-01",89.279999,89.650002,86.629997,89.089996,889600,86.349213
"2021-10-04",89.540001,89.540001,86.050003,86.650002,1008900,83.984283
"2021-10-05",86.980003,87.720001,86.080002,87.120003,970600,84.439827
"2021-10-06",86.57,88.019997,86.300003,87.910004,597600,85.205521
"2021-10-07",88.919998,90.25,88.519997,89.309998,766600,86.562447
"2021-10-08",89.709999,90.760002,89.709999,90,695700,87.231216
"2021-10-11",88,89.620003,87.809998,88.540001,883000,85.816139
"2021-10-12",88.879997,89.449997,87,88.050003,647500,85.341209
"2021-10-13",87.5,88.720001,86.900002,88.25,783800,85.535057
"2021-10-14",89.169998,92.029999,88.949997,91.349998,1066800,88.539688
"2021-10-15",92.029999,93.150002,91.650002,92.470001,978500,89.625229
"2021-10-18",92.18,93.32,91.699997,92.620003,881900,89.770622
"2021-10-19",92.989998,93.959999,92.080002,93.290001,657900,90.420006
"2021-10-20",93.25,93.25,90.82,91.019997,710500,88.219841
"2021-10-21",90.82,92.589996,90.739998,92.459999,1061900,89.61554
"2021-10-22",93.629997,93.870003,88.760002,89.5,1403500,86.746605
"2021-10-25",89.529999,89.589996,88.019997,88.5,1532000,85.777367
"2021-10-26",91.519997,94.129997,90.669998,91.360001,2121600,88.549377
"2021-10-27",91.230003,95.07,90.620003,94.599998,1436500,91.689697
"2021-10-28",94.949997,96.669998,94.019997,96.589996,1312600,93.618477
"2021-10-29",95.160004,96.099998,93.800003,95.760002,1376500,93.472069
"2021-11-01",95.879997,96.050003,94.580002,94.949997,808700,92.681419
"2021-11-02",95.199997,95.260002,92.07,93.449997,955000,91.217262
"2021-11-03",93.370003,94.760002,92.690002,93.550003,773300,91.314873
"2021-11-04",93.860001,95.040001,93.419998,94.82,629300,92.554527
"2021-11-05",95.129997,96.190002,95.019997,96,676900,93.706345
"2021-11-08",96,97.449997,95,97.199997,599400,94.877655
"2021-11-09",97.209999,97.980003,96.800003,97.639999,503900,95.307144
"2021-11-10",97.589996,99.900002,97.019997,97.650002,566400,95.31691
"2021-11-11",97.589996,98.760002,96.839996,98.220001,490900,95.873299
"2021-11-12",98.650002,98.650002,97.370003,98.199997,667200,95.853767
"2021-11-15",98.75,99.790001,98.330002,99.089996,613900,96.722504
"2021-11-16",99.089996,100.610001,99.089996,99.419998,662700,97.044617
"2021-11-17",99.010002,101.040001,99.010002,100.709999,658600,98.303802
"2021-11-18",100.879997,101.040001,98.889999,99.830002,539500,97.444832
"2021-11-19",100,100.599998,99.300003,100.480003,635000,98.0793
"2021-11-22",100.540001,101.199997,99.800003,100.43,578500,98.030495
"2021-11-23",100.379997,100.919998,98.599998,99.5,604600,97.122719
"2021-11-24",98.980003,99.580002,98.150002,99.419998,393000,97.044617
"2021-11-26",98.25,99.580002,97.730003,98.75,606900,96.390633
"2021-11-29",99.230003,99.959999,97.879997,99.129997,511100,96.761551
"2021-11-30",98.330002,98.769997,96.379997,96.910004,1543900,94.594597
"2021-12-01",97.57,99.519997,96.589996,96.660004,778600,94.350563
"2021-12-02",96.900002,99.050003,96.260002,98.669998,826800,96.312546
"2021-12-03",99.150002,99.709999,97.410004,98.370003,748700,96.019707
"2021-12-06",98.470001,100.099998,98.330002,98.620003,753800,96.263741
"2021-12-07",99.57,100.510002,99.019997,100.110001,730400,97.71814
"2021-12-08",100.400002,101.18,99.940002,100.93,561100,98.518555
"2021-12-09",100.889999,101.25,100.110001,100.410004,544500,98.010979
"2021-12-10",100.910004,102.150002,100.25,100.82,645100,98.411179
"2021-12-13",100.620003,101,99.75,100.580002,776900,98.17691
"2021-12-14",100.239998,100.989998,99.470001,100.400002,1043800,98.001213
"2021-12-15",100.339996,101.669998,99.510002,101.400002,811600,98.977318
"2021-12-16",101.889999,102.790001,101.129997,101.239998,844100,98.821129
"2021-12-17",100.480003,100.720001,98.690002,98.849998,1561200,96.488243
"2021-12-20",97.860001,97.980003,95.099998,95.970001,868900,93.677055
"2021-12-21",96.889999,97.610001,96.18,96.519997,918400,94.213913
"2021-12-22",96.790001,97.309998,95.940002,96.620003,752600,94.311523
"2021-12-23",96.620003,98.370003,96.25,97.919998,552300,95.58046
"2021-12-27",98.110001,99.400002,97.43,99.330002,417800,96.956779
"2021-12-28",99.419998,100.150002,98.379997,98.730003,379400,96.371117
"2021-12-29",98.989998,99.709999,98.739998,99.510002,350900,97.132477
"2021-12-30",99.760002,101.459999,99.760002,101.019997,434500,98.606392
"2021-12-31",100.889999,101.919998,100.839996,101.779999,401700,99.348236
"2022-01-03",102.220001,102.870003,100.900002,102.169998,677200,99.72892
"2022-01-04",102.489998,105.360001,102.330002,103.919998,1533100,101.437103
"2022-01-05",104.300003,105.730003,103.150002,103.32,947000,100.85144
"2022-01-06",103.32,103.800003,102.300003,103.150002,570300,100.685509
"2022-01-07",103.150002,103.629997,102.050003,102.779999,595100,100.324341
"2022-01-10",101.779999,102.339996,100.330002,101.400002,1025900,98.977318
"2022-01-11",101.290001,101.57,100.43,101.25,1044800,98.830894
"2022-01-12",101.959999,102.779999,101.059998,102.709999,880800,100.25602
"2022-01-13",102.699997,103.059998,101.809998,102.019997,1062900,99.582497
"2022-01-14",101.68,101.75,98.940002,100.120003,960600,97.727905
"2022-01-18",99.580002,100.610001,98.629997,100.129997,827400,97.737656
"2022-01-19",100.230003,100.699997,98.779999,99.129997,663400,96.761551
"2022-01-20",99.209999,100.489998,97.790001,98.150002,771300,95.80497
