"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"2020-07-01",206.130005,211.490005,205.929993,210.479996,386600,210.479996
"2020-07-02",209.949997,213.789993,209.490005,210.809998,507200,210.809998
"2020-07-06",213.679993,216.009995,211.619995,212.199997,649600,212.199997
"2020-07-07",211.110001,216.660004,210.759995,211.110001,468300,211.110001
"2020-07-08",211.949997,213.039993,208.839996,210.800003,463200,210.800003
"2020-07-09",210.919998,213.619995,209.600006,212.610001,524500,212.610001
"2020-07-10",211.779999,212.320007,209.479996,209.990005,459000,209.990005
"2020-07-13",211.190002,211.190002,200.699997,201,710100,201
"2020-07-14",199.220001,200.949997,196.339996,198.649994,1014700,198.649994
"2020-07-15",199.990005,201.309998,198.529999,199.190002,649000,199.190002
"2020-07-16",198,198.960007,197.479996,198.389999,707100,198.389999
"2020-07-17",199.429993,201.369995,198,199.699997,801300,199.699997
"2020-07-20",200,208.630005,199.449997,207.660004,769800,207.660004
"2020-07-21",208.100006,208.779999,204.229996,205.009995,781900,205.009995
"2020-07-22",206.190002,207.25,204.699997,205.809998,553100,205.809998
"2020-07-23",206.119995,210.410004,204.889999,205.479996,953000,205.479996
"2020-07-24",207.100006,213,204.580002,208.529999,1716200,208.529999
"2020-07-27",208.259995,210.850006,207.179993,209.789993,585500,209.789993
"2020-07-28",209.470001,210.399994,206.190002,206.419998,599300,206.419998
"2020-07-29",206.830002,211.149994,206.830002,208.729996,541700,208.729996
"2020-07-30",205.190002,208.990005,204.449997,208.479996,537100,208.479996
"2020-07-31",209.190002,211.729996,208.179993,211.679993,548400,211.679993
"2020-08-03",211.630005,213.509995,211.139999,212.050003,405100,212.050003
"2020-08-04",211.869995,214.720001,211.339996,214.380005,841700,214.380005
"2020-08-05",215,215.75,211.139999,212.160004,597500,212.160004
"2020-08-06",211.470001,213.699997,208.869995,211.800003,548800,211.800003
"2020-08-07",211.309998,212.190002,208.820007,210.399994,409000,210.399994
"2020-08-10",210,210,205.089996,206.300003,497500,206.300003
"2020-08-11",206.830002,206.860001,201.509995,201.800003,584300,201.800003
"2020-08-12",202.139999,205.470001,202.050003,205.220001,608500,205.220001
"2020-08-13",205.220001,211.729996,205.220001,210.300003,638400,210.300003
"2020-08-14",210.929993,211.190002,206.520004,207.289993,470200,207.289993
"2020-08-17",207.820007,209.139999,206.360001,206.75,491000,206.75
"2020-08-18",207.869995,208.949997,206.580002,206.990005,535000,206.990005
"2020-08-19",207.470001,207.979996,205.660004,206.149994,734700,206.149994
"2020-08-20",202.800003,208.740005,202.800003,208.160004,1009100,208.160004
"2020-08-21",207.369995,207.550003,205.350006,206.729996,1356100,206.729996
"2020-08-24",205.929993,208,205.669998,207.300003,467800,207.300003
"2020-08-25",205.889999,207.990005,205.419998,205.699997,515200,205.699997
"2020-08-26",206.839996,209.380005,205.949997,208.509995,634600,208.509995
"2020-08-27",209.970001,209.970001,207.130005,207.869995,396700,207.869995
"2020-08-28",207.889999,208.559998,206.130005,208.139999,386600,208.139999
"2020-08-31",209.350006,215.720001,209.110001,214.800003,865700,214.800003
"2020-09-01",215.369995,215.940002,213.029999,215.779999,647700,215.779999
"2020-09-02",217,220.509995,217,219.699997,782400,219.699997
"2020-09-03",220.080002,220.130005,205.960007,207.779999,1199800,207.779999
"2020-09-04",207.429993,209.179993,200.729996,203.539993,978500,203.539993
"2020-09-08",199.089996,199.5,194.949997,196.809998,925300,196.809998
"2020-09-09",199.229996,201.690002,195.649994,200.330002,624000,200.330002
"2020-09-10",200.190002,200.860001,195,198,830800,198
"2020-09-11",198,200.75,195.100006,198.130005,713900,198.130005
"2020-09-14",200.580002,203.25,200.229996,202,687000,202
"2020-09-15",203.619995,204.990005,201.899994,204.330002,847700,204.330002
"2020-09-16",205.740005,207.520004,202.759995,202.990005,649400,202.990005
"2020-09-17",199.190002,203.550003,198.470001,203.490005,892800,203.490005
"2020-09-18",204.149994,206.589996,202.880005,204.679993,1597300,204.679993
"2020-09-21",202.740005,203.860001,200.009995,202.889999,1035900,202.889999
"2020-09-22",204.190002,205.850006,201.440002,205.289993,680500,205.289993
"2020-09-23",205.330002,206.259995,199.470001,200.139999,754900,200.139999
"2020-09-24",199.789993,204.419998,198.960007,202.009995,526600,202.009995
"2020-09-25",202.669998,206.529999,200.559998,205.580002,423100,205.580002
"2020-09-28",208.330002,208.330002,202.710007,204.720001,601600,204.720001
"2020-09-29",200.630005,206.199997,200.630005,204.910004,523900,204.910004
"2020-09-30",205.029999,207.360001,203.600006,204.850006,638500,204.850006
"2020-10-01",206.520004,208.190002,205.919998,207.220001,425800,207.220001
"2020-10-02",203.449997,205.029999,200.850006,202.160004,419200,202.160004
"2020-10-05",202.419998,204.050003,201.050003,203.449997,438300,203.449997
