"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2020-08-25",207.179993,208.149994,206.020004,207.570007,1449000,206.189728
"2020-08-26",206,208.880005,205.080002,208.190002,1141000,206.805588
"2020-08-27",205.869995,206.220001,198.119995,204.389999,2551300,203.030869
"2020-08-28",205.309998,206.279999,203.690002,205.639999,1387100,204.272552
"2020-08-31",206,207.669998,205.149994,206.470001,1710100,205.097046
"2020-09-01",205.410004,208.479996,205.410004,208.380005,1597800,206.994339
"2020-09-02",207.710007,210.580002,206.460007,209.970001,1917700,208.573746
"2020-09-03",209.490005,209.960007,199.300003,200.910004,2368800,199.57399
"2020-09-04",201,201.070007,192.509995,196.580002,3720100,195.272812
"2020-09-08",196.539993,197.149994,193.100006,196.149994,2668500,194.845642
"2020-09-09",197.869995,203.5,197.580002,201.940002,2645600,200.597168
"2020-09-10",203,206.339996,202.839996,203.089996,2416000,201.739487
"2020-09-11",204.350006,206.270004,203.940002,204.869995,1890500,203.50766
"2020-09-14",206.5,209.679993,205.820007,207.929993,1720700,206.547333
"2020-09-15",208.630005,209.710007,207.820007,208.690002,1591300,207.302277
"2020-09-16",208.539993,210.289993,206.880005,207.050003,1823100,205.673172
"2020-09-17",205.190002,207.270004,204.009995,207.149994,1965200,205.772507
"2020-09-18",207.570007,208.570007,204.699997,206.309998,3867800,204.93811
"2020-09-21",204.490005,205.830002,201.559998,205.809998,1606100,204.441406
"2020-09-22",205.289993,207.589996,203.889999,207.149994,1632900,205.772507
"2020-09-23",207.850006,208.720001,205.160004,205.199997,1780700,203.83548
"2020-09-24",205.800003,206.509995,202.259995,203.669998,2389400,202.315628
"2020-09-25",202.440002,207.529999,201.440002,207.160004,2301500,205.964478
"2020-09-28",208.410004,211.330002,207.789993,209.789993,2076300,208.579269
"2020-09-29",210,212.240005,209.410004,211.009995,1724100,209.792252
"2020-09-30",211.759995,216.630005,211.139999,215.330002,3285200,214.087326
"2020-10-01",217.009995,218.679993,213.770004,214.669998,2083000,213.431122
"2020-10-02",212.210007,215.229996,211.429993,212.5,1433100,211.273651
"2020-10-05",214.539993,218.630005,214.539993,218.350006,1242800,217.08989
"2020-10-06",218.850006,220.809998,217.110001,218.240005,1979400,216.980515
"2020-10-07",219.520004,223.279999,219.360001,222.029999,1746700,220.748642
