"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2020-09-14",114,117.300003,113.739998,116.879997,547500,115.870285
"2020-09-15",117.449997,118.919998,116.900002,117.699997,842000,116.683197
"2020-09-16",118.580002,122.989998,118.199997,121.489998,941800,120.44046
"2020-09-17",119.93,122.410004,117.389999,122.029999,698400,120.975807
"2020-09-18",121.309998,121.949997,117.800003,117.93,1270500,116.911224
"2020-09-21",107.110001,108.709999,101.050003,107.839996,1924800,106.908386
"2020-09-22",107.580002,107.699997,103.989998,106.43,834400,105.510567
"2020-09-23",106.580002,107.489998,101.190002,101.580002,831200,100.702469
"2020-09-24",101.129997,103.910004,99.470001,102.629997,720500,101.743393
"2020-09-25",101.470001,105.879997,101.470001,105.389999,478800,104.479553
"2020-09-28",106.720001,108.949997,103.809998,104.410004,1135500,103.508026
"2020-09-29",103.209999,104,99.959999,102.529999,737600,101.644249
"2020-09-30",103.470001,108.610001,103.330002,107.019997,747800,106.095474
"2020-10-01",107.120003,108.099998,104.57,106.199997,647300,105.282555
"2020-10-02",104.089996,109.970001,103.360001,109.150002,482600,108.207069
"2020-10-05",110.040001,111.879997,109.18,111.540001,551600,110.576424
"2020-10-06",112.639999,113.779999,110.239998,110.639999,579300,109.684212
"2020-10-07",111.370003,113.82,108.639999,109.5,717100,108.554047
"2020-10-08",110.43,113.220001,110.120003,112.889999,363300,111.914764
"2020-10-09",120,120.010002,111.510002,111.730003,562800,110.764786
"2020-10-12",111.239998,111.779999,108.480003,109.82,374300,108.871284
"2020-10-13",108.940002,111.080002,107.629997,109.43,502300,108.48465
"2020-10-14",109.199997,112.860001,109.199997,111.050003,409500,110.09066
"2020-10-15",109.290001,112.830002,108.760002,112.709999,482500,111.73632
"2020-10-16",112.809998,114.650002,111.739998,112.889999,445400,111.914764
"2020-10-19",112.43,113.25,110.07,110.349998,403700,109.396698
"2020-10-20",111.120003,114.220001,110.489998,112.720001,323500,111.746231
"2020-10-21",112.139999,113.150002,110.010002,111.879997,353800,110.913483
"2020-10-22",112.459999,114.050003,110.870003,112.129997,471700,111.161324
"2020-10-23",112.790001,115.849998,112.510002,115.580002,419900,114.58152
"2020-10-26",113.309998,115.760002,112.160004,114.790001,871600,113.798347
"2020-10-27",114.169998,115.25,111.129997,111.389999,458000,110.427719
"2020-10-28",109.129997,110.239998,105.779999,106.370003,767200,105.45108
"2020-10-29",105.790001,106.980003,103.349998,105.449997,688600,104.539032
"2020-10-30",109.489998,112.650002,106.010002,109.550003,1215700,108.603622
"2020-11-02",111.510002,114.150002,110.220001,113.879997,968700,112.89621
"2020-11-03",115.139999,118.879997,113.809998,118.209999,949300,117.188805
"2020-11-04",119.339996,119.339996,111.129997,112.279999,1525400,111.310036
"2020-11-05",113.459999,119.690002,113.040001,117.82,623900,116.802177
"2020-11-06",117.470001,118.440002,116.5,116.620003,405700,115.612541
"2020-11-09",126.419998,134.520004,125.349998,126.769997,991400,125.674843
"2020-11-10",127.830002,133.990005,127.760002,132.509995,699200,131.365265
"2020-11-11",132.399994,132.570007,127.279999,129.610001,624200,128.490326
"2020-11-12",128.520004,131.589996,125.419998,127.139999,624000,126.041649
"2020-11-13",128.300003,134.139999,127.199997,133.199997,432500,132.049316
"2020-11-16",136.449997,136.610001,131.580002,132.910004,475900,131.761826
"2020-11-17",131.550003,134.070007,129.699997,133.270004,497100,132.118713
"2020-11-18",133.070007,134.779999,131.029999,132.610001,519600,131.464386
"2020-11-19",131.690002,134.179993,129.179993,133.949997,512600,132.792847
"2020-11-20",134.179993,134.389999,130.149994,130.970001,437600,129.838547
"2020-11-23",132.100006,133.539993,130.240005,131.229996,445000,130.096329
"2020-11-24",132.550003,134.770004,131.679993,133.949997,523200,132.792847
"2020-11-25",133.429993,134.289993,131.309998,133.25,413300,132.098862
