"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2020-09-21",132.495148,132.70874,128.087372,130.097092,1446223,128.286285
"2020-09-22",130.844666,132.330093,129.398056,131.601944,1132897,129.770203
"2020-09-23",131.446609,131.902908,129.514557,129.844666,671766,128.037399
"2020-09-24",129.262131,129.281555,125.388351,128.271851,884461,126.486473
"2020-09-25",127.699028,132.019424,127.077667,131.106796,886624,129.281967
"2020-09-28",133.194168,133.990295,131.980576,132.339813,937197,130.497803
"2020-09-29",132.825241,132.941742,127.951454,129.514557,856445,127.937141
"2020-09-30",129.902908,133.912628,129.699036,132.174759,1040300,130.564941
"2020-10-01",133.14563,134.85437,131.951462,133.330093,1134957,131.706207
"2020-10-02",130.514557,134.951462,130.349518,133.679611,1000748,132.051468
"2020-10-05",135.213593,137.611649,134.533981,137.466019,625416,135.791748
"2020-10-06",137.553391,140.165054,136.776703,136.970871,775075,135.302628
"2020-10-07",137.815536,141.320389,137.815536,140.611649,739437,138.899063
"2020-10-08",142.165054,143.320389,141.126221,142.388351,816893,140.654144
"2020-10-09",143.631073,145.43689,142.902908,143.679611,1063269,141.929688
"2020-10-12",145.718445,145.718445,143.533981,144.805832,992920,143.04216
"2020-10-13",143.873779,143.912628,140.29126,140.592239,1247639,138.879898
"2020-10-14",141.747574,144.543686,141.077667,141.475723,884255,139.752625
"2020-10-15",139.135925,143.330093,137.70874,143.242722,1020730,141.498093
"2020-10-16",143.951462,145,142.456314,142.650482,793409,140.913071
"2020-10-19",142.650482,144.184464,137.223297,137.864075,1042360,136.184967
"2020-10-20",139.194168,140.155334,137.446609,137.766983,602962,136.08905
"2020-10-21",137.116501,138.56311,136.543686,137.689316,526124,136.012329
"2020-10-22",138.407761,140.058258,137,138.883499,1078925,137.191986
"2020-10-23",140.165054,140.165054,138.155334,138.553391,744999,136.865875
"2020-10-26",136.572815,137.805832,133.980576,135.446609,1672205,133.796967
"2020-10-27",135.320389,137.922333,134.388351,134.56311,1031030,132.924194
"2020-10-28",131.922333,132.038834,128.873779,129.485443,1824130,127.908394
"2020-10-29",128.922333,130.844666,127.669907,129.941742,1638936,128.359116
"2020-10-30",129.601944,130.893204,126.262138,128.252426,1294092,126.690376
"2020-11-02",129.970871,130.300964,127.029129,128.660187,1170183,127.093178
"2020-11-03",130.844666,133.446609,129.893204,132.43689,782491,130.823883
"2020-11-04",133.019424,136.699036,132.368927,132.815536,1054823,131.197922
"2020-11-05",134.70874,136.990295,134.077667,135.29126,1604328,133.643494
"2020-11-06",135.70874,139.737869,130.766983,134.485443,2280523,132.847473
"2020-11-09",155.262131,160.339813,150.262131,151.407761,2930041,149.563675
"2020-11-10",148.543686,150,145.495148,145.786407,2190501,144.010818
"2020-11-11",146.728149,147.087372,142.330093,145.048538,1313765,143.281937
"2020-11-12",144.446609,146.398056,142.58252,144.106796,1382260,142.351654
"2020-11-13",144.912628,147.58252,144.281555,146.951462,1646558,145.161667
"2020-11-16",149.980576,149.980576,143.048538,145.844666,1429743,144.068375
"2020-11-17",144.213593,146.067963,140.41748,145.776703,1403993,144.001236
"2020-11-18",146.029129,148.747574,143.805832,143.873779,1577651,142.12146
"2020-11-19",143.572815,143.621353,141.048538,142.262131,1830619,140.529465
"2020-11-20",141.825241,142.883499,140.097092,141.689316,1506478,139.963638
"2020-11-23",142.300964,144.524277,141.349518,141.980576,678873,140.251343
"2020-11-24",143.349518,147.466019,143.330093,146.679611,1136708,144.893127
"2020-11-25",146.009705,146.601944,144.087372,145.320389,619339,143.550446
"2020-11-27",146.097092,146.242722,144.242722,145.650482,393151,143.876541
"2020-11-30",145.864075,147.048538,144.398056,144.776703,906606,143.013397
"2020-12-01",146.106796,146.524277,141.378647,141.844666,963256,140.117065
"2020-12-02",141.126221,143.699036,140.932037,143.543686,795572,141.79541
"2020-12-03",143.203888,144.019424,141.543686,142.048538,863758,140.318451
"2020-12-04",142.14563,144.757278,141.359222,144.70874,639630,142.946274
"2020-12-07",144.184464,144.883499,140.805832,141.330093,964492,139.60878
"2020-12-08",140.718445,142.786407,139.844666,142.300964,976543,140.56781
"2020-12-09",142.932037,143.368927,141.019424,142.922333,1122494,141.181625
"2020-12-10",142.873779,144.223297,141.456314,141.737869,1070994,140.011581
"2020-12-11",140.699036,141.087372,137.029129,137.553391,1469707,135.878082
"2020-12-14",138.85437,140.718445,138.174759,138.43689,995598,136.750793
"2020-12-15",140.427185,144.165054,139.805832,143.504852,1004044,141.75705
"2020-12-16",142.912628,145.669907,142.70874,144.514557,765393,142.754425
"2020-12-17",144,147.640778,143.786407,146.951462,828738,145.161667
"2020-12-18",147.398056,147.980576,145.155334,147.427185,1819598,145.631592
"2020-12-21",144.58252,145.864075,142.766983,144.271851,888993,142.514679
"2020-12-22",143.990295,147.281555,141.941742,146.43689,1049982,144.653366
"2020-12-23",147.252426,147.864075,144.601944,144.640778,681860,142.87915
"2020-12-24",145.048538,145.339813,143.310684,144.902908,292314,143.369034
"2020-12-28",146.223297,147.155334,144.466019,144.553391,704520,143.023209
"2020-12-29",146.048538,148.873779,145.543686,148.009705,757771,146.442932
"2020-12-30",148.398056,150.252426,146.961166,147.786407,440428,146.222
"2020-12-31",147.43689,149.980576,146.844666,149.601944,514176,148.018326
"2021-01-04",151.135925,151.932037,146.407761,148.699036,1265870,147.124969
"2021-01-05",148.58252,152.611649,148.29126,151.271851,998894,149.670547
"2021-01-06",151.116501,155.951462,151.116501,155.58252,1424799,153.935577
"2021-01-07",155.660187,156.650482,153.805832,154.660187,1237648,153.023026
"2021-01-08",155.621353,157.174759,153.747574,154.320389,1259072,152.686813
"2021-01-11",152.213593,154.504852,151.038834,154.368927,1237751,152.734833
"2021-01-12",153.747574,155.378647,152.466019,155.174759,1212310,153.53215
"2021-01-13",155.786407,159.203888,154.912628,158.203888,1725662,156.529221
"2021-01-14",157.650482,161.097092,157.650482,157.883499,1180071,156.212204
