"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2021-07-08",314.709991,314.869995,307.859985,313.570007,1512500,311.102448
"2021-07-09",314.859985,318.089996,314.070007,317.869995,628100,315.368622
"2021-07-12",317.230011,322.220001,316.809998,320.480011,834700,317.958099
"2021-07-13",320,322.799988,319.899994,320.630005,858100,318.106903
"2021-07-14",324.98999,326.769989,323.410004,326.559998,1473000,323.990234
"2021-07-15",326.200012,327.589996,324.109985,326.959991,853400,324.387054
"2021-07-16",328.380005,328.649994,323.589996,324.48999,687300,321.936523
"2021-07-19",319.970001,321.679993,313.709991,316.109985,1352400,313.622467
"2021-07-20",316.540009,325.019989,316.109985,323.450012,787800,320.904694
"2021-07-21",325.040009,325.630005,322.570007,323.079987,675600,320.537598
"2021-07-22",322.700012,326.829987,320.73999,326.579987,761100,324.010101
"2021-07-23",326.839996,333.679993,326.839996,333.549988,771800,330.925201
"2021-07-26",332.730011,333.709991,330.359985,333.320007,747600,330.697021
"2021-07-27",332.649994,332.829987,327.929993,329.779999,989500,327.184906
"2021-07-28",331.48999,331.829987,329.679993,330.869995,652800,328.266296
"2021-07-29",332.720001,336.559998,332.079987,333.589996,843700,330.964905
"2021-07-30",333.329987,335.809998,332.160004,333.829987,718900,331.203003
"2021-08-02",332.269989,333.820007,327.170013,327.670013,1059700,325.091522
"2021-08-03",328.190002,328.299988,324.420013,327.540009,687400,324.962524
"2021-08-04",326.549988,327.899994,324.609985,325.779999,806700,323.216339
"2021-08-05",327.579987,330.01001,326.369995,328.690002,769100,326.103485
"2021-08-06",329.98999,330.410004,327.820007,328.829987,550200,326.24234
"2021-08-09",328.839996,328.839996,325.320007,326.470001,726100,323.90094
"2021-08-10",327,327.76001,324.190002,327.720001,531800,325.141113
"2021-08-11",328,329.779999,326.339996,327.589996,555500,325.012115
"2021-08-12",327.209991,328.190002,324.619995,326.779999,668100,324.208496
"2021-08-13",326.130005,328.170013,326.019989,326.600006,649000,324.029907
"2021-08-16",326.450012,328.429993,322.790009,327.980011,1059100,325.399078
"2021-08-17",326,326.670013,320.769989,322.600006,1078700,320.061371
"2021-08-18",319.540009,322.779999,317.940002,319.079987,1696700,316.569092
"2021-08-19",319.079987,330.809998,317.049988,327.399994,2329300,324.823608
"2021-08-20",327.25,330.690002,326.850006,330.179993,958500,327.581696
"2021-08-23",332.23999,339.98999,331.75,336.290009,1092300,333.643677
"2021-08-24",336.450012,338.959991,334.279999,337.600006,654400,334.943359
"2021-08-25",339.73999,340.25,334.529999,335.320007,781800,332.681305
"2021-08-26",337.339996,339.179993,335.450012,336.48999,607000,333.842072
"2021-08-27",337.679993,341.790009,336.600006,340.820007,869400,338.138031
"2021-08-30",342.25,344.899994,342.25,343.480011,863600,341.307861
"2021-08-31",344.059998,344.779999,340.119995,340.48999,1268000,338.336761
"2021-09-01",341.700012,347.320007,341.23999,344.309998,684500,342.132568
"2021-09-02",345.559998,347.820007,342.619995,344.059998,694000,341.884186
