"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2020-08-19",111.43,112.730003,110.459999,111.360001,1026300,105.770638
"2020-08-20",111.610001,112.559998,111.32,111.900002,570900,106.283539
"2020-08-21",111.919998,112.5,110.660004,112.089996,905100,106.463997
"2020-08-24",112.269997,113.629997,110.769997,112.989998,839500,107.318825
"2020-08-25",120,123.440002,117.239998,120.75,3560900,114.689339
"2020-08-26",122.150002,122.970001,120.389999,121.730003,994000,115.620148
"2020-08-27",121.459999,123.300003,120.849998,120.919998,700600,114.850792
"2020-08-28",121.010002,121.010002,118.57,119.650002,789800,113.644554
"2020-08-31",119.199997,120.699997,119.010002,120.18,824400,114.147949
"2020-09-01",119.980003,119.980003,117.43,117.959999,694400,112.039368
"2020-09-02",117.519997,121.269997,117.370003,120.849998,778700,114.784317
"2020-09-03",120.480003,121.82,117.120003,118.230003,784500,112.295822
"2020-09-04",118.440002,119.629997,117.029999,117.559998,692900,111.659439
"2020-09-08",117.559998,118.120003,113.650002,114.160004,945700,108.430107
"2020-09-09",115.029999,117.019997,114.349998,115.760002,873600,109.949791
"2020-09-10",114.879997,115.07,112.43,113.080002,966200,107.404305
"2020-09-11",113.169998,113.910004,111.779999,113.309998,699900,107.622757
"2020-09-14",113.489998,114.150002,113.120003,113.459999,572600,107.765244
"2020-09-15",113.75,113.830002,112.279999,112.400002,550300,106.758438
"2020-09-16",111.660004,112.660004,110.300003,110.82,1117700,105.257736
"2020-09-17",110.419998,111.18,108.849998,109.980003,1178200,104.4599
"2020-09-18",109.800003,110.980003,109.040001,109.389999,971300,103.899513
"2020-09-21",108.870003,111.150002,108.099998,109.790001,1148400,104.279442
"2020-09-22",110.139999,111.879997,109.620003,109.879997,1136600,104.364914
"2020-09-23",110.57,111.040001,108.150002,108.290001,935200,102.854736
"2020-09-24",108.550003,111.339996,108.150002,110.870003,770700,105.305237
"2020-09-25",110.870003,112.389999,110.809998,112.150002,525700,106.520988
"2020-09-28",112.860001,114.279999,112.629997,113.239998,713400,107.556282
"2020-09-29",113.040001,113.709999,112.339996,113.010002,389600,107.337822
"2020-09-30",113.620003,116.139999,113.199997,115.519997,1115900,109.72184
"2020-10-01",115.080002,116.18,113.879997,116,710500,110.177734
"2020-10-02",115.75,117.620003,115.650002,116.470001,512800,110.624153
"2020-10-05",116.32,117.68,115.470001,117.379997,562800,111.48848
"2020-10-06",117.379997,118.75,116.790001,117.5,713500,111.602463
"2020-10-07",117.370003,118.18,116.309998,117.449997,617600,111.554955
"2020-10-08",118,118.190002,116.480003,117.129997,610800,111.251022
"2020-10-09",117.389999,118.75,116.620003,118.68,636500,112.723228
"2020-10-12",119.120003,120.589996,119.120003,119.919998,486000,113.900993
"2020-10-13",119.919998,120.93,119.18,120.089996,460100,114.062462
"2020-10-14",119.529999,120.470001,118.849998,118.970001,451000,112.99868
"2020-10-15",118.620003,119.290001,118.010002,118.860001,452300,112.894203
"2020-10-16",118.739998,119.25,117.849998,117.879997,560700,111.963387
"2020-10-19",117.75,118.25,115.099998,115.209999,649500,109.427391
"2020-10-20",115.809998,116.220001,113.980003,114.120003,982600,108.392097
"2020-10-21",113.489998,114.949997,112.519997,114.400002,1162400,108.658058
"2020-10-22",114.5,116.040001,113.93,115.629997,692200,109.826317
"2020-10-23",116.160004,116.580002,114.879997,115.540001,411600,109.740829
"2020-10-26",114.839996,115.540001,114.150002,115.099998,672800,109.322914
"2020-10-27",115.209999,115.910004,113.029999,113.099998,748300,107.423302
"2020-10-28",112.040001,113.480003,111.120003,111.239998,842700,105.656654
"2020-10-29",111.260002,112.879997,109.849998,111.279999,1244800,105.694649
"2020-10-30",111.059998,113.099998,110.75,112.199997,1301200,106.568474
"2020-11-02",113.709999,117.040001,112.769997,116.660004,1196000,110.804626
"2020-11-03",117.239998,118.830002,116.519997,116.980003,911300,111.108566
"2020-11-04",117.379997,118.639999,114.5,114.580002,759700,108.829025
"2020-11-05",115.599998,118.389999,115.400002,115.800003,691300,109.987785
"2020-11-06",116.019997,117.809998,115.580002,116.620003,603200,110.76664
"2020-11-09",117.190002,117.809998,112.93,113.260002,977600,107.575272
"2020-11-10",113.480003,117.669998,112.300003,117.57,1057200,111.668953
"2020-11-11",118.209999,119.940002,116.589996,119.800003,707500,113.787025
"2020-11-12",118.379997,118.379997,116.519997,117.849998,624400,112.782181
"2020-11-13",118.339996,119.389999,117.660004,119.089996,305800,113.968842
"2020-11-16",119.5,120.18,117.949997,120.110001,615500,114.944977
"2020-11-17",119.580002,119.82,118.230003,118.43,508900,113.337219
"2020-11-18",118.949997,118.949997,115.720001,115.769997,693000,110.791618
"2020-11-19",116.160004,117.389999,114.589996,117.050003,624600,112.016571
"2020-11-20",116.639999,117.269997,114.220001,116.230003,931200,111.231834
"2020-11-23",116.230003,117.610001,115.800003,116.050003,984000,111.059578
"2020-11-24",116.629997,119.139999,114.790001,117.790001,1560800,112.724739
"2020-11-25",118.330002,118.690002,116.440002,118,1458200,112.92572
"2020-11-27",118,118.220001,115.970001,116.5,402000,111.490211
"2020-11-30",116.300003,117.220001,115.110001,117.199997,1380800,112.160118
"2020-12-01",117.370003,117.849998,115.769997,116.919998,800300,111.892166
"2020-12-02",116.349998,117.190002,114.18,114.870003,1045300,109.930313
"2020-12-03",114.309998,116.599998,114.18,116.480003,1327000,111.471085
"2020-12-04",116.510002,117.730003,116.209999,117.349998,743400,112.303658
"2020-12-07",116.790001,117.540001,115.75,117.059998,860800,112.026146
"2020-12-08",116.760002,118.190002,116.029999,117.529999,1027400,112.475929
"2020-12-09",117.239998,118.300003,116.169998,118.059998,823700,112.983131
"2020-12-10",118.339996,118.739998,115.860001,115.870003,1139700,110.887314
"2020-12-11",115.360001,116.050003,114.720001,115.169998,1050900,110.217407
"2020-12-14",115.290001,115.440002,112.800003,113.25,1723400,108.379974
"2020-12-15",113.300003,113.93,112.650002,113.459999,1291800,108.580956
"2020-12-16",114.260002,115.639999,113.730003,113.830002,1156800,108.935036
"2020-12-17",113.970001,115.470001,113.730003,115.32,1061900,110.360962
"2020-12-18",115.230003,115.970001,114.580002,115.879997,1792900,110.896881
"2020-12-21",115.040001,115.339996,113.910004,114.379997,898700,109.461388
"2020-12-22",114.660004,115.18,113.93,114.730003,865600,109.796349
"2020-12-23",115.379997,116.25,114.849998,115.169998,487500,110.217407
"2020-12-24",115.040001,116.349998,114.989998,116.089996,254300,111.097847
"2020-12-28",116.269997,116.339996,114.900002,116.330002,535100,111.32753
"2020-12-29",116.220001,117.089996,115.190002,115.330002,425300,110.370552
"2020-12-30",115.360001,115.940002,114.459999,114.720001,417800,109.786758
"2020-12-31",114.790001,115.690002,113.82,115.599998,532600,110.628922
"2021-01-04",115.669998,116.489998,115.059998,115.629997,1062100,110.657639
"2021-01-05",115.620003,117.730003,115.580002,117.129997,973300,112.093124
"2021-01-06",116.739998,120.019997,116.739998,118.379997,954800,113.289368
"2021-01-07",117.919998,119.370003,116.470001,116.849998,1196400,111.825157
"2021-01-08",116.660004,117.050003,114.769997,116.120003,861300,111.126564
"2021-01-11",116.25,116.760002,114.019997,114.099998,866500,109.193428
"2021-01-12",114.139999,114.629997,110.629997,111.230003,1535900,106.446838
"2021-01-13",111.300003,112.82,110.529999,111.550003,2271200,106.753082
"2021-01-14",112.220001,113.519997,111.18,112.550003,744900,107.710083
"2021-01-15",112.639999,114.459999,112.349998,114.089996,1172400,109.183853
"2021-01-19",114.93,116.309998,114.199997,115.650002,1155100,110.676773
"2021-01-20",115.18,115.620003,112.410004,114.230003,1256000,109.317841
"2021-01-21",114.230003,114.830002,112.910004,113.419998,880600,108.542664
"2021-01-22",113.68,114.730003,112.849998,114.239998,1014900,109.327408
"2021-01-25",114.879997,122.279999,114.879997,118.940002,1401800,113.82531
"2021-01-26",118.809998,124.160004,118.209999,124.089996,1393300,118.75383
"2021-01-27",124.139999,131.690002,123.800003,128.179993,2150200,122.667953
"2021-01-28",126.669998,129.570007,117.720001,118.25,2356400,113.164978
"2021-01-29",118.260002,121.449997,116.099998,116.410004,3180500,111.404091
"2021-02-01",115.919998,117.699997,114.690002,115.330002,1529000,110.370552
"2021-02-02",115.5,115.940002,112.809998,114.769997,1057100,109.834618
"2021-02-03",114.559998,115.139999,111.599998,114.480003,1010000,109.557091
"2021-02-04",114.480003,115.43,113.610001,114.089996,1026000,109.183853
"2021-02-05",114.449997,115.349998,113.25,114.459999,848900,109.537941
"2021-02-08",114.949997,115.559998,113.449997,115.120003,811800,110.169571
"2021-02-09",115.68,116.190002,114.75,115.349998,620600,110.389679
"2021-02-10",116.040001,116.190002,114.550003,115.800003,734400,110.82032
"2021-02-11",114.510002,115.120003,112.940002,113.970001,831500,109.923347
"2021-02-12",113.68,115.120003,113.080002,115.099998,899200,111.013222
"2021-02-16",114.940002,115.089996,112.199997,113.110001,1036900,109.09388
"2021-02-17",113.029999,115.769997,112.370003,115.440002,1700200,111.341148
"2021-02-18",115.690002,118.860001,115,116.68,1311200,112.537125
"2021-02-19",116.720001,116.720001,113.559998,113.760002,1118700,109.720802
"2021-02-22",114.089996,114.739998,112.690002,114.269997,885700,110.212692
"2021-02-23",115.300003,115.330002,113.199997,114.379997,702800,110.318787
