"","CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted"
"2020-07-01",510.040009,525.780029,505.450012,521.909973,1112600,521.909973
"2020-07-02",522.099976,528.869995,517.02002,517.690002,785800,517.690002
"2020-07-06",525.559998,527.169983,520.47998,526.289978,814900,526.289978
"2020-07-07",522.73999,532.340027,521.97998,528.02002,852800,528.02002
"2020-07-08",527.97998,530.169983,523,528.309998,773600,528.309998
"2020-07-09",529.590027,532.25,520.669983,530.190002,792900,530.190002
"2020-07-10",530.390015,540.440002,527.5,537.919983,789900,537.919983
"2020-07-13",536.630005,544.450012,532.859985,533.780029,958400,533.780029
"2020-07-14",530.429993,543.97998,525.869995,542.950012,706000,542.950012
"2020-07-15",543.75,552.539978,542.530029,552.01001,936500,552.01001
"2020-07-16",552.820007,558.099976,547.780029,558.030029,1061200,558.030029
"2020-07-17",562.450012,569.869995,560.01001,564.659973,1420700,564.659973
"2020-07-20",564.659973,571.599976,562.580017,565.51001,728000,565.51001
"2020-07-21",567.960022,570.909973,563.400024,564.679993,719600,564.679993
"2020-07-22",566.960022,568.200012,561.299988,565.119995,540400,565.119995
"2020-07-23",567.369995,569.150024,556.190002,560.419983,540600,560.419983
"2020-07-24",558.619995,562.969971,554.359985,561.719971,587700,561.719971
"2020-07-27",562.539978,563.099976,555.27002,559.909973,733600,559.909973
"2020-07-28",558.799988,566.460022,557.02002,561.409973,522600,561.409973
"2020-07-29",564.210022,569.679993,560.599976,566.419983,644300,566.419983
"2020-07-30",559.530029,568.51001,558.169983,563.440002,771500,563.440002
"2020-07-31",594.309998,594.309998,554.26001,580,1637700,580
"2020-08-03",585.01001,593.900024,581.140015,589.700012,1013500,589.700012
"2020-08-04",580,601.76001,579,600.01001,952000,600.01001
"2020-08-05",598.75,603.599976,597.22998,598.26001,682000,598.26001
"2020-08-06",595.349976,604.119995,594.679993,602.140015,716100,602.140015
"2020-08-07",603.390015,611.469971,598.25,601.869995,810900,601.869995
"2020-08-10",598.650024,606,598.099976,602.340027,789500,602.340027
"2020-08-11",604.419983,604.419983,588.969971,590.47998,862900,590.47998
"2020-08-12",590.98999,607,590.98999,598.73999,1033900,598.73999
"2020-08-13",595.460022,609.309998,595.460022,604.219971,854000,604.219971
"2020-08-14",604.549988,610.950012,602.880005,604.98999,664700,604.98999
"2020-08-17",608.849976,610.200012,601.099976,604.969971,650200,604.969971
"2020-08-18",608.22998,612.929993,606.51001,610.690002,700300,610.690002
"2020-08-19",612.460022,616.070007,607.799988,611.659973,961500,611.659973
"2020-08-20",607.940002,614.369995,607.940002,612.539978,630500,612.539978
"2020-08-21",610.97998,614.799988,606.609985,613.960022,677900,613.960022
"2020-08-24",613.390015,618.030029,611.140015,612.530029,1087100,612.530029
"2020-08-25",619.51001,620.190002,604.409973,609.75,1112000,609.75
"2020-08-26",606.820007,618.48999,605.280029,614.559998,907200,614.559998
"2020-08-27",619.049988,621.039978,612.590027,614.289978,881400,614.289978
"2020-08-28",613.01001,616.570007,609.349976,615.640015,632500,615.640015
