"","QCOM.Open","QCOM.High","QCOM.Low","QCOM.Close","QCOM.Volume","QCOM.Adjusted"
"2020-07-01",91.010002,91.300003,89.580002,89.779999,6990600,86.4907
"2020-07-02",91.089996,92.5,90.800003,91.870003,8317300,88.504135
"2020-07-06",93.209999,93.75,92.099998,92.919998,6933100,89.515656
"2020-07-07",92.970001,93.550003,91.910004,92.139999,6722400,88.764229
"2020-07-08",93.269997,93.599998,92.339996,93.529999,6692700,90.103317
"2020-07-09",93.949997,93.949997,91.440002,93.25,6287700,89.833565
"2020-07-10",93,93.519997,91.559998,92.510002,5687600,89.120689
"2020-07-13",93.300003,94.129997,91.199997,91.330002,7606400,87.983902
"2020-07-14",90.860001,92.620003,89.199997,92.379997,6571000,88.995445
"2020-07-15",92.93,92.93,91.010002,92.550003,6154100,89.15921
"2020-07-16",91.260002,91.75,90.68,91.199997,6178700,87.858681
"2020-07-17",91.68,92.459999,91,92.230003,5985700,88.850945
"2020-07-20",92.190002,93.269997,91.300003,93.169998,5407500,89.756493
"2020-07-21",93.550003,93.849998,91.809998,92.309998,7098600,88.928009
"2020-07-22",92.739998,93.290001,91.669998,92.599998,4366400,89.20739
"2020-07-23",92.910004,92.970001,89.230003,89.669998,9438500,86.384727
"2020-07-24",89.209999,90.290001,87.510002,88.889999,9520000,85.633316
"2020-07-27",90.019997,92.839996,89.260002,92.699997,8021700,89.303726
"2020-07-28",92.169998,92.589996,90.57,91.449997,5818400,88.099518
"2020-07-29",92.080002,93.620003,91.739998,93.029999,11453000,89.62162
"2020-07-30",102.419998,107.690002,100.699997,107.190002,42122500,103.262848
"2020-07-31",105.660004,107.75,104.510002,105.610001,16765100,101.74073
"2020-08-03",107.400002,113,107.029999,109.589996,18899400,105.574913
"2020-08-04",109.489998,111.019997,108.660004,110.949997,10205400,106.885094
"2020-08-05",111,112.459999,110.080002,111.389999,7967400,107.30896
"2020-08-06",111.230003,111.360001,109.93,111.059998,6392200,106.991058
"2020-08-07",110.010002,111.050003,106,108.25,11155900,104.284012
"2020-08-10",108.599998,108.989998,105.720001,106.360001,10087100,102.463264
"2020-08-11",106.199997,112.010002,104.739998,108.830002,17803000,104.842773
"2020-08-12",110.389999,116.25,109.650002,115.790001,18664700,111.547768
"2020-08-13",116.199997,116.199997,112.769997,113.410004,9958400,109.254967
"2020-08-14",113.300003,114.519997,112.57,113.739998,6641000,109.572868
"2020-08-17",113.290001,114.489998,110.629997,112.18,10283000,108.07003
"2020-08-18",112.910004,113.379997,111.519997,112.029999,6387000,107.925529
"2020-08-19",112.330002,113.470001,110.75,111.040001,7747600,106.971786
"2020-08-20",110,110.980003,109.669998,110.660004,7200300,106.605713
