"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2020-09-04",101.519997,102.400002,98.190002,100.760002,2042800,96.453751
"2020-09-08",100.07,100.260002,98.309998,98.800003,2764300,94.577522
"2020-09-09",99.959999,101.580002,99.730003,100.980003,2999700,96.664368
"2020-09-10",100.760002,101.599998,99.82,100.010002,1792100,95.735809
"2020-09-11",100.43,100.940002,99.169998,100.209999,1830200,95.927261
"2020-09-14",100.919998,102.849998,100.75,101.949997,1842800,97.592903
"2020-09-15",102.199997,103.580002,102.129997,102.730003,1524500,98.339577
"2020-09-16",102.870003,103.260002,101.970001,102.040001,2363600,98.233658
"2020-09-17",100.889999,102.18,99.970001,101.099998,2309000,97.328735
"2020-09-18",101.290001,102.029999,98.699997,99.519997,4555400,95.807663
"2020-09-21",98.120003,98.400002,95.889999,96.550003,4409500,92.948463
"2020-09-22",96.610001,99.989998,96.610001,99.190002,3161900,95.489983
"2020-09-23",98.959999,99.370003,94.849998,95.300003,2543300,91.745102
"2020-09-24",95.300003,97.080002,94.800003,95.360001,2235300,91.802856
"2020-09-25",95.010002,97.690002,94.760002,97.669998,1634700,94.026688
"2020-09-28",99.129997,100.199997,98.370003,100.029999,2298700,96.298653
"2020-09-29",99.580002,100.449997,99,99.610001,1826400,95.894318
"2020-09-30",100.209999,101.550003,98.760002,100.620003,3645700,96.866638
"2020-10-01",100.93,102.370003,99.559998,102.160004,3090400,98.349197
"2020-10-02",101,104.739998,100.5,104.220001,4631200,100.332367
"2020-10-05",105,105.720001,103.43,105.190002,2747000,101.266167
"2020-10-06",105.279999,105.669998,103.550003,104.480003,2637000,100.582657
"2020-10-07",105.089996,106.379997,103.919998,105.760002,2056800,101.814911
"2020-10-08",105.830002,109.110001,105.449997,106.839996,2382500,102.854622
"2020-10-09",107.349998,107.949997,106.279999,106.910004,1918900,102.922005
"2020-10-12",107.800003,108.849998,106.139999,108.290001,1302900,104.250534
"2020-10-13",107.089996,107.879997,106.099998,106.629997,2096800,102.652458
"2020-10-14",106.050003,106.470001,103.870003,104.029999,1668000,100.149437
"2020-10-15",103.239998,105.900002,103.080002,104.980003,1280500,101.064011
"2020-10-16",104.739998,105.489998,104.199997,104.260002,2167900,100.370857
"2020-10-19",105.120003,105.239998,102.900002,103.019997,1938900,99.177124
"2020-10-20",104.93,105.080002,102.910004,103.529999,1780300,99.668098
"2020-10-21",102.910004,104.540001,102.269997,102.650002,1922200,98.820915
"2020-10-22",102.93,103.830002,102.620003,102.800003,1639800,98.965324
"2020-10-23",103.720001,104.120003,102.879997,103.239998,1403200,99.388901
"2020-10-26",101.949997,102.129997,99.900002,100.470001,1927400,96.722237
"2020-10-27",100.389999,101.349998,99.120003,99.139999,1797900,95.441856
"2020-10-28",97.440002,99.139999,96.870003,97.510002,2666800,93.872658
"2020-10-29",97.300003,101.099998,96.57,100.18,2234200,96.443054
"2020-10-30",99.470001,100.389999,97.989998,99.199997,2273800,95.499603
"2020-11-02",100.720001,102.279999,100.360001,101.870003,1830200,98.070023
"2020-11-03",102.660004,105.160004,102.269997,104.389999,1521500,100.496002
"2020-11-04",104.800003,107.629997,104.290001,105.809998,1958800,101.863037
"2020-11-05",106.699997,106.879997,105.290001,105.879997,1594000,101.930435
"2020-11-06",105.57,106.400002,104.5,104.889999,1765200,100.977364
"2020-11-09",111.559998,112.370003,99.300003,99.610001,5949600,95.894318
"2020-11-10",100,100.559998,98.139999,99.940002,5771000,96.211998
"2020-11-11",100.82,102.32,99.650002,102.019997,3898000,98.214424
"2020-11-12",102.620003,103.690002,101.5,102.620003,2968300,98.792038
"2020-11-13",103.169998,103.980003,102.599998,103.529999,2470300,99.668098
"2020-11-16",104.459999,104.68,100.849998,103.260002,2061500,99.408165
"2020-11-17",102.629997,104.370003,101.330002,104.199997,1982600,100.313095
"2020-11-18",104.18,104.650002,101.370003,101.400002,2012500,97.617546
"2020-11-19",101.019997,101.599998,99.709999,99.989998,2276200,96.260147
"2020-11-20",100.050003,100.82,98.620003,100.269997,2530300,96.529694
"2020-11-23",99.959999,100.879997,99.489998,99.559998,2537800,95.846176
"2020-11-24",100.379997,100.730003,98.529999,98.809998,2746400,95.124153
"2020-11-25",99.239998,99.529999,98.5,99.010002,2028700,95.316696
"2020-11-27",99.449997,100.839996,98.800003,100.599998,1273100,96.847382
"2020-11-30",100.470001,101.010002,99.089996,100.050003,3730200,96.317909
"2020-12-01",100.839996,101.910004,100.139999,100.199997,3645700,96.462311
"2020-12-02",99.82,100.150002,97.459999,97.519997,2791500,93.882286
"2020-12-03",97.260002,97.959999,96.589996,97.099998,4348600,93.477951
"2020-12-04",97.610001,98.75,97.25,98.660004,3284300,94.979752
"2020-12-07",98.050003,98.790001,97.309998,97.529999,2264300,93.891891
"2020-12-08",97.720001,98.209999,96.480003,96.910004,2365500,93.295029
"2020-12-09",97.220001,97.290001,95.160004,96.43,2919200,92.832939
"2020-12-10",96.370003,97.879997,96.040001,97.18,3828000,93.554962
"2020-12-11",96.760002,97.510002,95.690002,97.370003,3177200,93.737877
"2020-12-14",97.900002,99.260002,96.620003,96.870003,2769800,93.256531
"2020-12-15",97.550003,99.559998,96.839996,99.550003,3010100,95.836555
"2020-12-16",99.379997,100.629997,99.050003,99.849998,2896500,96.125366
"2020-12-17",100.129997,100.690002,99.519997,100.580002,3842600,97.393875
"2020-12-18",100.470001,100.760002,97.07,98.07,7273900,94.963379
"2020-12-21",96.309998,97.599998,95.989998,97.25,3483400,94.169357
"2020-12-22",97.900002,98.080002,97.010002,97.650002,2425000,94.556686
"2020-12-23",98,98.919998,96.160004,96.190002,2218400,93.142929
"2020-12-24",96.660004,97.510002,96.339996,97.239998,714000,94.15966
