"","AON.Open","AON.High","AON.Low","AON.Close","AON.Volume","AON.Adjusted"
"2020-07-01",192.699997,193.820007,190.119995,191.139999,1065700,187.722046
"2020-07-02",193.800003,193.800003,190.770004,191.449997,1241400,188.026474
"2020-07-06",194.669998,194.809998,192.210007,192.699997,1242500,189.25412
"2020-07-07",192.199997,193.679993,191.800003,192.460007,1566900,189.018433
"2020-07-08",193.070007,195.550003,192.649994,195.539993,1844800,192.04335
"2020-07-09",195.490005,195.690002,192.660004,194.460007,1381700,190.982681
"2020-07-10",194.949997,197.75,193.789993,197.559998,959200,194.027206
"2020-07-13",198,199.589996,196.080002,197.059998,1168400,193.536179
"2020-07-14",197.539993,200.979996,197.529999,199.050003,1190400,195.49057
"2020-07-15",201.589996,201.779999,199.229996,200.990005,1175900,197.395905
"2020-07-16",201.009995,202.759995,199.990005,202.669998,1423800,199.045837
"2020-07-17",204.179993,204.179993,201.690002,203.660004,1229700,200.018158
"2020-07-20",202.839996,204.25,202.270004,203.899994,1136800,200.25383
"2020-07-21",205,206.270004,203.960007,206.220001,954000,202.532364
"2020-07-22",205.479996,207.949997,204.970001,207.860001,1274300,204.143036
"2020-07-23",207.699997,208.740005,206.300003,207.369995,1342600,203.661774
"2020-07-24",207.039993,208.660004,206.410004,207.169998,1022900,203.465363
"2020-07-27",207.570007,207.770004,205.160004,207.020004,1315200,203.318085
"2020-07-28",207,208.119995,204.630005,205.740005,1395300,202.060944
"2020-07-29",204.970001,206.539993,203.660004,205.800003,1462800,202.119873
"2020-07-30",203.639999,207.429993,202.610001,207.429993,1442900,203.720749
"2020-07-31",205.199997,206.809998,200.529999,205.220001,2318300,201.978683
"2020-08-03",205.389999,206.449997,199.5,200.229996,1743700,197.067505
"2020-08-04",200.020004,201.729996,197.630005,199.639999,1385700,196.486832
"2020-08-05",196.710007,199.610001,196.710007,198.529999,1531800,195.394363
"2020-08-06",197.610001,198.139999,194.229996,195.610001,1386400,192.520462
"2020-08-07",195.169998,195.720001,193.529999,195.440002,1134500,192.353165
"2020-08-10",195.410004,196.330002,192.720001,192.839996,1012500,189.794235
"2020-08-11",194.720001,194.720001,192.050003,193.550003,1671300,190.492996
"2020-08-12",194.949997,195.240005,191.639999,192.130005,1690300,189.095444
"2020-08-13",191.130005,194.789993,190,194.669998,4634100,191.595306
"2020-08-14",194.720001,197.630005,194.520004,197.199997,1242900,194.085342
"2020-08-17",197.199997,199.630005,196.669998,196.720001,1504300,193.612915
"2020-08-18",196.339996,197.660004,194.610001,196.419998,1172300,193.317673
"2020-08-19",195.080002,199.139999,194.860001,197.570007,1290600,194.449524
"2020-08-20",196.860001,198.080002,196.289993,197.009995,1371300,193.898361
"2020-08-21",197.059998,197.059998,193.179993,193.639999,1179500,190.581573
"2020-08-24",193.440002,194.139999,188.229996,190.169998,2116900,187.166382
"2020-08-25",191.630005,193.809998,189.610001,192.369995,2126800,189.33165
"2020-08-26",191.979996,197.270004,190.229996,195.440002,1504900,192.353165
"2020-08-27",196.369995,200.460007,195.399994,199.580002,948700,196.42778
"2020-08-28",201,201.229996,198.610001,200.110001,1280400,196.949387
"2020-08-31",199.699997,202.229996,199.699997,199.990005,1465100,196.831329
"2020-09-01",199.320007,202.970001,198.460007,202.649994,1441700,199.44928
"2020-09-02",202.639999,210.309998,202.5,209.729996,1805500,206.41748
"2020-09-03",210.479996,212.100006,202.809998,203.850006,2031800,200.630341
"2020-09-04",206.070007,206.5,200.119995,202.740005,1093400,199.537857
"2020-09-08",201.869995,202.070007,197.839996,198,1679700,194.872711
"2020-09-09",200.139999,205.600006,199.350006,203.630005,1155200,200.413803
"2020-09-10",204.360001,206.399994,201.759995,202.050003,1594500,198.858765
"2020-09-11",202.259995,203.070007,199.5,201.539993,1189200,198.356781
"2020-09-14",203.330002,204.419998,201.679993,201.960007,1053600,198.770157
"2020-09-15",202.279999,203.919998,201.679993,202,1013400,198.80954
"2020-09-16",203.330002,204.559998,202.270004,202.529999,1135400,199.331192
"2020-09-17",200,203.139999,199.039993,201.669998,1202400,198.484756
"2020-09-18",201.270004,204.029999,200.860001,201,1459700,197.825348
"2020-09-21",198.179993,199.960007,196.5,199.199997,1724800,196.053772
"2020-09-22",198.080002,201.300003,195.940002,199.970001,1936600,196.811615
"2020-09-23",200.779999,205.229996,200.089996,200.410004,2258600,197.244659
"2020-09-24",200.419998,201.080002,195.220001,195.679993,1975200,192.589355
"2020-09-25",194.339996,197.869995,192.190002,196.360001,1217800,193.258606
"2020-09-28",198.759995,204.899994,198.520004,203.429993,1568800,200.216949
"2020-09-29",202.740005,205.429993,202.199997,205.089996,1340300,201.850723
"2020-09-30",205.960007,208.240005,203.660004,206.300003,1583900,203.041626
"2020-10-01",206.720001,207.710007,204.270004,206.179993,1391900,202.923508
"2020-10-02",204.860001,207.919998,204.380005,205.520004,877400,202.273956
"2020-10-05",207.059998,207.899994,204.740005,206.509995,907700,203.248306
"2020-10-06",207.869995,209.380005,204.770004,205.649994,986700,202.401871
"2020-10-07",206.669998,209.119995,206.389999,208.369995,1084600,205.078918
"2020-10-08",210,212.949997,207.940002,208.070007,894000,204.783661
"2020-10-09",209.389999,210.509995,208.320007,209.190002,987400,205.885956
"2020-10-12",209.809998,214.880005,208.800003,214.520004,1848000,211.13179
"2020-10-13",213.630005,216.490005,210.119995,210.889999,1279300,207.559128
"2020-10-14",211.460007,214.419998,209.059998,210.089996,1176300,206.771774
"2020-10-15",208.529999,213.369995,208.080002,212.779999,1058500,209.419281
"2020-10-16",213.360001,215.259995,212.690002,212.880005,1706100,209.5177
"2020-10-19",212.5,214.600006,208.630005,209.190002,856600,205.885956
"2020-10-20",210.660004,211.539993,206.149994,206.360001,1383500,203.100677
"2020-10-21",206.440002,209.839996,206.110001,206.440002,863600,203.179413
"2020-10-22",206.509995,207.740005,205.229996,207.470001,767400,204.193146
"2020-10-23",207.610001,208.460007,204.869995,207.309998,778900,204.03569
"2020-10-26",205.520004,206.410004,200.199997,202.169998,1389700,198.976868
"2020-10-27",202.789993,203.199997,199.279999,199.479996,1067300,196.329346
"2020-10-28",196.449997,196.949997,192.429993,194.699997,1650300,191.624832
"2020-10-29",194.729996,194.729996,186.399994,186.800003,1867000,183.849609
"2020-10-30",187.149994,188.610001,180.559998,184.009995,3079700,181.550751
"2020-11-02",186.059998,186.059998,180.309998,180.639999,2451100,178.2258
"2020-11-03",182.830002,184.320007,179.820007,179.960007,2302600,177.554901
"2020-11-04",179.520004,186.639999,179.520004,183.479996,3127800,181.027832
