"","ADM.Open","ADM.High","ADM.Low","ADM.Close","ADM.Volume","ADM.Adjusted"
"2020-07-01",40.099998,40.099998,39.330002,39.41,1991300,37.519619
"2020-07-02",40.009998,40.509998,39.52,39.560001,2647400,37.662426
"2020-07-06",40.139999,40.360001,39.310001,39.669998,1961000,37.767151
"2020-07-07",39.200001,39.380001,39.009998,39.220001,2271900,37.338737
"2020-07-08",39.200001,39.380001,38.43,38.68,2520300,36.824638
"2020-07-09",38.48,38.490002,37.540001,37.810001,2281700,35.996372
"2020-07-10",37.900002,39.400002,37.900002,39.380001,1869300,37.491058
"2020-07-13",39.759998,40.150002,39.540001,39.759998,3270200,37.852825
"2020-07-14",39.790001,40.57,39.439999,40.439999,2169700,38.500214
"2020-07-15",41,41.200001,40.599998,40.900002,2132500,38.938148
"2020-07-16",40.82,41.34,40.580002,40.959999,2496600,38.995266
"2020-07-17",41.080002,41.330002,40.900002,41.169998,1974200,39.195194
"2020-07-20",41,41,40.220001,40.220001,2115300,38.290771
"2020-07-21",40.360001,41.34,40.299999,40.860001,1855400,38.90007
"2020-07-22",40.779999,41.299999,40.59,41.16,1862800,39.185677
"2020-07-23",41.299999,42.27,41.200001,42.259998,2616600,40.23291
"2020-07-24",42.389999,42.700001,41.970001,42.09,2458800,40.071068
"2020-07-27",41.32,42.150002,40.799999,42.130001,2290700,40.10915
"2020-07-28",42.130001,42.970001,42.130001,42.59,2556200,40.547089
"2020-07-29",43,43.279999,42.57,42.919998,2714700,40.861252
"2020-07-30",43,43.599998,42.73,43.360001,2856600,41.280151
"2020-07-31",43.259998,43.580002,42.029999,42.830002,3500900,40.775574
"2020-08-03",42.970001,43.34,42.709999,42.93,2236200,40.870781
"2020-08-04",42.830002,42.900002,42.470001,42.720001,1979200,40.670849
"2020-08-05",43,43.459999,42.919998,43.34,2217200,41.261108
"2020-08-06",43.310001,43.790001,43.299999,43.549999,1745900,41.461037
"2020-08-07",43.369999,44.099998,43.290001,44.029999,2241400,41.918011
"2020-08-10",44.139999,44.759998,44.130001,44.490002,1936800,42.355946
"2020-08-11",45,45.209999,44.32,44.389999,2169500,42.260746
"2020-08-12",44.830002,44.91,44.369999,44.450001,1940100,42.317867
"2020-08-13",44.52,44.889999,44.16,44.43,2317300,42.298828
"2020-08-14",44.189999,44.720001,44.07,44.59,1633700,42.45116
"2020-08-17",44.529999,44.779999,44.299999,44.389999,1907100,42.260746
"2020-08-18",44.18,44.540001,44.029999,44.310001,1574100,42.529491
"2020-08-19",44.130001,44.580002,43.889999,44.060001,1847000,42.289543
"2020-08-20",43.419998,43.66,43.209999,43.490002,1723100,41.742443
"2020-08-21",43.380001,43.669998,43.209999,43.59,2381900,41.838428
"2020-08-24",43.82,44.459999,43.639999,44.450001,2211500,42.663868
"2020-08-25",44.790001,44.919998,44.080002,44.299999,2025300,42.519894
