"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"2020-09-11",44.799999,45.529999,44.700001,45.299999,1993000,44.241608
"2020-09-14",45.830002,45.869999,44.93,45.669998,2166800,44.602962
"2020-09-15",45.560001,46.380001,44.959999,45.049999,2442500,43.997452
"2020-09-16",45.619999,47.18,45.400002,46.720001,2525700,45.628433
"2020-09-17",45.91,46.41,45.040001,45.459999,2211700,44.397869
"2020-09-18",45.220001,45.91,44.439999,44.98,5646300,44.045353
"2020-09-21",43.990002,44.689999,43.240002,44.610001,2571900,43.683044
"2020-09-22",44.779999,45.939999,44.470001,45.869999,2282200,44.916862
"2020-09-23",45.889999,46.209999,43.779999,43.84,2025100,42.929047
"2020-09-24",43.799999,45.02,42.959999,44.349998,2040600,43.428444
"2020-09-25",43.860001,44.330002,43.330002,44.009998,1207600,43.095505
"2020-09-28",44.939999,45.82,44.57,45.759998,1561600,44.809143
"2020-09-29",46.18,46.360001,45.060001,45.27,1828000,44.32933
"2020-09-30",45.720001,47.060001,45.509998,46.290001,4560300,45.328136
"2020-10-01",46.849998,47.490002,45.970001,47.459999,2849000,46.47382
"2020-10-02",46.52,47.799999,46.470001,47.529999,2003900,46.542366
"2020-10-05",47.619999,48.310001,46.540001,47.720001,2564700,46.72842
"2020-10-06",47.720001,48.02,46.389999,46.619999,2019200,45.651279
"2020-10-07",47.389999,47.970001,46.849998,47.130001,1619800,46.150677
"2020-10-08",48.169998,49.290001,47.990002,48.970001,2694500,47.952442
"2020-10-09",49.310001,49.700001,48.66,48.98,1870900,47.962238
"2020-10-12",49.330002,49.57,48.580002,49.48,2075600,48.451847
"2020-10-13",48.740002,48.939999,47.799999,48.369999,2116400,47.36491
"2020-10-14",48.689999,48.919998,48,48.279999,1760800,47.276779
"2020-10-15",47.59,49.07,47.509998,48.900002,1454700,47.883904
"2020-10-16",48.919998,49.580002,47.619999,47.75,2577400,46.75779
"2020-10-19",48,48.32,45.98,46.419998,3243300,45.455429
"2020-10-20",46.880001,47.57,46.439999,46.98,3063300,46.003799
"2020-10-21",46.880001,46.950001,44.799999,45.240002,4187700,44.299953
"2020-10-22",44.110001,45.27,42.07,42.639999,6130100,41.753975
"2020-10-23",43.419998,44.099998,42.77,43.990002,4583500,43.07592
"2020-10-26",44.060001,44.25,41.91,42.41,3475100,41.528751
"2020-10-27",42.34,42.810001,40.93,41.330002,3401700,40.471199
"2020-10-28",40.32,42.450001,39.919998,41.939999,3712600,41.06852
"2020-10-29",42.16,42.540001,40.959999,41.41,2088400,40.549534
"2020-10-30",41.25,41.900002,40.5,40.759998,2835800,39.91304
"2020-11-02",41.650002,42.439999,41.130001,42.150002,2974500,41.274162
"2020-11-03",42.650002,43.439999,42.16,43.150002,2895700,42.25338
"2020-11-04",44.189999,47.139999,44.080002,46.32,4171600,45.357513
"2020-11-05",46.59,47.16,45.700001,46.02,2332400,45.063744
"2020-11-06",45.939999,45.939999,43.889999,44.110001,2083100,43.193428
"2020-11-09",44.169998,44.919998,40.549999,40.639999,4777500,39.795532
"2020-11-10",41.529999,42.799999,40.599998,42.57,5152000,41.685432
"2020-11-11",42.75,42.889999,42.110001,42.82,2457000,41.930237
"2020-11-12",42.720001,43.669998,41.310001,41.709999,2742000,40.8433
"2020-11-13",42.07,43.330002,41.790001,42.93,2180700,42.037952
"2020-11-16",43.110001,43.189999,41.889999,42.869999,3381600,41.979195
"2020-11-17",42.799999,43.779999,42.369999,43.009998,2710300,42.11628
"2020-11-18",43.02,44.389999,42.830002,43.73,2501100,42.821323
"2020-11-19",44.209999,44.75,43.02,43.630001,3505200,42.723404
"2020-11-20",43.82,44.18,43.360001,43.669998,2805500,42.762569
"2020-11-23",43.990002,45.369999,43.720001,45.189999,1893100,44.250992
"2020-11-24",45.52,45.68,43.73,43.98,2601200,43.066135
"2020-11-25",44.25,44.939999,43.830002,44.610001,1953300,43.683044
"2020-11-27",44.310001,45.029999,44.110001,44.360001,1356200,43.438236
"2020-11-30",44.32,44.619999,42.779999,43.630001,5629600,42.723404
"2020-12-01",43.869999,43.98,42.290001,42.66,5315800,41.77356
"2020-12-02",42.470001,42.599998,41.23,41.549999,5214100,40.686626
"2020-12-03",41.459999,43.279999,41.450001,43.169998,3144400,42.272957
"2020-12-04",43.130001,43.200001,41.950001,42.060001,4251300,41.186028
"2020-12-07",42.18,43.68,41.759998,43.619999,3145500,42.713612
"2020-12-08",42.799999,42.82,41.509998,42.040001,2889600,41.166443
"2020-12-09",42.509998,42.619999,41.450001,42.080002,3005100,41.205616
"2020-12-10",41.709999,42.299999,41.509998,42.16,2541500,41.283951
"2020-12-11",42.110001,42.619999,41.959999,42.349998,2640600,41.469997
"2020-12-14",42.669998,43.25,42.099998,42.119999,2735700,41.244781
"2020-12-15",42.200001,42.889999,42.049999,42.419998,2479400,41.677074
"2020-12-16",42.75,42.849998,42,42.5,3052000,41.755676
"2020-12-17",42.98,45.09,42.98,44.779999,5642300,43.995743
"2020-12-18",45.169998,45.759998,44.869999,45.099998,6322500,44.310139
"2020-12-21",44.18,45.23,43.639999,44.75,2457000,43.96627
"2020-12-22",44.93,45.630001,44.540001,45.41,1852500,44.614712
"2020-12-23",45.490002,45.57,44.119999,44.290001,1792800,43.514328
"2020-12-24",44.330002,45.27,43.889999,45.200001,1089400,44.40839
"2020-12-28",45.419998,45.57,44.290001,44.470001,1265300,43.691174
"2020-12-29",44.68,44.889999,43.779999,44.150002,1227100,43.376778
"2020-12-30",44.200001,44.830002,43.970001,44.09,1225300,43.317829
"2020-12-31",44.23,44.23,43.009998,43.119999,1737100,42.364819
"2021-01-04",43.290001,43.43,41.330002,42.209999,3666100,41.470753
"2021-01-05",40.759998,41.700001,40.360001,41.07,4652700,40.350716
"2021-01-06",40.529999,41.18,39.919998,40.849998,3850100,40.134567
"2021-01-07",40.950001,42.700001,40.560001,42.490002,3896300,41.74585
"2021-01-08",42.740002,43.09,41.299999,41.529999,2439100,40.802666
"2021-01-11",41.529999,42.919998,41.150002,42.080002,2081600,41.343037
"2021-01-12",42.200001,42.700001,41.66,42.66,1926700,41.912868
"2021-01-13",43.110001,43.880001,42.150002,42.560001,3701300,41.814621
"2021-01-14",42.759998,42.869999,42.200001,42.419998,2296300,41.677074
"2021-01-15",42.150002,43.119999,42.150002,42.700001,2287400,41.952171
"2021-01-19",43.060001,44.049999,42.810001,44.009998,2870300,43.239223
"2021-01-20",44.48,47.110001,44.220001,46.689999,4897300,45.872295
"2021-01-21",47.450001,48.18,46.779999,47.560001,3919100,46.727058
"2021-01-22",47.93,49.07,46.970001,48.889999,4171500,48.033764
"2021-01-25",49.5,50.23,48.549999,48.98,3743900,48.122185
"2021-01-26",49.009998,50.110001,47.330002,47.630001,3456800,46.79583
"2021-01-27",47.02,48.220001,46.240002,47.25,5520200,46.422485
"2021-01-28",43.869999,45.549999,42.59,44.57,5479300,43.789421
"2021-01-29",45,45.139999,43.09,43.5,3781300,42.738163
"2021-02-01",43.990002,44.900002,43.119999,44.77,3273200,43.98592
"2021-02-02",45.099998,46.330002,44.279999,45.970001,2936800,45.164906
"2021-02-03",45.889999,46.689999,45.549999,46.360001,3447600,45.548077
"2021-02-04",46.360001,47.650002,45.66,47.099998,2278600,46.275108
"2021-02-05",47.450001,48.139999,46.810001,48.130001,3379700,47.287071
"2021-02-08",48.48,49.400002,48.02,49.259998,2509600,48.397282
"2021-02-09",49.389999,49.389999,48.220001,49.200001,1792900,48.338337
"2021-02-10",49.279999,49.880001,48.299999,49.360001,2689500,48.495529
"2021-02-11",49.73,50.099998,49.27,49.509998,2840900,48.642902
"2021-02-12",49.259998,49.66,48.18,48.48,2088100,47.630943
"2021-02-16",48.650002,48.650002,46.450001,46.669998,3559800,45.852642
"2021-02-17",46.130001,46.919998,45.419998,46.169998,2949500,45.361397
"2021-02-18",46.259998,46.66,45.310001,45.470001,3310300,44.673668
"2021-02-19",45.799999,46.610001,45.799999,46.389999,2288100,45.577545
"2021-02-22",46.16,46.580002,45.43,45.439999,2029600,44.64418
"2021-02-23",45.299999,46,44.09,45.919998,2892600,45.11578
"2021-02-24",45.700001,47,44.450001,46.919998,2829300,46.098267
"2021-02-25",46.490002,46.5,43.529999,43.939999,3043500,43.170456
"2021-02-26",44.490002,45.73,43.830002,45.110001,3121200,44.319969
"2021-03-01",45.790001,46.400002,45.400002,45.470001,2895300,44.673668
"2021-03-02",45.610001,46.470001,45.02,46.189999,2417900,45.38105
"2021-03-03",45.880001,46.099998,44.240002,44.27,3377200,43.494675
"2021-03-04",44.34,45.470001,42.310001,43.779999,3895600,43.013256
"2021-03-05",44.150002,45.939999,42.919998,45.740002,2926500,44.938934
"2021-03-08",46,48.119999,46,47.41,2640600,46.579685
"2021-03-09",48.060001,48.75,47.080002,47.34,2716600,46.510918
"2021-03-10",47.650002,49.380001,47.119999,48.830002,2879500,47.974815
"2021-03-11",49.040001,49.349998,47.830002,48.25,2039400,47.541275
"2021-03-12",47.040001,48.310001,46.189999,47.93,2974800,47.225983
"2021-03-15",48.119999,49.73,47.669998,49.700001,3006500,48.969975
"2021-03-16",49.900002,50.360001,48.939999,49.09,2485300,48.368938
"2021-03-17",48.759998,51.009998,48.169998,50.990002,4732800,50.241035
"2021-03-18",50.549999,50.630001,47.93,48.25,4212600,47.541275
"2021-03-19",48.25,49.369999,47.849998,48.990002,4456500,48.270412
"2021-03-22",49.240002,49.450001,48.220001,49.07,2994900,48.349236
"2021-03-23",49.049999,49.630001,47.959999,48.34,2237800,47.629955
"2021-03-24",48.52,49.740002,48.200001,48.209999,2229500,47.501869
"2021-03-25",47.490002,50.400002,47.310001,50.139999,3905400,49.403515
"2021-03-26",50.560001,52.669998,50.139999,52.619999,3434900,51.847084
"2021-03-29",53.119999,53.66,51.43,51.610001,3578200,50.851925
"2021-03-30",52.09,52.950001,51.060001,52.75,2563900,51.975182
"2021-03-31",53,53.119999,52.27,52.439999,2475000,51.669731
"2021-04-01",53,53.529999,52.549999,53.48,2469200,52.694454
"2021-04-05",53.84,53.98,53.060001,53.830002,2113500,53.039318
"2021-04-06",53.740002,54.110001,53.439999,53.990002,2730200,53.196972
"2021-04-07",54.18,54.220001,53.25,53.529999,2081200,52.743725
"2021-04-08",53.639999,53.900002,52.849998,53.150002,2696800,52.369305
"2021-04-09",52.970001,54.700001,52.630001,54.560001,2498300,53.758591
"2021-04-12",54.599998,54.709999,53.52,54.099998,2804900,53.305351
"2021-04-13",53.82,54.16,52.959999,54.049999,2535500,53.256081
"2021-04-14",54,54.380001,53.43,53.5,2437000,52.714161
"2021-04-15",54,54.099998,53.389999,53.450001,2945300,52.664898
"2021-04-16",53.700001,54.490002,53.540001,54.220001,3348800,53.423592
"2021-04-19",54.48,54.57,53.169998,53.709999,2648300,52.921078
"2021-04-20",53.73,54.369999,51.549999,52.509998,2685700,51.738701
"2021-04-21",52.5,53.380001,52.41,53.16,1521200,52.379158
"2021-04-22",53,53.5,52.439999,53.18,2667700,52.398861
"2021-04-23",53.380001,54.16,53.049999,53.91,1974000,53.118137
"2021-04-26",54.599998,55.07,54.110001,54.790001,3686400,53.985214
"2021-04-27",56.369999,58.080002,56.360001,57.139999,5103100,56.300697
"2021-04-28",57.43,58.889999,57.099998,58.68,3342500,57.818073
"2021-04-29",59.110001,60.080002,58.709999,59.810001,3480700,58.93148
"2021-04-30",59.610001,59.66,58.259998,59.119999,2556600,58.251606
"2021-05-03",59.700001,60.66,59.650002,60.330002,3011300,59.44384
"2021-05-04",60.049999,61.200001,59.669998,60.900002,2806600,60.00547
"2021-05-05",61.34,61.560001,60.349998,61.119999,3220300,60.222237
"2021-05-06",61.439999,61.610001,60.029999,60.610001,2717400,59.71973
"2021-05-07",60.720001,62.009998,59.849998,61.73,2725100,60.823277
"2021-05-10",61.919998,63.91,61.619999,62.349998,3009300,61.43417
"2021-05-11",61.540001,61.98,59.150002,59.540001,3499600,58.665443
"2021-05-12",59.080002,59.299999,55.16,55.41,4718100,54.596111
"2021-05-13",55.759998,58.490002,55.669998,58.060001,4288100,57.207188
"2021-05-14",58.459999,59.32,58.099998,58.459999,1969400,57.601307
"2021-05-17",58.209999,58.419998,56.610001,57.990002,2142500,57.13821
"2021-05-18",58.110001,58.259998,56.029999,56.130001,2365800,55.305534
"2021-05-19",55.130001,56.25,54.279999,55.580002,3139900,54.763611
"2021-05-20",55.540001,56.459999,55.360001,56.060001,1496400,55.236561
"2021-05-21",56.459999,57.16,55.740002,55.77,2408500,54.950821
"2021-05-24",56.220001,56.470001,55.939999,56.02,1776300,55.197151
"2021-05-25",56.369999,57.41,56.369999,56.529999,2182500,55.699657
"2021-05-26",56.779999,58.259998,56.610001,57.619999,2794100,56.773643
"2021-05-27",58,58.400002,57.389999,57.880001,4695100,57.029827
"2021-05-28",58.59,58.639999,57.400002,57.790001,2566800,56.941151
"2021-06-01",58.560001,58.830002,57.639999,58.16,2522400,57.305714
"2021-06-02",58.16,58.610001,56.799999,57.360001,3181600,56.517464
"2021-06-03",56.779999,57.189999,55.619999,56.310001,1999800,55.482891
"2021-06-04",56.740002,57.009998,55.759998,56.950001,2060100,56.113491
"2021-06-07",57,57.169998,56.18,56.709999,2006400,55.877007
"2021-06-08",56.970001,57.240002,56.560001,56.959999,1940800,56.123341
"2021-06-09",57.599998,57.639999,55.610001,55.84,2925400,55.019791
"2021-06-10",55.509998,55.77,53.66,53.990002,4254800,53.330677
"2021-06-11",54.259998,54.93,54.060001,54.34,2608700,53.676403
"2021-06-14",54.150002,54.77,53.09,53.529999,3265700,52.876289
"2021-06-15",53.810001,54.490002,53.380001,54.209999,1988700,53.547989
"2021-06-16",54.080002,54.279999,53.07,53.119999,2534200,52.471298
"2021-06-17",53.040001,54.41,52.84,53.720001,3266500,53.063972
"2021-06-18",53.130001,54.66,52.990002,53.669998,5238700,53.01458
"2021-06-21",53.959999,54.490002,53.549999,54.200001,2075400,53.538109
"2021-06-22",54.32,54.59,53.75,54.389999,2808000,53.725788
"2021-06-23",54.52,54.549999,53.150002,53.490002,1755600,52.836777
"2021-06-24",53.490002,53.860001,52.720001,53.419998,3341900,52.767628
"2021-06-25",53.470001,53.98,53.150002,53.610001,3957300,52.955315
"2021-06-28",53.970001,54.669998,53.400002,54.470001,3034700,53.804817
"2021-06-29",54.509998,56.139999,54.509998,55.540001,4589400,54.86174
"2021-06-30",54.099998,55.18,54.099998,54.57,4474000,53.903587
"2021-07-01",54.599998,56.200001,54.450001,55.82,3119000,55.138329
"2021-07-02",56.110001,56.139999,54.959999,55.240002,2021500,54.565411
"2021-07-06",55.02,55.18,53.169998,53.919998,2638600,53.261528
"2021-07-07",54.23,55.700001,54.07,55.110001,3177800,54.437
"2021-07-08",53.639999,54.130001,52.459999,52.709999,3393000,52.066307
"2021-07-09",53.240002,53.880001,52.810001,53.23,1882000,52.579952
"2021-07-12",52.860001,53.360001,52.540001,53.16,1705400,52.510807
"2021-07-13",52.849998,52.869999,51.330002,51.669998,2288100,51.039005
"2021-07-14",52.119999,52.48,51.580002,51.75,1570600,51.118031
"2021-07-15",51.400002,52.080002,50.970001,51.549999,1902500,50.920471
"2021-07-16",51.599998,52.549999,50.889999,51,2125600,50.377186
"2021-07-19",50.09,51.360001,50.009998,50.919998,2418600,50.298164
"2021-07-20",50.93,52.380001,50.75,52.209999,1846900,51.572411
"2021-07-21",52.43,53.25,52.279999,52.849998,1964600,52.204594
"2021-07-22",52.299999,52.68,51.400002,52.490002,2183400,51.848995
"2021-07-23",52.810001,54.369999,52.790001,54.07,2133100,53.409698
"2021-07-26",54.18,54.799999,53.16,53.360001,2610200,52.708366
"2021-07-27",51.990002,53.490002,51.540001,53.389999,3665900,52.738003
"2021-07-28",53.57,54.07,52.459999,52.630001,1859300,51.987282
"2021-07-29",53.259998,55.59,53.130001,55.060001,2837800,54.387611
"2021-07-30",54.5,55.689999,54.5,54.869999,2227800,54.199928
"2021-08-02",55.27,55.599998,54.790001,54.959999,2655700,54.288826
"2021-08-03",55.040001,55.41,54.380001,55.369999,1652400,54.693821
"2021-08-04",54.860001,55.540001,53.279999,53.290001,2268700,52.639221
"2021-08-05",53.41,54.119999,53.119999,53.490002,1829400,52.836777
"2021-08-06",53.700001,54.049999,52.720001,52.950001,1754100,52.303375
"2021-08-09",52.709999,53.32,52.41,52.57,1272600,51.928013
"2021-08-10",52.470001,54.139999,52.32,53.439999,1933800,52.787388
"2021-08-11",53.310001,55.549999,52.950001,55.369999,2254200,54.693821
"2021-08-12",55.459999,55.84,54.259998,54.459999,1960000,53.794937
"2021-08-13",54.57,54.869999,53.91,54.34,1213200,53.676403
"2021-08-16",54.130001,55.16,53.740002,54.619999,1417200,53.95298
"2021-08-17",53.91,54.27,52.060001,52.450001,1914600,51.809479
"2021-08-18",52.02,53.389999,51.57,52.349998,1953000,51.710701
"2021-08-19",51.639999,52.349998,51.369999,51.740002,1711600,51.108154
"2021-08-20",51.630001,53.02,51.529999,52.709999,1664900,52.066307
"2021-08-23",52.779999,52.779999,51.400002,52.439999,1708000,51.799603
"2021-08-24",52.82,54.419998,52.619999,53.59,1544000,52.935562
"2021-08-25",53.639999,54.66,53.560001,54.220001,1496200,53.557865
"2021-08-26",54.23,54.369999,53.290001,53.82,1858500,53.16275
"2021-08-27",54.040001,55.34,53.830002,54.880001,2023700,54.209805
"2021-08-30",55.110001,55.110001,54.150002,54.16,1431700,53.4986
"2021-08-31",54.349998,54.419998,53.32,53.860001,3790900,53.202259
"2021-09-01",54.049999,54.73,53.700001,54.689999,2018000,54.022125
"2021-09-02",54.869999,55.080002,54.029999,54.200001,1435700,53.538109
"2021-09-03",54,54.369999,52.810001,53.389999,2156500,52.738003
"2021-09-07",53.07,53.560001,52.57,52.720001,2126500,52.076183
"2021-09-08",49.799999,50.84,49.509998,49.529999,5656000,48.925137
"2021-09-09",49.389999,49.57,48.43,48.48,4649100,47.887962
"2021-09-10",48.869999,49.07,47.849998,47.93,2457600,47.344677
"2021-09-13",48.419998,48.490002,47.419998,48.279999,3240900,47.690403
"2021-09-14",48.619999,48.880001,46.919998,47.18,2767200,46.603836
"2021-09-15",46.970001,47.619999,46.650002,47.580002,4232900,46.998955
"2021-09-16",47.439999,48.98,47.439999,48.220001,2480300,47.631142
"2021-09-17",47.779999,48.91,47.700001,48.639999,4720600,48.185905
"2021-09-20",47.549999,48.310001,46.759998,47.369999,2994200,46.927765
"2021-09-21",47.310001,47.68,46.59,47.099998,1958800,46.660286
"2021-09-22",47.610001,48.610001,47.310001,47.880001,2596900,47.433002
"2021-09-23",48.099998,48.43,47.299999,47.360001,2569100,46.917862
"2021-09-24",47.259998,47.759998,46.779999,47.490002,2243400,47.046646
"2021-09-27",47.25,48.48,46.869999,48.34,3253200,47.88871
