"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2020-10-21",118.5,125.18,118.120003,125,2965200,120.192818
"2020-10-22",123.32,126.860001,122.879997,126.139999,2267000,121.288979
"2020-10-23",127.43,127.550003,123.82,125.970001,1375900,121.125519
"2020-10-26",123.849998,124.019997,120.510002,121.540001,1331800,116.865883
"2020-10-27",121.019997,122.449997,119.029999,119.089996,1159000,114.510101
"2020-10-28",117.18,122.32,116.709999,121.5,2899800,116.827423
"2020-10-29",121.040001,123.739998,118.919998,122.459999,2595800,117.750504
"2020-10-30",121.669998,122.790001,118.849998,120.709999,2630300,116.067802
"2020-11-02",123.07,124.309998,120.419998,123.919998,1765700,119.15435
"2020-11-03",125.5,127.510002,125.110001,126.339996,1546200,121.481285
"2020-11-04",122.699997,127.110001,122.510002,123.400002,2424100,118.654358
"2020-11-05",124.029999,128.550003,123.639999,127.510002,1363000,122.606293
"2020-11-06",127.839996,129.080002,126.57,127,1044200,122.115906
"2020-11-09",138.449997,138.470001,134.130005,134.279999,2734300,129.115921
"2020-11-10",135.279999,136.820007,134.100006,136.360001,1591100,131.115952
"2020-11-11",136.089996,136.600006,133.850006,134.960007,966300,129.769806
"2020-11-12",133.979996,133.979996,131.190002,132.399994,1289500,127.308235
"2020-11-13",133.770004,135.089996,132.630005,134.630005,1135000,129.452469
"2020-11-16",137.800003,138.979996,134.979996,136.289993,1163500,131.048615
"2020-11-17",136.080002,136.179993,134.080002,135.039993,1218000,129.846695
"2020-11-18",135.440002,137.279999,134.259995,134.369995,1333200,129.202484
"2020-11-19",133.119995,134.179993,131.460007,133.869995,1118600,128.721695
"2020-11-20",132.949997,134.800003,132.679993,134.550003,1322400,129.375549
"2020-11-23",135.559998,135.559998,133.630005,134.630005,918000,129.452469
"2020-11-24",136.800003,136.940002,134.759995,136.389999,2098500,131.144791
"2020-11-25",135.559998,136.5,134.029999,136.020004,986700,130.789032
"2020-11-27",135.679993,135.679993,133.550003,134.440002,538000,129.269806
"2020-11-30",133.160004,134,129.570007,129.649994,2684100,124.663979
"2020-12-01",132.509995,134.240005,131.990005,133.410004,1218300,128.279404
"2020-12-02",132.580002,134.279999,132.419998,134.039993,948400,128.885162
"2020-12-03",133.75,135.619995,132.429993,135.089996,980800,129.894791
"2020-12-04",135.539993,136.190002,134.210007,136.160004,934600,130.923645
"2020-12-07",134.619995,135.050003,133.429993,133.899994,970900,128.750549
"2020-12-08",133.070007,135.800003,132.75,135.259995,1113300,130.058243
"2020-12-09",134.899994,135.809998,134.389999,134.910004,1600100,130.542068
"2020-12-10",134.479996,137.539993,134.399994,136.710007,1352800,132.283798
"2020-12-11",134.800003,136.649994,133.660004,134.949997,1273500,130.580765
"2020-12-14",136.190002,136.779999,133.669998,133.990005,1344500,129.651855
"2020-12-15",134.710007,137.320007,134.320007,137.259995,975600,132.815964
"2020-12-16",137.729996,137.970001,136.220001,137.440002,1253300,132.990143
"2020-12-17",137.75,138.830002,137.75,138.029999,1428800,133.561035
"2020-12-18",138.589996,139.779999,137.5,138.860001,3347100,134.364182
"2020-12-21",139.149994,139.149994,136.259995,138.149994,1373200,133.677155
"2020-12-22",137.539993,137.899994,136.259995,136.479996,1186600,132.061203
"2020-12-23",137.289993,138.559998,136.910004,137.949997,1901500,133.483643
"2020-12-24",138.059998,138.639999,136.839996,138.490005,416800,134.006165
"2020-12-28",138.830002,139.880005,138.470001,139.190002,1100300,134.683487
"2020-12-29",139.580002,139.649994,138.029999,138.350006,859000,133.870667
"2020-12-30",138.949997,139.899994,138.850006,139.080002,1253800,134.577057
"2020-12-31",139.080002,140.539993,138.110001,140.369995,970200,135.825272
"2021-01-04",140.630005,140.660004,134.320007,135.649994,1559700,131.258118
"2021-01-05",135.720001,136.449997,133.119995,134.529999,937700,130.174362
"2021-01-06",136.130005,139.139999,135.460007,139.100006,1278900,134.59642
"2021-01-07",139.520004,139.720001,137.720001,139.070007,1258100,134.567383
"2021-01-08",139.210007,139.770004,137.899994,139.649994,995100,135.128571
"2021-01-11",138.679993,139.350006,137.220001,137.429993,1017200,132.980469
"2021-01-12",137.529999,140.710007,137.369995,140.419998,830100,135.873657
"2021-01-13",140.009995,142.740005,139.600006,142.25,1409200,137.644409
"2021-01-14",142.429993,143.130005,141.110001,142.320007,1621900,137.712143
