"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-10-26",130.699997,131.570007,130.199997,130.639999,555300,129.9953
"2021-10-27",130.910004,131.229996,129.809998,129.880005,619100,129.239059
"2021-10-28",130.100006,132.130005,130.100006,131.990005,587700,131.338623
"2021-10-29",131.669998,133.520004,131.220001,132.399994,1139800,131.746597
"2021-11-01",132.529999,134.559998,132.529999,134.050003,1813900,133.388458
"2021-11-02",135,140.240005,134.259995,139.850006,2387900,139.159851
"2021-11-03",140.149994,141.199997,138.970001,141.020004,1581100,140.324066
"2021-11-04",141.759995,141.880005,139.660004,140.399994,979100,139.707123
"2021-11-05",141.710007,143.220001,140.570007,140.940002,1095600,140.244461
"2021-11-08",142.089996,142.5,139.100006,139.369995,774400,138.682205
"2021-11-09",139.300003,139.880005,138.449997,139.360001,681700,138.672256
"2021-11-10",139.169998,140.009995,138.5,139.419998,770400,138.731949
"2021-11-11",139.679993,140.089996,138.550003,138.720001,452700,138.035416
"2021-11-12",138.929993,140.320007,138.289993,140.259995,575700,139.56781
"2021-11-15",140.740005,140.740005,139.369995,140.089996,703500,139.398651
"2021-11-16",140.279999,142.449997,140.089996,141.410004,799100,140.712128
"2021-11-17",141.199997,141.380005,140.139999,141.330002,965900,140.632538
"2021-11-18",141.770004,141.860001,140.559998,141.080002,564100,140.383759
"2021-11-19",141.429993,143.160004,140.690002,142.479996,1289200,141.77684
"2021-11-22",142.529999,143.470001,141.940002,141.979996,718600,141.279312
"2021-11-23",142.619995,143.139999,141.119995,143.110001,953800,142.403748
"2021-11-24",142.729996,143.550003,141.800003,143.110001,908800,142.403748
"2021-11-26",140.169998,141.139999,138.589996,139.089996,1313600,138.40358
"2021-11-29",140.179993,141.220001,139.520004,140.009995,894700,139.319046
"2021-11-30",139.119995,139.630005,136.240005,136.5,1714000,135.82637
"2021-12-01",138.820007,140.039993,135.710007,135.800003,864000,135.129822
"2021-12-02",136.380005,139.820007,136.009995,138.869995,840300,138.184662
"2021-12-03",139.289993,140.100006,136.990005,139.139999,1173700,138.453323
"2021-12-06",140.419998,140.880005,138.559998,140.009995,803800,139.319046
"2021-12-07",141,142.110001,139.839996,140.399994,703900,139.906967
"2021-12-08",140.570007,141.240005,139.210007,141.059998,626700,140.564651
"2021-12-09",140.850006,141.850006,140.300003,141.089996,849000,140.594543
"2021-12-10",141.789993,142.839996,141.059998,142.75,678200,142.248718
"2021-12-13",142.809998,143.490005,142.130005,142.5,1153000,141.999603
"2021-12-14",143.220001,143.699997,140.470001,141.139999,1022400,140.644363
"2021-12-15",141.600006,144.490005,140.720001,144.279999,903700,143.773346
"2021-12-16",144.929993,145.059998,142.139999,143.850006,1122600,143.344864
"2021-12-17",143.149994,143.729996,139.179993,139.830002,1836400,139.338974
"2021-12-20",138.559998,139.789993,136.940002,138.990005,1285400,138.501938
"2021-12-21",140.119995,141.190002,139.020004,140.600006,671100,140.106277
"2021-12-22",140.559998,141.690002,140.179993,141.050003,540000,140.554703
"2021-12-23",141.429993,143.279999,141.429993,142.570007,584600,142.069351
"2021-12-27",143.330002,145.619995,142.979996,145.330002,514300,144.819672
"2021-12-28",145.520004,146.639999,145.5,146.360001,687300,145.846039
"2021-12-29",146.509995,148.070007,146.169998,147.410004,454600,146.892365
"2021-12-30",147.729996,147.910004,146.369995,146.470001,353600,145.955658
"2021-12-31",146.350006,147.779999,146.169998,147.039993,408800,146.523651
"2022-01-03",147.25,147.399994,142.759995,143.669998,850400,143.165482
"2022-01-04",144.5,146.520004,143.929993,146.089996,774000,145.576981
"2022-01-05",146.580002,147.520004,143.289993,143.429993,1050900,142.926331
"2022-01-06",143.759995,146.020004,143.210007,145.149994,761100,144.640289
"2022-01-07",145.100006,145.820007,142.320007,142.380005,834300,141.880035
"2022-01-10",141.039993,141.369995,138.460007,140.229996,973300,139.737564
"2022-01-11",140.580002,142.669998,138.600006,142.580002,883600,142.079315
"2022-01-12",143.820007,145.279999,143.029999,143.610001,828600,143.105698
