"","PEG.Open","PEG.High","PEG.Low","PEG.Close","PEG.Volume","PEG.Adjusted"
"2020-07-01",49.18,50.450001,48.939999,49.75,2616900,46.510231
"2020-07-02",50.220001,50.599998,49.939999,50.110001,1594000,46.84679
"2020-07-06",50.669998,51.48,50.080002,50.619999,2351700,47.323574
"2020-07-07",50.07,50.369999,49.5,50.290001,1822500,47.015068
"2020-07-08",50.130001,51.07,49.98,50.869999,2636400,47.557297
"2020-07-09",50.369999,50.43,49.060001,49.790001,2981900,46.547626
"2020-07-10",49.790001,51.029999,49.66,50.59,3166000,47.295532
"2020-07-13",50.959999,51.98,50.720001,51.810001,3269200,48.436092
"2020-07-14",51.740002,52.09,51.040001,51.52,2643800,48.16497
"2020-07-15",52.189999,53.200001,51.599998,52.400002,3863100,48.987663
"2020-07-16",52.389999,53.07,51.880001,52.91,1951800,49.464451
"2020-07-17",53.16,55.09,53.029999,55.080002,4412900,51.493141
"2020-07-20",54.529999,54.59,52.790001,52.82,2038200,49.38031
"2020-07-21",52.349998,53.23,52.09,52.27,2058500,48.866135
"2020-07-22",51.950001,53.060001,51.119999,52.990002,2923500,49.539246
"2020-07-23",52.849998,53.470001,52.380001,52.709999,1810200,49.277477
"2020-07-24",52.990002,53.43,52.09,52.27,1694100,48.866135
"2020-07-27",52.169998,52.32,51.009998,51.990002,1704000,48.604362
"2020-07-28",51.849998,52.650002,51.849998,52.41,1553700,48.997017
"2020-07-29",52.549999,52.669998,51.849998,52.59,2133600,49.165291
"2020-07-30",51.970001,52.549999,51.560001,52.389999,1394200,48.978313
"2020-07-31",51.970001,56.130001,51.970001,55.939999,4457800,52.297131
"2020-08-03",55.5,55.68,53.959999,54.470001,2912900,50.922863
"2020-08-04",54.57,56.209999,54.349998,55.650002,2686000,52.026016
"2020-08-05",55.93,55.93,54.400002,54.580002,1944200,51.025696
"2020-08-06",53.639999,54.700001,53.360001,54.630001,1777500,51.072445
"2020-08-07",54.139999,55.939999,54.139999,55.650002,1801200,52.026016
"2020-08-10",55.77,56.130001,55.240002,55.349998,1511900,51.745556
"2020-08-11",55.77,56.23,54.419998,54.470001,1531000,50.922863
"2020-08-12",54.709999,55.860001,54.52,55.529999,1987400,51.913834
"2020-08-13",55.130001,55.66,54.689999,55.459999,1439200,51.848392
"2020-08-14",55.380001,55.639999,54.790001,55.169998,1016900,51.577274
"2020-08-17",55.040001,55.16,54.43,54.720001,1419500,51.156578
"2020-08-18",54.66,54.98,53.970001,54.529999,2050800,50.978954
"2020-08-19",54.740002,54.759998,54.139999,54.34,1197800,50.801323
"2020-08-20",53.93,54.240002,53.599998,53.849998,1121300,50.343239
"2020-08-21",54.060001,54.060001,52.810001,53.279999,2082200,49.810349
"2020-08-24",53.470001,53.919998,52.970001,53.900002,1390500,50.389984
"2020-08-25",54.040001,54.049999,53.049999,53.599998,1280100,50.10952
"2020-08-26",53.049999,53.080002,52.130001,52.450001,1475500,49.034409
"2020-08-27",52.77,53,51.91,52.290001,2205300,48.88483
"2020-08-28",52.310001,52.360001,51.560001,52.16,2792600,48.763294
"2020-08-31",52.200001,52.5,51.91,52.240002,1916500,48.838085
"2020-09-01",51.82,51.82,50.75,51,1463200,47.678829
"2020-09-02",50.93,53.099998,50.689999,52.919998,2202000,49.473797
"2020-09-03",53.27,53.73,51.540001,52.029999,1680800,48.641754
"2020-09-04",52.169998,52.630001,51.360001,52.52,2271900,49.099846
"2020-09-08",52.119999,52.220001,51.119999,52,2656000,49.071541
"2020-09-09",52.290001,54.09,52.189999,53.43,3619000,50.421005
"2020-09-10",52.970001,53.369999,52.279999,52.299999,2377100,49.354645
"2020-09-11",52.360001,52.580002,51.5,52.389999,1606100,49.439575
"2020-09-14",52.599998,52.77,52.16,52.48,1422300,49.524506
"2020-09-15",52.689999,52.689999,51.48,51.650002,1762500,48.741249
"2020-09-16",51.689999,53.169998,51.459999,53,2213800,50.015221
"2020-09-17",52.509998,53.110001,51.91,52.240002,1931500,49.298027
"2020-09-18",52,52.48,51.040001,51.330002,3654300,48.43927
"2020-09-21",50.849998,51.549999,50.32,51.169998,1681300,48.28828
"2020-09-22",51.869999,52.740002,51.540001,52.470001,2112200,49.515068
"2020-09-23",52.52,52.75,51.830002,51.919998,1890500,48.996044
"2020-09-24",51.860001,53.939999,51.66,53.470001,3414700,50.458752
"2020-09-25",53.060001,54.349998,52.790001,54.130001,2392700,51.081585
"2020-09-28",54.57,55.169998,54.290001,54.349998,1622100,51.289192
"2020-09-29",54.599998,55.349998,54.349998,54.799999,1802400,51.713844
"2020-09-30",55.18,55.400002,54.529999,54.91,2886800,51.817654
"2020-10-01",54.959999,55.369999,54.470001,55.07,2277700,51.968647
"2020-10-02",54.59,56.41,54.18,55.950001,3631400,52.799091
"2020-10-05",56.049999,56.900002,55.560001,56.32,1907900,53.148247
"2020-10-06",56.389999,56.950001,55.560001,55.900002,2456000,52.7519
"2020-10-07",56.380001,57.34,56.380001,57.029999,2112200,53.81826
"2020-10-08",57.130001,58.490002,57.119999,58.400002,1463500,55.111115
"2020-10-09",58.639999,58.689999,57.349998,57.560001,2202700,54.318417
"2020-10-12",57.52,58.040001,57.240002,57.759998,1943700,54.507149
"2020-10-13",57.279999,57.959999,56.799999,57.919998,2469800,54.658142
"2020-10-14",57.919998,58.669998,57.849998,58.02,1386400,54.752514
"2020-10-15",57.5,58.880001,57.41,58.450001,1445100,55.158298
"2020-10-16",58.68,59.830002,58.259998,59.5,2545400,56.14917
"2020-10-19",59.540001,59.860001,59.049999,59.5,1946800,56.14917
"2020-10-20",59.779999,60.080002,59.490002,59.889999,1519800,56.517204
"2020-10-21",59.779999,60.169998,59.470001,59.52,2199300,56.168034
"2020-10-22",59.669998,60.889999,59.139999,60.869999,1571400,57.442009
"2020-10-23",60.939999,61.060001,60.439999,60.919998,1845300,57.489193
"2020-10-26",60.450001,60.990002,59.98,60.98,1840200,57.545818
"2020-10-27",60.959999,61.889999,60.77,61,1789900,57.564686
"2020-10-28",60.23,60.709999,58.509998,58.68,2509500,55.375343
"2020-10-29",58.509998,60.299999,58.16,59.720001,2627700,56.356781
"2020-10-30",59.169998,59.720001,57.43,58.150002,3240600,54.875195
"2020-11-02",58.889999,59.18,58,58.490002,3326100,55.196041
"2020-11-03",59.490002,60.02,58.880001,59.32,1702300,55.979301
"2020-11-04",59.439999,60.16,58.25,58.400002,1898400,55.111115
"2020-11-05",58.880001,59.639999,58.299999,58.790001,1721800,55.479153
"2020-11-06",58.599998,59.139999,58.389999,58.419998,1502700,55.129982
"2020-11-09",61.040001,62.150002,60.299999,60.380001,2495700,56.979607
"2020-11-10",60.41,60.740002,59.860001,60.73,1931500,57.309898
"2020-11-11",61.119999,61.240002,60.130001,60.880001,1655800,57.45145
"2020-11-12",60.119999,60.27,58.779999,59.18,1859900,55.847183
"2020-11-13",59.57,59.93,59.150002,59.380001,3022200,56.035927
"2020-11-16",60.43,60.509998,59.259998,59.52,4382900,56.168034
"2020-11-17",59.310001,59.450001,58.939999,59.049999,3758800,55.724506
"2020-11-18",59.380001,59.380001,57.759998,57.82,2652000,54.563774
"2020-11-19",57.82,57.82,56.84,57.619999,2496900,54.375038
"2020-11-20",57.799999,58.43,57.349998,58.209999,5497100,54.931808
"2020-11-23",58.509998,58.900002,58,58.419998,2038400,55.129982
"2020-11-24",58.669998,59.900002,58.450001,59.68,2299100,56.319027
"2020-11-25",59.669998,60,59.41,59.970001,1982500,56.592693
"2020-11-27",59.810001,59.970001,58.849998,59.349998,898700,56.00761
"2020-11-30",59.080002,59.080002,58.18,58.279999,3996400,54.997875
"2020-12-01",58.889999,59.259998,57.34,57.509998,2521500,54.271233
"2020-12-02",57.34,58.040001,57.009998,57.700001,3046900,54.450531
"2020-12-03",57.400002,57.889999,56.849998,57.630001,2688100,54.384476
"2020-12-04",57.580002,57.939999,57.290001,57.630001,3045000,54.384476
"2020-12-07",57.380001,57.970001,57.18,57.529999,2085500,54.290108
"2020-12-08",57.240002,57.400002,56.669998,57.23,2509500,54.007008
"2020-12-09",56.939999,57.25,56.470001,56.889999,1597100,54.149776
"2020-12-10",56.700001,57.07,55.82,56.599998,1697100,53.873749
"2020-12-11",56.209999,56.779999,56.119999,56.48,1626100,53.759529
"2020-12-14",56.869999,57.369999,56.23,56.43,2589600,53.711933
"2020-12-15",56.779999,57.93,56.380001,57.810001,1990900,55.025467
"2020-12-16",57.630001,58.18,57.060001,57.150002,2054000,54.397255
"2020-12-17",57.529999,57.959999,57.169998,57.189999,2246900,54.435329
"2020-12-18",57.169998,57.400002,56.400002,56.82,4616500,54.083153
"2020-12-21",56.27,56.91,55.91,56.470001,3160300,53.750011
"2020-12-22",56.459999,56.689999,56.150002,56.389999,2009200,53.673862
"2020-12-23",56.799999,57.330002,56.529999,56.529999,1527700,53.807121
"2020-12-24",56.540001,57.189999,56.509998,57.150002,773000,54.397255
"2020-12-28",57.639999,57.700001,57.189999,57.32,1038700,54.559067
"2020-12-29",57.419998,57.900002,56.900002,57.080002,1946300,54.330631
"2020-12-30",56.959999,57.669998,56.959999,57.360001,1188100,54.597141
"2020-12-31",57.279999,58.34,57.189999,58.299999,1860400,55.491863
"2021-01-04",58.139999,58.91,55.540001,55.73,3856800,53.04565
"2021-01-05",55.709999,56.049999,54.959999,55.740002,2882500,53.055172
"2021-01-06",56.240002,57.049999,55.860001,56.91,2320500,54.168816
"2021-01-07",56.799999,57.02,55.779999,56.099998,2791700,53.397831
"2021-01-08",56.189999,57.490002,56.119999,57.310001,2925800,54.549549
"2021-01-11",57.040001,57.459999,56.610001,56.98,2500900,54.235443
"2021-01-12",56.950001,57.540001,56.330002,57.349998,2356000,54.58762
"2021-01-13",57.580002,58.889999,57.41,58.68,2677500,55.853561
"2021-01-14",58.419998,58.68,57.75,57.779999,1894100,54.99691
"2021-01-15",57.709999,59.560001,57.32,59.380001,3101300,56.519848
"2021-01-19",59.630001,59.630001,58.110001,58.18,2093700,55.377647
"2021-01-20",58,59.450001,57.560001,59.259998,2486000,56.405621
"2021-01-21",59.099998,59.330002,58.27,58.349998,1749300,55.539452
"2021-01-22",58.060001,58.59,57.639999,58.360001,1375700,55.548973
"2021-01-25",58.290001,58.939999,57.810001,58.52,2284200,55.701263
