"","IT.Open","IT.High","IT.Low","IT.Close","IT.Volume","IT.Adjusted"
"2020-07-01",121.120003,122.5,119.57,120.029999,362500,120.029999
"2020-07-02",121.690002,122.82,119.739998,120.330002,328000,120.330002
"2020-07-06",122.389999,123.43,121.709999,122.529999,565400,122.529999
"2020-07-07",121.589996,122.970001,120.919998,121.010002,816000,121.010002
"2020-07-08",121.349998,122.93,120.510002,121.839996,438800,121.839996
"2020-07-09",120.769997,121.550003,116.510002,118.160004,369200,118.160004
"2020-07-10",117.730003,119.099998,117.089996,118.940002,315400,118.940002
"2020-07-13",120.18,122.010002,119.160004,119.510002,477000,119.510002
"2020-07-14",119.120003,120.059998,117.379997,119.889999,601300,119.889999
"2020-07-15",122.160004,126.860001,122.139999,126.739998,498700,126.739998
"2020-07-16",126.129997,126.68,123.940002,124.510002,345400,124.510002
"2020-07-17",125.019997,125.019997,122.550003,123.089996,472200,123.089996
"2020-07-20",122.639999,123.68,121.790001,123.370003,386600,123.370003
"2020-07-21",124.629997,125.699997,122.989998,123.379997,245200,123.379997
"2020-07-22",123,124.769997,123,124.669998,194200,124.669998
"2020-07-23",124.199997,127.360001,124.199997,125.870003,578700,125.870003
"2020-07-24",125.769997,126.059998,123.790001,124.690002,378700,124.690002
"2020-07-27",124.599998,125.989998,123.449997,125.370003,317800,125.370003
"2020-07-28",124.75,125.739998,123.650002,123.849998,294600,123.849998
"2020-07-29",124.239998,127.019997,124.230003,126.739998,236900,126.739998
"2020-07-30",125.110001,125.779999,123.230003,125.599998,258400,125.599998
"2020-07-31",125.510002,126.190002,123.790001,124.639999,578200,124.639999
"2020-08-03",125.769997,126.739998,123.870003,125.660004,897900,125.660004
"2020-08-04",130.880005,132.479996,125.209999,126.300003,1155500,126.300003
"2020-08-05",127.790001,131.240005,127.589996,129.389999,492000,129.389999
"2020-08-06",129.399994,131.660004,128.820007,130.660004,374200,130.660004
"2020-08-07",129.5,131.600006,128.740005,131.539993,455000,131.539993
"2020-08-10",131.449997,132.720001,131.039993,132.630005,331700,132.630005
"2020-08-11",133.100006,134.399994,131.240005,131.580002,398900,131.580002
"2020-08-12",132.190002,132.630005,130.460007,130.789993,462500,130.789993
"2020-08-13",130.300003,132.660004,130.300003,131.130005,203000,131.130005
"2020-08-14",130.210007,131.009995,128.940002,129.490005,157500,129.490005
"2020-08-17",129.729996,129.949997,127.809998,128.020004,352100,128.020004
"2020-08-18",128.089996,128.410004,127.18,127.639999,251200,127.639999
