"","IT.Open","IT.High","IT.Low","IT.Close","IT.Volume","IT.Adjusted"
"2020-08-19",128.080002,128.220001,126.620003,127.620003,310900,127.620003
"2020-08-20",127.510002,128.940002,127.07,127.760002,298900,127.760002
"2020-08-21",127.639999,128.300003,126.650002,128.139999,275600,128.139999
"2020-08-24",129.009995,132.399994,128.729996,131.649994,473600,131.649994
"2020-08-25",132.5,134.259995,130.5,132.059998,365700,132.059998
"2020-08-26",132.100006,132.100006,129.960007,131.509995,251600,131.509995
"2020-08-27",131.679993,132.789993,129.800003,130.720001,194400,130.720001
"2020-08-28",130.800003,131.539993,129.610001,131.479996,300100,131.479996
"2020-08-31",131.479996,131.479996,129.5,129.820007,278400,129.820007
"2020-09-01",129.360001,130.309998,128.660004,130.059998,264700,130.059998
"2020-09-02",130.449997,134.330002,130.119995,134,248100,134
"2020-09-03",133.5,133.929993,130.5,131.580002,494100,131.580002
"2020-09-04",132.300003,132.880005,128.940002,131.179993,429900,131.179993
"2020-09-08",129.059998,129.979996,127.720001,128.600006,322700,128.600006
"2020-09-09",129.589996,132.699997,128.520004,131.279999,357400,131.279999
"2020-09-10",131.449997,132.559998,127.800003,127.919998,328200,127.919998
"2020-09-11",128.270004,128.270004,125.57,126.639999,257800,126.639999
"2020-09-14",127.839996,132.649994,127.839996,132.559998,473300,132.559998
"2020-09-15",132.979996,134.580002,132.479996,134.190002,307000,134.190002
"2020-09-16",135,136.089996,132.279999,132.970001,399000,132.970001
"2020-09-17",131.949997,133.990005,130.559998,132.320007,323400,132.320007
"2020-09-18",132.240005,133.470001,129.899994,131.130005,544000,131.130005
"2020-09-21",128.830002,129.559998,125.129997,126.410004,367900,126.410004
"2020-09-22",126.300003,127.139999,123.720001,126.709999,407300,126.709999
"2020-09-23",126.739998,128.179993,123.900002,124,344800,124
"2020-09-24",123.419998,124.589996,121.800003,123.059998,358600,123.059998
"2020-09-25",122.510002,125.739998,121.160004,125.650002,350100,125.650002
"2020-09-28",127.519997,127.959999,126.330002,126.529999,325200,126.529999
"2020-09-29",126.389999,127.919998,125.110001,125.230003,291400,125.230003
"2020-09-30",125.919998,127.220001,124.589996,124.949997,366500,124.949997
"2020-10-01",125.839996,127.279999,124.629997,125.720001,302900,125.720001
"2020-10-02",123.82,126.440002,123.260002,125.339996,295600,125.339996
"2020-10-05",126.739998,126.949997,125.330002,125.980003,300800,125.980003
"2020-10-06",126.43,127.970001,123.660004,124.209999,396600,124.209999
"2020-10-07",124.5,126,123.860001,125.620003,482000,125.620003
"2020-10-08",126.970001,128.600006,126.449997,126.830002,553000,126.830002
"2020-10-09",128.119995,128.570007,126,126.400002,653700,126.400002
"2020-10-12",127.199997,127.889999,125.059998,126.809998,406800,126.809998
"2020-10-13",125.989998,128.820007,125.519997,128,1005200,128
"2020-10-14",128,129.880005,124.589996,124.769997,558200,124.769997
"2020-10-15",123.220001,130.369995,123.220001,129.589996,741400,129.589996
"2020-10-16",130.270004,131.710007,129.119995,130.070007,465800,130.070007
"2020-10-19",130.740005,131.520004,123.629997,124.339996,499800,124.339996
"2020-10-20",125.18,126.870003,124.330002,125.440002,400300,125.440002
"2020-10-21",125.360001,128.720001,125.360001,127.879997,371100,127.879997
"2020-10-22",127.470001,128.300003,125.360001,127.519997,216000,127.519997
"2020-10-23",128.720001,128.770004,126.669998,128.130005,203300,128.130005
"2020-10-26",126.5,126.5,122,124.029999,346700,124.029999
"2020-10-27",123.900002,124.639999,121.769997,121.940002,277500,121.940002
"2020-10-28",119.300003,120.230003,116.559998,117.449997,517600,117.449997
"2020-10-29",116.68,119.309998,115.860001,118.279999,265300,118.279999
"2020-10-30",117.68,120.349998,117.129997,120.099998,580900,120.099998
"2020-11-02",121.440002,125.889999,121.260002,125.019997,591100,125.019997
"2020-11-03",137.690002,143.440002,137.490005,140.800003,1162800,140.800003
"2020-11-04",141.600006,144.869995,139.199997,142.259995,767500,142.259995
"2020-11-05",144.149994,146.470001,143.720001,146.25,558800,146.25
"2020-11-06",145.399994,149,144.369995,147.979996,497300,147.979996
"2020-11-09",156.690002,162.940002,155.649994,155.850006,967000,155.850006
"2020-11-10",156.360001,159.940002,154.410004,157.440002,638800,157.440002
"2020-11-11",157.139999,158.639999,155.940002,156.800003,320500,156.800003
"2020-11-12",155.660004,156.110001,151.960007,153,264500,153
"2020-11-13",154.429993,159,154.429993,157.979996,440100,157.979996
"2020-11-16",160.100006,160.880005,157.779999,159.020004,419300,159.020004
"2020-11-17",158.070007,159.210007,157.449997,158.710007,452500,158.710007
"2020-11-18",158.800003,159.259995,154.020004,154.020004,365600,154.020004
"2020-11-19",153.179993,154.160004,151.190002,152.270004,359900,152.270004
"2020-11-20",153.300003,153.570007,151.649994,152.559998,351000,152.559998
"2020-11-23",153,154.029999,151.929993,152.610001,250000,152.610001
"2020-11-24",154.350006,156.289993,153.429993,154.679993,482900,154.679993
"2020-11-25",154.350006,154.720001,153.259995,153.869995,200800,153.869995
"2020-11-27",154.25,154.589996,152.410004,152.550003,153800,152.550003
"2020-11-30",152.259995,153.720001,150.369995,152,557000,152
"2020-12-01",152.970001,155.600006,152.600006,153.949997,430200,153.949997
"2020-12-02",153.699997,154.679993,152.910004,154.100006,255100,154.100006
"2020-12-03",153.259995,155.270004,152.350006,152.699997,306900,152.699997
"2020-12-04",153.199997,156.699997,153.089996,154.919998,290300,154.919998
"2020-12-07",154.119995,156.550003,153.619995,155.539993,357100,155.539993
"2020-12-08",154.899994,156.539993,153.139999,153.619995,295000,153.619995
"2020-12-09",154.25,156.350006,153.929993,154.580002,373100,154.580002
"2020-12-10",153.470001,156.320007,151.759995,156.009995,362400,156.009995
"2020-12-11",154.880005,156.869995,153.259995,154.770004,330900,154.770004
"2020-12-14",155.479996,156.789993,154.520004,154.589996,319500,154.589996
"2020-12-15",155.619995,157.929993,154.770004,157.809998,295500,157.809998
"2020-12-16",158.100006,158.509995,156.039993,157.309998,307500,157.309998
"2020-12-17",158.699997,159.149994,156.660004,157.050003,351300,157.050003
"2020-12-18",157.199997,158.369995,154.699997,157.940002,966700,157.940002
"2020-12-21",155.990005,157.100006,152.679993,156.5,367100,156.5
"2020-12-22",155.839996,157.429993,154.610001,156.429993,243200,156.429993
"2020-12-23",156.460007,159.089996,156.460007,157.039993,308000,157.039993
"2020-12-24",158,159.360001,157.410004,158.630005,150900,158.630005
"2020-12-28",160,160.770004,158.929993,159.210007,206500,159.210007
"2020-12-29",160.589996,160.589996,157.850006,158.380005,171600,158.380005
"2020-12-30",158.630005,159.779999,158.380005,158.550003,202400,158.550003
"2020-12-31",158.539993,160.429993,157.800003,160.190002,282900,160.190002
"2021-01-04",159.889999,160.660004,155.320007,158.070007,439800,158.070007
"2021-01-05",158.199997,160.479996,157.259995,159.710007,298200,159.710007
"2021-01-06",160.899994,166.419998,160.899994,163.789993,566300,163.789993
"2021-01-07",165.220001,166.820007,164.350006,166.199997,400400,166.199997
"2021-01-08",166.210007,169.300003,166.210007,169.100006,379600,169.100006
"2021-01-11",166.339996,167.899994,165.899994,167.179993,316600,167.179993
"2021-01-12",167.350006,169.770004,167.350006,168.580002,583400,168.580002
"2021-01-13",168.869995,168.869995,163.919998,165.229996,470100,165.229996
"2021-01-14",165.850006,165.919998,162.529999,162.880005,226300,162.880005
"2021-01-15",161.259995,162.550003,159.809998,160.410004,362200,160.410004
"2021-01-19",161.470001,162.240005,159.399994,159.440002,303400,159.440002
"2021-01-20",160.399994,162.029999,158.479996,161.580002,431800,161.580002
"2021-01-21",161.020004,161.990005,158.380005,161.360001,339500,161.360001
"2021-01-22",160.360001,161.080002,159.029999,160.410004,495200,160.410004
"2021-01-25",159,160.869995,155.119995,159.520004,341900,159.520004
"2021-01-26",160.309998,160.309998,156.130005,157.089996,237400,157.089996
"2021-01-27",154.160004,155.330002,149.740005,151.580002,549000,151.580002
"2021-01-28",153.669998,158.210007,153,157.190002,454800,157.190002
"2021-01-29",156.279999,156.279999,151.190002,151.910004,586600,151.910004
"2021-02-01",153.75,155.419998,152.149994,154.009995,347600,154.009995
"2021-02-02",155.190002,156.919998,154.240005,155.550003,493100,155.550003
"2021-02-03",155.660004,160.589996,155.320007,159.449997,404500,159.449997
"2021-02-04",158.880005,163.100006,158.880005,163.070007,390600,163.070007
"2021-02-05",164.029999,165.490005,162.570007,164.5,513700,164.5
"2021-02-08",165.880005,168.809998,165.009995,168.110001,726000,168.110001
"2021-02-09",183.610001,191.660004,181.779999,183.720001,925300,183.720001
"2021-02-10",183.440002,183.600006,178.910004,180.639999,598400,180.639999
"2021-02-11",180.830002,182.630005,178.339996,181.529999,798300,181.529999
"2021-02-12",180.940002,183.860001,180.809998,182.929993,983400,182.929993
"2021-02-16",182.369995,183.550003,176.369995,178.770004,871800,178.770004
"2021-02-17",177.880005,180.399994,176.779999,178.240005,376400,178.240005
"2021-02-18",176.369995,182.210007,176.070007,180.789993,358700,180.789993
"2021-02-19",182.029999,185.089996,180.779999,183.949997,480100,183.949997
"2021-02-22",181.350006,185.339996,180.699997,184.479996,416600,184.479996
"2021-02-23",183.910004,185.009995,180.25,182.919998,392000,182.919998
"2021-02-24",182.050003,184.779999,181.389999,183.160004,778800,183.160004
"2021-02-25",183.080002,184.75,176.860001,177.860001,529600,177.860001
"2021-02-26",179.029999,181.919998,177.589996,179.039993,528700,179.039993
"2021-03-01",181.119995,184.600006,181.119995,184.190002,572300,184.190002
"2021-03-02",183.360001,184.339996,180.559998,183.270004,555400,183.270004
"2021-03-03",182.399994,185.039993,180.580002,182.630005,399000,182.630005
"2021-03-04",182.059998,182.639999,176.25,177.770004,580600,177.770004
"2021-03-05",180.369995,184.190002,175.179993,183.470001,441400,183.470001
"2021-03-08",185.679993,189.729996,185.160004,186.600006,546200,186.600006
"2021-03-09",187.509995,188.990005,183.139999,183.610001,700700,183.610001
"2021-03-10",183.589996,186,183.589996,184.029999,402700,184.029999
"2021-03-11",185.300003,188,184.979996,186.229996,388500,186.229996
"2021-03-12",186.110001,186.940002,185.470001,186.820007,417600,186.820007
"2021-03-15",185.759995,186.639999,185,185.720001,418700,185.720001
"2021-03-16",185.729996,187.720001,184.429993,187.410004,395200,187.410004
"2021-03-17",187.350006,187.639999,182.759995,184.5,510800,184.5
"2021-03-18",183.440002,186.419998,182.610001,183.100006,631800,183.100006
"2021-03-19",182.529999,184.229996,181.720001,182.850006,772500,182.850006
"2021-03-22",183.080002,184.320007,182.619995,183.039993,410600,183.039993
"2021-03-23",182.75,183.570007,180.729996,181.619995,477700,181.619995
"2021-03-24",182.339996,184.479996,180.789993,181.100006,691400,181.100006
"2021-03-25",181.550003,182.539993,179.589996,181.800003,885800,181.800003
"2021-03-26",183.440002,185.929993,182.360001,185.839996,1135700,185.839996
"2021-03-29",184.949997,185.990005,181.149994,181.690002,663500,181.690002
"2021-03-30",181.809998,182.350006,181.440002,181.729996,833600,181.729996
"2021-03-31",181.300003,183.369995,181.300003,182.550003,750800,182.550003
"2021-04-01",184.100006,188.110001,183.479996,187.270004,740400,187.270004
"2021-04-05",188.110001,191.639999,187.919998,189.889999,581500,189.889999
"2021-04-06",189.179993,190.309998,188.160004,189.279999,1014000,189.279999
"2021-04-07",189.550003,191.350006,185.270004,187.100006,2214200,187.100006
"2021-04-08",187.440002,189.169998,186.389999,186.600006,678300,186.600006
"2021-04-09",186.759995,188.240005,185.949997,188.190002,979900,188.190002
"2021-04-12",187.740005,190.279999,187.029999,188.449997,658800,188.449997
"2021-04-13",187.990005,189.949997,187.610001,189.070007,623000,189.070007
"2021-04-14",189.369995,191.509995,188.160004,188.610001,471800,188.610001
"2021-04-15",189.570007,191.210007,189.070007,190.600006,332600,190.600006
"2021-04-16",191.020004,192.889999,191.020004,191.979996,527700,191.979996
"2021-04-19",191.460007,192.630005,190.910004,191.940002,365400,191.940002
"2021-04-20",191.270004,192.809998,189.449997,191.429993,638400,191.429993
"2021-04-21",191.479996,194.330002,191.479996,193.419998,529400,193.419998
"2021-04-22",193.509995,197,192.850006,195.600006,535800,195.600006
"2021-04-23",196.199997,200.369995,196.199997,199.419998,603400,199.419998
"2021-04-26",199.490005,199.970001,197.139999,197.630005,528700,197.630005
"2021-04-27",197.740005,198.479996,196.75,198.130005,386400,198.130005
"2021-04-28",198.529999,199.479996,197.270004,197.470001,372800,197.470001
"2021-04-29",198.470001,198.860001,197.149994,198,368200,198
"2021-04-30",196.289993,197.800003,195.529999,195.880005,433200,195.880005
"2021-05-03",197.210007,198.350006,196.039993,197.410004,472600,197.410004
"2021-05-04",232.970001,239.089996,219.300003,225.490005,2727100,225.490005
"2021-05-05",228.240005,233.970001,220.75,230.940002,1689500,230.940002
"2021-05-06",231,232.759995,227.169998,231.429993,646400,231.429993
"2021-05-07",231.479996,234.330002,230.539993,234,675200,234
"2021-05-10",232.649994,235.550003,231.160004,231.160004,634400,231.160004
"2021-05-11",228.710007,229.940002,224.220001,225.309998,1088400,225.309998
"2021-05-12",225.160004,227.210007,222.820007,223.009995,452900,223.009995
"2021-05-13",224.449997,230.070007,224.139999,229.600006,586700,229.600006
"2021-05-14",230.979996,232.789993,230.320007,231.100006,385300,231.100006
"2021-05-17",228.949997,230.110001,227.429993,228.699997,365100,228.699997
"2021-05-18",229.520004,229.520004,225.190002,225.539993,816100,225.539993
"2021-05-19",223.320007,227.160004,221.5,227.130005,667000,227.130005
"2021-05-20",227.710007,233.869995,226.889999,231.869995,567400,231.869995
"2021-05-21",231.970001,235.119995,231.300003,231.949997,571400,231.949997
"2021-05-24",232.490005,234.210007,231.850006,232.710007,435700,232.710007
"2021-05-25",234.080002,234.25,230.639999,231.729996,496600,231.729996
"2021-05-26",232.960007,233.279999,230.070007,232.149994,538500,232.149994
"2021-05-27",231.740005,234.380005,231.149994,233.110001,908100,233.110001
"2021-05-28",234.020004,234.020004,230.940002,231.839996,575500,231.839996
"2021-06-01",232.710007,234.25,231.339996,233.009995,829500,233.009995
"2021-06-02",233.949997,235.440002,232.080002,234,944300,234
"2021-06-03",232.830002,234.990005,231.970001,233.039993,474300,233.039993
"2021-06-04",234.820007,236.070007,231.419998,234.410004,817100,234.410004
"2021-06-07",234.339996,235.039993,228.580002,231.100006,796000,231.100006
"2021-06-08",231.710007,234.080002,229.660004,232.110001,836900,232.110001
"2021-06-09",231.669998,232.869995,230.190002,230.289993,538300,230.289993
"2021-06-10",230.479996,232.229996,228.490005,230.979996,744200,230.979996
"2021-06-11",231.550003,234.139999,231.509995,232.990005,513900,232.990005
"2021-06-14",232.440002,233.580002,228.880005,229.619995,1039600,229.619995
"2021-06-15",230.070007,234.839996,228.199997,234.800003,798200,234.800003
"2021-06-16",234.070007,234.520004,230.550003,233.75,662700,233.75
"2021-06-17",233.839996,235.119995,230.800003,233.869995,551100,233.869995
"2021-06-18",231.580002,235.149994,231.580002,233,1185600,233
"2021-06-21",234.360001,239.910004,233.380005,238.869995,767100,238.869995
"2021-06-22",238.789993,240.869995,235.630005,239.759995,636400,239.759995
"2021-06-23",240.050003,240.520004,238.229996,238.270004,404000,238.270004
"2021-06-24",240.110001,240.449997,237.089996,238.270004,708400,238.270004
"2021-06-25",238.289993,242.570007,237.809998,241.949997,814600,241.949997
"2021-06-28",242.199997,243.699997,238.779999,240.369995,475500,240.369995
"2021-06-29",242.160004,243.940002,241.270004,243.190002,460000,243.190002
"2021-06-30",241.860001,242.940002,239.679993,242.199997,532600,242.199997
"2021-07-01",243,249,242.869995,248.429993,684900,248.429993
"2021-07-02",248.320007,255.309998,248.320007,253.690002,1151200,253.690002
"2021-07-06",253.690002,254.970001,250.970001,254.380005,614600,254.380005
"2021-07-07",255.119995,258.309998,254.199997,257.029999,656800,257.029999
"2021-07-08",252.529999,257.119995,251.259995,254.229996,470700,254.229996
"2021-07-09",256.779999,257.290009,253.860001,256.869995,480400,256.869995
"2021-07-12",256.070007,257.540009,255.080002,256.640015,414600,256.640015
"2021-07-13",256.019989,257.320007,255.639999,255.669998,420300,255.669998
"2021-07-14",256.769989,256.769989,253.539993,254.350006,351000,254.350006
"2021-07-15",253.479996,255.220001,251.729996,253.979996,441800,253.979996
"2021-07-16",255.039993,255.990005,252.080002,253.360001,332300,253.360001
"2021-07-19",249.570007,254.089996,247.410004,253.869995,1106900,253.869995
"2021-07-20",254.770004,256.450012,253.550003,255.679993,755300,255.679993
"2021-07-21",256.48999,258.269989,254.880005,256.579987,489000,256.579987
"2021-07-22",256.850006,257.839996,253.309998,257.089996,589400,257.089996
"2021-07-23",258.899994,261.459991,258.600006,260.609985,409100,260.609985
"2021-07-26",260.25,263.609985,259,263.200012,545000,263.200012
"2021-07-27",262.339996,264.75,260.130005,264.73999,344000,264.73999
"2021-07-28",265.059998,265.350006,261.910004,262.100006,275000,262.100006
"2021-07-29",262.970001,265.190002,261.230011,263.220001,379800,263.220001
"2021-07-30",262.630005,265.279999,261.75,264.730011,443500,264.730011
"2021-08-02",265.970001,267.579987,264.079987,264.970001,864700,264.970001
"2021-08-03",271.880005,294.519989,270.480011,293.670013,1501600,293.670013
"2021-08-04",295.279999,299.5,289.549988,289.880005,964300,289.880005
"2021-08-05",291.779999,296.420013,289.670013,295.230011,887700,295.230011
"2021-08-06",296.959991,296.959991,288.040009,292.880005,675000,292.880005
"2021-08-09",292,292,286.559998,289.549988,452300,289.549988
"2021-08-10",289.480011,293.269989,288.149994,291.559998,358900,291.559998
"2021-08-11",292.089996,296.790009,291.570007,295.450012,597200,295.450012
"2021-08-12",294.76001,304.839996,294.380005,304.089996,828000,304.089996
"2021-08-13",301.73999,305.649994,301.329987,304.869995,513400,304.869995
"2021-08-16",304.23999,308.880005,301.23999,308.619995,456200,308.619995
"2021-08-17",307.660004,310.329987,305.640015,309.829987,741200,309.829987
"2021-08-18",309.130005,312.769989,301.649994,302.200012,800300,302.200012
"2021-08-19",299.51001,303.059998,297.23999,302.660004,676900,302.660004
"2021-08-20",304.01001,304.01001,300.429993,302.399994,491000,302.399994
"2021-08-23",304.769989,306.459991,301.640015,302.390015,648100,302.390015
"2021-08-24",302.350006,304.649994,300.619995,300.970001,446000,300.970001
"2021-08-25",301,307.850006,300.269989,307.190002,468500,307.190002
"2021-08-26",307.600006,308.470001,305.059998,306,414200,306
"2021-08-27",307.200012,309.920013,305.339996,307.799988,441300,307.799988
"2021-08-30",307.390015,309.359985,305.589996,307.209991,347500,307.209991
"2021-08-31",306.670013,309.920013,305.059998,308.73999,731100,308.73999
"2021-09-01",308.570007,310.730011,306.600006,309.309998,511100,309.309998
"2021-09-02",310.980011,312.440002,309.079987,311.799988,422900,311.799988
"2021-09-03",310.459991,317.429993,308.5,313.350006,368800,313.350006
"2021-09-07",313.480011,313.690002,307.070007,311.779999,583200,311.779999
"2021-09-08",311.48999,314.51001,309.700012,312.579987,391900,312.579987
"2021-09-09",312.459991,318.299988,312.109985,315.869995,532500,315.869995
"2021-09-10",316.51001,317.390015,311.890015,313.660004,505300,313.660004
"2021-09-13",314.73999,314.899994,306.089996,309.339996,477800,309.339996
"2021-09-14",310.890015,314.320007,310,310.600006,361600,310.600006
"2021-09-15",310.660004,317.660004,309.269989,316.970001,551600,316.970001
"2021-09-16",316.73999,317.910004,313.299988,315.929993,379800,315.929993
"2021-09-17",314.970001,317.329987,309.279999,310.329987,1463000,310.329987
"2021-09-20",304.019989,312.029999,302.200012,311.779999,421200,311.779999
"2021-09-21",314.059998,316.269989,307.359985,307.5,868500,307.5
"2021-09-22",309.320007,319.399994,308.950012,316.549988,729300,316.549988
"2021-09-23",319.75,324.799988,319.75,324.25,524900,324.25
"2021-09-24",321.890015,327.200012,321.890015,324.690002,332400,324.690002
"2021-09-27",323.869995,323.929993,312.839996,315.109985,411800,315.109985
"2021-09-28",312.220001,313.420013,303.609985,303.779999,621800,303.779999
"2021-09-29",306.380005,310.940002,305.019989,307.850006,464700,307.850006
"2021-09-30",309.220001,309.690002,302.690002,303.880005,561200,303.880005
"2021-10-01",305.480011,309.470001,302.48999,306.200012,883400,306.200012
"2021-10-04",304.890015,309.700012,299.980011,305.130005,675100,305.130005
"2021-10-05",307.459991,313.529999,306.829987,311.459991,507500,311.459991
"2021-10-06",308.209991,310.5,299.880005,304.200012,836400,304.200012
"2021-10-07",307.859985,309.76001,305.089996,305.299988,667100,305.299988
"2021-10-08",305.540009,307.470001,302.959991,304.100006,383300,304.100006
"2021-10-11",302.589996,305.130005,301.26001,301.480011,250500,301.480011
"2021-10-12",303.829987,304.48999,299.880005,301.059998,452400,301.059998
"2021-10-13",303.130005,306.869995,302.75,306.399994,326100,306.399994
"2021-10-14",308.98999,310.359985,306.380005,310.309998,457900,310.309998
"2021-10-15",312.429993,314.720001,311.070007,311.279999,330800,311.279999
"2021-10-18",310.779999,316.470001,309.5,315.859985,257300,315.859985
"2021-10-19",317.049988,320.390015,317.049988,319.959991,340900,319.959991
"2021-10-20",320.329987,320.329987,312.920013,315.160004,363100,315.160004
"2021-10-21",314.720001,319.940002,314.720001,319.829987,529600,319.829987
"2021-10-22",320.200012,324.769989,319.809998,324.51001,424400,324.51001
"2021-10-25",325.339996,326.390015,321.660004,323.190002,432600,323.190002
"2021-10-26",323.51001,327.209991,322.51001,326.420013,331100,326.420013
"2021-10-27",325.829987,325.829987,319.790009,320.880005,375500,320.880005
"2021-10-28",323.26001,327.730011,323.26001,326.839996,366300,326.839996
"2021-10-29",324.820007,332.299988,324.040009,331.910004,471100,331.910004
"2021-11-01",331.890015,333.160004,324.709991,328.399994,671200,328.399994
"2021-11-02",362.820007,369,330.339996,339.690002,1383400,339.690002
"2021-11-03",336.690002,336.850006,319.100006,325.619995,747000,325.619995
"2021-11-04",327.529999,335.809998,327.529999,330.709991,528100,330.709991
"2021-11-05",332.369995,336.149994,326.730011,331.459991,385800,331.459991
"2021-11-08",334.399994,335.579987,330.709991,333.850006,342500,333.850006
"2021-11-09",334.350006,339.589996,332.779999,339.339996,420400,339.339996
"2021-11-10",337,338.48999,327.160004,329.529999,285600,329.529999
"2021-11-11",330.880005,334.630005,327.51001,329.579987,362100,329.579987
"2021-11-12",330.619995,334.390015,329.450012,332.040009,214900,332.040009
"2021-11-15",332.660004,335.200012,331.209991,333.660004,185100,333.660004
"2021-11-16",333.579987,340.149994,331.799988,332.619995,404500,332.619995
"2021-11-17",333.450012,338.109985,331.290009,335.019989,272200,335.019989
"2021-11-18",336.73999,338.700012,334.600006,335.109985,296900,335.109985
"2021-11-19",338.160004,341.640015,334.429993,334.549988,472500,334.549988
"2021-11-22",334.529999,337.149994,321.709991,321.829987,410900,321.829987
"2021-11-23",321.420013,328.940002,319.880005,324,410700,324
"2021-11-24",321.609985,326.140015,319.579987,326.109985,691300,326.109985
"2021-11-26",322.920013,329.820007,319.420013,321.220001,325500,321.220001
"2021-11-29",324.519989,327.299988,323.709991,325,522100,325
"2021-11-30",324.98999,326.790009,310.589996,312.25,1112200,312.25
"2021-12-01",316.089996,317.890015,306.529999,306.529999,530800,306.529999
"2021-12-02",306,320.540009,305.410004,318.51001,492300,318.51001
"2021-12-03",321.070007,321.070007,305.600006,309.399994,331800,309.399994
"2021-12-06",308.470001,310.529999,303.730011,307.420013,319400,307.420013
"2021-12-07",313.399994,319.079987,312.220001,316.01001,550900,316.01001
"2021-12-08",317.089996,322.880005,315.220001,319.040009,398200,319.040009
"2021-12-09",318.209991,318.209991,310.880005,311.160004,252800,311.160004
"2021-12-10",313.179993,322.660004,311.829987,321.98999,440300,321.98999
"2021-12-13",321.980011,323.820007,317.920013,320.440002,432800,320.440002
"2021-12-14",315.799988,316.690002,307.079987,313.98999,370000,313.98999
"2021-12-15",314.269989,328.359985,311.799988,327.48999,483900,327.48999
"2021-12-16",328.160004,333.910004,323.429993,326.600006,540300,326.600006
"2021-12-17",321.700012,324.75,315.140015,320.070007,1103200,320.070007
"2021-12-20",312.23999,312.309998,302.549988,308.709991,579500,308.709991
"2021-12-21",311.769989,316.309998,306.779999,316.23999,369100,316.23999
"2021-12-22",317.25,324.820007,316.350006,324.660004,238900,324.660004
"2021-12-23",324.769989,328.959991,324.700012,325.529999,232000,325.529999
"2021-12-27",328.040009,335.600006,325.339996,335.579987,201300,335.579987
"2021-12-28",336.940002,337.640015,331.350006,332.839996,158100,332.839996
"2021-12-29",332.799988,337.48999,331.799988,336.299988,136000,336.299988
"2021-12-30",336.869995,337.899994,332.690002,332.799988,158700,332.799988
"2021-12-31",332,336.410004,330.980011,334.320007,217000,334.320007
"2022-01-03",334.529999,334.529999,319.980011,321.959991,385500,321.959991
"2022-01-04",322.929993,324.98999,318.829987,323.410004,313600,323.410004
"2022-01-05",320.769989,320.859985,303.190002,303.209991,432700,303.209991
"2022-01-06",303,308.829987,300.299988,306.230011,391900,306.230011
"2022-01-07",304.950012,306.25,299,299.390015,371500,299.390015
"2022-01-10",293.619995,293.970001,288.119995,293.690002,674100,293.690002
"2022-01-11",294.279999,299.25,288.200012,297.679993,559500,297.679993
"2022-01-12",300.589996,305.829987,299.779999,301.690002,386200,301.690002
"2022-01-13",301.720001,303.170013,290.609985,291.230011,327000,291.230011
"2022-01-14",287.079987,288.480011,282.040009,286.01001,443400,286.01001
"2022-01-18",279.940002,282.459991,277.75,278.049988,717200,278.049988
"2022-01-19",281.450012,286.529999,279.75,280.049988,435900,280.049988
