"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"2020-07-01",18.5,18.780001,17.700001,17.719999,13923300,17.081362
"2020-07-02",18.18,18.49,17.9,17.98,10301000,17.331991
"2020-07-06",18.469999,18.93,18.309999,18.75,11469600,18.074242
"2020-07-07",18.629999,18.629999,18.139999,18.18,9742500,17.524786
"2020-07-08",18.200001,18.610001,17.940001,18.07,10031300,17.418747
"2020-07-09",18,18.24,17.09,17.129999,12015300,16.512621
"2020-07-10",17.09,17.82,16.959999,17.790001,9806200,17.14884
"2020-07-13",17.99,18,17.35,17.379999,10945400,16.753616
"2020-07-14",17.27,18.440001,17.120001,18.389999,13525000,17.727215
"2020-07-15",19,19.27,18.549999,18.9,13852400,18.218832
"2020-07-16",18.76,19.219999,18.530001,18.82,9806100,18.141716
"2020-07-17",18.959999,19.18,18.450001,18.620001,8818600,17.948925
"2020-07-20",18.6,18.950001,18.389999,18.440001,13673700,17.775412
"2020-07-21",18.860001,19.92,18.76,19.559999,18805000,18.855047
"2020-07-22",19.299999,19.450001,18.91,19.17,12653600,18.479103
"2020-07-23",18.98,19.360001,18.780001,19.299999,13233200,18.604418
"2020-07-24",19.5,19.66,18.9,19.48,16738200,18.777929
"2020-07-27",19.700001,19.73,19.139999,19.68,15020100,18.970722
"2020-07-28",19.49,19.6,18.99,19.15,14551100,18.459826
"2020-07-29",19.1,19.48,18.950001,19.43,7444900,18.729733
"2020-07-30",19.049999,19.16,18.200001,18.440001,15563300,17.775412
"2020-07-31",18.110001,18.559999,17.92,18.139999,15338900,17.486223
"2020-08-03",18.1,18.969999,17.870001,18.719999,9618800,18.045319
"2020-08-04",18.68,19.360001,18.6,19.23,10141800,18.536942
"2020-08-05",19.66,19.950001,19.370001,19.5,9127500,18.797213
"2020-08-06",19.450001,19.690001,19.209999,19.32,6751100,18.623699
"2020-08-07",19.190001,19.65,19.02,19.629999,7084800,18.922523
"2020-08-10",19.559999,20.389999,19.48,20.219999,11555800,19.491259
"2020-08-11",20.860001,21.27,20.190001,20.299999,12373700,19.568377
"2020-08-12",20.66,20.76,19.809999,20.360001,14560900,19.626215
"2020-08-13",20.290001,20.290001,19.73,19.870001,8551500,19.153875
"2020-08-14",19.67,20.17,19.59,20.07,7290300,19.346668
"2020-08-17",19.950001,20.24,19.860001,20.01,8658100,19.288832
"2020-08-18",19.860001,20.15,19.68,19.77,7845500,19.057476
"2020-08-19",19.74,20.129999,19.629999,19.719999,8055100,19.009283
"2020-08-20",19.389999,19.58,18.77,18.77,10240700,18.093521
"2020-08-21",18.549999,18.700001,18.370001,18.58,8913900,17.910368
"2020-08-24",18.719999,19.73,18.67,19.549999,8702700,18.845407
"2020-08-25",19.969999,19.98,19.110001,19.26,11012500,18.565859
"2020-08-26",19.23,19.27,18.639999,18.67,7982000,17.997122
"2020-08-27",18.75,18.870001,18.440001,18.700001,8549000,18.026043
"2020-08-28",18.799999,19.459999,18.77,19.42,12613700,18.720093
"2020-08-31",19.5,19.540001,18.940001,19.01,13596300,18.324869
"2020-09-01",18.52,18.92,18.459999,18.629999,9446800,18.077431
"2020-09-02",18.530001,18.790001,18.360001,18.77,10875100,18.213282
