"","WTW.Open","WTW.High","WTW.Low","WTW.Close","WTW.Volume","WTW.Adjusted"
"2020-07-01",196.529999,198.240005,194.460007,195.25,450500,190.075241
"2020-07-02",199.389999,199.389999,195.75,196.600006,466400,191.389465
"2020-07-06",200,200.440002,197.070007,197.479996,406200,192.24614
"2020-07-07",197,198.880005,196.139999,196.580002,974000,191.37001
"2020-07-08",196.869995,199.720001,196.869995,199.240005,468400,193.959503
"2020-07-09",199.289993,200.639999,197.039993,199.020004,447400,193.745331
"2020-07-10",199.759995,202.690002,198.490005,202.330002,444300,196.967606
"2020-07-13",203.839996,204.639999,200.800003,201.470001,481200,196.130417
"2020-07-14",202.940002,205.789993,202.369995,203.949997,594100,198.544647
"2020-07-15",205.119995,206.960007,204.330002,206.119995,582500,200.65715
"2020-07-16",206.020004,208.070007,205.380005,207.490005,569600,201.99086
"2020-07-17",207.770004,209,206.649994,208.5,736500,202.974091
"2020-07-20",207.360001,209.119995,207.100006,207.929993,620300,202.419189
"2020-07-21",208.830002,210.990005,208.539993,210.979996,503400,205.388351
"2020-07-22",209.990005,212.679993,209.350006,212.509995,281600,206.877792
"2020-07-23",212.860001,213.429993,210.789993,212,502100,206.381348
"2020-07-24",212.649994,213.570007,210.860001,211.520004,413500,205.914063
"2020-07-27",211.639999,212.539993,209.490005,211.509995,271400,205.904297
"2020-07-28",211.309998,212.820007,209.320007,209.940002,463300,204.375931
"2020-07-29",209.309998,211.190002,208.080002,210.130005,619700,204.560883
"2020-07-30",209.220001,211.970001,207.029999,211.490005,394400,205.884842
"2020-07-31",211.279999,211.869995,205.449997,210.009995,561100,204.444061
"2020-08-03",210.729996,211.619995,204.080002,204.649994,744200,199.226105
"2020-08-04",205.169998,207.020004,202,204.729996,899700,199.304016
"2020-08-05",203.710007,205.039993,201.990005,202.520004,999400,197.152573
"2020-08-06",201.949997,202.690002,198.720001,199.949997,1010400,194.650665
"2020-08-07",198.800003,200.210007,197.610001,199.470001,682100,194.183426
"2020-08-10",199.940002,200.570007,196.699997,197.080002,427900,191.856766
"2020-08-11",198.509995,198.539993,195.809998,196,1232100,190.805359
"2020-08-12",197.699997,198.089996,194.479996,195.389999,1323200,190.211517
"2020-08-13",193.130005,199.130005,193.130005,198.75,542900,193.482498
"2020-08-14",198.410004,201.669998,198.410004,201.509995,433300,196.169342
"2020-08-17",201.039993,204.550003,201.039993,201.669998,669100,196.325104
"2020-08-18",202.190002,203,199.330002,201.309998,1160700,195.974625
"2020-08-19",201,204.710007,200.679993,203.300003,640200,197.911896
"2020-08-20",201.979996,203.619995,201.610001,202.100006,763400,196.743713
"2020-08-21",202.679993,202.679993,197.990005,198.080002,854700,192.830261
"2020-08-24",198.690002,198.75,193.119995,194.600006,1380800,189.442505
"2020-08-25",195.960007,199.479996,194.300003,197.259995,1344200,192.031982
"2020-08-26",196.190002,203.350006,195.220001,201.570007,895700,196.227783
"2020-08-27",202.100006,206.660004,201.320007,205.559998,616700,200.111984
"2020-08-28",206.800003,207.380005,204.479996,205.660004,601900,200.209366
"2020-08-31",205.729996,208,205.259995,205.529999,705500,200.082794
"2020-09-01",204.729996,208.809998,204.139999,208.369995,787900,202.847534
"2020-09-02",207.860001,216.869995,207.860001,216.169998,752700,210.440796
"2020-09-03",216.880005,218.779999,208.110001,209.440002,1006700,203.889191
"2020-09-04",211.009995,211.970001,205.720001,208.429993,645300,202.905914
"2020-09-08",206.559998,207.229996,203.009995,203.130005,863200,197.746414
"2020-09-09",205.020004,210.910004,204.940002,209.190002,681300,203.645828
"2020-09-10",209.789993,211.929993,207.270004,207.270004,480400,201.776688
"2020-09-11",207.429993,208.029999,204.419998,206.119995,628000,200.65715
"2020-09-14",207.869995,209.580002,204.990005,206.199997,935300,200.735062
"2020-09-15",207.460007,208.380005,205.860001,206.25,650200,200.783722
"2020-09-16",207.539993,209.229996,206.610001,206.940002,680900,201.455414
"2020-09-17",204.339996,207.410004,202.970001,205.710007,872200,200.258041
"2020-09-18",205.360001,208.429993,204.910004,205.309998,819900,199.868622
"2020-09-21",201.979996,203.899994,200.080002,202.529999,1588500,197.162323
"2020-09-22",201.740005,204.979996,199.619995,203.669998,1206700,198.272079
"2020-09-23",204.229996,209.539993,203.880005,203.990005,1111800,198.583618
"2020-09-24",202.699997,204.600006,197.720001,198.320007,1473800,193.063904
"2020-09-25",197.440002,200.529999,194.710007,198.669998,883700,193.404587
"2020-09-28",201.179993,208.520004,201.169998,206.850006,1121400,201.367828
"2020-09-29",204.830002,208.600006,204.830002,208.089996,681800,203.243103
"2020-09-30",211.330002,211.5,207.419998,208.820007,888500,203.9561
"2020-10-01",209.029999,210.839996,207.470001,210.080002,698200,205.186752
"2020-10-02",207.5,211.990005,207.460007,209.610001,489400,204.727676
"2020-10-05",210.809998,212.25,208.910004,210.139999,1392600,205.245361
"2020-10-06",211.339996,213.539993,208.25,209.050003,514300,204.180756
"2020-10-07",210.470001,212.770004,210.149994,211.119995,882400,206.202499
"2020-10-08",211.850006,216.149994,210.779999,211.070007,387900,206.153702
"2020-10-09",211.639999,213.729996,211.279999,211.440002,680500,206.515091
"2020-10-12",211.160004,217.960007,211.160004,217.029999,2366900,211.974869
"2020-10-13",216.520004,219.100006,212.210007,212.550003,549300,207.599243
"2020-10-14",213.020004,217.149994,212.210007,212.529999,443100,207.579666
"2020-10-15",209.990005,216.679993,209.990005,216.619995,647900,211.574417
"2020-10-16",217.270004,219.300003,216.300003,216.759995,466100,211.711151
"2020-10-19",216,217.740005,212.080002,212.710007,921300,207.755493
"2020-10-20",214.830002,214.830002,209.009995,209.399994,743600,204.522583
"2020-10-21",208.850006,213.029999,208.809998,209.369995,360600,204.493286
"2020-10-22",209.210007,210.169998,207.770004,209.559998,442700,204.678864
"2020-10-23",210.559998,210.559998,207.309998,209.75,342700,204.864441
"2020-10-26",207.880005,207.880005,201.320007,203.279999,730200,198.545135
"2020-10-27",202.850006,204.990005,200.25,200.440002,410500,195.771286
"2020-10-28",196.449997,197.169998,192.850006,193.910004,879500,189.393387
"2020-10-29",194.199997,194.199997,185.729996,186.25,1053100,181.911819
"2020-10-30",186.089996,187.660004,179.339996,182.479996,1144300,178.22963
"2020-11-02",182.720001,184.339996,179.309998,179.570007,832600,175.387436
"2020-11-03",183.570007,184.639999,180.199997,180.509995,1341200,176.305511
"2020-11-04",180.929993,187.979996,179.869995,184.25,1760100,179.958389
"2020-11-05",186.220001,189.520004,185.330002,186.720001,1003400,182.37085
"2020-11-06",188.509995,193.470001,185.669998,192.169998,373100,187.693909
"2020-11-09",198.460007,207.440002,194.119995,196,1166800,191.434677
"2020-11-10",196.369995,202.779999,195.119995,202.009995,673800,197.304703
"2020-11-11",202.389999,204.880005,201.619995,202.949997,1088500,198.222809
"2020-11-12",201.789993,203.759995,200.759995,202.199997,502100,197.49028
"2020-11-13",203.800003,207.699997,202.380005,206.809998,794600,201.992905
"2020-11-16",210,210.910004,207.699997,210.610001,826100,205.704376
"2020-11-17",208.660004,213.130005,205.339996,210.130005,1012200,205.23558
"2020-11-18",210.679993,211.320007,205.690002,205.699997,673800,200.908752
"2020-11-19",205.690002,207.059998,202.869995,204.490005,779200,199.726959
"2020-11-20",203.5,204.860001,198.600006,199.399994,1091600,194.755508
"2020-11-23",200.399994,204.529999,199.919998,203.919998,1374800,199.170227
"2020-11-24",205.509995,211.710007,205.25,209,826500,204.131897
"2020-11-25",207.960007,210.570007,205.369995,209.440002,691600,204.561646
"2020-11-27",208.679993,211.970001,207.990005,209.550003,564700,204.669083
"2020-11-30",211.479996,211.479996,207.229996,208.190002,1083600,203.340775
"2020-12-01",211.949997,214.25,211.300003,214.089996,704000,209.103378
"2020-12-02",212.869995,216.240005,211.75,212.490005,731900,207.540604
"2020-12-03",210.690002,213.949997,210.039993,212.820007,350600,207.86293
"2020-12-04",212.699997,215.839996,212.529999,214.490005,741700,209.494034
"2020-12-07",213.080002,216.490005,208.919998,209.449997,741700,204.571426
"2020-12-08",207.740005,211.990005,207.270004,210.860001,924600,205.948578
"2020-12-09",211.410004,212.990005,205.869995,207.570007,891200,202.735214
"2020-12-10",206.259995,207.979996,205.539993,206.820007,897300,202.002701
"2020-12-11",204.440002,208.440002,203.929993,204.399994,784700,199.639038
"2020-12-14",206.380005,208.679993,204.630005,205.759995,1171600,200.967361
"2020-12-15",207.490005,211.5,204.309998,210.009995,807000,205.118378
"2020-12-16",210.009995,214.149994,210.009995,211.979996,1087300,207.042511
"2020-12-17",211.820007,215.399994,211.820007,212.229996,1996400,207.286636
"2020-12-18",212.229996,212.360001,203.770004,204.889999,2271600,200.117645
"2020-12-21",204.479996,208.589996,200.080002,207.710007,2387100,202.871979
"2020-12-22",206.869995,211,205.119995,209.619995,2032900,204.737473
"2020-12-23",210.339996,212.669998,208.009995,208.820007,1233400,203.9561
"2020-12-24",208.410004,212.100006,208.380005,211.809998,293900,206.876465
"2020-12-28",212.100006,214.050003,207.850006,207.940002,934300,203.096588
"2020-12-29",208.889999,209.619995,207.080002,207.789993,399400,202.950073
"2020-12-30",207.529999,209.600006,205.399994,206.139999,692200,202.028839
"2020-12-31",205.759995,211.970001,205.699997,210.679993,599200,206.478302
"2021-01-04",210.679993,211.710007,203,203.699997,1654000,199.637512
"2021-01-05",204.119995,205.229996,199.990005,202,1435000,197.971405
"2021-01-06",203.779999,205.210007,200.600006,203.699997,1792300,199.637512
"2021-01-07",203.830002,207,202.559998,205.25,1324300,201.156586
"2021-01-08",206.25,207.110001,202.080002,203.639999,925300,199.57869
"2021-01-11",204.429993,204.429993,199.139999,199.229996,872100,195.256638
"2021-01-12",198.479996,202.110001,197.630005,199.949997,1075400,195.962296
"2021-01-13",199.75,205.119995,199.130005,204.270004,1148700,200.196121
"2021-01-14",204.539993,206.089996,200.910004,205.5,1049400,201.401596
"2021-01-15",203.589996,207.229996,203.589996,206.649994,979900,202.528656
"2021-01-19",207.009995,209.160004,206.080002,208.5,1007100,204.341766
"2021-01-20",208.839996,211.070007,207.309998,210.270004,887100,206.076462
"2021-01-21",210.229996,212.75,208.440002,208.570007,928400,204.41037
