"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"2020-07-01",98.5,98.720001,97.110001,97.400002,5733800,95.809174
"2020-07-02",98.779999,99.660004,98.019997,98.43,5354900,96.82235
"2020-07-06",99.620003,100.029999,99.040001,99.949997,4995000,98.317513
"2020-07-07",99.220001,99.550003,96.919998,97.07,6352900,95.48455
"2020-07-08",97.5,98.980003,96.959999,98.839996,5634600,97.225655
"2020-07-09",98.550003,98.910004,96.370003,96.989998,6282300,95.405853
"2020-07-10",97,98.050003,95.720001,97.989998,3967000,96.389534
"2020-07-13",98.25,98.940002,96.260002,96.459999,4845600,94.884521
"2020-07-14",96.330002,97.25,95.510002,96.760002,4850600,95.179626
"2020-07-15",98.410004,99.040001,97.309998,98.540001,5343700,96.930557
"2020-07-16",97.5,98.230003,97.040001,97.260002,3594700,95.671448
"2020-07-17",96.949997,97.230003,96.040001,96.279999,7405700,94.707466
"2020-07-20",95.5,96.349998,95.110001,95.650002,5822300,94.087761
"2020-07-21",96.919998,99,96.099998,98.360001,5855600,96.753487
"2020-07-22",98.160004,98.989998,97.910004,98.910004,4097000,97.294518
"2020-07-23",98.349998,100.18,97.720001,98.300003,4530500,96.694473
"2020-07-24",98.139999,99.360001,97.699997,98.43,5638400,96.82235
"2020-07-27",96.959999,98.400002,96.889999,97.209999,4273400,95.622269
"2020-07-28",96.949997,97.470001,96.160004,96.269997,3822600,94.697632
"2020-07-29",96.43,97.550003,96.300003,96.970001,6872400,95.386208
"2020-07-30",96.470001,97.230003,95.800003,96.82,4018400,95.23864
"2020-07-31",96.889999,97.650002,96.300003,97.610001,5509900,96.015739
"2020-08-03",98.029999,99.290001,97.82,98.330002,5472700,96.723976
"2020-08-04",97.790001,97.949997,96.550003,97.330002,7539300,95.740318
"2020-08-05",97.120003,101.25,97.080002,100.940002,7217500,99.291344
"2020-08-06",100.639999,101.18,100.029999,100.449997,4060900,98.809349
"2020-08-07",101,101.910004,99.889999,101.860001,5545600,100.196335
"2020-08-10",102.470001,106.830002,102.400002,105.410004,12678000,103.688347
"2020-08-11",106.849998,107.330002,104.860001,105.120003,5400700,103.403076
"2020-08-12",105.720001,105.889999,103.379997,105.220001,4714800,103.501442
"2020-08-13",105.300003,106.989998,105.199997,106.519997,4281700,104.780197
"2020-08-14",106.120003,106.779999,105.459999,106.43,2985700,104.691689
"2020-08-17",106.5,106.5,105.120003,105.660004,3017000,103.934258
"2020-08-18",106.459999,107,105.470001,106.970001,5023000,105.22287
"2020-08-19",107.690002,109.690002,107.349998,108.389999,9508100,106.619667
"2020-08-20",107.559998,108.739998,107.349998,108.010002,4304000,106.24588
"2020-08-21",108,109.769997,107.75,109.75,5564000,107.957458
"2020-08-24",110,112,109.900002,111.830002,8173100,110.003487
"2020-08-25",112,112.279999,111.089996,111.510002,4380900,109.688721
"2020-08-26",111.919998,112.089996,111.290001,111.529999,4477900,109.708389
"2020-08-27",111.989998,112.790001,110.5,110.839996,4390800,109.029648
"2020-08-28",111.010002,112.669998,110.57,112.290001,3731100,110.700661
"2020-08-31",112.139999,112.519997,111.139999,111.889999,3519800,110.30632
"2020-09-01",112,114.900002,111.830002,114.839996,4912400,113.214569
"2020-09-02",115.059998,117.410004,114.5,116.800003,6775400,115.146828
"2020-09-03",116.800003,116.900002,112,112.849998,7264400,111.252731
"2020-09-04",112.959999,113.75,110.209999,112.400002,5157600,110.809105
"2020-09-08",111.290001,113.839996,110.540001,112.720001,5300100,111.12458
"2020-09-09",113.019997,116.209999,112.830002,114.900002,5997900,113.273712
"2020-09-10",115.900002,118.230003,114,114.790001,5032800,113.165283
"2020-09-11",116.760002,119.25,116.419998,118,8565200,116.329842
"2020-09-14",118.5,119.93,118.169998,119.279999,4990300,117.591728
"2020-09-15",119.699997,120.480003,119.18,119.269997,5934200,117.581863
"2020-09-16",118.309998,119.690002,118.160004,118.589996,7023700,116.911491
"2020-09-17",117.339996,118.550003,115.800003,116.360001,7376400,114.713058
"2020-09-18",115.43,117.910004,114.489998,114.660004,12876600,113.037125
"2020-09-21",112.949997,114.059998,111.739998,113.370003,8486400,111.765366
"2020-09-22",113.099998,117.199997,112.849998,116.870003,13007200,115.215836
"2020-09-23",130.220001,130.380005,125.260002,127.110001,37822700,125.310883
"2020-09-24",126.440002,127.540001,123.300003,124.75,13485800,122.984291
"2020-09-25",123.650002,124.75,122.269997,124.230003,9182800,122.471664
"2020-09-28",125.160004,126.190002,123.889999,124.32,7525000,122.560387
"2020-09-29",124.339996,127.099998,123.959999,126.349998,7796400,124.561646
"2020-09-30",126.099998,127.279999,125.160004,125.540001,8699700,123.763123
"2020-10-01",127.730003,127.730003,125.309998,126.639999,5637200,124.847565
"2020-10-02",124.349998,126.800003,123.589996,126.639999,7491100,124.847565
"2020-10-05",127.07,128.5,126.449997,127.910004,8270300,126.099586
"2020-10-06",128.839996,130.440002,127.269997,127.650002,5978000,125.843254
"2020-10-07",128.399994,130.410004,128.25,130.059998,4390500,128.219147
"2020-10-08",130.399994,130.929993,129.509995,129.710007,3595600,127.874115
"2020-10-09",129.990005,131.190002,129.330002,130.979996,4293400,129.126099
"2020-10-12",131.190002,131.339996,129.259995,129.460007,5136500,127.627632
"2020-10-13",128.050003,129.869995,127.959999,129.199997,4245000,127.371307
"2020-10-14",129.529999,129.600006,127.010002,127.660004,3586600,125.853127
"2020-10-15",126.480003,129.100006,126.110001,129,4235800,127.174156
"2020-10-16",129.509995,130.190002,127.550003,128,6010900,126.188301
"2020-10-19",129.100006,129.779999,127.050003,127.43,5160800,125.626366
"2020-10-20",128,129.899994,127.720001,128.490005,3799200,126.671379
"2020-10-21",128.5,131.380005,128.449997,129.429993,4916300,127.598053
"2020-10-22",129.600006,130.259995,128.860001,130.020004,2869900,128.179733
"2020-10-23",130,130.600006,128.649994,129.990005,4046300,128.150146
"2020-10-26",129.059998,129.619995,126.68,128.369995,5422500,126.553055
"2020-10-27",128.779999,129.490005,127.900002,127.989998,2985700,126.178444
"2020-10-28",125.279999,126.400002,121.040001,122.080002,8618300,120.352089
"2020-10-29",122.279999,124.190002,121.150002,122.860001,4947000,121.121048
"2020-10-30",123.660004,123.660004,118.800003,120.080002,7791600,118.380402
"2020-11-02",122.370003,124.099998,121.099998,122.389999,4740400,120.657715
"2020-11-03",124.010002,125.5,123.190002,124.589996,3490900,122.826561
"2020-11-04",125.330002,128.929993,125.260002,127.339996,5061800,125.537643
"2020-11-05",129.190002,130.410004,128.460007,129.699997,3940000,127.864243
"2020-11-06",129.910004,129.910004,128.350006,128.899994,2954000,127.075569
"2020-11-09",135.059998,136.350006,128.770004,128.949997,7491700,127.12484
"2020-11-10",130.050003,130.119995,126.25,127.709999,8014700,125.902412
"2020-11-11",128.690002,129.800003,127.18,127.660004,6058700,125.853127
"2020-11-12",126.620003,127.839996,125.629997,126.639999,4780400,124.847565
"2020-11-13",127.910004,128.600006,126.830002,128.279999,3986100,126.46434
"2020-11-16",129.460007,130.320007,127.370003,130.110001,6116200,128.268433
"2020-11-17",130.479996,132.600006,129.110001,132.210007,7002900,130.338715
"2020-11-18",133.070007,133.979996,131.529999,131.630005,5572800,129.766937
"2020-11-19",131.919998,132.110001,129.929993,131.910004,4642800,130.042969
"2020-11-20",133.300003,133.529999,131.910004,132.979996,4318100,131.097794
"2020-11-23",134.380005,134.889999,133.089996,134.130005,6118400,132.231552
"2020-11-24",135,135.990005,134.210007,134.699997,7204700,132.793457
"2020-11-25",134.25,135.800003,133.619995,135.539993,4484500,133.621582
"2020-11-27",136,136.130005,133.339996,134.25,3506800,132.349838
"2020-11-30",133.910004,135.289993,132.690002,134.699997,9652500,132.793457
"2020-12-01",136.440002,136.5,134.75,135.440002,3833100,133.52301
"2020-12-02",135.160004,136.320007,134.669998,135.580002,4132700,133.661011
"2020-12-03",135.100006,137.949997,135,136.960007,4930900,135.0215
"2020-12-04",137.080002,137.399994,135.639999,137.190002,4344000,135.52034
"2020-12-07",137,138.860001,136.800003,138.75,4590800,137.061356
"2020-12-08",138.240005,140.440002,137.649994,139.119995,6953600,137.426834
"2020-12-09",140.570007,140.570007,138.270004,138.789993,4341300,137.100876
"2020-12-10",138.279999,139.139999,137.240005,137.580002,4511000,135.905609
"2020-12-11",137.389999,138.139999,136.229996,137.410004,4172400,135.737671
"2020-12-14",138.919998,139,136.199997,136.279999,7599000,134.621414
"2020-12-15",137.429993,139.440002,137.25,139.389999,7637000,137.693573
