"","LW.Open","LW.High","LW.Low","LW.Close","LW.Volume","LW.Adjusted"
"2020-07-01",63.869999,64.510002,62.950001,63.419998,784300,61.650116
"2020-07-02",64.709999,64.709999,63.279999,63.459999,757200,61.689007
"2020-07-06",64.860001,65,63.450001,64.050003,775200,62.262539
"2020-07-07",63.580002,63.700001,62.459999,63.049999,1085100,61.29044
"2020-07-08",62.650002,63.080002,60.73,61.849998,1326800,60.123928
"2020-07-09",61.279999,61.360001,58.98,59.959999,1589400,58.286678
"2020-07-10",59.939999,63.09,59.759998,63.009998,994800,61.25156
"2020-07-13",63.68,64.639999,63.005001,63.799999,873000,62.019508
"2020-07-14",63.630001,66.230003,63.09,66.150002,1202400,64.303925
"2020-07-15",67.779999,68.800003,66.970001,68.260002,1308900,66.355057
"2020-07-16",67.839996,68.360001,66.690002,66.919998,1104700,65.052437
"2020-07-17",67.260002,67.43,66.080002,66.400002,1004400,64.546951
"2020-07-20",66.230003,66.535004,64.760002,65,849500,63.18602
"2020-07-21",65.290001,67.260002,65.290001,65.940002,877400,64.099792
"2020-07-22",65.760002,68.279999,65.345001,68.160004,741500,66.257843
"2020-07-23",67.940002,69.440002,67.940002,68.720001,569800,66.8022
"2020-07-24",68.379997,68.830002,67.419998,67.790001,945000,65.898163
"2020-07-27",67.860001,71.029999,67.620003,70.5,1547300,68.532539
"2020-07-28",65.260002,68.480003,62.205002,62.419998,3554400,60.678017
"2020-07-29",62.220001,62.880001,59.610001,59.810001,2963100,58.140862
"2020-07-30",59.040001,60.470001,58.674999,59.32,1028500,57.664539
"2020-07-31",59.869999,60.080002,58.82,60.080002,971700,58.403332
"2020-08-03",60.240002,60.919998,59.25,60.130001,1057000,58.451931
"2020-08-04",60.209999,62.115002,60.209999,61.740002,853400,60.017006
"2020-08-05",62.119999,63.029999,61.509998,62.799999,1082600,61.047413
"2020-08-06",61.900002,63.700001,61.783001,63.5,1249000,61.954788
"2020-08-07",63.119999,63.459999,62.540001,62.75,879900,61.223034
"2020-08-10",63.009998,64.93,62.880001,64.57,736500,62.998749
"2020-08-11",65.410004,65.489998,63.884998,64.209999,799700,62.647507
"2020-08-12",64.870003,64.870003,63.450001,64.379997,792900,62.813362
"2020-08-13",64.029999,65.589996,63.720001,64.690002,571900,63.115833
"2020-08-14",64.209999,64.949997,63.43,64.650002,604700,63.076809
"2020-08-17",64.919998,65.150002,63.32,63.450001,869400,61.906002
"2020-08-18",63.459999,63.57,62.040001,63.279999,1043600,61.740139
"2020-08-19",63.400002,64.739998,63.02,64.059998,780500,62.501156
"2020-08-20",63.169998,63.700001,62.150002,62.34,655900,60.823013
"2020-08-21",62.389999,62.560001,61.299999,61.48,672400,59.983944
"2020-08-24",61.82,63.66,61.59,63.66,877000,62.110897
"2020-08-25",63.970001,63.970001,62.18,62.93,469800,61.398659
"2020-08-26",62.459999,62.77,61,61.450001,1035500,59.95467
"2020-08-27",62.060001,63.57,61.77,62.450001,1145600,60.930344
"2020-08-28",62.619999,64.345001,61.860001,64.190002,1009200,62.628002
"2020-08-31",63.970001,64.480003,62.830002,62.849998,921600,61.320602
"2020-09-01",62.549999,62.790001,61.119999,61.330002,872600,59.837593
"2020-09-02",61.369999,63.23,61.16,62.77,996300,61.242558
"2020-09-03",63.259998,65.199997,62.639999,63.279999,1081100,61.740139
"2020-09-04",63.439999,63.91,61.77,62.439999,580400,60.920582
"2020-09-08",62.189999,62.400002,60.860001,61.099998,790000,59.61319
"2020-09-09",61.779999,62.599998,60.650002,61.400002,872300,59.905891
"2020-09-10",61.59,62.790001,61.400002,62,1070300,60.491295
"2020-09-11",62,63.619999,61.720001,63.330002,991200,61.788925
"2020-09-14",63.540001,65.870003,63.27,65.610001,750500,64.013451
"2020-09-15",65.650002,67.330002,65.470001,67.25,1544500,65.613533
"2020-09-16",67.040001,68.889999,66.406998,68.190002,1318600,66.530663
"2020-09-17",67.389999,70.239998,66.220001,70.099998,1421800,68.39418
"2020-09-18",69.849998,70.419998,68.220001,68.339996,1429700,66.67701
"2020-09-21",67.089996,67.144997,64.639999,65.010002,1092400,63.42804
"2020-09-22",64.769997,66.110001,63.299999,63.57,1383300,62.023087
"2020-09-23",64.529999,65.150002,63.084999,63.529999,957500,61.984062
"2020-09-24",63.490002,64.540001,62.125,62.669998,735800,61.144985
"2020-09-25",62.610001,65.230003,62.330002,64.889999,872100,63.310959
"2020-09-28",65.739998,67.809998,65.739998,66.769997,668300,65.145218
"2020-09-29",66.449997,67.07,65.080002,65.290001,744300,63.701237
"2020-09-30",66.029999,67.150002,65.669998,66.269997,856300,64.657372
"2020-10-01",66.839996,67.330002,66.019997,66.669998,819200,65.047646
"2020-10-02",65.599998,68.220001,65.349998,67.93,699700,66.276993
"2020-10-05",68.349998,69.93,68.209999,69.550003,989700,67.857567
"2020-10-06",70,71.705002,69.379997,70.160004,1791900,68.452721
"2020-10-07",72,74.25,71.220001,72.209999,2515400,70.452835
"2020-10-08",72.629997,74.68,72.360001,74.330002,1069700,72.521263
"2020-10-09",74.559998,75,72.660004,73.209999,1324500,71.428505
"2020-10-12",73.449997,73.57,72.589996,72.620003,630700,70.852867
"2020-10-13",71.949997,72.169998,71.480003,71.959999,757100,70.208923
"2020-10-14",71.910004,73.050003,71.745003,72.129997,502100,70.374786
"2020-10-15",71.029999,73.5,70.691002,73.239998,618000,71.457779
"2020-10-16",73.279999,73.68,72.139999,72.699997,964000,70.930916
"2020-10-19",72.660004,73.019997,71.459999,71.660004,788800,69.916229
"2020-10-20",72.339996,73.109001,71.480003,71.889999,857200,70.14061
"2020-10-21",72.019997,72.349998,71.25,71.339996,1885600,69.604004
"2020-10-22",71.730003,72.919998,71.029999,72.879997,1632200,71.106537
"2020-10-23",73.300003,73.580002,71.550003,72.110001,688400,70.35527
"2020-10-26",71.059998,71.209999,67.230003,67.790001,1201200,66.140388
"2020-10-27",67.68,68.105003,66.169998,66.230003,749200,64.61837
"2020-10-28",64.449997,65.099998,63.209999,63.310001,1089600,61.769417
"2020-10-29",63.220001,64.870003,62.834999,64.089996,1129300,62.530426
"2020-10-30",64.089996,64.434998,62.619999,63.450001,725800,61.906002
"2020-11-02",64.519997,65.989998,64.120003,65.669998,1062800,64.071991
"2020-11-03",66.75,68.440002,66.589996,67.230003,671000,65.594025
"2020-11-04",67.699997,68.910004,67.089996,67.209999,1237200,65.574509
"2020-11-05",67.910004,68.709999,67.139999,67.760002,766900,66.338142
"2020-11-06",67.779999,68.305,65.889999,66.389999,768700,64.996887
"2020-11-09",72.860001,82.389999,72.709999,75.870003,2421900,74.277954
"2020-11-10",76.459999,76.919998,75.239998,76.459999,1073900,74.855583
"2020-11-11",76.480003,76.724998,73.690002,73.779999,1025100,72.231819
