"","BKNG.Open","BKNG.High","BKNG.Low","BKNG.Close","BKNG.Volume","BKNG.Adjusted"
"2020-07-01",1606.050049,1670,1601.140015,1658.790039,538800,1658.790039
"2020-07-02",1690.109985,1714.089966,1658.400024,1669.97998,360800,1669.97998
"2020-07-06",1706.189941,1738,1680.170044,1703.76001,440800,1703.76001
"2020-07-07",1681.359985,1697.329956,1654.660034,1657.449951,267100,1657.449951
"2020-07-08",1662,1665.959961,1633.25,1661.300049,332500,1661.300049
"2020-07-09",1671.900024,1679.699951,1627.47998,1670.280029,406600,1670.280029
"2020-07-10",1660.680054,1708.800049,1652.97998,1707.400024,323400,1707.400024
"2020-07-13",1720.890015,1739.579956,1685.01001,1686.76001,400600,1686.76001
"2020-07-14",1668.689941,1703.560059,1652.689941,1696.22998,261100,1696.22998
"2020-07-15",1747,1802.72998,1745.040039,1799.339966,646800,1799.339966
"2020-07-16",1767.209961,1773.5,1730.670044,1746.790039,251700,1746.790039
"2020-07-17",1757.119995,1757.119995,1719.040039,1732.189941,368700,1732.189941
"2020-07-20",1724.01001,1748,1700.420044,1713.650024,308300,1713.650024
"2020-07-21",1735.910034,1762.670044,1703.609985,1711.709961,382600,1711.709961
"2020-07-22",1717.959961,1728.319946,1681.25,1720.540039,367500,1720.540039
"2020-07-23",1721.280029,1729.329956,1692.150024,1695.459961,263800,1695.459961
"2020-07-24",1678.27002,1709.23999,1671.969971,1701.300049,324900,1701.300049
"2020-07-27",1690.640015,1711.880005,1671.01001,1702.829956,223900,1702.829956
"2020-07-28",1696.339966,1702.839966,1677.290039,1681.75,210600,1681.75
"2020-07-29",1688.859985,1724.400024,1676.949951,1707.540039,311300,1707.540039
"2020-07-30",1683.800049,1699.209961,1657.160034,1687.73999,205400,1687.73999
"2020-07-31",1687.869995,1692.25,1625.609985,1662.130005,305200,1662.130005
"2020-08-03",1665.910034,1669.890015,1634.689941,1650.23999,201300,1650.23999
"2020-08-04",1641,1680,1635.349976,1675.130005,240200,1675.130005
"2020-08-05",1700.130005,1734.430054,1683.390015,1724.77002,314400,1724.77002
"2020-08-06",1702,1765.97998,1700.72998,1751.790039,451100,1751.790039
"2020-08-07",1813.400024,1821.449951,1742,1754.47998,566000,1754.47998
"2020-08-10",1760,1785.890015,1731.050049,1768.579956,357100,1768.579956
"2020-08-11",1818.27002,1847.420044,1800.01001,1805.099976,476000,1805.099976
"2020-08-12",1816.300049,1828,1805.5,1808.069946,274200,1808.069946
"2020-08-13",1799.060059,1823.97998,1789,1792.969971,220200,1792.969971
"2020-08-14",1780,1787.219971,1768.27002,1778.869995,262500,1778.869995
"2020-08-17",1792.390015,1792.390015,1750,1752.920044,244500,1752.920044
"2020-08-18",1750,1792,1744.130005,1778.910034,238900,1778.910034
"2020-08-19",1783.01001,1807.089966,1760.319946,1767.469971,311600,1767.469971
"2020-08-20",1751.900024,1774.949951,1746.01001,1768.689941,245900,1768.689941
"2020-08-21",1763,1785.050049,1754.670044,1779.369995,270400,1779.369995
"2020-08-24",1803.560059,1837.719971,1796.939941,1834.439941,362400,1834.439941
"2020-08-25",1836.02002,1858.290039,1816.410034,1853.800049,313200,1853.800049
"2020-08-26",1838.800049,1883.969971,1835.01001,1866.969971,394400,1866.969971
"2020-08-27",1892.579956,1924.859985,1874.27002,1893.5,398900,1893.5
"2020-08-28",1896.150024,1955.609985,1895.22998,1945.25,320800,1945.25
"2020-08-31",1922.469971,1936.5,1908.130005,1910.449951,321200,1910.449951
"2020-09-01",1905.130005,1937,1899.72998,1928.859985,315900,1928.859985
"2020-09-02",1940,1955.400024,1895.650024,1948.72998,335300,1948.72998
"2020-09-03",1952.150024,1966.219971,1909.890015,1945.449951,428100,1945.449951
"2020-09-04",1947.969971,1962.599976,1906.079956,1917.73999,379300,1917.73999
"2020-09-08",1886.859985,1930.079956,1882.939941,1891.599976,346900,1891.599976
"2020-09-09",1887.550049,1910.079956,1823.400024,1871.069946,460900,1871.069946
"2020-09-10",1871,1901.900024,1811.73999,1816.589966,341800,1816.589966
"2020-09-11",1813.52002,1835.02002,1769.97998,1783.73999,382800,1783.73999
"2020-09-14",1803,1805.449951,1774.599976,1784.589966,377000,1784.589966
"2020-09-15",1797.410034,1817.73999,1785,1787,268000,1787
"2020-09-16",1800,1837.829956,1787.900024,1806.660034,382300,1806.660034
"2020-09-17",1783.189941,1805.839966,1756.48999,1787.209961,480600,1787.209961
"2020-09-18",1791.160034,1794.52002,1720,1732.280029,629300,1732.280029
"2020-09-21",1676.199951,1688.089966,1632.170044,1652.390015,656100,1652.390015
"2020-09-22",1659.219971,1679.339966,1625,1674,434000,1674
"2020-09-23",1692.099976,1693.089966,1633.73999,1638.469971,288900,1638.469971
"2020-09-24",1617.280029,1680.349976,1601.01001,1650.569946,394100,1650.569946
"2020-09-25",1635,1660.73999,1612,1657.77002,302600,1657.77002
"2020-09-28",1694.98999,1729.25,1671.25,1700.400024,296300,1700.400024
"2020-09-29",1700.150024,1712.27002,1670.410034,1672.97998,228400,1672.97998
"2020-09-30",1682.640015,1729.790039,1679,1710.680054,326100,1710.680054
"2020-10-01",1735.540039,1750,1730,1742.97998,339500,1742.97998
"2020-10-02",1698.98999,1720,1684.030029,1710.709961,269900,1710.709961
"2020-10-05",1705.280029,1720.469971,1662.469971,1706.790039,317000,1706.790039
"2020-10-06",1714.089966,1759.030029,1700.099976,1709.709961,330400,1709.709961
"2020-10-07",1724,1761.180054,1720,1758.849976,215500,1758.849976
"2020-10-08",1770.060059,1794.530029,1753,1788.810059,262900,1788.810059
"2020-10-09",1807,1828.810059,1786.709961,1817.890015,264900,1817.890015
"2020-10-12",1830.829956,1866,1826.660034,1845,357000,1845
"2020-10-13",1840,1846.97998,1771.869995,1780.969971,426200,1780.969971
"2020-10-14",1783.380005,1791.170044,1730.880005,1732.599976,316800,1732.599976
"2020-10-15",1700,1711.160034,1686.420044,1702.109985,321600,1702.109985
"2020-10-16",1704,1712.839966,1667.579956,1667.869995,416200,1667.869995
"2020-10-19",1679.75,1686.469971,1652.369995,1653.02002,317900,1653.02002
"2020-10-20",1673,1688.72998,1661.099976,1671.709961,292600,1671.709961
"2020-10-21",1660,1704.26001,1657.380005,1702.030029,284500,1702.030029
"2020-10-22",1714.189941,1797.369995,1702.380005,1792.02002,475100,1792.02002
"2020-10-23",1800.790039,1826.160034,1788.949951,1823.550049,316800,1823.550049
"2020-10-26",1775.130005,1793.27002,1714.119995,1749.290039,294900,1749.290039
"2020-10-27",1738.560059,1745,1685.359985,1697.709961,244900,1697.709961
"2020-10-28",1663.170044,1669.97998,1602.550049,1605.050049,420800,1605.050049
"2020-10-29",1600,1643.099976,1589,1630.26001,340900,1630.26001
"2020-10-30",1620.780029,1634.959961,1591.099976,1622.5,411100,1622.5
"2020-11-02",1653.5,1653.5,1598.01001,1604.130005,342700,1604.130005
"2020-11-03",1622.790039,1682.329956,1598.780029,1669.579956,341100,1669.579956
"2020-11-04",1702.969971,1751.829956,1674.800049,1713.319946,423200,1713.319946
"2020-11-05",1734.01001,1783.170044,1734.01001,1768.310059,388200,1768.310059
"2020-11-06",1721.040039,1796.01001,1701.089966,1783.75,452300,1783.75
"2020-11-09",2049,2128.02002,2013.219971,2118.23999,1649300,2118.23999
"2020-11-10",2079.590088,2103,1989.609985,2007.439941,738500,2007.439941
"2020-11-11",1996.949951,2008,1955.699951,2000.02002,441300,2000.02002
"2020-11-12",1975,1990,1953.150024,1962.920044,381500,1962.920044
"2020-11-13",1970,2069.889893,1970,2052.870117,445500,2052.870117
"2020-11-16",2117.870117,2121.98999,2060.780029,2109.610107,845900,2109.610107
"2020-11-17",2080,2091.52002,2057.959961,2081.25,339100,2081.25
"2020-11-18",2076,2103.51001,2044.02002,2044.599976,376700,2044.599976
"2020-11-19",2022.839966,2054.97998,2000,2010.969971,388800,2010.969971
"2020-11-20",2017.599976,2036.52002,1987.839966,1992.77002,307800,1992.77002
"2020-11-23",2004.869995,2042.060059,2000,2019.839966,336500,2019.839966
"2020-11-24",2050,2107.030029,2026.609985,2103.449951,445600,2103.449951
"2020-11-25",2108.73999,2118.959961,2043.849976,2063.800049,215900,2063.800049
"2020-11-27",2067.860107,2083.719971,2048.280029,2052.669922,117200,2052.669922
"2020-11-30",2057.669922,2058,2019.869995,2028.449951,335500,2028.449951
"2020-12-01",2047.209961,2088.850098,2030,2052.669922,295100,2052.669922
"2020-12-02",2052.669922,2097.98999,2036.880005,2078.419922,247700,2078.419922
"2020-12-03",2096.800049,2122.030029,2065.179932,2096.629883,337300,2096.629883
"2020-12-04",2103.699951,2138.969971,2090,2125.030029,339500,2125.030029
"2020-12-07",2119.969971,2137.429932,2085,2128.780029,321500,2128.780029
"2020-12-08",2093.060059,2128.209961,2082.449951,2086.649902,342300,2086.649902
"2020-12-09",2100.469971,2170.030029,2076.810059,2107.110107,697900,2107.110107
"2020-12-10",2094.98999,2151.580078,2079.189941,2104.870117,380200,2104.870117
"2020-12-11",2090.219971,2104.02002,2050.129883,2089.209961,354500,2089.209961
"2020-12-14",2120.090088,2143.060059,2065.080078,2066.01001,339200,2066.01001
"2020-12-15",2078.219971,2105.820068,2055.01001,2098.050049,314700,2098.050049
"2020-12-16",2118.199951,2118.199951,2077.399902,2098.709961,238600,2098.709961
"2020-12-17",2117.949951,2126.949951,2070.52002,2113.429932,295300,2113.429932
"2020-12-18",2118.75,2118.75,2087.929932,2099.649902,536200,2099.649902
"2020-12-21",2050,2071.820068,2024.02002,2068.199951,357100,2068.199951
"2020-12-22",2068.350098,2069.360107,2031.390015,2052.820068,198800,2052.820068
"2020-12-23",2055.389893,2114.149902,2050.429932,2100.850098,314700,2100.850098
"2020-12-24",2119,2119,2081,2088.350098,182500,2088.350098
"2020-12-28",2129.449951,2152.26001,2124.459961,2137.919922,251000,2137.919922
"2020-12-29",2165.97998,2200,2153.959961,2185.399902,341900,2185.399902
"2020-12-30",2200,2214.01001,2174.969971,2205.26001,229700,2205.26001
"2020-12-31",2198.070068,2227.969971,2185,2227.27002,176600,2227.27002
"2021-01-04",2250,2257.189941,2121.209961,2164.080078,334000,2164.080078
"2021-01-05",2164,2225.939941,2154.560059,2188.070068,348200,2188.070068
"2021-01-06",2175.889893,2288.48999,2160,2249.810059,393400,2249.810059
"2021-01-07",2278.149902,2288,2219.77002,2239.850098,299700,2239.850098
"2021-01-08",2256.340088,2289.97998,2248.469971,2281.540039,310500,2281.540039
"2021-01-11",2252.429932,2290.040039,2214.030029,2221.27002,320600,2221.27002
"2021-01-12",2237.360107,2243.639893,2191.629883,2196.340088,259400,2196.340088
"2021-01-13",2168.399902,2208.080078,2168.399902,2182.419922,239600,2182.419922
"2021-01-14",2185.27002,2215.780029,2178.77002,2182.590088,273100,2182.590088
"2021-01-15",2179.290039,2179.290039,2116,2119.22998,340800,2119.22998
"2021-01-19",2135,2169.949951,2108.959961,2163.040039,274900,2163.040039
"2021-01-20",2179.97998,2179.97998,2124.560059,2160.050049,339000,2160.050049
"2021-01-21",2140.899902,2157.01001,2105,2109.939941,460800,2109.939941
"2021-01-22",2101.830078,2109.51001,2065,2066.23999,356700,2066.23999
"2021-01-25",2044.859985,2060.350098,1947.089966,2018.430054,879500,2018.430054
"2021-01-26",2033.369995,2056.72998,1974.650024,1983.160034,447600,1983.160034
"2021-01-27",1949.329956,1975.959961,1860.72998,1886.089966,705600,1886.089966
"2021-01-28",1979.040039,2048.77002,1935.880005,2034.099976,843300,2034.099976
"2021-01-29",2036,2040,1938.800049,1944.329956,536200,1944.329956
"2021-02-01",1996.189941,2006.380005,1965,1990.459961,478700,1990.459961
"2021-02-02",2035,2112.909912,2025.410034,2065.530029,440700,2065.530029
"2021-02-03",2079.530029,2094.800049,2024.719971,2027.300049,352600,2027.300049
"2021-02-04",2036.189941,2085.899902,2015.660034,2082.939941,355200,2082.939941
"2021-02-05",2109.290039,2129.98999,2073.879883,2096.419922,238400,2096.419922
