"","HSIC.Open","HSIC.High","HSIC.Low","HSIC.Close","HSIC.Volume","HSIC.Adjusted"
"2020-07-01",58.610001,59.66,58.310001,58.860001,1296300,58.860001
"2020-07-02",59.830002,60.43,58.970001,59.07,1144400,59.07
"2020-07-06",59.830002,60.209999,58.610001,59.52,1226900,59.52
"2020-07-07",58.900002,59.169998,58,58.509998,882200,58.509998
"2020-07-08",58.380001,58.52,55.880001,57.189999,1639500,57.189999
"2020-07-09",56.889999,57.209999,54.25,56.080002,1021800,56.080002
"2020-07-10",56.139999,57.279999,55.509998,57.16,1052200,57.16
"2020-07-13",57.599998,58.740002,57.169998,57.849998,987100,57.849998
"2020-07-14",57.990002,59.77,57.220001,59.689999,1169600,59.689999
"2020-07-15",60.580002,63.860001,60.43,63.68,1503100,63.68
"2020-07-16",63.700001,65.120003,62.91,64.760002,1538200,64.760002
"2020-07-17",65.120003,67.610001,64.120003,66.970001,2539500,66.970001
"2020-07-20",66.510002,67.82,65.080002,66.440002,1469700,66.440002
"2020-07-21",66.949997,69.260002,66.580002,67.660004,2350200,67.660004
"2020-07-22",67.589996,67.970001,67.019997,67.75,1277500,67.75
"2020-07-23",67.709999,68.739998,67.330002,68.379997,985400,68.379997
"2020-07-24",68.010002,68.330002,66.410004,67.029999,927000,67.029999
"2020-07-27",66.870003,67.25,65.650002,67.029999,1012000,67.029999
"2020-07-28",66.949997,67.239998,65.800003,65.900002,1270900,65.900002
"2020-07-29",66.449997,69.980003,66.379997,68.709999,2687000,68.709999
"2020-07-30",67.699997,68.660004,66.580002,68.650002,1242500,68.650002
"2020-07-31",68.279999,69.07,67.629997,68.730003,1738100,68.730003
"2020-08-03",68.989998,72.370003,68.660004,70.900002,2185200,70.900002
"2020-08-04",68.25,71.599998,64.910004,69.129997,4119300,69.129997
"2020-08-05",69.410004,69.519997,66.120003,67.129997,2585300,67.129997
"2020-08-06",67.360001,67.510002,66.110001,66.980003,1736600,66.980003
"2020-08-07",66.709999,67.839996,66.610001,67.800003,1332900,67.800003
"2020-08-10",68.120003,68.489998,67.449997,67.989998,1502200,67.989998
"2020-08-11",68.260002,69.169998,66.75,67.199997,1474800,67.199997
"2020-08-12",67.410004,67.550003,65.699997,66.669998,1134300,66.669998
"2020-08-13",66.410004,67.110001,65.769997,66.959999,1149600,66.959999
