"","VMC.Open","VMC.High","VMC.Low","VMC.Close","VMC.Volume","VMC.Adjusted"
"2020-10-30",142.179993,145.899994,141.369995,144.839996,834200,142.660706
"2020-11-02",146.470001,149.699997,145.990005,149.440002,1218000,147.191498
"2020-11-03",150.389999,151.419998,148.160004,150.160004,1009100,147.900696
"2020-11-04",140.610001,142.850006,131.360001,136.360001,3240500,134.308289
"2020-11-05",133,141,132.059998,137.470001,1926300,135.401596
"2020-11-06",135.339996,141.850006,132.850006,134.690002,1138500,132.663437
"2020-11-09",143.580002,144.440002,133.350006,135.679993,2262400,133.63855
"2020-11-10",137.25,145.050003,136.960007,140.020004,1536400,137.913254
"2020-11-11",140.610001,142.479996,137.559998,141.639999,844500,139.508865
"2020-11-12",141.440002,141.440002,137.210007,139.039993,857100,136.947983
"2020-11-13",140.429993,142.479996,137.070007,137.979996,900400,135.903931
"2020-11-16",141.059998,143.639999,138,141.470001,690000,139.685638
"2020-11-17",140.25,141.440002,138.789993,140.539993,549700,138.767349
"2020-11-18",141.100006,142.690002,139.289993,140.809998,589400,139.033951
"2020-11-19",140.020004,142.259995,138.389999,140.110001,541200,138.342773
"2020-11-20",139.050003,139.869995,135.509995,139.389999,728900,137.631851
"2020-11-23",140.509995,141.820007,137.979996,138.850006,766900,137.098679
"2020-11-24",141.080002,145.539993,140.100006,144.929993,959300,143.10199
"2020-11-25",143.869995,144.860001,140.869995,144.020004,685600,142.203445
"2020-11-27",144,144.789993,140.520004,142.330002,298000,140.534775
"2020-11-30",141.899994,142.059998,137.880005,139.649994,811200,137.888565
"2020-12-01",141.600006,145.240005,141.220001,143.350006,906100,141.541946
"2020-12-02",142.539993,144.080002,140.610001,140.839996,541000,139.063553
"2020-12-03",140.419998,145.770004,138.759995,144.570007,1164900,142.746552
"2020-12-04",144.429993,146.720001,144.100006,146.440002,612800,144.592926
"2020-12-07",145.190002,146.410004,144.389999,146.080002,527700,144.237473
"2020-12-08",144.039993,146.589996,144.039993,144.449997,455700,142.628036
"2020-12-09",144.089996,144.089996,140.539993,141.75,904500,139.962097
"2020-12-10",140.850006,141.110001,137.360001,137.759995,1448400,136.022415
"2020-12-11",137.979996,139.479996,137.229996,138.880005,599500,137.128311
"2020-12-14",139.5,140,135.320007,135.440002,675800,133.731689
"2020-12-15",136.309998,137.919998,134.529999,137.440002,1037900,135.706451
"2020-12-16",138.979996,139.429993,136.220001,137.690002,934400,135.953308
"2020-12-17",138.25,139.800003,137.729996,139.539993,763400,137.779953
"2020-12-18",140,145.869995,139.089996,145.220001,2209600,143.388321
"2020-12-21",141.419998,146.779999,140.740005,144.539993,1051300,142.716888
"2020-12-22",144.990005,146.080002,142.600006,143.270004,641400,141.462921
"2020-12-23",143.190002,143.869995,141.240005,142.710007,644600,140.909988
"2020-12-24",142.940002,143.369995,141.720001,143.220001,185900,141.413544
"2020-12-28",144.139999,147.869995,143.389999,146.169998,633900,144.326355
"2020-12-29",146.259995,146.399994,142.240005,142.770004,512200,140.969238
"2020-12-30",143.240005,147.449997,143.240005,146.470001,514000,144.622559
"2020-12-31",145.899994,148.820007,144.5,148.309998,467400,146.439331
"2021-01-04",149.029999,151,145.580002,146.529999,766600,144.681793
"2021-01-05",146.529999,148.020004,145.600006,147.570007,663100,145.708679
"2021-01-06",156,163.270004,155.100006,160.759995,2826100,158.73233
"2021-01-07",162.199997,163.970001,159.550003,162.009995,952300,159.966553
"2021-01-08",161.910004,164.119995,160,162.830002,801800,160.77623
"2021-01-11",161.199997,164.270004,160.240005,163,615600,160.944046
"2021-01-12",162.990005,168.240005,162.020004,166.199997,963000,164.103683
"2021-01-13",165.009995,166.070007,160.970001,161.600006,839000,159.561722
"2021-01-14",162.110001,162.710007,159.850006,160.619995,694400,158.594116
"2021-01-15",158.820007,161.309998,157.119995,160.919998,717600,158.890305
"2021-01-19",161.210007,161.550003,158.289993,158.860001,639900,156.856277
"2021-01-20",159.479996,161.009995,159.199997,160.619995,575600,158.594116
"2021-01-21",160.350006,162.350006,158.039993,158.860001,624000,156.856277
"2021-01-22",157.630005,159.179993,155.889999,158.369995,684300,156.372452
"2021-01-25",158,158.059998,155.080002,156.809998,732800,154.832123
"2021-01-26",158.029999,158.029999,150.220001,150.5,695500,148.601746
"2021-01-27",147.839996,148.729996,143.100006,146.029999,913200,144.18811
"2021-01-28",148.649994,150.100006,146.960007,148.960007,627700,147.081146
"2021-01-29",148.039993,150.639999,146.259995,149.139999,860900,147.258896
"2021-02-01",150.710007,152.490005,148.520004,152,551900,150.082809
"2021-02-02",153.570007,155.119995,151.899994,151.929993,476200,150.013687
"2021-02-03",151.820007,154.029999,151.5,152.350006,514500,150.428391
"2021-02-04",152.789993,155.330002,150.830002,153.149994,722600,151.218307
"2021-02-05",154.860001,154.860001,152.25,152.940002,587600,151.010941
"2021-02-08",154.25,156.25,152.710007,154.179993,490000,152.235306
"2021-02-09",154.360001,157.729996,153.330002,155.649994,609100,153.686768
"2021-02-10",156.679993,161.089996,155.389999,159.240005,723900,157.231491
"2021-02-11",159.600006,161.529999,158.75,160.059998,608000,158.041138
"2021-02-12",159.029999,164.729996,158.839996,164.5,787600,162.425171
"2021-02-16",160.820007,167.529999,159.020004,162.449997,957000,160.401001
"2021-02-17",162,162.25,157.800003,161.880005,623000,159.838196
"2021-02-18",161.350006,162.059998,159.369995,160.619995,606400,158.594116
"2021-02-19",161.850006,165.300003,161.779999,164.380005,1004500,162.306656
"2021-02-22",163.380005,164.559998,161.440002,161.990005,521200,159.946793
"2021-02-23",164.179993,166.679993,159.440002,165.990005,922000,163.896347
"2021-02-24",165.570007,175.020004,165.570007,174.149994,1614000,171.953415
"2021-02-25",174.470001,174.470001,167.550003,168.279999,793300,166.157471
"2021-02-26",167.479996,169.059998,164.5,166.990005,926400,165.24707
"2021-03-01",169.729996,173.910004,169.729996,171.960007,646600,170.165192
"2021-03-02",172.360001,173,168.619995,168.940002,733500,167.176727
"2021-03-03",168.940002,171.729996,168.940002,170.259995,1432200,168.482941
"2021-03-04",169.729996,171.25,162.600006,166,1380800,164.267395
"2021-03-05",168.399994,169.270004,161.220001,167.419998,1071500,165.672577
"2021-03-08",167.690002,172.460007,167.039993,169.100006,672000,167.335068
"2021-03-09",169.660004,169.990005,166.130005,167.820007,583900,166.068405
"2021-03-10",168.080002,172.669998,166.660004,171.339996,630600,169.551666
"2021-03-11",173.339996,174.679993,170.399994,171.929993,757200,170.135513
"2021-03-12",172.070007,172.899994,170,171.940002,374000,170.145401
"2021-03-15",171.960007,172.490005,168.759995,172.490005,562700,170.689682
"2021-03-16",173,173,168.179993,168.559998,803500,166.800674
"2021-03-17",168.809998,170.630005,166.460007,168.630005,545700,166.869965
"2021-03-18",169.070007,171.25,166.949997,168.050003,770600,166.296005
"2021-03-19",167.210007,167.669998,164.449997,165.270004,1177100,163.545029
"2021-03-22",164.550003,164.550003,160.889999,162.039993,818600,160.348724
"2021-03-23",161.389999,161.449997,157.800003,158.410004,958700,156.756622
"2021-03-24",160.320007,163.399994,159.25,160.550003,720700,158.874283
"2021-03-25",160.600006,167.160004,158.729996,165.589996,1007400,163.861679
"2021-03-26",168.389999,170.729996,166.559998,170.339996,699400,168.562103
"2021-03-29",171.559998,173.669998,168.800003,170.899994,959400,169.116241
"2021-03-30",170.5,175.169998,170.5,172.229996,805900,170.432373
"2021-03-31",175,176.350006,167.199997,168.75,1421000,166.988693
"2021-04-01",168,169.740005,164.130005,166.389999,1337600,164.65332
"2021-04-05",169.809998,170.740005,168.330002,170.289993,755400,168.512619
"2021-04-06",170,170.889999,168.690002,170.630005,668700,168.849075
"2021-04-07",171.529999,171.649994,168.080002,168.910004,712400,167.147034
"2021-04-08",167.339996,170.550003,165.860001,170.350006,637700,168.572006
"2021-04-09",170.740005,172.820007,170.039993,172.529999,569500,170.729233
"2021-04-12",173.369995,174.820007,172.039993,174.350006,551400,172.530258
"2021-04-13",173.220001,174,171.220001,172.639999,627800,170.838074
"2021-04-14",172.100006,174.809998,171.690002,174.080002,454600,172.263062
"2021-04-15",174.880005,175.130005,173,174.75,518600,172.926071
"2021-04-16",176.119995,176.740005,175.460007,175.669998,546100,173.836472
"2021-04-19",175.669998,177.100006,175.610001,176.740005,709000,174.895309
"2021-04-20",176.179993,176.899994,172.589996,174.509995,619700,172.688583
"2021-04-21",173.729996,177.399994,173,177.369995,648300,175.518723
"2021-04-22",177.830002,178.279999,176.050003,176.110001,656200,174.271881
"2021-04-23",176.309998,177.130005,175.350006,176.570007,503700,174.727066
"2021-04-26",177.220001,179.550003,176.580002,179.479996,746800,177.606689
"2021-04-27",180,181.949997,179.470001,180.860001,569800,178.97229
"2021-04-28",182.229996,182.550003,178.770004,179.039993,530800,177.171295
"2021-04-29",180.059998,181.800003,179.309998,181.679993,364400,179.783737
"2021-04-30",180.770004,180.770004,178,178.240005,558400,176.379654
"2021-05-03",180,181.259995,178.639999,179.679993,562300,177.804611
"2021-05-04",181.160004,189.800003,180.089996,189.210007,1512800,187.235168
"2021-05-05",190.960007,191.610001,188.320007,189.5,913100,187.522141
"2021-05-06",190,191.279999,187.770004,191.210007,698000,189.214279
"2021-05-07",190.479996,192.649994,189.25,191.710007,539900,189.709076
"2021-05-10",193.179993,194.169998,190.470001,190.759995,589100,188.768967
"2021-05-11",189.089996,191.970001,187.039993,191.440002,686900,189.441879
"2021-05-12",191.5,193.240005,187.5,188.160004,661600,186.196121
"2021-05-13",187.699997,190.970001,187.410004,190.050003,1164600,188.06636
"2021-05-14",191.75,193.130005,190.399994,191.179993,848500,189.18457
"2021-05-17",191.289993,194,189.699997,193.110001,572600,191.094452
"2021-05-18",193.660004,193.880005,190.050003,190.059998,495100,188.076279
"2021-05-19",186.940002,187.100006,182.800003,184.949997,703400,183.019623
"2021-05-20",185.740005,186.229996,182.869995,184.729996,723600,182.80191
"2021-05-21",185.589996,187.880005,184.410004,184.470001,568800,182.544617
"2021-05-24",186.009995,186.309998,183.279999,184.669998,906100,182.742523
"2021-05-25",185.220001,186.220001,181.880005,182.419998,804400,180.516022
"2021-05-26",183.009995,185,182.5,183.929993,490700,182.010254
"2021-05-27",186.339996,187,184.759995,185.529999,1524200,183.963623
"2021-05-28",185.839996,186.179993,182.809998,183.320007,592000,181.772293
"2021-06-01",185.25,185.899994,183.369995,183.619995,507300,182.069763
"2021-06-02",184.110001,184.149994,180.470001,180.490005,879500,178.966187
"2021-06-03",180,183.919998,179.110001,182.990005,1156000,181.445068
"2021-06-04",183.429993,184.309998,178.679993,179.600006,1082800,178.08371
"2021-06-07",180.550003,182.520004,177.5,177.960007,1012700,176.457535
"2021-06-08",177.970001,180.929993,176.699997,179,1698100,177.48877
"2021-06-09",178.570007,179.820007,177,178.619995,833300,177.111969
"2021-06-10",180.130005,180.25,173.009995,173.100006,1311200,171.63858
"2021-06-11",174.910004,176.050003,173.759995,174.240005,766200,172.768936
"2021-06-14",173.990005,174.960007,170.550003,171.729996,865500,170.280136
"2021-06-15",172.039993,173.229996,170.880005,172.059998,555600,170.607346
"2021-06-16",171.389999,172.289993,169.660004,170.380005,598300,168.941544
"2021-06-17",170.630005,171.289993,164.300003,166.050003,1274900,164.648117
"2021-06-18",164.639999,167.229996,163,165.839996,1243300,164.43988
"2021-06-21",167.5,169.619995,167.119995,168.940002,536100,167.513687
"2021-06-22",169.770004,170.509995,168.110001,169.899994,584700,168.465576
"2021-06-23",169.720001,171.539993,168.880005,170.330002,490500,168.891968
"2021-06-24",172.190002,177.059998,171.570007,175.899994,2227100,174.414932
"2021-06-25",181,181.380005,176.919998,177.610001,1379700,176.110489
"2021-06-28",177.610001,178.179993,175.559998,176.990005,661800,175.495758
"2021-06-29",178.169998,179.440002,173.139999,174.100006,662900,172.630127
"2021-06-30",173.229996,174.289993,171.410004,174.070007,868400,172.600403
"2021-07-01",174.639999,175.490005,173.110001,173.830002,881300,172.362411
"2021-07-02",173.320007,173.470001,170.830002,170.979996,1068200,169.536469
"2021-07-06",170.559998,171.600006,167.160004,171.029999,714300,169.58606
"2021-07-07",170.940002,175.300003,170.779999,174.440002,818400,172.967285
"2021-07-08",172.300003,173.910004,172,172.869995,741800,171.410522
"2021-07-09",175.169998,176.649994,174.320007,174.929993,685300,173.453125
"2021-07-12",172.929993,175.259995,171.809998,174.740005,435400,173.26474
"2021-07-13",174.570007,174.580002,172.240005,173.529999,526600,172.064941
"2021-07-14",172.789993,176.190002,172.300003,175.960007,829300,174.474442
"2021-07-15",175.470001,177.529999,175.089996,176.660004,662500,175.168518
"2021-07-16",176.800003,177.179993,175,175.350006,612900,173.869583
"2021-07-19",172.789993,173.190002,168.789993,170.75,1510500,169.308426
"2021-07-20",171.160004,176.289993,171.160004,174.339996,570200,172.868088
"2021-07-21",175.350006,176.830002,174.639999,176.350006,585300,174.861145
"2021-07-22",176.279999,176.800003,174.289993,176.050003,412600,174.563675
"2021-07-23",176.949997,178.440002,175.979996,178.139999,408700,176.636032
"2021-07-26",178.410004,178.779999,175.910004,175.990005,842600,174.504181
"2021-07-27",174.330002,176.979996,172.529999,176.660004,498400,175.168518
"2021-07-28",177.070007,183.880005,174.960007,182.979996,1149500,181.435165
"2021-07-29",184,185.830002,180.559998,182.610001,860400,181.068283
"2021-07-30",182.059998,183.850006,179.289993,179.990005,803200,178.470413
"2021-08-02",181.100006,183.380005,179.429993,179.580002,517000,178.063858
"2021-08-03",179.75,181.139999,177.380005,180.850006,556600,179.323151
"2021-08-04",171.139999,181.729996,170.330002,179.660004,924100,178.143204
"2021-08-05",180.580002,181.350006,174.940002,177.800003,922800,176.298889
"2021-08-06",179.509995,181.740005,178.350006,181.160004,671300,179.630524
"2021-08-09",181.589996,185.589996,180.169998,183.229996,907200,181.683044
"2021-08-10",183.410004,189.649994,183.369995,187.339996,1122200,185.758347
"2021-08-11",189.600006,193.860001,189.479996,193.410004,1185200,191.7771
"2021-08-12",193.410004,193.960007,190.490005,192.360001,524700,190.735977
"2021-08-13",191.880005,192.240005,189.490005,189.789993,384900,188.187668
"2021-08-16",188.770004,190.130005,187.029999,187.789993,435900,186.204544
"2021-08-17",186.75,188.300003,184.059998,185.199997,929000,183.998947
"2021-08-18",184.619995,186.929993,183,184.270004,423000,183.074997
"2021-08-19",182.229996,184.910004,181.529999,183.309998,358900,182.121201
"2021-08-20",183.270004,184.729996,182.479996,183.389999,445900,182.200684
"2021-08-23",184.399994,185.699997,182.929993,184.940002,383700,183.740631
"2021-08-24",185.550003,186.940002,184,186.369995,408100,185.161362
"2021-08-25",186.550003,191.860001,186.139999,189.580002,571300,188.35054
"2021-08-26",189.429993,189.429993,186.759995,187.529999,348200,186.313843
"2021-08-27",189.089996,189.679993,187.429993,187.949997,507100,186.731125
"2021-08-30",188.699997,189.270004,185.940002,186.039993,718400,184.833496
"2021-08-31",187.270004,187.720001,184.889999,185.929993,768600,184.724213
"2021-09-01",186.350006,187.050003,183.979996,185.850006,486300,184.644745
"2021-09-02",185.850006,186.460007,181.919998,183,1456200,181.813217
"2021-09-03",182.75,182.75,178.770004,180.309998,1062700,179.140656
"2021-09-07",179.020004,179.800003,176.070007,177.050003,803500,175.90181
"2021-09-08",176.360001,177.100006,174.949997,176,549900,174.858612
"2021-09-09",175.399994,178.279999,175.089996,176,535500,174.858612
"2021-09-10",177.139999,180.869995,177.100006,177.690002,667700,176.537659
"2021-09-13",178.910004,180.350006,176.699997,177.929993,863200,176.776093
"2021-09-14",177.889999,177.889999,175.070007,175.729996,794300,174.590363
"2021-09-15",175.729996,176.210007,174.449997,174.979996,1155100,173.84523
"2021-09-16",174.729996,175.130005,172.429993,172.529999,921000,171.411102
"2021-09-17",171.589996,172.809998,169.589996,169.880005,1262500,168.77832
"2021-09-20",167.070007,170.460007,166.309998,169.419998,1092000,168.321289
"2021-09-21",170.5,172.940002,168.119995,171.559998,1468000,170.447403
"2021-09-22",173.339996,174.830002,173.160004,174.25,1185400,173.119965
"2021-09-23",175.240005,180.809998,174.300003,178.710007,1000900,177.551041
"2021-09-24",178.020004,179.300003,175.649994,176.059998,620300,174.918213
"2021-09-27",176.389999,180.210007,176.389999,178.229996,658700,177.074142
"2021-09-28",178.320007,179.729996,176.309998,177,1059400,175.852127
"2021-09-29",176.710007,176.710007,173.369995,173.759995,1008200,172.633148
"2021-09-30",174.240005,174.240005,168.770004,169.160004,1550200,168.062973
"2021-10-01",169,173.75,167.240005,172.940002,1236700,171.818466
"2021-10-04",172.160004,173.809998,170.669998,171.490005,1432800,170.377869
"2021-10-05",171.419998,171.520004,168.139999,169.279999,1475100,168.18219
"2021-10-06",170.970001,174.779999,170.940002,174.710007,1060200,173.576981
