"","RCL.Open","RCL.High","RCL.Low","RCL.Close","RCL.Volume","RCL.Adjusted"
"2020-07-01",51.990002,55.619999,50.450001,50.830002,17917100,50.830002
"2020-07-02",52.970001,53.619999,49.360001,49.509998,13823700,49.509998
"2020-07-06",50.290001,51.490002,47.889999,50.02,13304500,50.02
"2020-07-07",48.91,49.75,47.419998,47.560001,9986200,47.560001
"2020-07-08",46.970001,50.43,46.509998,50.07,12332700,50.07
"2020-07-09",50.919998,51.099998,46.549999,47.119999,13952500,47.119999
"2020-07-10",47.029999,51.950001,46.130001,51.77,20560000,51.77
"2020-07-13",52.09,52.900002,49.360001,49.540001,13636900,49.540001
"2020-07-14",48.720001,48.720001,47.139999,48.150002,10562700,48.150002
"2020-07-15",51.490002,58.68,51.349998,58.360001,33940100,58.360001
"2020-07-16",55.41,56.150002,53.75,53.939999,16256700,53.939999
"2020-07-17",52.110001,54.369999,51.5,53.139999,10959700,53.139999
"2020-07-20",53.82,54.779999,51.970001,52.400002,7672500,52.400002
"2020-07-21",52.900002,53.959999,51.959999,52.799999,8713200,52.799999
"2020-07-22",52.060001,52.66,51.380001,51.450001,7258700,51.450001
"2020-07-23",50.5,51.43,49.400002,50.450001,11370100,50.450001
"2020-07-24",50,52.419998,49.599998,50.830002,7006500,50.830002
"2020-07-27",50.580002,50.59,48.220001,49.299999,7319600,49.299999
"2020-07-28",49.349998,51.990002,49.25,50.830002,10081400,50.830002
"2020-07-29",51.16,51.439999,49.619999,51,4947500,51
"2020-07-30",50.200001,50.689999,49.099998,50.299999,5437600,50.299999
"2020-07-31",50.02,50.299999,47.880001,48.709999,7490700,48.709999
"2020-08-03",47.580002,47.950001,45.709999,47.389999,9292700,47.389999
"2020-08-04",47.259998,50.09,47.150002,49.130001,7519900,49.130001
"2020-08-05",50.560001,50.849998,48.380001,49.529999,9849900,49.529999
"2020-08-06",48.900002,51.580002,48.549999,51.099998,8729700,51.099998
"2020-08-07",50.709999,52.330002,49.459999,52.099998,8397400,52.099998
"2020-08-10",51.110001,58.259998,51.110001,57.310001,19738000,57.310001
"2020-08-11",61.48,62.189999,58.290001,58.669998,18211800,58.669998
"2020-08-12",60.52,60.77,55.029999,57.189999,12710500,57.189999
"2020-08-13",56.709999,59.650002,56.389999,58.5,8594100,58.5
"2020-08-14",57.93,60.75,57.599998,60.5,9203400,60.5
"2020-08-17",60.349998,60.549999,58.560001,60.290001,8097400,60.290001
"2020-08-18",60,60.580002,58.709999,60.400002,7827000,60.400002
"2020-08-19",60.209999,64.150002,60.040001,61.09,10438600,61.09
"2020-08-20",59.959999,61.759998,59.27,61.529999,5405900,61.529999
"2020-08-21",61.509998,63.029999,61.290001,61.529999,5980700,61.529999
"2020-08-24",63.040001,65.199997,61.200001,64.43,12221500,64.43
"2020-08-25",64.580002,65.089996,62.700001,64.07,7931400,64.07
"2020-08-26",63.720001,64.080002,61.889999,62.84,5710300,62.84
"2020-08-27",64.040001,67.57,63.970001,66.599998,9902900,66.599998
"2020-08-28",67.809998,71.25,66.639999,70.120003,13883000,70.120003
"2020-08-31",70.129997,71.550003,68.199997,68.839996,8218300,68.839996
"2020-09-01",66.989998,69.169998,65.669998,68.510002,6146000,68.510002
"2020-09-02",69.18,69.18,66.730003,68.370003,6132200,68.370003
"2020-09-03",71.099998,74.440002,68.93,70.199997,12987800,70.199997
"2020-09-04",72.470001,73.120003,68.580002,71.949997,7898800,71.949997
"2020-09-08",70.019997,73.5,69.550003,71.510002,7383800,71.510002
"2020-09-09",70.620003,70.800003,67.610001,70.110001,6760600,70.110001
"2020-09-10",70.730003,74.07,70.089996,70.139999,6334400,70.139999
"2020-09-11",70.489998,70.580002,68.150002,69.339996,4109400,69.339996
"2020-09-14",70.330002,71.18,69.360001,70.940002,4715900,70.940002
"2020-09-15",70.690002,70.839996,66.940002,67.690002,8654800,67.690002
"2020-09-16",67.690002,71.25,67,69.610001,6676100,69.610001
"2020-09-17",68.050003,70.419998,67.510002,68.75,5638300,68.75
"2020-09-18",68.5,69.080002,64.519997,65.449997,9855000,65.449997
"2020-09-21",62.09,62.619999,59.119999,60.709999,8709800,60.709999
"2020-09-22",61,63.060001,60.66,62.369999,5057600,62.369999
"2020-09-23",63.02,65.099998,61.169998,61.240002,5252900,61.240002
"2020-09-24",60.639999,61.240002,58.27,59.970001,6456400,59.970001
"2020-09-25",63.220001,64.910004,61.779999,64.589996,7922100,64.589996
"2020-09-28",66.129997,66.830002,63.32,66.089996,5677500,66.089996
"2020-09-29",65.860001,66.230003,63.509998,64.400002,4396300,64.400002
"2020-09-30",66.470001,68.209999,64.18,64.730003,7994700,64.730003
"2020-10-01",65.150002,65.919998,63.57,65.550003,5432000,65.550003
"2020-10-02",62.5,65.760002,62.299999,65.260002,4949000,65.260002
"2020-10-05",65,66.099998,64.5,65.25,3575800,65.25
"2020-10-06",66,69.910004,65.769997,66.18,7355400,66.18
"2020-10-07",67.470001,68.639999,66.099998,68.019997,4551400,68.019997
"2020-10-08",68.809998,69.360001,67.25,69.290001,4740300,69.290001
"2020-10-09",69.400002,72.110001,68.800003,71.089996,6369900,71.089996
"2020-10-12",70.360001,70.730003,69.18,69.830002,4336100,69.830002
"2020-10-13",64.190002,64.639999,60.029999,60.610001,23821400,60.610001
"2020-10-14",61.349998,62.48,59.639999,59.91,18061300,59.91
"2020-10-15",58.669998,59.549999,57.849998,59.380001,7955200,59.380001
"2020-10-16",59.490002,59.98,57.900002,58.830002,6332200,58.830002
"2020-10-19",59.52,60.869999,58.77,59.709999,6251900,59.709999
"2020-10-20",60.799999,62.040001,60.02,61.790001,6258700,61.790001
"2020-10-21",61.560001,61.57,60.02,60.689999,3869300,60.689999
"2020-10-22",61.099998,63.459999,61.080002,63.389999,6314300,63.389999
"2020-10-23",63.91,64.769997,62.880001,64.480003,5040600,64.480003
"2020-10-26",62.220001,62.27,55.810001,58.259998,12161300,58.259998
"2020-10-27",58.09,59.41,57.279999,57.380001,5285500,57.380001
"2020-10-28",55.130001,55.610001,53.060001,53.119999,9382600,53.119999
"2020-10-29",53.02,54.369999,51.330002,53.830002,8947300,53.830002
"2020-10-30",52.970001,57.799999,51.369999,56.419998,17043800,56.419998
"2020-11-02",55,57.099998,53.849998,57.02,7320100,57.02
"2020-11-03",56.900002,58.650002,56.34,57.57,4837500,57.57
"2020-11-04",57.209999,58.610001,56.400002,56.98,3503500,56.98
