"","LYV.Open","LYV.High","LYV.Low","LYV.Close","LYV.Volume","LYV.Adjusted"
"2020-07-01",44.860001,47.950001,44.799999,46.02,3014300,46.02
"2020-07-02",46.900002,47.360001,45.119999,45.360001,1748800,45.360001
"2020-07-06",46.790001,46.790001,44.59,45.459999,2922800,45.459999
"2020-07-07",45.130001,45.389999,44.290001,45.040001,2373400,45.040001
"2020-07-08",44.919998,46.41,44.700001,46.060001,3223200,46.060001
"2020-07-09",46.150002,46.240002,43.459999,45.049999,3081700,45.049999
"2020-07-10",44.900002,46.84,44.68,46.439999,3386400,46.439999
"2020-07-13",46.860001,47.23,45.27,45.66,3059200,45.66
"2020-07-14",45.650002,47.200001,44.919998,46.41,2541800,46.41
"2020-07-15",48.73,52.09,48.43,51.84,5627200,51.84
"2020-07-16",50.700001,51.779999,49.860001,50.849998,3358700,50.849998
"2020-07-17",50.849998,51.259998,49.959999,51.040001,2161000,51.040001
"2020-07-20",50.610001,51.77,48.599998,49.209999,2487900,49.209999
"2020-07-21",49.52,50.459999,48.98,49.18,1764600,49.18
"2020-07-22",48.790001,49.790001,48.509998,48.990002,1614300,48.990002
"2020-07-23",48.560001,48.98,47.32,48,2054400,48
"2020-07-24",47.939999,48.599998,47.16,47.919998,1142400,47.919998
"2020-07-27",47.849998,47.880001,46.5,47.34,1896900,47.34
"2020-07-28",47.080002,47.869999,46.740002,47.290001,1786700,47.290001
"2020-07-29",47.189999,47.669998,46.279999,46.939999,1447900,46.939999
"2020-07-30",46.310001,46.630001,45.82,46.470001,1540100,46.470001
"2020-07-31",46.66,47.290001,45.419998,46.810001,1606500,46.810001
"2020-08-03",46.68,47.040001,44.950001,46.669998,1661900,46.669998
"2020-08-04",46.619999,48.990002,46.439999,47.759998,1965200,47.759998
"2020-08-05",48.5,48.599998,47.040001,47.639999,2078300,47.639999
"2020-08-06",47.110001,47.5,45.57,47.470001,4398200,47.470001
"2020-08-07",47.110001,47.98,46.439999,47.650002,2237300,47.650002
"2020-08-10",48.009998,52.09,48.009998,50.799999,3381000,50.799999
"2020-08-11",52.139999,53.049999,51.299999,51.689999,3263300,51.689999
"2020-08-12",52.41,52.5,50.75,51.349998,1181100,51.349998
"2020-08-13",50.98,52.02,50.880001,51.299999,1302000,51.299999
"2020-08-14",50.619999,51.939999,50.599998,51.48,1120900,51.48
"2020-08-17",51.66,51.66,49.650002,50.889999,2395900,50.889999
"2020-08-18",50.799999,51.02,49.799999,50.32,1195300,50.32
"2020-08-19",50.619999,52,50.439999,51.560001,1774600,51.560001
"2020-08-20",50.75,51.759998,50.5,51.549999,1501000,51.549999
"2020-08-21",51.48,52.639999,51.02,51.119999,1524900,51.119999
"2020-08-24",51.389999,54.119999,51.110001,54.09,2363700,54.09
"2020-08-25",54.16,54.720001,52.970001,53.68,2291300,53.68
"2020-08-26",53.459999,53.740002,52.18,52.639999,1889900,52.639999
"2020-08-27",53.369999,58.5,53.02,57.259998,6403100,57.259998
"2020-08-28",57.41,59.029999,57.02,58.709999,3098100,58.709999
"2020-08-31",58.73,58.73,56.66,56.799999,2263600,56.799999
"2020-09-01",56.110001,58,55.849998,57.200001,1845700,57.200001
"2020-09-02",56.66,57.939999,56.450001,57.900002,1779000,57.900002
"2020-09-03",58,59.48,55.380001,56.099998,2563200,56.099998
"2020-09-04",56.990002,58.299999,56.029999,57.580002,3629900,57.580002
"2020-09-08",56.029999,58.529999,55.669998,57.810001,2403600,57.810001
"2020-09-09",58,58.130001,56.049999,57.240002,2774300,57.240002
"2020-09-10",57.529999,59.310001,56.740002,56.93,2619500,56.93
"2020-09-11",56.990002,57.43,56.369999,57.139999,1304000,57.139999
"2020-09-14",57.700001,58.869999,57,58.66,1498700,58.66
