"","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2020-07-01",83.209999,86.110001,82.389999,84.440002,3163200,84.440002
"2020-07-02",86.480003,88.080002,83.470001,84.889999,2916200,84.889999
"2020-07-06",88.589996,89.82,83.989998,87.339996,4336600,87.339996
"2020-07-07",85.870003,86.220001,83.669998,85.050003,2833300,85.050003
"2020-07-08",84.809998,84.989998,81.959999,84.199997,4197900,84.199997
"2020-07-09",83.940002,84.139999,79.150002,81.559998,5708600,81.559998
"2020-07-10",81.040001,84.089996,80.050003,83.540001,4013000,83.540001
"2020-07-13",84.449997,86.07,81.480003,81.580002,3714400,81.580002
"2020-07-14",80.830002,82.650002,80.32,82.470001,2344700,82.470001
"2020-07-15",86.260002,91.290001,86.129997,90.230003,5597200,90.230003
"2020-07-16",88.449997,89.07,86.449997,87.169998,2458500,87.169998
"2020-07-17",87.209999,87.25,85.57,86.870003,1631400,86.870003
"2020-07-20",86.089996,87.550003,84.529999,86.889999,1924800,86.889999
"2020-07-21",87.720001,89.110001,86.699997,87.529999,1900000,87.529999
"2020-07-22",86.879997,87.800003,85.989998,87.68,2082000,87.68
"2020-07-23",87.099998,87.230003,83.75,85.169998,2873600,85.169998
"2020-07-24",84.860001,85.599998,83.290001,83.720001,2502900,83.720001
"2020-07-27",83.400002,84.800003,80.699997,84.419998,2423600,84.419998
"2020-07-28",84.190002,85.480003,83.480003,83.68,1516400,83.68
"2020-07-29",84.010002,85.669998,82.269997,85.32,1859500,85.32
"2020-07-30",83.910004,85.080002,81.480003,84.93,2841300,84.93
"2020-07-31",80.830002,81.32,76.75,81.010002,10891400,81.010002
"2020-08-03",81.099998,82.290001,79.419998,79.959999,3514000,79.959999
"2020-08-04",79.860001,81.400002,79.07,79.739998,4332800,79.739998
"2020-08-05",80.959999,82.800003,80.5,82.580002,2757000,82.580002
"2020-08-06",81.809998,85.580002,81.480003,84.209999,3157300,84.209999
"2020-08-07",83.480003,84.050003,80.889999,82.559998,3199700,82.559998
"2020-08-10",83.110001,86.370003,83.099998,84.910004,2585400,84.910004
"2020-08-11",87.599998,90.690002,87.419998,88.120003,4140900,88.120003
"2020-08-12",88.349998,88.989998,85.730003,86.949997,1937900,86.949997
"2020-08-13",86.949997,88.760002,86.139999,86.970001,1585000,86.970001
"2020-08-14",86.559998,86.989998,85.440002,86.730003,1830700,86.730003
"2020-08-17",87.370003,87.830002,85.660004,87.699997,1909400,87.699997
"2020-08-18",87.160004,88.720001,86.68,88.5,1740500,88.5
"2020-08-19",88.139999,88.82,87,87.68,2428600,87.68
"2020-08-20",86.970001,89.209999,86.760002,88.669998,1256300,88.669998
"2020-08-21",88.230003,91.300003,87.970001,91.099998,2582900,91.099998
"2020-08-24",92.150002,95.970001,91.550003,95.459999,4114000,95.459999
"2020-08-25",95.589996,96.629997,93.330002,96.419998,2377000,96.419998
"2020-08-26",96,96.82,94.940002,95.110001,2099100,95.110001
"2020-08-27",96.099998,98.480003,95.769997,97.739998,2765600,97.739998
"2020-08-28",98.730003,101.449997,97.900002,100.889999,3020100,100.889999
"2020-08-31",101.019997,101.019997,98.07,98.150002,2817400,98.150002
"2020-09-01",97.599998,99.330002,96.690002,99.25,1967800,99.25
"2020-09-02",100.459999,103.489998,99.199997,102.940002,3812800,102.940002
"2020-09-03",101.720001,104.050003,99.209999,100.290001,3888100,100.290001
"2020-09-04",101.120003,102.290001,97.080002,99.800003,3345400,99.800003
"2020-09-08",98.260002,100.839996,97.480003,99.269997,1791000,99.269997
"2020-09-09",99.360001,99.760002,96.949997,99.230003,2069900,99.230003
"2020-09-10",99.080002,101.190002,97.150002,97.239998,2216500,97.239998
"2020-09-11",96.25,96.589996,92.120003,94.739998,3019700,94.739998
"2020-09-14",96.139999,96.529999,94.720001,95.919998,2141300,95.919998
"2020-09-15",96.839996,99.260002,96.120003,97.400002,1560200,97.400002
"2020-09-16",97.75,101.370003,97.260002,99.029999,2013800,99.029999
"2020-09-17",97.230003,98.120003,94.410004,96.790001,2131300,96.790001
"2020-09-18",97.309998,97.309998,92.970001,93.800003,3519800,93.800003
"2020-09-21",91.169998,92.379997,89.830002,91.290001,3202800,91.290001
"2020-09-22",91.940002,94.190002,90.669998,93.949997,2414000,93.949997
"2020-09-23",93.379997,95.300003,91.68,91.919998,1874500,91.919998
"2020-09-24",91.230003,93.959999,89.720001,92.050003,1871200,92.050003
"2020-09-25",91.040001,93.889999,90.379997,93.57,2152000,93.57
"2020-09-28",92.989998,95.260002,91.669998,94.290001,2240100,94.290001
"2020-09-29",94.040001,94.050003,91.059998,91.779999,2245100,91.779999
"2020-09-30",92.300003,93.870003,90.419998,91.690002,2401800,91.690002
"2020-10-01",92.550003,94.730003,91.949997,92.059998,2434600,92.059998
"2020-10-02",89.220001,92.510002,88.419998,92.089996,1891000,92.089996
"2020-10-05",93.099998,93.470001,90.900002,92.160004,1286800,92.160004
"2020-10-06",92.889999,95.57,91.489998,91.870003,2153900,91.870003
"2020-10-07",93.730003,94.269997,92.43,93.489998,1412300,93.489998
"2020-10-08",94.059998,96.050003,93.019997,95.949997,1271000,95.949997
"2020-10-09",97.220001,97.489998,95.099998,96.300003,1298500,96.300003
"2020-10-12",98.010002,98.480003,96.769997,97.339996,1553900,97.339996
"2020-10-13",97.360001,97.360001,93.68,94.32,1791900,94.32
"2020-10-14",94.57,95.690002,92.349998,92.400002,2345500,92.400002
"2020-10-15",91.150002,91.220001,87.900002,90.230003,3391800,90.230003
"2020-10-16",91.059998,91.760002,89.949997,90.709999,2200900,90.709999
"2020-10-19",91.870003,93.129997,91.449997,92.139999,2078400,92.139999
"2020-10-20",92.919998,95.419998,92.550003,92.959999,2105600,92.959999
"2020-10-21",92.559998,93.32,91.5,92.699997,1062800,92.699997
"2020-10-22",93.050003,102.110001,92.580002,101.040001,4711300,101.040001
"2020-10-23",101,103.059998,100.260002,102.720001,2625500,102.720001
"2020-10-26",101.559998,101.639999,96.160004,99.010002,2311400,99.010002
"2020-10-27",98.959999,98.959999,94.470001,95.07,1908700,95.07
"2020-10-28",92.800003,93.849998,90.769997,91.830002,2808300,91.830002
"2020-10-29",91.190002,95.910004,90.519997,95.220001,1733200,95.220001
"2020-10-30",94.879997,95.260002,92.709999,94.150002,2124800,94.150002
"2020-11-02",95.050003,95.230003,92.559998,94.720001,2571100,94.720001
"2020-11-03",95.949997,99.75,95.510002,98.800003,2635700,98.800003
"2020-11-04",99.239998,100.720001,97.169998,98.5,3813600,98.5
"2020-11-05",102.010002,106.739998,100.519997,103.099998,4469800,103.099998
"2020-11-06",102,104.32,100.800003,103.269997,1926400,103.269997
"2020-11-09",119.199997,130.570007,119.190002,128.639999,19306700,128.639999
"2020-11-10",122.279999,126.809998,119.739998,122.75,7438500,122.75
"2020-11-11",120.300003,123.389999,118.639999,119.699997,3728400,119.699997
