"","HRL.Open","HRL.High","HRL.Low","HRL.Close","HRL.Volume","HRL.Adjusted"
"2020-07-01",48.369999,48.369999,47.389999,47.439999,2269300,45.278675
"2020-07-02",47.740002,48.450001,47.709999,48.080002,2034200,45.889519
"2020-07-06",48.380001,48.740002,47.779999,47.990002,1436000,45.803623
"2020-07-07",47.830002,48.209999,47.470001,48.150002,2672800,45.956333
"2020-07-08",48.110001,48.259998,47.59,47.91,1273400,45.727268
"2020-07-09",47.599998,47.77,46.860001,47.009998,2449300,44.868263
"2020-07-10",46.830002,48.259998,46.810001,48.200001,1812800,46.2332
"2020-07-13",48.470001,48.740002,47.869999,48.060001,1705200,46.098911
"2020-07-14",48.060001,49.119999,48.060001,49.09,1260200,47.08688
"2020-07-15",49.099998,49.389999,48.66,48.82,1298600,46.827908
"2020-07-16",48.790001,49.740002,48.720001,49.529999,1873200,47.508926
"2020-07-17",49.82,50.23,49.759998,49.919998,2097000,47.883018
"2020-07-20",49.860001,50.09,49.330002,49.700001,1116600,47.671993
"2020-07-21",49.5,50.439999,49.5,49.75,1660800,47.719952
"2020-07-22",49.889999,49.959999,48.959999,49.779999,1076400,47.748726
"2020-07-23",50.02,50.57,49.860001,50.549999,1182600,48.487309
"2020-07-24",50.66,51.09,49.93,50.27,1306400,48.218742
"2020-07-27",50.389999,50.84,50.369999,50.549999,1013100,48.487309
"2020-07-28",50.599998,51.119999,50.439999,50.560001,1120200,48.496902
"2020-07-29",50.82,51.080002,50.439999,50.84,1254700,48.765472
"2020-07-30",50.540001,50.900002,50.16,50.75,1134500,48.679153
"2020-07-31",50.459999,51.169998,50.25,50.860001,2196000,48.784668
"2020-08-03",51.040001,51.240002,50.630001,50.799999,1210000,48.727108
"2020-08-04",50.73,51.169998,50.41,51.130001,1572300,49.04364
"2020-08-05",51.040001,51.43,50.59,50.860001,1509800,48.784668
"2020-08-06",50.82,51.23,50.740002,51.18,807500,49.09161
"2020-08-07",51.130001,51.950001,50.970001,51.619999,1252900,49.513649
"2020-08-10",51.720001,52.18,51.540001,51.98,1028500,49.858959
"2020-08-11",52.029999,52.200001,51.290001,51.41,1162500,49.312214
"2020-08-12",51.700001,52.5,51.59,52.029999,1296900,49.906914
"2020-08-13",51.950001,52.259998,51.630001,52.119999,1069200,49.993252
"2020-08-14",52.189999,52.509998,51.959999,52.23,932800,50.098755
"2020-08-17",52.18,52.68,52.049999,52.419998,855000,50.280998
"2020-08-18",52.389999,52.900002,52.09,52.709999,1040300,50.55917
"2020-08-19",52.720001,52.790001,52.110001,52.43,1121200,50.2906
"2020-08-20",52.27,52.669998,52.200001,52.549999,737200,50.405697
"2020-08-21",52.580002,52.830002,52.259998,52.68,1420100,50.530399
"2020-08-24",52.950001,52.970001,52.16,52.639999,1685800,50.492023
"2020-08-25",52.450001,52.810001,51.259998,51.540001,2828100,49.436916
"2020-08-26",51.209999,51.459999,50.209999,50.98,2335800,48.899761
"2020-08-27",51.189999,52.119999,51.119999,51.310001,1429000,49.216297
"2020-08-28",51.049999,51.16,50.310001,50.619999,1470300,48.554455
"2020-08-31",50.470001,51.139999,50.34,50.98,2453400,48.899761
"2020-09-01",51.060001,51.060001,50.060001,50.689999,2240100,48.621593
"2020-09-02",50.689999,51.419998,50.48,51.330002,2094200,49.235485
"2020-09-03",51.400002,52.369999,50.48,50.990002,1927000,48.909359
"2020-09-04",50.950001,51.34,50.529999,51.080002,1351900,48.995686
"2020-09-08",51.09,51.27,50.209999,50.25,1944700,48.199547
"2020-09-09",50.630001,51.389999,50.470001,50.669998,1386800,48.602417
"2020-09-10",50.57,50.779999,49.610001,49.720001,1760800,47.691177
"2020-09-11",49.700001,50.09,49.389999,49.830002,1304800,47.796688
"2020-09-14",49.950001,50.599998,49.93,50.25,1020600,48.199547
"2020-09-15",50.349998,50.360001,49.779999,49.810001,1422400,47.777508
"2020-09-16",49.860001,50.099998,49.419998,49.450001,1390000,47.432198
"2020-09-17",49.389999,49.639999,48.91,49.509998,1586100,47.48975
"2020-09-18",49.360001,49.82,48.509998,48.75,2086100,46.760754
"2020-09-21",48.5,49.18,47.93,48.470001,1587500,46.492184
"2020-09-22",48.5,49.07,48.330002,48.709999,1340500,46.722393
"2020-09-23",49.009998,49.080002,47.400002,47.66,2415700,45.715237
"2020-09-24",47.75,48.669998,47.709999,48.279999,1353100,46.309937
"2020-09-25",48.110001,48.91,48.07,48.84,1055400,46.847088
"2020-09-28",48.990002,49.310001,48.73,48.959999,1169200,46.962189
"2020-09-29",48.93,49.290001,48.389999,48.509998,1345100,46.530552
"2020-09-30",48.700001,49.23,48.549999,48.889999,1490300,46.89505
"2020-10-01",49.07,49.400002,48.450001,49.279999,1316800,47.269131
"2020-10-02",49.18,49.75,48.82,49.02,983300,47.019741
"2020-10-05",48.990002,49.509998,48.73,49.5,904800,47.480152
"2020-10-06",49.439999,49.66,48.689999,48.849998,1192200,46.856682
"2020-10-07",48.869999,49.599998,48.740002,49.330002,1355400,47.317097
"2020-10-08",49.459999,49.810001,48.880001,49.099998,1044100,47.096478
"2020-10-09",49.110001,49.41,48.77,48.959999,1675400,46.962189
"2020-10-12",49.360001,50.360001,49.049999,50.099998,2254500,48.055664
"2020-10-13",50.049999,51.099998,50.049999,50.639999,2421300,48.573643
"2020-10-14",50.57,50.82,49.93,50.23,1649000,48.18037
"2020-10-15",50.009998,50.630001,49.84,50.470001,1502700,48.410576
"2020-10-16",50.299999,50.619999,49.5,49.540001,5536400,47.738918
"2020-10-19",49.43,49.860001,48.91,49.02,1902800,47.23782
"2020-10-20",49.07,49.369999,48.580002,48.759998,1059000,46.98727
"2020-10-21",48.619999,49.5,48.619999,49.27,1265500,47.478733
