"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2020-08-26",122.830002,122.830002,120.82,121.709999,576800,117.454185
"2020-08-27",122.059998,125.239998,121.910004,123.660004,277800,119.335991
"2020-08-28",124.349998,124.419998,122.389999,122.68,317600,118.996506
"2020-08-31",122.599998,122.75,120.709999,121.559998,314600,117.910141
"2020-09-01",120.830002,123.209999,120.510002,123.150002,354700,119.452408
"2020-09-02",123.199997,125.169998,122.5,124.019997,315000,120.296272
"2020-09-03",124.900002,126.57,120.959999,122,374300,118.336929
"2020-09-04",124.43,124.43,121.040001,122.669998,278500,118.986809
"2020-09-08",121.93,122.419998,120.059998,120.309998,344600,116.69767
"2020-09-09",121.360001,123.129997,120.639999,121.349998,455000,117.706436
"2020-09-10",121.449997,122.57,118.160004,118.360001,348200,114.806221
"2020-09-11",118.099998,119.900002,118.089996,118.699997,313400,115.136002
"2020-09-14",119.849998,121.360001,119.230003,119.449997,194200,115.86348
"2020-09-15",119.360001,119.879997,117.18,117.260002,209300,113.73925
"2020-09-16",117.959999,119.580002,117.43,117.730003,378700,114.195137
"2020-09-17",116.589996,119.739998,116.110001,119.470001,468400,115.882896
"2020-09-18",119.5,121.220001,119.43,119.93,563800,116.329071
"2020-09-21",117.75,121.220001,117.75,120.07,686500,116.464874
"2020-09-22",119.540001,122.489998,119.540001,120.910004,501000,117.279655
"2020-09-23",121.419998,123.339996,118.370003,118.730003,627200,115.165123
"2020-09-24",118.330002,119.5,116.400002,117.839996,270000,114.301826
"2020-09-25",116.900002,118.199997,116.459999,117.82,303300,114.282425
"2020-09-28",119.169998,121.370003,119.07,120.099998,228800,116.49398
"2020-09-29",120.019997,120.980003,118.410004,120.589996,265300,116.969254
"2020-09-30",121.199997,123.459999,120.760002,121.309998,479800,117.667656
"2020-10-01",121.349998,122.709999,120.099998,122.470001,322200,118.792816
"2020-10-02",121.199997,124.419998,120.790001,123.43,275400,119.723991
"2020-10-05",124.980003,125.900002,124.129997,125.360001,281300,121.596039
"2020-10-06",125.779999,126,122.279999,122.900002,365900,119.209908
"2020-10-07",123.739998,124.769997,122.330002,123.809998,393900,120.092575
"2020-10-08",124.769997,125.75,123.980003,125.629997,522800,121.857925
"2020-10-09",126.510002,127.470001,125.419998,125.57,425600,121.799736
"2020-10-12",125.300003,126.949997,125.019997,126.349998,238700,122.556328
"2020-10-13",125.629997,126.68,122.199997,122.519997,247100,118.841309
"2020-10-14",122.190002,124.870003,122.190002,122.440002,334000,118.763725
"2020-10-15",120.720001,123.620003,119.470001,123.120003,273300,119.423302
"2020-10-16",123.449997,125.07,122.550003,123.470001,291400,119.762779
"2020-10-19",123.400002,124.309998,121.459999,121.790001,221900,118.133232
"2020-10-20",122.800003,123.739998,122.360001,122.599998,184100,118.918907
"2020-10-21",122.339996,123.870003,122.339996,122.940002,298300,119.248703
"2020-10-22",122.419998,125.050003,122.169998,124.589996,236400,120.849159
"2020-10-23",125.699997,127,124.360001,125.989998,258500,122.207115
"2020-10-26",124.32,124.830002,121.57,123.160004,195300,119.462097
"2020-10-27",123.220001,123.400002,120.540001,120.690002,186900,117.066254
