"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume","EBAY.Adjusted"
"2020-12-17",53.630001,53.959999,52.439999,53.049999,6195700,52.013916
"2020-12-18",53.099998,53.259998,52.400002,53.060001,10943100,52.023724
"2020-12-21",52.619999,52.68,51.169998,51.57,6082300,50.562824
"2020-12-22",51.709999,52.02,51.080002,51.619999,6215900,50.611851
"2020-12-23",52,52,51.130001,51.130001,4739400,50.131416
"2020-12-24",51.23,51.240002,49.939999,50.119999,2718500,49.141144
"2020-12-28",50.5,50.549999,49.93,50.240002,6187400,49.258797
"2020-12-29",50.650002,51.110001,50.299999,50.860001,4796700,49.866688
"2020-12-30",51.02,51.509998,50.470001,50.549999,8618900,49.562744
"2020-12-31",50.610001,50.810001,50,50.25,3597200,49.2686
"2021-01-04",50.48,51.900002,50.450001,51.5,7843500,50.494186
"2021-01-05",51.349998,52.279999,51.060001,52.029999,10002400,51.013836
"2021-01-06",51.5,54.290001,51.400002,53.220001,9911400,52.180599
"2021-01-07",53.419998,54.23,53.009998,53.060001,7348800,52.023724
"2021-01-08",53.369999,54.549999,53.23,54.48,6298300,53.415985
"2021-01-11",54.18,54.41,53.470001,53.93,6956100,52.876732
"2021-01-12",53.98,56.709999,53.880001,56.040001,11825900,54.945522
"2021-01-13",55.779999,56.369999,55.360001,55.709999,8185100,54.621964
"2021-01-14",55.830002,55.830002,54.98,55.27,6937900,54.190563
"2021-01-15",55.290001,55.709999,54.310001,55.419998,9710600,54.337631
"2021-01-19",55.549999,57.200001,55.439999,56.98,8942400,55.867161
"2021-01-20",57.299999,57.540001,56.119999,56.169998,4798200,55.072975
"2021-01-21",56.299999,56.470001,55.32,56.400002,5265800,55.298492
"2021-01-22",56.200001,56.57,55.639999,56.459999,3317000,55.357319
"2021-01-25",57,58.380001,56.82,57.25,9818900,56.131889
"2021-01-26",57.09,59.310001,56.970001,59.169998,8394700,58.014389
"2021-01-27",58.639999,60.549999,58.049999,58.349998,10645100,57.210403
"2021-01-28",58,58.860001,55.939999,56.439999,11679600,55.337711
"2021-01-29",56.220001,57.580002,55.310001,56.509998,10923300,55.406342
"2021-02-01",56.830002,58.700001,56.650002,58.470001,7476200,57.328068
"2021-02-02",58.509998,58.779999,57.099998,57.330002,8580900,56.210331
"2021-02-03",58.099998,58.799999,57.669998,58.040001,10673300,56.906467
"2021-02-04",63.959999,64.849998,60.669998,61.119999,29410700,59.926308
"2021-02-05",61.16,62.82,60.240002,62.23,12711700,61.014629
"2021-02-08",62.599998,64.059998,62.560001,63.84,9787900,62.593185
"2021-02-09",63.869999,63.91,62.119999,62.23,5036400,61.014629
"2021-02-10",62.549999,63.220001,61.759998,62.32,4470900,61.102871
"2021-02-11",62.599998,62.98,61.669998,62.310001,3660100,61.093067
"2021-02-12",62.049999,63.189999,61.939999,63.009998,5621800,61.779396
"2021-02-16",63.98,64,62.82,62.869999,5559800,61.642132
"2021-02-17",62.580002,63.240002,62.049999,63.049999,4178700,61.818615
"2021-02-18",62.700001,63.349998,62.220001,62.799999,5962500,61.573494
"2021-02-19",63.189999,63.360001,61.869999,61.98,5462500,60.769508
"2021-02-22",62.099998,62.290001,60.959999,61.560001,5252900,60.357716
"2021-02-23",60.68,61.73,59.82,61.369999,5826500,60.171421
"2021-02-24",60.990002,61.049999,58.830002,59.380001,8050000,58.220291
"2021-02-25",59.400002,59.970001,56.849998,56.98,7868300,55.867161
"2021-02-26",57.34,57.66,56.25,56.419998,9014000,55.493401
"2021-03-01",57.099998,58.700001,56.529999,58.48,6153700,57.519573
"2021-03-02",58.639999,58.66,56.889999,56.990002,7646700,56.054043
"2021-03-03",56.73,56.950001,54.48,54.599998,11055500,53.703285
"2021-03-04",54.470001,54.889999,52.459999,53.34,9940400,52.463989
"2021-03-05",53.880001,54.119999,51.509998,53.759998,8395000,52.87709
"2021-03-08",53.869999,55.189999,53.450001,53.490002,7622100,52.611523
"2021-03-09",54.599998,56.970001,54.32,56.169998,8407000,55.247505
"2021-03-10",56.779999,56.779999,54.529999,55.34,7202600,54.431145
"2021-03-11",55.950001,56.580002,55.459999,56.240002,5888000,55.31636
"2021-03-12",55.68,56.099998,55.040001,55.799999,5025800,54.883583
"2021-03-15",55.849998,57.709999,55.610001,57.669998,5860100,56.72287
"2021-03-16",57.299999,58.189999,57.060001,57.419998,5873600,56.476974
"2021-03-17",56.73,59.73,56.720001,59,6788400,58.031033
"2021-03-18",58.32,60.119999,58,58.900002,6547300,57.932678
"2021-03-19",59.16,60.029999,58.509998,59.73,10317900,58.749043
"2021-03-22",59.919998,60.849998,59.560001,60.290001,6583900,59.29985
"2021-03-23",60.400002,61.029999,60.009998,60.310001,5959400,59.319519
"2021-03-24",60.610001,60.900002,57.580002,57.639999,7141900,56.693363
"2021-03-25",57.73,58.43,56.98,58.09,5705500,57.135975
"2021-03-26",58.150002,60.93,58.040001,60.830002,7409300,59.830982
"2021-03-29",60.880001,61.18,59.279999,59.849998,7090300,58.867073
"2021-03-30",59.529999,60.630001,59.049999,60.32,5400600,59.32935
"2021-03-31",60.84,62.669998,60.75,61.240002,8516800,60.234245
"2021-04-01",61.400002,63.240002,61.389999,63.110001,5210000,62.073536
"2021-04-05",63.349998,63.98,62.549999,63.689999,6672800,62.644005
"2021-04-06",63.630001,63.720001,62.240002,62.52,6396900,61.493221
"2021-04-07",62.689999,62.689999,61.43,61.759998,5848100,60.745701
"2021-04-08",62.299999,62.650002,61.759998,62.189999,3948400,61.16864
"2021-04-09",62.080002,62.599998,61.849998,62.470001,3801000,61.44405
"2021-04-12",62.470001,62.880001,62.130001,62.639999,5003600,61.611248
"2021-04-13",63.02,64.080002,62.919998,63.82,5264900,62.77187
"2021-04-14",63.939999,64.389999,62.349998,62.790001,9522800,61.758789
"2021-04-15",63.330002,64.540001,63.029999,64.360001,4677400,63.303001
"2021-04-16",64.519997,64.989998,64.290001,64.93,4650500,63.863644
"2021-04-19",64.629997,65.110001,63.599998,63.790001,5285500,62.742367
"2021-04-20",63.630001,63.799999,61.209999,61.790001,5506000,60.775211
"2021-04-21",61.439999,61.869999,60.880001,61.779999,5091900,60.765373
"2021-04-22",61.849998,61.900002,60.529999,60.740002,6849100,59.742455
"2021-04-23",60.880001,61.169998,60.439999,60.91,5072900,59.90966
"2021-04-26",61,61.610001,60.77,61.580002,4539300,60.568665
"2021-04-27",61.720001,62.310001,61.380001,61.700001,5577600,60.686687
"2021-04-28",62.080002,62.869999,61.82,62.32,7814100,61.296505
"2021-04-29",57.290001,57.34,54.950001,56.07,31082000,55.149155
"2021-04-30",55.73,56.889999,55.66,55.790001,10069300,54.873753
"2021-05-03",56.169998,58.849998,56.119999,58.150002,12472600,57.194992
"2021-05-04",57.509998,58.34,56.82,57.689999,9736900,56.742546
"2021-05-05",57.400002,58.880001,57.389999,58.240002,7002800,57.283512
"2021-05-06",58.150002,58.889999,57.759998,58.82,7583000,57.853985
"2021-05-07",59.099998,60.009998,58.400002,59.779999,10347500,58.798218
"2021-05-10",59.560001,62.299999,59.259998,61.439999,11628700,60.430958
"2021-05-11",60.040001,60.990002,59.139999,60.43,11344500,59.43755
"2021-05-12",59.689999,60.43,58.240002,58.279999,8763100,57.322853
"2021-05-13",58.59,59.369999,58.060001,58.740002,6389300,57.775303
"2021-05-14",59.439999,61.049999,59.299999,60.860001,6565200,59.860489
"2021-05-17",60.810001,61.799999,60.540001,61.689999,6892500,60.676857
"2021-05-18",61.700001,62.689999,60.689999,61.290001,6110600,60.283428
"2021-05-19",60.400002,60.400002,59.07,59.790001,8050200,58.80806
"2021-05-20",60.110001,60.27,59.349998,59.470001,8104600,58.493317
"2021-05-21",59.810001,61.380001,59.720001,61.02,11192200,60.01786
"2021-05-24",61.240002,61.950001,60.93,60.970001,5735100,59.968681
"2021-05-25",61.240002,61.84,60.860001,61.299999,6069900,60.293262
"2021-05-26",61.189999,62.139999,61.189999,61.439999,6710700,60.430958
"2021-05-27",61.200001,62.119999,59.32,59.509998,19669700,58.532654
"2021-05-28",59.959999,61.419998,59.66,60.880001,10887300,60.061829
"2021-06-01",61.52,62.09,60.73,61.369999,5640600,60.545242
"2021-06-02",61.389999,63.57,61.02,63.41,10598300,62.557827
"2021-06-03",62.98,64.269997,62.59,64.07,7219200,63.208954
"2021-06-04",64.379997,65.889999,64.139999,65.230003,8978000,64.353371
"2021-06-07",65.309998,65.720001,64.790001,65.449997,6123400,64.570412
"2021-06-08",65.519997,65.940002,65.260002,65.800003,5712300,64.91571
"2021-06-09",66.220001,66.349998,65.400002,65.959999,6124100,65.073547
"2021-06-10",66.32,66.980003,65.769997,66.75,5789000,65.852943
"2021-06-11",66.900002,67.419998,66.830002,67.129997,5849500,66.227829
"2021-06-14",67.25,67.260002,65.169998,65.889999,6944300,65.004494
"2021-06-15",66,66.349998,65.470001,65.959999,5011400,65.073547
"2021-06-16",65.440002,66.349998,65.300003,66.089996,5626000,65.201813
"2021-06-17",65.669998,66.300003,65.25,65.330002,6398300,64.452026
"2021-06-18",64.839996,64.93,63.139999,63.259998,11438700,62.409836
"2021-06-21",63.380001,64.970001,63.360001,64.400002,6483600,63.534527
"2021-06-22",64.279999,65.129997,63.41,64.889999,5311100,64.017937
"2021-06-23",65.019997,65.93,64.889999,65.300003,4462000,64.422432
"2021-06-24",65.410004,66.75,65.139999,66.57,5522300,65.675354
"2021-06-25",66.75,68.190002,66.75,67.900002,8999200,66.987488
"2021-06-28",68.260002,68.970001,67.57,68.82,5413400,67.895126
"2021-06-29",69,70.639999,68.849998,70.489998,6513000,69.542671
"2021-06-30",70.230003,70.660004,69.690002,70.209999,7299800,69.266441
"2021-07-01",70.209999,70.769997,69.029999,69.800003,8519800,68.861954
"2021-07-02",69.989998,70.309998,69.360001,70.080002,4908800,69.138184
"2021-07-06",70.150002,70.150002,68.889999,69.019997,6112100,68.09243
"2021-07-07",69.160004,70.519997,68.989998,70.07,6019500,69.128319
"2021-07-08",68.660004,69.290001,68.379997,68.650002,5581800,67.727402
"2021-07-09",68.830002,69.949997,68.580002,69.459999,5263600,68.52652
"2021-07-12",69.82,70.25,68.849998,68.970001,5628800,68.043106
"2021-07-13",68.82,69.470001,68.5,68.739998,4491800,67.816193
"2021-07-14",69.669998,70.309998,67.959999,68.029999,6484100,67.11573
"2021-07-15",68.059998,68.629997,67.639999,68.139999,4578000,67.224258
"2021-07-16",68.410004,68.800003,68.139999,68.18,4278900,67.263725
"2021-07-19",67.610001,68.879997,67.279999,68.529999,6464400,67.609016
"2021-07-20",68.699997,69.610001,68.580002,69.57,6223900,68.63504
"2021-07-21",69.410004,70.07,69.230003,69.860001,6082500,68.92115
"2021-07-22",69.849998,72.099998,69.610001,72.059998,8802200,71.091568
"2021-07-23",72.120003,73.769997,71.660004,73.540001,6700500,72.551689
"2021-07-26",72.889999,73.970001,72.889999,73.260002,7653700,72.275452
"2021-07-27",73.089996,73.239998,71.07,72.290001,8159400,71.318489
"2021-07-28",72.580002,73.57,72.220001,72.889999,5141000,71.910431
"2021-07-29",73.139999,74.129997,73.050003,73.410004,4963100,72.423439
"2021-07-30",72.059998,72.07,68.080002,68.209999,11995300,67.29332
"2021-08-02",68.809998,69.360001,67.580002,68.629997,6785100,67.707672
"2021-08-03",68.75,68.779999,67.639999,68.010002,5997800,67.096001
"2021-08-04",67.919998,68.699997,67.720001,68,6715600,67.086136
"2021-08-05",67.699997,67.879997,65.580002,67.279999,9926200,66.375816
"2021-08-06",67.260002,67.279999,65.269997,65.489998,8888300,64.609863
"2021-08-09",65.739998,66.32,65.07,65.349998,7186400,64.471748
"2021-08-10",65.360001,67.580002,65.349998,67.309998,7358900,66.405411
"2021-08-11",67.220001,68.220001,66.949997,68.019997,10104400,67.105865
"2021-08-12",67.169998,69.040001,66.360001,68.889999,10677700,67.964172
"2021-08-13",68.639999,74.150002,68.589996,74.019997,17907600,73.025238
"2021-08-16",73.720001,76.550003,73.510002,75.25,12691700,74.238693
"2021-08-17",74.040001,74.739998,72.660004,72.839996,9422600,71.861092
"2021-08-18",72.980003,74.139999,72.360001,72.830002,6536400,71.851234
"2021-08-19",72.360001,73.550003,72.059998,72.830002,5607100,71.851234
"2021-08-20",72.900002,73.839996,72.809998,73.360001,5398700,72.3741
"2021-08-23",73.410004,73.470001,71.779999,73.199997,5044700,72.216248
"2021-08-24",73.529999,74,72.620003,72.839996,6132300,71.861092
"2021-08-25",72.849998,74.489998,72.709999,74.160004,5052500,73.163353
"2021-08-26",74.339996,75.959999,73.760002,75.639999,5539700,74.623459
"2021-08-27",75.300003,76.580002,75.190002,76.410004,5093200,75.383118
"2021-08-30",76.43,77.830002,76.040001,77.550003,5541700,76.507797
"2021-08-31",77.489998,77.720001,76.57,76.739998,6806300,75.884811
"2021-09-01",77.059998,77.059998,75.900002,76.150002,5740200,75.301384
"2021-09-02",76.309998,77.220001,76.120003,76.489998,5031000,75.637604
"2021-09-03",76.309998,76.949997,75.980003,76.529999,4436500,75.677147
"2021-09-07",76.410004,76.459999,74.650002,74.709999,6041300,73.877441
"2021-09-08",74.82,74.989998,73.68,73.93,6351300,73.106133
"2021-09-09",73.830002,74.089996,72.940002,73,5164200,72.186493
"2021-09-10",73.980003,74.269997,72.480003,72.559998,5393000,71.751389
"2021-09-13",72.959999,73.129997,71.870003,72.669998,5768600,71.860168
"2021-09-14",72.75,73.019997,71.029999,71.389999,6576700,70.594437
"2021-09-15",71.959999,74.989998,71.860001,73.989998,10771100,73.165459
"2021-09-16",73.43,75.110001,73.309998,74.699997,6630300,73.867546
"2021-09-17",74.889999,75.099998,73.730003,74.110001,8874800,73.284126
"2021-09-20",72.68,73,70.75,72.870003,9841500,72.057945
"2021-09-21",73.410004,74.029999,72.07,72.120003,5375100,71.316307
"2021-09-22",72.589996,73.730003,72.379997,73.209999,4028400,72.39415
"2021-09-23",73.489998,74.410004,73.18,73.510002,4128800,72.690811
"2021-09-24",72.93,73.400002,72.720001,72.989998,3486600,72.176598
"2021-09-27",72.730003,73.809998,72.410004,73.669998,4268700,72.849022
"2021-09-28",72.830002,73.669998,70.730003,71.260002,5379600,70.465889
"2021-09-29",71.519997,71.830002,69.730003,69.970001,5621400,69.190254
"2021-09-30",70.269997,70.660004,69.620003,69.669998,3927200,68.8936
"2021-10-01",69.699997,70.360001,69.019997,69.910004,4069100,69.130936
"2021-10-04",69.43,69.580002,68.279999,68.470001,4648400,67.706978
"2021-10-05",68.879997,70.629997,68.669998,69.970001,3932500,69.190254
"2021-10-06",69.309998,71.599998,69.139999,71.540001,4867000,70.74276
"2021-10-07",72.970001,75.169998,72.849998,74.169998,7309200,73.34346
"2021-10-08",74.440002,75.949997,74.330002,75.050003,4672600,74.213646
"2021-10-11",74.690002,74.900002,74.199997,74.5,2817900,73.669769
"2021-10-12",75.209999,75.709999,74.510002,74.669998,3408300,73.837875
"2021-10-13",74.970001,75.330002,74.239998,74.900002,2929400,74.065323
"2021-10-14",75.550003,75.75,74.220001,74.68,4770000,73.847771
"2021-10-15",75.239998,75.419998,74.639999,74.900002,4358500,74.065323
"2021-10-18",74.669998,75.050003,73.889999,74.25,5730000,73.422569
"2021-10-19",74.410004,75.379997,74.379997,74.720001,3425800,73.887329
"2021-10-20",74.959999,76.949997,74.620003,75.970001,5201700,75.123398
"2021-10-21",75.580002,76.269997,75.059998,76.209999,3615500,75.360718
"2021-10-22",76.290001,81.190002,76.290001,80.589996,11047500,79.69191
"2021-10-25",80.589996,81.059998,79.900002,80.57,6299600,79.672127
"2021-10-26",80.970001,80.980003,78.400002,78.5,6145700,77.625198
"2021-10-27",78.25,78.5,77.290001,77.660004,7896500,76.794563
"2021-10-28",74.029999,74.480003,70.550003,72.410004,17831800,71.603073
"2021-10-29",72.07,76.980003,72.07,76.720001,16714300,75.865036
"2021-11-01",76.470001,77.610001,75.550003,76.300003,7915700,75.449722
"2021-11-02",75.629997,76.379997,74.470001,74.900002,7002300,74.065323
"2021-11-03",74.690002,76.129997,73.860001,75.449997,9462500,74.609184
"2021-11-04",75.660004,77,74.949997,76.279999,5958200,75.429939
"2021-11-05",76.650002,76.940002,75.529999,75.57,4692600,74.727852
"2021-11-08",75.790001,76.529999,73.5,73.760002,8320500,72.938026
"2021-11-09",74.099998,75.470001,73.779999,73.959999,8317700,73.135796
"2021-11-10",73.870003,74.720001,72.940002,73.230003,6126600,72.41394
"2021-11-11",74.029999,74.949997,73.290001,73.300003,4200800,72.483147
"2021-11-12",73.459999,74.129997,72.529999,73.910004,3793600,73.086349
"2021-11-15",74.470001,76.239998,74,74.209999,5079300,73.383003
"2021-11-16",74.300003,76.580002,74.190002,75.889999,6200400,75.044281
"2021-11-17",75.800003,75.919998,72.989998,73.379997,6393300,72.562256
"2021-11-18",73.5,75.050003,73.459999,74.720001,9833400,73.887329
"2021-11-19",74.900002,76.410004,74.470001,74.629997,5573800,73.798332
"2021-11-22",74.43,75.190002,73.540001,73.57,4576600,72.750137
"2021-11-23",73.209999,73.379997,71.040001,71.650002,10521500,70.851532
"2021-11-24",71.349998,72.879997,70.910004,72.660004,4675200,71.850281
"2021-11-26",72.970001,73.599998,72.099998,72.470001,4121900,71.662399
"2021-11-29",72.540001,72.660004,69.529999,70.550003,7789500,69.763802
"2021-11-30",70.330002,70.720001,66.889999,67.459999,21869100,66.87886
"2021-12-01",68.639999,68.650002,66.739998,66.809998,11859600,66.234459
"2021-12-02",67.169998,67.949997,66.279999,67.480003,8384900,66.898697
"2021-12-03",67.779999,68.540001,66.309998,67.050003,10336600,66.472397
"2021-12-06",67.129997,67.139999,65.540001,66.07,6413100,65.500832
"2021-12-07",66.720001,67.650002,66.529999,67.230003,6224500,66.650848
"2021-12-08",67.330002,67.709999,66.279999,67.160004,6751900,66.581451
"2021-12-09",66.989998,67.690002,66.550003,66.599998,4523800,66.026268
"2021-12-10",66.809998,67.150002,65.940002,66.889999,7593700,66.313774
"2021-12-13",66.470001,67.440002,66.220001,66.690002,6043700,66.115501
"2021-12-14",66.25,66.459999,65.269997,65.849998,9297700,65.28273
"2021-12-15",65.32,65.760002,64.25,65.610001,10196400,65.0448
"2021-12-16",65.779999,66.129997,63.950001,64.040001,8521400,63.488327
"2021-12-17",63.650002,65.150002,62.970001,64.029999,19368900,63.478413
"2021-12-20",62.91,65.160004,62.82,63.790001,8123700,63.240479
"2021-12-21",64.209999,64.550003,63.299999,63.709999,9835700,63.161167
"2021-12-22",63.75,64.650002,63.34,63.939999,5835900,63.389187
"2021-12-23",64,65.440002,63.669998,64.889999,6045400,64.331001
"2021-12-27",65.209999,65.849998,64.970001,65.660004,6050200,65.094376
"2021-12-28",65.82,66.720001,65.470001,66.080002,5534400,65.51075
"2021-12-29",65.93,66.75,65.599998,66.459999,3654500,65.887474
"2021-12-30",66.279999,67.650002,66.239998,66.779999,3673600,66.20472
"2021-12-31",66.739998,66.919998,65.730003,66.5,5935800,65.927132
"2022-01-03",66.449997,67.120003,65.660004,66.800003,6685500,66.224548
"2022-01-04",67.169998,67.419998,64.440002,65.139999,7527300,64.57885
"2022-01-05",64.870003,66.269997,64.459999,64.489998,7440700,63.934448
"2022-01-06",64.139999,67.489998,64.080002,66.809998,8218400,66.234459
"2022-01-07",66.730003,67.330002,66.279999,66.32,5000900,65.748688
