"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume","EBAY.Adjusted"
"2020-07-01",52.709999,53.43,51.32,52.959999,12879800,51.611244
"2020-07-02",53.59,54.880001,53.549999,54.360001,8468400,52.975586
"2020-07-06",55.490002,56.970001,54.939999,56.169998,9889300,54.739483
"2020-07-07",55.950001,57.549999,55.93,57,10641800,55.548351
"2020-07-08",57.349998,58.459999,57.16,58.27,11127200,56.786007
"2020-07-09",58.73,60.529999,58.52,59.220001,15414600,57.711815
"2020-07-10",59.349998,59.889999,58.119999,59.27,11750700,57.760536
"2020-07-13",60.290001,61.060001,57.889999,58.299999,13128100,56.815239
"2020-07-14",57.75,59.290001,57.279999,59.080002,10054000,57.575382
"2020-07-15",58.82,59.130001,57.240002,58.389999,10724800,56.90295
"2020-07-16",57.900002,58.919998,57.900002,58.650002,7231200,57.156334
"2020-07-17",58.93,59.110001,57.779999,58.130001,6629600,56.64957
"2020-07-20",58.709999,58.799999,57.77,58.470001,6417100,56.980919
"2020-07-21",59.080002,59.549999,55.689999,56.59,18072000,55.148788
"2020-07-22",56.669998,57.43,56.130001,56.34,9139800,54.905163
"2020-07-23",56.439999,56.82,54.860001,55.150002,9819200,53.745464
"2020-07-24",55.02,55.360001,54.040001,55.119999,6509600,53.716228
"2020-07-27",55.73,57.380001,55.529999,57.23,7820700,55.772491
"2020-07-28",57.110001,57.34,56.110001,56.349998,11066800,54.914909
"2020-07-29",55.189999,56.040001,53.66,54.529999,14250500,53.141254
"2020-07-30",54,54.939999,53.73,54.720001,8018300,53.326412
"2020-07-31",55.060001,55.830002,54.330002,55.279999,8945500,53.872154
"2020-08-03",55.689999,56.82,55.57,56.57,8830300,55.129299
"2020-08-04",56.27,56.779999,55.779999,56.330002,6120700,54.895416
"2020-08-05",56.470001,56.93,55.98,56.66,6973500,55.217014
"2020-08-06",55.990002,56.529999,54.84,55.080002,8657100,53.677246
"2020-08-07",55.34,55.919998,54.779999,55.209999,6369300,53.803936
"2020-08-10",55.220001,55.290001,54.02,54.369999,6268400,52.985329
"2020-08-11",54.209999,55.639999,53.700001,54.290001,9325500,52.907368
"2020-08-12",54.400002,56.200001,54.389999,55.490002,6976200,54.076813
"2020-08-13",55.599998,57.060001,55.599998,56.279999,8205900,54.846684
"2020-08-14",56.529999,57.599998,55.869999,56.290001,6253200,54.856434
"2020-08-17",56.689999,57.57,56.299999,57.349998,5689900,55.889442
"2020-08-18",57.57,57.880001,56.939999,57.029999,4807100,55.577587
"2020-08-19",57.150002,58.380001,57.029999,57.709999,7208600,56.240269
"2020-08-20",57.599998,58.060001,57.16,57.66,6458400,56.19154
"2020-08-21",57.860001,59.060001,57.509998,58.209999,6784200,56.727531
"2020-08-24",58.459999,58.959999,58.060001,58.779999,6053100,57.283012
"2020-08-25",58.509998,58.889999,58.02,58.049999,4983200,56.571613
"2020-08-26",57.959999,58.66,57.380001,58.580002,6498800,57.088112
"2020-08-27",58.919998,58.919998,56.200001,56.310001,8112900,54.875919
"2020-08-28",56.259998,56.259998,54.049999,54.27,12445500,52.887871
"2020-08-31",54,54.91,53.57,54.779999,13417200,53.542744
"2020-09-01",54.950001,55.23,53.369999,53.650002,10121800,52.438271
"2020-09-02",53.889999,55.23,53.509998,55.09,10896300,53.845745
"2020-09-03",54.639999,55.419998,52.59,53.16,10157700,51.959335
"2020-09-04",52.82,53.330002,50.950001,52.540001,9971400,51.353336
"2020-09-08",51.169998,52.66,50.970001,51.529999,12745100,50.36615
"2020-09-09",52.029999,53.709999,51.709999,53.439999,8912100,52.233006
"2020-09-10",53.720001,54.599998,52.029999,52.32,7080700,51.138306
"2020-09-11",52.330002,53.080002,52.099998,52.77,7224600,51.578144
"2020-09-14",53.290001,53.580002,52.209999,52.299999,7417400,51.118755
"2020-09-15",52.68,52.990002,51.639999,51.779999,7750000,50.6105
"2020-09-16",51.779999,52.25,50.290001,50.419998,9394000,49.281223
"2020-09-17",49.360001,49.439999,47.439999,48.639999,15676200,47.541424
"2020-09-18",49,49.240002,48.080002,48.610001,10017200,47.512104
"2020-09-21",47.93,50.240002,47.73,50.139999,9097400,49.007542
"2020-09-22",50.639999,51.040001,49.830002,50.919998,6906300,49.76992
"2020-09-23",51.150002,51.459999,50.419998,50.68,6502600,49.535343
"2020-09-24",50.220001,52.169998,50.040001,51.779999,8182500,50.6105
"2020-09-25",51.970001,52.73,51.18,52.48,6852600,51.294689
"2020-09-28",53.200001,54.360001,53.099998,54.040001,6507200,52.819454
"2020-09-29",53.950001,54.299999,52.59,52.650002,7029100,51.46085
"2020-09-30",52.98,53.619999,51.509998,52.099998,9083900,50.923267
"2020-10-01",52.369999,52.860001,52,52.380001,6659600,51.196953
"2020-10-02",51.610001,52.43,51.189999,51.68,5456700,50.51276
"2020-10-05",51.939999,52.110001,51.150002,51.77,4954700,50.600727
"2020-10-06",51.91,51.91,49.490002,49.66,8824800,48.53838
"2020-10-07",50.549999,51.110001,49.98,50.939999,6016400,49.789471
"2020-10-08",51.299999,52.18,50.98,52.080002,6746800,50.903728
"2020-10-09",52.43,55.860001,52.32,55.450001,12658300,54.197609
"2020-10-12",56.200001,56.200001,54.529999,55.380001,8092000,54.129192
"2020-10-13",55.549999,57.82,55.400002,57.59,7445700,56.289276
"2020-10-14",57.790001,58.34,56.43,56.459999,7513800,55.184795
"2020-10-15",55.790001,56.110001,54.860001,55.400002,6275700,54.148739
"2020-10-16",55.330002,56.439999,55.189999,55.830002,6165600,54.569031
"2020-10-19",56.43,56.900002,53.919998,54.32,6721200,53.093132
"2020-10-20",54.419998,55.130001,54.029999,54.200001,6407500,52.975842
"2020-10-21",54.290001,54.48,52.630001,52.82,6557400,51.62701
"2020-10-22",52.59,52.720001,51.57,52.290001,5164000,51.108982
"2020-10-23",52.470001,53.950001,52.470001,53.790001,5734700,52.575111
"2020-10-26",53.490002,53.950001,52.279999,53.34,6597300,52.135273
"2020-10-27",53.389999,53.84,53,53.549999,4613000,52.340527
"2020-10-28",52.869999,54.099998,52.380001,53.25,9717200,52.047302
"2020-10-29",49.299999,50.799999,48.029999,49.279999,22526800,48.166962
"2020-10-30",48.77,49.139999,46.990002,47.630001,12565300,46.554237
"2020-11-02",48.189999,49.34,47.209999,47.869999,10765800,46.788818
"2020-11-03",48,49.380001,47.610001,48.919998,8909500,47.815094
"2020-11-04",49.470001,49.639999,47.560001,47.82,16562100,46.739944
"2020-11-05",48.709999,49.950001,48.470001,49.41,10325200,48.294029
"2020-11-06",49.700001,51.169998,49.049999,50.689999,10244300,49.54512
"2020-11-09",48,49.25,46.849998,48.32,19388000,47.228649
"2020-11-10",47.549999,47.639999,45.360001,46.540001,15521800,45.48885
"2020-11-11",47.169998,48.099998,46.810001,47.709999,13142300,46.63242
"2020-11-12",48.130001,48.169998,46.400002,46.59,10266100,45.537724
"2020-11-13",46.900002,48.720001,46.720001,48.669998,12082200,47.57074
"2020-11-16",48.450001,49.169998,48.009998,48.549999,14933300,47.453457
"2020-11-17",48.369999,48.900002,47.959999,48.330002,9892600,47.238426
"2020-11-18",48.07,49.459999,48.07,48.529999,12734100,47.433903
"2020-11-19",48.650002,50.049999,48.560001,49.779999,12012200,48.65567
"2020-11-20",49.799999,49.880001,48.959999,48.990002,10521400,47.883518
"2020-11-23",49.18,50.34,49.099998,49.900002,9416200,48.772964
"2020-11-24",49.919998,51.290001,49.830002,50.529999,7221600,49.388729
"2020-11-25",50.75,51.029999,50.049999,50.450001,4438900,49.310539
"2020-11-27",50.939999,51.93,50.900002,51.34,3604000,50.180439
"2020-11-30",51.029999,51.23,49.360001,50.43,10743200,49.445087
"2020-12-01",50.5,51.459999,50.18,50.52,7160300,49.533325
"2020-12-02",50.52,51.540001,50.360001,51.349998,9281900,50.347122
"2020-12-03",51.25,51.299999,50.110001,50.290001,5354200,49.307819
"2020-12-04",50.029999,51.189999,49.639999,50.970001,4791000,49.974545
"2020-12-07",50.91,51.009998,49.91,50.029999,5132200,49.052902
"2020-12-08",49.91,50.23,49.279999,49.889999,7091500,48.91563
"2020-12-09",49.959999,50.18,49.220001,49.5,6794500,48.533249
"2020-12-10",49.400002,49.84,48.93,49.599998,4344000,48.631294
"2020-12-11",49.439999,49.610001,48.669998,49.130001,4549500,48.170479
"2020-12-14",49.23,50.5,49.23,49.57,9127400,48.601883
"2020-12-15",49.959999,52.099998,49.689999,52.080002,7776100,51.062866
"2020-12-16",52.16,54.889999,52.16,53.650002,12846700,52.6022
