"","SWKS.Open","SWKS.High","SWKS.Low","SWKS.Close","SWKS.Volume","SWKS.Adjusted"
"2020-07-01",127.699997,127.699997,125.800003,125.849998,1371700,122.274704
"2020-07-02",127.519997,130.050003,127.290001,128.419998,1731900,124.771713
"2020-07-06",130.889999,133.279999,130.220001,131.449997,1460500,127.71563
"2020-07-07",133.529999,135.229996,132.149994,132.279999,2511900,128.522049
"2020-07-08",133.139999,133.550003,130.580002,132.149994,1289700,128.395752
"2020-07-09",132.850006,133.600006,129.770004,132.729996,1223200,128.959244
"2020-07-10",132.740005,133.130005,129.720001,131.220001,1081300,127.492172
"2020-07-13",133.320007,134.809998,128.820007,129.470001,1866700,125.79187
"2020-07-14",128.279999,131.490005,126.529999,131.179993,1748300,127.453285
"2020-07-15",131.880005,132.399994,129.009995,131.320007,1306900,127.58931
"2020-07-16",130,132.550003,129.130005,131.630005,1565500,127.890518
"2020-07-17",132.479996,134.279999,131.809998,133.949997,1538200,130.144592
"2020-07-20",134.720001,138.070007,133.830002,137.800003,1930700,133.885239
"2020-07-21",139.220001,139.880005,136.669998,137.449997,1924700,133.545151
"2020-07-22",137,138.419998,135.199997,136.300003,1455900,132.427856
"2020-07-23",137.119995,139.190002,134.490005,135.339996,2946200,131.495117
"2020-07-24",131.470001,136,128.559998,131.610001,3028100,127.871086
"2020-07-27",133.610001,137.759995,132.320007,136.690002,2274400,132.806747
"2020-07-28",137.369995,137.949997,134.460007,134.660004,1752100,130.834427
"2020-07-29",135.880005,137.220001,134.589996,136.449997,1330600,132.573593
"2020-07-30",134.919998,142.259995,134.800003,142.190002,3187900,138.150513
"2020-07-31",144.410004,145.899994,141.25,145.580002,3537500,141.444214
"2020-08-03",146.929993,149.490005,146.559998,147.199997,1882800,143.018158
"2020-08-04",147.440002,147.889999,142.960007,145.270004,1822700,141.143005
"2020-08-05",144.850006,146.119995,143.449997,145.369995,1427900,141.240158
"2020-08-06",145.699997,149.190002,145.089996,148.070007,1267300,143.863464
"2020-08-07",148.710007,148.729996,142.399994,144.369995,1526100,140.26857
"2020-08-10",143.839996,144.490005,141,143.539993,1499700,139.946854
"2020-08-11",143.190002,144.570007,140.770004,141.330002,1656500,137.79216
"2020-08-12",142.339996,147.850006,141.350006,147.559998,1640900,143.866196
"2020-08-13",147.699997,149.320007,146.800003,148.059998,1412800,144.353683
"2020-08-14",148.479996,148.619995,145.5,146.119995,997900,142.462265
"2020-08-17",147.369995,147.679993,144.639999,146.089996,1215200,142.432999
"2020-08-18",145.470001,146.619995,143.070007,143.190002,1178700,139.605621
"2020-08-19",143.589996,143.869995,141.429993,142.050003,1717100,138.494141
"2020-08-20",140.639999,142.259995,139.360001,140.630005,1708500,137.10968
"2020-08-21",140.25,142.309998,139.399994,142.050003,1322500,138.494141
"2020-08-24",143.669998,144.25,141.020004,142.25,1541000,138.689117
"2020-08-25",142.960007,143.880005,141.410004,142.529999,1189500,138.962128
"2020-08-26",142.479996,143.800003,141.289993,142.710007,1320400,139.137634
"2020-08-27",143.470001,143.470001,138.699997,140.100006,1754100,136.592941
"2020-08-28",140.720001,143.710007,140.289993,143.619995,1060400,140.024841
"2020-08-31",143.449997,145.389999,141.940002,144.850006,2039200,141.224045
"2020-09-01",145.979996,147.759995,144.539993,146.460007,1472500,142.793747
"2020-09-02",148.5,154.240005,147.220001,153.289993,2137200,149.452774
"2020-09-03",149.009995,149.589996,139.429993,139.910004,3485900,136.407715
"2020-09-04",139.619995,141.649994,133.860001,139.009995,3237100,135.530212
"2020-09-08",133.100006,135.440002,130.720001,130.839996,2678600,127.564728
"2020-09-09",135.119995,138.580002,135.080002,137.610001,2713100,134.165283
"2020-09-10",139.270004,140.649994,134.190002,135.229996,2172200,131.844849
"2020-09-11",137.570007,138.440002,134.130005,136.149994,1496100,132.741821
"2020-09-14",137.440002,138.880005,136.080002,137.789993,1182200,134.340775
"2020-09-15",139.389999,142.759995,139.300003,140.910004,1760800,137.38269
"2020-09-16",142.410004,142.830002,140.25,140.339996,1460500,136.826935
"2020-09-17",134.960007,138.830002,134.960007,138.360001,1825800,134.896515
"2020-09-18",139.429993,139.910004,133.669998,136.009995,2415300,132.605331
"2020-09-21",133.580002,134.639999,131.440002,134.25,2050800,130.889389
"2020-09-22",135.589996,139.699997,133.770004,139.639999,1695400,136.14447
"2020-09-23",139.059998,139.630005,133.589996,133.919998,1369000,130.567657
"2020-09-24",131.960007,137.630005,131.940002,135.199997,2145300,131.815613
"2020-09-25",135.600006,138.910004,133.619995,138,1909000,134.545532
"2020-09-28",140.630005,144.009995,139.020004,143.970001,2052300,140.366089
"2020-09-29",145.199997,146.479996,143.710007,144.350006,1452600,140.736572
"2020-09-30",143.520004,147.130005,143.360001,145.5,1826000,141.857773
"2020-10-01",147.5,152.479996,147.139999,152.100006,1983900,148.292587
"2020-10-02",148.100006,149.619995,146.800003,146.830002,1604000,143.154495
"2020-10-05",148.100006,151.759995,148.100006,151.619995,1359900,147.82457
"2020-10-06",150.580002,151.699997,146.539993,147.270004,1568900,143.583466
"2020-10-07",149.949997,151.029999,149.029999,149.860001,1331700,146.108627
"2020-10-08",151,151.660004,149.809998,151.550003,2172700,147.756332
"2020-10-09",153.300003,154.839996,152.479996,154.279999,1897000,150.417984
"2020-10-12",156.479996,158.610001,155.259995,157.089996,2307900,153.157654
"2020-10-13",157.779999,158,152.399994,153.199997,2023900,149.365021
"2020-10-14",154.779999,154.830002,151.809998,153.309998,1121000,149.47229
"2020-10-15",150.559998,153.740005,149.600006,153.380005,965500,149.540543
"2020-10-16",154.399994,154.919998,152.919998,153.149994,1110000,149.316269
"2020-10-19",154.509995,156.979996,150.380005,151.139999,1188900,147.356598
"2020-10-20",152.660004,153.960007,151.429993,152.449997,954300,148.633804
"2020-10-21",152.619995,153.5,150.309998,150.389999,858400,146.625366
"2020-10-22",150.910004,151.529999,147.330002,149.729996,903400,145.981888
"2020-10-23",149.589996,150.550003,148.820007,149.759995,819300,146.011139
"2020-10-26",148.389999,148.759995,144.809998,147.289993,1311300,143.602966
"2020-10-27",147.490005,148.199997,144.410004,145.119995,1100900,141.487289
"2020-10-28",142.350006,142.940002,139.089996,139.789993,1707300,136.290695
"2020-10-29",140,146.789993,139.800003,145.160004,1459600,141.526321
"2020-10-30",142.830002,143.910004,139.630005,141.289993,1796000,137.753159
"2020-11-02",143.380005,144.850006,139.940002,142.119995,2388700,138.562378
