"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2020-08-31",314.890015,319.559998,312.540009,312.549988,4341600,303.865082
"2020-09-01",310.160004,314.720001,310,312.829987,2487100,304.137299
"2020-09-02",312.559998,321.279999,312.559998,320.23999,2846500,311.341431
"2020-09-03",322,323.820007,313.730011,316.230011,3872500,307.442871
"2020-09-04",316.480011,317.829987,306.630005,312,2901000,303.330353
"2020-09-08",311.029999,311.459991,303.829987,307.25,2594500,298.712341
"2020-09-09",309.679993,315.320007,308.420013,312.019989,2195600,303.349823
"2020-09-10",312.730011,314.440002,303.720001,304.600006,2421200,296.136047
"2020-09-11",305.070007,306.459991,297.290009,301.480011,3085900,294.310486
"2020-09-14",303.01001,311.119995,303.01001,308.570007,1795500,301.231842
"2020-09-15",310.049988,311.459991,306.049988,307.230011,1468300,299.923737
"2020-09-16",309.070007,312.25,306.200012,306.519989,3438200,299.230591
"2020-09-17",304.5,307.380005,302.109985,304.980011,2394100,297.727295
"2020-09-18",305.01001,310.390015,303.769989,308.019989,3795400,300.694946
"2020-09-21",300.470001,300.529999,291.660004,299.190002,4124700,292.07489
"2020-09-22",298.440002,300.619995,292.920013,294.26001,3163600,287.262207
"2020-09-23",295,296.100006,291.829987,292.140015,3709900,285.192566
"2020-09-24",292.190002,294.929993,289.640015,292.660004,2869100,285.700226
"2020-09-25",291.25,303.269989,291.220001,302.5,2455800,295.306244
"2020-09-28",306.390015,310.01001,302.829987,303.230011,2575700,296.018829
"2020-09-29",303.670013,305.5,300.679993,304.149994,1797800,296.916962
"2020-09-30",304.019989,314.519989,303.98999,311.769989,3497300,304.355774
"2020-10-01",312.910004,315.170013,309.149994,313.070007,2731200,305.624847
"2020-10-02",312.100006,317.390015,308.359985,311.980011,2338000,304.56076
"2020-10-05",315.070007,318.420013,313.119995,318.149994,1638600,310.584045
"2020-10-06",318.950012,320.299988,313.48999,314.450012,2434400,306.972015
"2020-10-07",315.820007,324.73999,315.820007,323.170013,2596600,315.48468
"2020-10-08",323.429993,325.350006,320.98999,322.410004,2056700,314.742737
"2020-10-09",324.660004,328.170013,323.920013,327.839996,2028900,320.04361
"2020-10-12",329.119995,333.559998,329.01001,329.970001,2424200,322.122925
"2020-10-13",328.5,333.700012,327.709991,331.420013,2713500,323.538483
"2020-10-14",322.070007,330.570007,320.200012,321.850006,4455400,314.196075
"2020-10-15",318.850006,326.970001,316.329987,324.570007,3172200,316.85141
"2020-10-16",325.459991,332.350006,324.730011,329.899994,3293300,322.054626
"2020-10-19",328.540009,330.779999,322.059998,324.220001,2482100,316.509705
"2020-10-20",326.619995,328.619995,323.279999,323.410004,1988600,315.718933
"2020-10-21",323.410004,326.48999,322.179993,322.790009,2139000,315.113708
"2020-10-22",322.320007,328.059998,322.25,325.730011,2100600,317.983795
"2020-10-23",329.160004,335.649994,328.130005,330.600006,2349500,322.737976
"2020-10-26",326.320007,327.75,318.540009,323.059998,2408500,315.377289
"2020-10-27",323.059998,323.5,319.429993,320.51001,2427700,312.887939
"2020-10-28",313.329987,317.809998,307.440002,308,3301400,300.675446
"2020-10-29",306.589996,309.480011,301.459991,303.679993,3279200,296.458191
"2020-10-30",303.230011,307.170013,299.600006,305.140015,3556800,297.883453
"2020-11-02",312.640015,312.640015,307.359985,312.100006,4519000,304.677917
"2020-11-03",317.470001,326.440002,315.019989,321.350006,4043900,313.707916
"2020-11-04",345.230011,360.440002,341.140015,354.559998,10344900,346.128174
"2020-11-05",358.070007,360.980011,349.679993,354.399994,4786500,345.971954
"2020-11-06",350.359985,352,344.570007,347.459991,2994900,339.197021
"2020-11-09",366.309998,367.950012,348.980011,350,4635300,341.676605
"2020-11-10",349.48999,355.899994,348.170013,353.690002,3733200,345.278839
"2020-11-11",356.160004,356.809998,349.410004,351.700012,2048200,343.336182
"2020-11-12",351.399994,360.519989,349.75,354.410004,2907300,345.98175
"2020-11-13",356.859985,357.940002,352.790009,355.670013,2442100,347.211761
"2020-11-16",358.950012,359.579987,351.01001,356.820007,2790100,348.334473
"2020-11-17",352.390015,353.359985,347.5,352.100006,2557600,343.726685
"2020-11-18",353.429993,354.049988,343.089996,344.51001,2722500,336.317169
"2020-11-19",342.290009,343.070007,334.329987,337,3935600,328.985779
"2020-11-20",335,337.660004,331.709991,334.700012,3702000,326.740479
"2020-11-23",335.549988,336.26001,331.589996,335.059998,2535700,327.091919
"2020-11-24",336.179993,340,334.429993,336.01001,3759700,328.019318
"2020-11-25",338.820007,338.820007,329.140015,333.190002,3145100,325.266327
"2020-11-27",333.529999,338.899994,331.839996,337.940002,1558600,329.903442
"2020-11-30",335.109985,337.940002,330.290009,336.339996,5265700,328.341461
"2020-12-01",344.769989,354.100006,339.929993,341.190002,3817700,333.076141
"2020-12-02",341.769989,351.829987,341.5,347.559998,2864300,339.294647
"2020-12-03",347.899994,352.769989,346.48999,348.679993,4169200,340.38797
"2020-12-04",346,351.470001,345.75,349.890015,3255100,342.798187
"2020-12-07",348.720001,349.890015,345.220001,347.859985,2999400,340.809235
"2020-12-08",344.75,349.899994,344.079987,347.859985,2471200,340.809235
"2020-12-09",348.890015,349.410004,341.609985,344.410004,2600400,337.429199
"2020-12-10",345.160004,345.459991,339.26001,339.649994,2896900,332.765717
"2020-12-11",338.130005,338.880005,334.329987,337.070007,3071700,330.237946
"2020-12-14",340.029999,343.230011,335.859985,336.130005,2479000,329.317047
"2020-12-15",339.140015,341.01001,337.040009,339.670013,2616500,332.785309
"2020-12-16",336.829987,341.660004,334.26001,339.339996,2365600,332.461975
"2020-12-17",339.809998,342.600006,337.309998,341.670013,2525700,334.744751
"2020-12-18",342.519989,342.609985,334,338.380005,8742700,331.521454
"2020-12-21",332.070007,336.950012,329.399994,336.079987,2892700,329.268036
"2020-12-22",335.160004,336.980011,333.470001,335.01001,2069700,328.219727
"2020-12-23",336.48999,341.649994,336.029999,337.589996,2348100,330.747437
"2020-12-24",336.440002,341.410004,336.440002,340.790009,1360600,333.882599
"2020-12-28",343.209991,347.790009,343.059998,345.950012,2308200,338.938019
"2020-12-29",347.98999,351.290009,345,347.350006,2275700,340.309631
"2020-12-30",347.079987,349.01001,344.470001,344.98999,1866000,337.997467
"2020-12-31",345.040009,351.089996,344.049988,350.679993,1969000,343.572083
"2021-01-04",351.450012,352.079987,340.380005,349.5,4203800,342.416016
"2021-01-05",348.690002,351.359985,344.480011,344.799988,3160500,337.81131
"2021-01-06",337.109985,359.48999,335.109985,359.269989,6561400,351.988037
"2021-01-07",358.540009,366.450012,357.920013,365.029999,3366700,357.631226
"2021-01-08",367,367.48999,358.76001,363.390015,2947800,356.024506
"2021-01-11",362.619995,364.290009,359.190002,360.75,2695100,353.437988
"2021-01-12",357.940002,360.079987,355.230011,357.369995,2372500,350.126526
"2021-01-13",356.040009,356.809998,351.230011,355.040009,1974500,347.84375
"2021-01-14",356.850006,358.809998,350.420013,350.529999,2919900,343.42514
"2021-01-15",349.119995,353.049988,345.73999,351.299988,3777000,344.179535
"2021-01-19",356.209991,356.959991,351.559998,352.190002,3361300,345.051453
"2021-01-20",351.880005,352.079987,345.829987,350.839996,3036800,343.728882
"2021-01-21",350.809998,360.890015,350.73999,355,3749800,347.804565
"2021-01-22",353.309998,354.619995,347.540009,347.549988,2585100,340.505554
"2021-01-25",347.149994,350.390015,344.600006,347.809998,2506300,340.760284
"2021-01-26",350.51001,351.51001,342.570007,343.109985,2467500,336.155548
"2021-01-27",337.040009,338,329.01001,332.98999,4770900,326.240662
"2021-01-28",336.640015,346.579987,334.51001,338.149994,2769900,331.296051
"2021-01-29",336.529999,339.019989,330.630005,333.579987,3899200,326.818726
"2021-02-01",335.029999,338.149994,332.73999,334,3020200,327.230225
"2021-02-02",337.100006,344.640015,337.100006,338.720001,2663700,331.854553
"2021-02-03",338,340.160004,334.600006,337.890015,2537100,331.041351
"2021-02-04",332.320007,335.290009,328.390015,329.320007,5962200,322.645081
"2021-02-05",332.109985,333.480011,323.480011,324.51001,7227900,317.932526
"2021-02-08",327.01001,327.019989,323.809998,324.339996,4758200,317.766022
"2021-02-09",323.899994,331.040009,321.709991,329.630005,4096900,322.948761
"2021-02-10",332.660004,335.76001,329.769989,333.399994,4122700,326.642365
"2021-02-11",335,336.649994,331.5,333.070007,2776700,326.319061
"2021-02-12",331.679993,332.399994,327.880005,328.23999,2760800,321.586914
"2021-02-16",327.359985,329.839996,322.480011,324.619995,4339000,318.040344
"2021-02-17",323.459991,328.600006,322.23999,326.859985,2620000,320.234863
"2021-02-18",325.899994,329.579987,325.200012,328.410004,2383500,321.75354
"2021-02-19",328.75,328.850006,324.109985,324.579987,2313800,318.001129
"2021-02-22",321.5,329.049988,320.350006,327.640015,2688300,320.999146
"2021-02-23",329.98999,333.940002,326.640015,329.51001,3225700,322.831207
"2021-02-24",328.48999,333.600006,326.040009,332.209991,3360500,325.476501
"2021-02-25",331,333.600006,327.359985,328.869995,2780100,322.204163
"2021-02-26",330.549988,337.910004,329.850006,332.220001,5430000,325.486298
"2021-03-01",334.359985,338.910004,333.679993,334.649994,4198900,327.867065
"2021-03-02",335,337.670013,333.890015,334.640015,2568900,327.857269
"2021-03-03",333.320007,338.160004,332.779999,332.869995,3039700,326.123108
"2021-03-04",334.170013,340.839996,332.670013,333.809998,4991600,327.044037
"2021-03-05",335.029999,348.290009,335.019989,347.100006,4563100,340.064667
"2021-03-08",347.01001,354,345.600006,350.170013,3419900,343.072479
"2021-03-09",352.920013,361.25,351.339996,351.980011,4277600,344.845764
"2021-03-10",353.910004,354.480011,348.5,349.600006,3012300,342.513977
"2021-03-11",350.76001,355.970001,349.869995,353.100006,2520500,345.943085
"2021-03-12",353.170013,356.820007,351.98999,356.019989,2088700,350.04303
"2021-03-15",356.920013,357.940002,351.549988,353.880005,2343400,347.938965
"2021-03-16",353.529999,355.359985,351.910004,354.600006,2904200,348.646881
"2021-03-17",355.170013,358.070007,351.829987,352.179993,2633100,346.267517
"2021-03-18",352.869995,364.320007,352.339996,362.049988,3311600,355.971802
"2021-03-19",361.920013,370.459991,359.01001,365.579987,8572900,359.442535
"2021-03-22",365,368.579987,360.109985,366.859985,3505200,360.70108
"2021-03-23",368.850006,371.540009,367.220001,368.5,3100100,362.313538
"2021-03-24",366.049988,373.799988,365.51001,370.600006,3407800,364.378326
"2021-03-25",370.600006,372.109985,363.390015,371.089996,3021500,364.860046
"2021-03-26",371.679993,377.059998,370.290009,376.480011,2959800,370.159576
"2021-03-29",376.359985,380.5,374.98999,379.059998,2740400,372.696289
"2021-03-30",377.549988,379.880005,371.799988,373.559998,3066000,367.288605
"2021-03-31",372.799988,377,371.799988,372.070007,3356500,365.823639
"2021-04-01",372.200012,372.690002,365.76001,367.070007,2977700,360.907593
"2021-04-05",369.619995,372.630005,367.640015,370.179993,2709400,363.965332
"2021-04-06",368.779999,369.790009,362.720001,364.369995,2698600,358.252899
"2021-04-07",364.190002,365.880005,360.549988,365.640015,2158900,359.501587
"2021-04-08",363.109985,366.910004,363.109985,364.890015,2426700,358.764191
"2021-04-09",368.350006,376.609985,367,376.299988,2483200,369.982574
"2021-04-12",374.480011,379.829987,374.029999,376.279999,3057300,369.962921
"2021-04-13",376.25,379.309998,374.329987,374.5,2652300,368.21283
"2021-04-14",375.339996,378.01001,374.579987,375.630005,2805600,369.323883
"2021-04-15",380,392.359985,380,390.01001,4488300,383.462463
"2021-04-16",393.920013,393.920013,385.459991,391.01001,4532400,384.445648
"2021-04-19",390,393.390015,388.470001,389.839996,2965400,383.295258
"2021-04-20",389.859985,397.880005,389.420013,396.529999,3348100,389.872986
"2021-04-21",398.859985,401.480011,395.440002,398.809998,2473300,392.114716
"2021-04-22",398.440002,398.76001,393.190002,396.540009,2718600,389.882843
"2021-04-23",395.619995,401.98999,394.5,400.309998,2263200,393.589508
"2021-04-26",399.809998,400,395.209991,395.859985,1642300,389.214233
"2021-04-27",394.660004,396.329987,392.299988,394.5,1758500,387.877045
"2021-04-28",395.179993,396.98999,393.299988,394.589996,1886500,387.965546
"2021-04-29",396.75,402.160004,396.299988,401.549988,1996500,394.808685
"2021-04-30",401,401.859985,398.350006,398.799988,2328100,392.104858
"2021-05-03",401,406.769989,400.529999,405.899994,2568500,399.085632
"2021-05-04",405.480011,412.470001,403.5,411.339996,3237200,404.434357
"2021-05-05",410.5,412.75,406.799988,412.5,2767600,405.57486
"2021-05-06",413,416.850006,412.559998,414.970001,3058700,408.003387
"2021-05-07",415,419.019989,414.070007,417.649994,1851000,410.638397
