"","STZ.Open","STZ.High","STZ.Low","STZ.Close","STZ.Volume","STZ.Adjusted"
"2021-09-14",215.559998,215.919998,214.080002,215.589996,826900,213.461243
"2021-09-15",215.220001,219.070007,214.800003,218.5,1108500,216.342499
"2021-09-16",216.710007,218.229996,214.279999,215.449997,1701500,213.322617
"2021-09-17",214.139999,215.440002,214.029999,214.850006,1754800,212.728546
"2021-09-20",211.490005,212.470001,207.850006,210.130005,1347200,208.055161
"2021-09-21",211.289993,213.020004,208.619995,209.080002,1070700,207.015533
"2021-09-22",210.229996,212.610001,208.800003,211.300003,1372800,209.213608
"2021-09-23",212.699997,214.600006,212.699997,214.020004,1122000,211.906754
"2021-09-24",213.720001,214.240005,212.149994,212.619995,623200,210.520554
"2021-09-27",212.419998,214.050003,211.300003,211.669998,829400,209.579956
"2021-09-28",211.669998,212.029999,209.160004,209.960007,865700,207.886826
"2021-09-29",211.270004,213.110001,210.5,211.759995,1422800,209.669052
"2021-09-30",214.889999,215.789993,210.460007,210.690002,1181700,208.609634
"2021-10-01",211.589996,216.139999,210.940002,213.479996,1314000,211.37207
"2021-10-04",214,215.559998,212.399994,213.020004,1196600,210.916626
"2021-10-05",212.949997,213.929993,210.589996,213.059998,1534600,210.956207
"2021-10-06",213.029999,217.25,210.25,211.619995,2231300,209.530426
"2021-10-07",213.490005,218.529999,212.550003,216.509995,2031800,214.372162
"2021-10-08",216.149994,222,215.410004,219.660004,1667100,217.491058
"2021-10-11",220.679993,222.339996,219.300003,219.699997,1125800,217.53064
"2021-10-12",219.020004,220.520004,218.190002,218.839996,1022800,216.679138
"2021-10-13",221.990005,222.389999,218,219.130005,737800,216.966278
"2021-10-14",220,221.960007,219.220001,220.369995,874200,218.194031
"2021-10-15",221.050003,221.330002,218.729996,218.949997,952300,216.788071
"2021-10-18",218,218.589996,215.520004,215.600006,1034700,213.471161
"2021-10-19",215.789993,216.710007,213.460007,216.240005,938600,214.104828
"2021-10-20",216.660004,219.339996,215.949997,218.149994,673900,215.995956
"2021-10-21",218.089996,218.679993,216.649994,218.410004,1054500,216.253403
"2021-10-22",218.929993,219.5,217.360001,219.399994,559100,217.233627
"2021-10-25",218.820007,219.990005,217.509995,217.690002,1010400,215.540512
