"","NEE.Open","NEE.High","NEE.Low","NEE.Close","NEE.Volume","NEE.Adjusted"
"2020-07-01",59.9175,61.875,59.577499,61.564999,6024400,59.127224
"2020-07-02",62.040001,62.43,61.4375,61.599998,5981200,59.160839
"2020-07-06",62.047501,62.287498,61.145,61.740002,6256800,59.295303
"2020-07-07",61.112499,62.084999,60.91,61.68,6017200,59.237675
"2020-07-08",61.7075,63.535,61.529999,63.317501,9633600,60.810337
"2020-07-09",62.807499,63.342499,62.139999,62.997501,6818800,60.50301
"2020-07-10",63.044998,65.322502,62.942501,64.900002,10079200,62.33017
"2020-07-13",64.747498,65.602501,63.8475,64.059998,9600800,61.523434
"2020-07-14",64.059998,66.172501,63.965,65.637497,12154400,63.03846
"2020-07-15",66.144997,66.605003,64.702499,64.75,8444800,62.186115
"2020-07-16",64.962502,67.449997,64.6875,67.095001,10142000,64.438263
"2020-07-17",67.514999,69.364998,67.232498,68.845001,12461600,66.118965
"2020-07-20",68.875,69.470001,68.3125,68.582497,6368800,65.866859
"2020-07-21",68.480003,69.892502,68.440002,69.082497,5958400,66.347061
"2020-07-22",69.1175,70.599998,68.627502,70.105003,6368000,67.329071
"2020-07-23",70,71.082497,69.777496,70.2425,8150000,67.461121
"2020-07-24",70.720001,71.407501,69.502502,70.0625,7716000,67.288261
"2020-07-27",70.25,70.402496,69.025002,69.407501,8909200,66.659187
"2020-07-28",69.300003,70.822502,69.157501,70.010002,6547600,67.237831
"2020-07-29",70.059998,71.214996,69.959999,70.360001,5381600,67.573982
"2020-07-30",70.035004,70.610001,69.785004,70.584999,4235200,67.790054
"2020-07-31",70.230003,70.705002,68.972504,70.175003,8030400,67.396317
"2020-08-03",70.285004,70.464996,69.107498,69.397499,8624400,66.649597
"2020-08-04",69.677498,71.307503,69.349998,71.262497,9142400,68.440742
"2020-08-05",71.305,71.5,70.489998,70.945,6381600,68.135803
"2020-08-06",70.7575,71.192497,70.277496,70.702499,4588000,67.902916
"2020-08-07",70.709999,72.352501,70.625,71.945,4368800,69.096214
"2020-08-10",72.072502,72.279999,70.732498,70.910004,7240000,68.102203
"2020-08-11",70.995003,71.144997,69.110001,69.447502,6825200,66.697601
"2020-08-12",69.815002,71.4925,69.675003,71.147499,6124400,68.330284
"2020-08-13",70.7575,71.364998,70.657501,71.099998,3680000,68.284683
"2020-08-14",71.002502,71.035004,70.004997,70.125,4912800,67.348274
"2020-08-17",70.514999,71.267502,70.082497,70.747498,4801200,67.946129
"2020-08-18",70.68,71.292503,70.550003,70.762497,4764800,67.960533
"2020-08-19",71.057503,71.065002,70.455002,70.584999,5481600,67.790054
"2020-08-20",70.195,70.940002,70.139999,70.527496,3631200,67.734848
"2020-08-21",70.665001,70.760002,70.112503,70.602501,5685600,67.806877
"2020-08-24",70.75,70.779999,70.065002,70.657501,3548800,67.859688
"2020-08-25",70.900002,70.912498,69.785004,70.327499,4051600,67.542755
"2020-08-26",70.032501,70.352501,69.540001,69.75,5238800,66.988129
"2020-08-27",69.5,70.120003,69.150002,69.720001,4555600,67.297005
"2020-08-28",69.894997,69.9925,69.309998,69.887497,4618400,67.458687
"2020-08-31",69.839996,70.912498,69.669998,69.792503,6013600,67.366997
"2020-09-01",69.754997,69.879997,68.512497,69.282501,5729600,66.874718
"2020-09-02",69.364998,72.425003,68.917503,72.065002,9754400,69.560516
"2020-09-03",72.137497,72.772499,69.487503,70.147499,7855200,67.709648
"2020-09-04",70.794998,71.5,68.197502,69.330002,7247600,66.92057
"2020-09-08",69.434998,70.207497,68.824997,69.477501,7158000,67.062935
"2020-09-09",70,71.705002,69.959999,70.592499,4781600,68.139183
"2020-09-10",70.264999,70.497498,69.107498,69.227501,4362800,66.821625
"2020-09-11",69.542503,69.797501,68.862503,69.537498,3932800,67.12085
"2020-09-14",69.887497,70.997498,69.607498,70.480003,3916400,68.030602
"2020-09-15",73.912498,74.824997,72.787498,73.925003,10827600,71.355873
"2020-09-16",71.192497,71.737503,69.782501,70.087502,19501600,67.651741
"2020-09-17",69.5,70.067497,68.952499,69.879997,9385600,67.451447
"2020-09-18",69.7425,70.497498,68.959999,69.230003,14386000,66.824043
"2020-09-21",68.75,69.172501,67.892502,69.050003,7558800,66.650299
"2020-09-22",69.364998,69.987503,68.7425,69.514999,7192800,67.099136
"2020-09-23",69.665001,69.665001,68.279999,68.327499,5855200,65.952911
"2020-09-24",68.177498,69.940002,68.139999,69.385002,7478400,66.973648
"2020-09-25",68.849998,70.532501,68.582497,70.455002,5456800,68.00647
"2020-09-28",70.864998,71.5075,70.660004,71.035004,6918400,68.566307
"2020-09-29",71.025002,71.482498,70.550003,70.779999,7094000,68.320175
"2020-09-30",70.197502,70.782501,66.785004,69.389999,23238400,66.978477
"2020-10-01",69.769997,71.010002,69.660004,70.690002,10018400,68.233299
"2020-10-02",69.692497,71.787498,69.625,70.292503,8306000,67.849617
"2020-10-05",70.959999,72.245003,70.732498,71.977501,6599200,69.476051
"2020-10-06",72.160004,73.125,71.315002,72.57,7288400,70.047958
"2020-10-07",73.237503,74.442497,72.375,74.279999,10130400,71.698532
"2020-10-08",74.667503,75.495003,74.232498,75.260002,5694400,72.644478
"2020-10-09",75.93,75.93,75.074997,75.727501,6472000,73.095726
"2020-10-12",75.75,77.014999,75.5,76.417503,5816400,73.761742
"2020-10-13",75.75,76.080002,74.75,75.3675,8596800,72.748245
"2020-10-14",75.5,75.82,74.672501,75.160004,5501200,72.547951
"2020-10-15",74.495003,74.972504,73.915001,74.614998,5739200,72.021889
"2020-10-16",74.889999,76.550003,74.68,76.400002,7449600,73.744858
"2020-10-19",76.282501,76.907501,74.535004,74.887497,7710400,72.284927
"2020-10-20",75.305,76.025002,74.855003,75.247498,6003200,72.632408
"2020-10-21",74.724998,75.620003,73.857498,74.419998,7796000,71.833664
