"","PFE.Open","PFE.High","PFE.Low","PFE.Close","PFE.Volume","PFE.Adjusted"
"2020-07-01",32.770397,32.770397,31.992411,32.011387,73503009,29.498131
"2020-07-02",32.846298,33.064514,32.296017,32.741936,45270881,30.171326
"2020-07-06",33.159393,33.197342,32.618595,32.741936,27150935,30.171326
"2020-07-07",32.305504,32.590134,32.220116,32.28653,25148018,29.751675
"2020-07-08",32.267551,32.609108,31.850096,32.020874,24256545,29.506874
"2020-07-09",32.0019,32.144215,31.404175,31.745731,20363702,29.253334
"2020-07-10",31.935484,32.296017,31.774195,32.096775,24459019,29.576817
"2020-07-13",32.950665,33.889942,32.751423,33.406071,56569129,30.783312
"2020-07-14",33.557877,33.605312,33.092979,33.425049,32854129,30.800806
"2020-07-15",34.146111,34.155598,33.652752,33.889942,26294454,31.229197
"2020-07-16",33.776093,33.814041,33.45351,33.776093,18421812,31.124285
"2020-07-17",34.02277,34.468693,33.899429,34.392788,23347365,31.692566
"2020-07-20",35.56926,35.6926,34.459202,34.629982,36815693,31.911133
"2020-07-21",35.04744,35.180267,34.648956,34.810246,23588520,32.077251
"2020-07-22",36.271347,36.745731,35.597721,36.584438,90705554,33.712151
"2020-07-23",37.220116,37.400379,36.223907,36.442123,59639536,33.581001
"2020-07-24",36.081593,36.195446,35.417458,35.730549,33870501,32.925301
"2020-07-27",35.445919,35.815941,35.322582,35.616699,27640307,32.820385
"2020-07-28",36.565464,37.324478,36.110058,37.020874,56393954,34.114319
"2020-07-29",37.28653,37.428844,36.480076,37.248577,37033660,34.324139
"2020-07-30",36.318787,36.944973,36.242886,36.755219,32273796,34.20055
"2020-07-31",36.318787,36.764706,35.920303,36.508537,28472124,33.971012
"2020-08-03",36.631878,36.679317,36.26186,36.385201,31036400,33.856251
"2020-08-04",36.347248,36.698292,36.138519,36.423149,29448549,33.89156
"2020-08-05",36.49905,36.555977,36.176472,36.480076,24292697,33.944527
"2020-08-06",36.78368,37.096775,36.195446,36.309299,20922111,33.785622
"2020-08-07",36.337761,36.641365,36.204933,36.480076,23097251,33.944527
"2020-08-10",36.574951,36.679317,36.299809,36.423149,19964552,33.89156
"2020-08-11",36.584438,36.603416,35.74004,35.853889,21326847,33.36187
"2020-08-12",35.891842,36.574951,35.872864,36.366222,19957595,33.838593
"2020-08-13",36.119545,36.223907,35.939278,36.21442,15340021,33.697342
"2020-08-14",36.062618,36.423149,35.986717,36.110058,12901276,33.600231
"2020-08-17",36.091084,36.442123,36.005692,36.385201,17494187,33.856251
"2020-08-18",36.480076,36.489563,36.21442,36.394688,10846398,33.865078
"2020-08-19",36.508537,36.631878,36.166985,36.299809,15690055,33.776791
"2020-08-20",36.223907,36.802658,36.176472,36.736244,21957455,34.182888
"2020-08-21",36.916508,37.0019,36.593929,36.888046,25467170,34.324142
"2020-08-24",37.020874,37.039848,36.565464,36.850094,25011947,34.28883
"2020-08-25",36.537003,36.584438,36.005692,36.442123,26221201,33.90921
"2020-08-26",36.233398,36.309299,35.730549,36.100571,24083689,33.591404
"2020-08-27",36.015179,36.053131,35.749527,35.920303,22156556,33.423656
"2020-08-28",35.92979,36.110058,35.483871,35.967743,32830519,33.467812
"2020-08-31",35.901329,36.072105,35.578747,35.853889,30032465,33.36187
"2020-09-01",35.853889,35.882355,34.639469,34.990513,36145560,32.558498
"2020-09-02",34.886147,35.388992,34.535103,35.294117,29068688,32.841003
"2020-09-03",35.455406,35.56926,34.250473,34.535103,35956788,32.134735
"2020-09-04",34.620495,34.753323,34.032257,34.497154,26872257,32.099426
"2020-09-08",34.658443,34.734344,33.851994,34.089184,26736818,31.719818
"2020-09-09",34.43074,34.772297,34.288425,34.326378,27490533,31.940521
"2020-09-10",34.345352,34.459202,33.757114,33.823528,21650741,31.472626
"2020-09-11",33.908916,34.25996,33.633778,34.222012,24109301,31.843409
"2020-09-14",34.497154,35.616699,34.421253,35.113853,29565543,32.673271
"2020-09-15",35.28463,35.436432,34.924099,35.066414,22003726,32.629128
"2020-09-16",35.370018,35.398483,34.838711,34.895638,22208412,32.470215
"2020-09-17",34.895638,35.075901,34.677418,34.933586,17894390,32.505527
"2020-09-18",34.895638,35.170776,34.696396,34.753323,31694623,32.337795
"2020-09-21",34.506641,34.611008,33.567364,34.174572,26608968,31.799271
"2020-09-22",33.97533,34.468693,33.908916,34.392788,22727297,32.002323
"2020-09-23",34.478176,34.516129,34.127136,34.155598,23102521,31.78162
