"","SNPS.Open","SNPS.High","SNPS.Low","SNPS.Close","SNPS.Volume","SNPS.Adjusted"
"2020-07-01",194.740005,198.089996,193.199997,196.899994,885000,196.899994
"2020-07-02",198.550003,199.580002,196.669998,197.580002,651000,197.580002
"2020-07-06",199.630005,202.979996,198.779999,199.389999,564800,199.389999
"2020-07-07",199.389999,201.960007,197.490005,197.630005,736100,197.630005
"2020-07-08",199.130005,201.770004,198.940002,201.479996,529700,201.479996
"2020-07-09",203,204.899994,200.789993,204.550003,791300,204.550003
"2020-07-10",203.259995,204.460007,196.800003,198.009995,1112500,198.009995
"2020-07-13",200,201.789993,193.619995,194.149994,829700,194.149994
"2020-07-14",192.139999,195.639999,188.820007,195.279999,978500,195.279999
"2020-07-15",195.509995,196.699997,192.339996,194.350006,954500,194.350006
"2020-07-16",192.960007,193.940002,189.630005,193.220001,745600,193.220001
"2020-07-17",194.630005,197.110001,192.639999,196.279999,691300,196.279999
"2020-07-20",196.020004,202.759995,196.020004,201.899994,777700,201.899994
"2020-07-21",203.5,203.820007,198.899994,199.690002,617600,199.690002
"2020-07-22",201.220001,202.449997,198.389999,200.660004,530400,200.660004
"2020-07-23",201.380005,204.220001,196.919998,197.800003,499200,197.800003
"2020-07-24",195.820007,196.279999,190.919998,193.369995,1206500,193.369995
"2020-07-27",194.610001,198.089996,194.119995,197.089996,549200,197.089996
"2020-07-28",196.649994,197.869995,194.369995,194.899994,423900,194.899994
"2020-07-29",196,199.850006,196,198.419998,609100,198.419998
"2020-07-30",195.429993,200.110001,193.899994,199.339996,374800,199.339996
"2020-07-31",200.600006,200.600006,194.929993,199.220001,985500,199.220001
"2020-08-03",200.740005,204.110001,200.020004,202.800003,513100,202.800003
"2020-08-04",202,202.800003,199.449997,201.850006,560500,201.850006
"2020-08-05",202.440002,203.710007,200.759995,201.559998,465200,201.559998
"2020-08-06",201.210007,202.580002,198.899994,202.259995,465900,202.259995
"2020-08-07",201.350006,202.220001,196.139999,198.789993,518300,198.789993
"2020-08-10",197.910004,198.190002,194.399994,195.639999,745800,195.639999
"2020-08-11",195.869995,195.869995,190.5,191.039993,1179700,191.039993
"2020-08-12",191.199997,195.070007,191.039993,194.339996,802200,194.339996
"2020-08-13",195.149994,198.5,194.139999,196.350006,601300,196.350006
"2020-08-14",195.770004,198.279999,195.460007,196.160004,459100,196.160004
"2020-08-17",197.940002,200.470001,197.25,200.210007,618700,200.210007
"2020-08-18",201.419998,201.610001,199.309998,200.089996,860400,200.089996
"2020-08-19",200.660004,201.800003,197.470001,198.220001,833300,198.220001
"2020-08-20",206.5,216.190002,202.100006,215.160004,2521000,215.160004
"2020-08-21",213.610001,214.449997,207.289993,213.100006,2014100,213.100006
"2020-08-24",214.899994,216.639999,210.559998,213.770004,730400,213.770004
"2020-08-25",212.710007,216.210007,211.770004,216.169998,621000,216.169998
"2020-08-26",216.889999,221.320007,216.669998,219.770004,704700,219.770004
"2020-08-27",220.470001,221,215.309998,217.169998,711200,217.169998
"2020-08-28",217.160004,219.889999,216.789993,219.490005,626700,219.490005
"2020-08-31",219.169998,222.029999,218.360001,221.300003,997900,221.300003
"2020-09-01",221.179993,226.210007,220.240005,225.339996,679300,225.339996
"2020-09-02",226.660004,230.119995,223.229996,229.360001,711200,229.360001
"2020-09-03",226.75,226.759995,212.759995,214.789993,1150300,214.789993
"2020-09-04",213.5,215.220001,202.850006,208.979996,1102100,208.979996
"2020-09-08",202.949997,206.130005,198.470001,198.990005,1456700,198.990005
"2020-09-09",203.229996,206.809998,199.160004,205.330002,784400,205.330002
"2020-09-10",205.839996,209.110001,202.130005,203.279999,715100,203.279999
"2020-09-11",205.550003,207.059998,198.520004,200.240005,752700,200.240005
"2020-09-14",202.240005,206.679993,201.800003,205.539993,622100,205.539993
"2020-09-15",208.130005,211.830002,205.979996,210.949997,621900,210.949997
"2020-09-16",212.470001,213.199997,206.720001,206.860001,737200,206.860001
"2020-09-17",201.039993,203.809998,198.190002,201.860001,910500,201.860001
"2020-09-18",202.039993,203.220001,194.199997,197.929993,1357300,197.929993
"2020-09-21",195.899994,202.179993,193.550003,201.979996,604900,201.979996
"2020-09-22",203.410004,205.070007,198.910004,204.800003,752800,204.800003
"2020-09-23",203.610001,203.830002,196.820007,197.860001,553200,197.860001
"2020-09-24",196.460007,202.830002,196.460007,201.509995,850100,201.509995
"2020-09-25",201.270004,209.270004,200.059998,208.5,808700,208.5
"2020-09-28",210.509995,212.839996,209.259995,212.639999,699600,212.639999
"2020-09-29",213.119995,215.399994,211.800003,212.320007,628400,212.320007
"2020-09-30",211.210007,216.860001,210.800003,213.979996,696400,213.979996
"2020-10-01",216.369995,219.690002,216.009995,217.089996,718700,217.089996
"2020-10-02",212.860001,216.009995,210.330002,212.050003,751100,212.050003
"2020-10-05",213.119995,216.660004,213,216.639999,544100,216.639999
"2020-10-06",215.600006,218.660004,213.080002,214.339996,689500,214.339996
"2020-10-07",215.710007,220.389999,214.779999,219.529999,498500,219.529999
"2020-10-08",221.429993,221.600006,218.449997,219.029999,373800,219.029999
"2020-10-09",220.990005,224.5,220.860001,222.820007,561600,222.820007
"2020-10-12",225.649994,231.600006,223.580002,228.929993,854300,228.929993
"2020-10-13",232.740005,232.740005,227.889999,228.179993,579100,228.179993
"2020-10-14",229.149994,229.710007,224.259995,226.809998,604900,226.809998
"2020-10-15",224.240005,228.169998,222.240005,228.029999,591200,228.029999
"2020-10-16",228.610001,231.080002,226.339996,226.479996,529600,226.479996
"2020-10-19",226.289993,230.119995,223.669998,224.369995,442700,224.369995
"2020-10-20",225.949997,228.610001,223.559998,226.399994,550500,226.399994
"2020-10-21",225.830002,229.940002,225.429993,227.449997,658300,227.449997
"2020-10-22",228.410004,228.410004,222.220001,225.169998,632800,225.169998
"2020-10-23",226.149994,226.869995,222.820007,226.740005,646000,226.740005
"2020-10-26",223.899994,226.25,217.850006,220.630005,600300,220.630005
"2020-10-27",222.639999,225,221.419998,222.910004,536200,222.910004
"2020-10-28",220.070007,224.919998,216.100006,217.820007,671500,217.820007
"2020-10-29",218.059998,221.940002,217.770004,219.460007,500400,219.460007
"2020-10-30",217.100006,219.410004,212.210007,213.860001,777400,213.860001
"2020-11-02",215.520004,218.479996,212.330002,215.779999,765000,215.779999
"2020-11-03",218.929993,223.470001,217.380005,221.740005,502100,221.740005
"2020-11-04",229.720001,234.970001,227.75,233.309998,1006700,233.309998
"2020-11-05",239.529999,241.820007,237.169998,240.559998,634400,240.559998
"2020-11-06",240.880005,243.660004,237.75,241.779999,586600,241.779999
"2020-11-09",243.509995,246.690002,233.789993,233.789993,983800,233.789993
"2020-11-10",229.669998,229.669998,218.580002,219.330002,1315600,219.330002
"2020-11-11",222.440002,227.779999,222.070007,224.899994,842800,224.899994
"2020-11-12",227.660004,229.009995,222.809998,223.759995,472800,223.759995
"2020-11-13",226.020004,227.5,223.880005,226.229996,430000,226.229996
"2020-11-16",224.580002,226.169998,220.660004,222.339996,639400,222.339996
"2020-11-17",221.820007,222.960007,219.039993,221.199997,1071500,221.199997
"2020-11-18",220.270004,221,216.160004,218.190002,1041800,218.190002
"2020-11-19",218.119995,223.160004,216.300003,221.279999,819700,221.279999
"2020-11-20",221.600006,224.25,218.070007,218.509995,722800,218.509995
"2020-11-23",218.880005,220.490005,213.25,216,708400,216
"2020-11-24",215.550003,217.160004,211.199997,215.490005,914600,215.490005
"2020-11-25",216.979996,220.759995,216.399994,217.020004,701500,217.020004
"2020-11-27",219.830002,225.789993,219.330002,225.419998,384800,225.419998
"2020-11-30",225.720001,228.199997,222.789993,227.5,1071200,227.5
"2020-12-01",226.360001,231.119995,224.070007,230.020004,791400,230.020004
"2020-12-02",228.350006,228.509995,223.919998,224.720001,818900,224.720001
"2020-12-03",225.339996,237.919998,222,234.470001,2008500,234.470001
"2020-12-04",235.279999,240.119995,234.570007,236.880005,1057400,236.880005
"2020-12-07",238.380005,241,236.830002,239.169998,623000,239.169998
"2020-12-08",241.300003,241.300003,236.639999,238.759995,747100,238.759995
"2020-12-09",238.649994,238.649994,231.259995,232.770004,801700,232.770004
"2020-12-10",231.619995,235.080002,229.210007,234.169998,702800,234.169998
"2020-12-11",234.009995,236.580002,232.300003,236.389999,718600,236.389999
"2020-12-14",236.910004,242.729996,235.880005,238.860001,715500,238.860001
"2020-12-15",241.110001,243.139999,239.490005,242.740005,581600,242.740005
"2020-12-16",244.380005,249.100006,243.509995,248.100006,912600,248.100006
"2020-12-17",249.789993,253.100006,246.389999,250.289993,848000,250.289993
"2020-12-18",250.830002,255.720001,248.199997,255,1604800,255
"2020-12-21",251.830002,255.800003,247,254.240005,1121400,254.240005
"2020-12-22",255.080002,258.480011,254.509995,258.049988,759200,258.049988
"2020-12-23",259.029999,260.26001,254.589996,254.699997,545500,254.699997
"2020-12-24",255,257.480011,253.809998,256.279999,200200,256.279999
"2020-12-28",261.130005,261.130005,254.419998,256.160004,454000,256.160004
"2020-12-29",257.769989,258.339996,252.779999,253.820007,450100,253.820007
"2020-12-30",255.369995,258.339996,254.860001,256.910004,390100,256.910004
"2020-12-31",257.950012,259.519989,256.5,259.23999,414800,259.23999
"2021-01-04",260,263,251.350006,254.699997,979700,254.699997
"2021-01-05",254.759995,259.51001,253.789993,258.890015,791800,258.890015
"2021-01-06",253.289993,255.039993,249.259995,249.699997,854400,249.699997
"2021-01-07",252.679993,259.440002,252.229996,258.839996,743500,258.839996
"2021-01-08",259.98999,264.329987,259.290009,262.799988,630400,262.799988
"2021-01-11",258.160004,264.619995,258.160004,260.429993,533300,260.429993
"2021-01-12",261.480011,261.839996,255.820007,258.579987,560200,258.579987
"2021-01-13",258.950012,259.880005,253.460007,257.140015,700800,257.140015
"2021-01-14",257.119995,260.480011,257,257.910004,563000,257.910004
"2021-01-15",258.679993,260.859985,255,258.920013,624200,258.920013
"2021-01-19",261.660004,268.640015,261.100006,268.200012,819300,268.200012
"2021-01-20",270.829987,280.109985,270.829987,273.429993,985500,273.429993
"2021-01-21",276.200012,276.200012,271.269989,272.869995,6e+05,272.869995
"2021-01-22",273.230011,277.220001,269.75,270.140015,562900,270.140015
"2021-01-25",273.25,274.48999,265.040009,269.630005,475000,269.630005
"2021-01-26",269.829987,270.170013,265.309998,266.089996,563300,266.089996
"2021-01-27",262.589996,266.51001,252.100006,254.529999,812800,254.529999
"2021-01-28",257.5,264.179993,256.019989,259.160004,835500,259.160004
"2021-01-29",257.079987,260.609985,253.720001,255.449997,791300,255.449997
"2021-02-01",259.959991,264.820007,257.410004,263.570007,643000,263.570007
"2021-02-02",264.01001,270.160004,264.01001,269.76001,7e+05,269.76001
"2021-02-03",270,270.369995,263.519989,265.209991,689000,265.209991
"2021-02-04",266.119995,270.269989,264.720001,270.089996,500900,270.089996
"2021-02-05",271.859985,276.970001,271.609985,272.920013,697500,272.920013
"2021-02-08",275.299988,278.390015,274.190002,276.480011,625200,276.480011
"2021-02-09",276.480011,279.929993,275.410004,278.160004,350300,278.160004
"2021-02-10",278.029999,280.23999,275.5,276.869995,703300,276.869995
"2021-02-11",279.079987,287.109985,278.380005,286.700012,666500,286.700012
"2021-02-12",286.709991,293.309998,285.089996,292.089996,604700,292.089996
"2021-02-16",299.619995,300.910004,289.959991,290.670013,1102400,290.670013
"2021-02-17",286.910004,287.940002,278.859985,283.76001,929400,283.76001
"2021-02-18",278.100006,279.059998,269.290009,270.950012,1160000,270.950012
"2021-02-19",272.609985,274.829987,267.350006,268.070007,1111700,268.070007
"2021-02-22",265.829987,266.799988,253.869995,254.690002,1150900,254.690002
"2021-02-23",251.740005,254.669998,246.089996,253.210007,1567100,253.210007
"2021-02-24",248.889999,260.890015,247,260.679993,1294500,260.679993
"2021-02-25",258.850006,259.730011,242.130005,244.089996,1872600,244.089996
"2021-02-26",246.970001,250.119995,243.089996,245.210007,1989600,245.210007
"2021-03-01",249.339996,254.309998,248.339996,254.169998,1266700,254.169998
"2021-03-02",256,257.230011,246.199997,247.869995,1001400,247.869995
"2021-03-03",245.740005,246.039993,235.949997,236.929993,1471500,236.929993
"2021-03-04",235.610001,238,225.550003,229.800003,1549100,229.800003
"2021-03-05",230.100006,231.630005,217.820007,227.800003,1602700,227.800003
"2021-03-08",226.630005,226.770004,217.690002,218.490005,1305500,218.490005
"2021-03-09",226.289993,232.940002,226.139999,228.399994,1390100,228.399994
"2021-03-10",231.380005,237.910004,228.100006,228.839996,1331600,228.839996
"2021-03-11",234.5,237.929993,233.179993,234.259995,1059100,234.259995
"2021-03-12",230.770004,230.839996,226.800003,229.449997,1342800,229.449997
"2021-03-15",229.479996,235,228.020004,234.869995,858200,234.869995
"2021-03-16",239.75,239.75,232.410004,234.050003,811300,234.050003
"2021-03-17",230.929993,237.350006,228.229996,235.610001,1001500,235.610001
"2021-03-18",231.419998,233.440002,227.149994,227.389999,1185100,227.389999
"2021-03-19",227.429993,230.779999,225.580002,227.860001,1328100,227.860001
"2021-03-22",230.779999,237.190002,230.779999,234.429993,1013200,234.429993
"2021-03-23",235.5,238.339996,234.080002,235.130005,887000,235.130005
"2021-03-24",237.300003,238.820007,233.009995,233.050003,817300,233.050003
"2021-03-25",230.869995,232.699997,226.699997,231.669998,758100,231.669998
"2021-03-26",231.220001,243.229996,229.369995,242.75,1258400,242.75
"2021-03-29",241.720001,243.149994,237.610001,240.460007,1125600,240.460007
"2021-03-30",237.679993,240.470001,233.210007,239.600006,912700,239.600006
"2021-03-31",241.960007,249.279999,241.779999,247.779999,1306100,247.779999
"2021-04-01",251.789993,257.440002,250.080002,254.229996,1000700,254.229996
"2021-04-05",255.179993,260.429993,255.179993,260.109985,1094100,260.109985
"2021-04-06",260.540009,261.5,256.679993,257.359985,729800,257.359985
"2021-04-07",257.619995,257.660004,254.600006,257,582200,257
"2021-04-08",261.200012,263.329987,258.839996,261.01001,1080400,261.01001
"2021-04-09",259.850006,262.579987,258.339996,261.850006,579700,261.850006
"2021-04-12",259.660004,260.329987,257.029999,258.049988,880900,258.049988
"2021-04-13",261.100006,263.700012,259.549988,261.929993,704500,261.929993
"2021-04-14",262.100006,264.309998,257.630005,258.589996,713600,258.589996
"2021-04-15",262.320007,263.850006,260.089996,262.130005,904800,262.130005
"2021-04-16",261.890015,262.019989,257.709991,260.769989,639500,260.769989
"2021-04-19",258.619995,258.859985,247.399994,250.639999,1121600,250.639999
"2021-04-20",249.589996,252.289993,247.669998,250.169998,621200,250.169998
"2021-04-21",250.070007,253.460007,250,252.559998,729700,252.559998
"2021-04-22",250.720001,251.869995,246.419998,248.210007,624200,248.210007
"2021-04-23",249.110001,252.309998,248.509995,251.449997,658900,251.449997
"2021-04-26",252.639999,256.940002,249.919998,256.880005,803200,256.880005
"2021-04-27",254.729996,256.859985,249.029999,251.699997,1049200,251.699997
"2021-04-28",250.100006,252.589996,247.410004,251.369995,720900,251.369995
"2021-04-29",254.389999,254.940002,249.580002,252.509995,551400,252.509995
"2021-04-30",250.380005,252.470001,246,247.059998,718900,247.059998
"2021-05-03",248.910004,249.830002,243.979996,244.809998,480200,244.809998
"2021-05-04",241.220001,242.330002,234.559998,237.070007,1243700,237.070007
"2021-05-05",240.690002,241.820007,236.589996,237.460007,914400,237.460007
"2021-05-06",235.789993,239.080002,232.75,237.460007,847500,237.460007
"2021-05-07",240.229996,245.220001,239.619995,241.839996,617700,241.839996
"2021-05-10",239.880005,239.880005,230.710007,232.389999,1006100,232.389999
"2021-05-11",228.279999,236.399994,225.020004,234.820007,1286900,234.820007
"2021-05-12",231.520004,235.190002,227.800003,228.539993,1567600,228.539993
"2021-05-13",229.419998,233.589996,228.600006,230.860001,775400,230.860001
"2021-05-14",234.869995,240.759995,232.839996,239.699997,858300,239.699997
