"","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
"2020-11-05",332.609985,334.75,330.23999,332.970001,161900,327.736603
"2020-11-06",333.950012,336.76001,328.660004,335.829987,151500,330.551636
"2020-11-09",345.869995,348.480011,316.320007,316.709991,333000,311.732147
"2020-11-10",316.359985,324.339996,314.029999,323.100006,224700,318.021729
"2020-11-11",326.269989,338.119995,324.920013,335.149994,252300,329.882294
"2020-11-12",334.359985,334.570007,323.649994,324.76001,177900,319.655609
"2020-11-13",326.589996,330.75,324.640015,328.26001,125500,323.100616
"2020-11-16",329.369995,333.209991,327.410004,329.950012,156600,324.764038
"2020-11-17",327.429993,328.329987,321.790009,323.25,157400,318.169373
"2020-11-18",323.679993,323.679993,317,317.059998,173600,312.07663
"2020-11-19",318.089996,321.369995,315.119995,317.959991,149300,312.962494
"2020-11-20",319.089996,324.679993,318.459991,321.549988,187400,316.496094
"2020-11-23",322,324.769989,317.690002,318.880005,165400,313.868073
"2020-11-24",320.859985,323.640015,318.820007,319.880005,184400,314.852264
"2020-11-25",319.809998,323.029999,316.959991,322.279999,144800,317.2146
"2020-11-27",323.609985,324.880005,321.880005,322.75,89800,318.438019
"2020-11-30",325.529999,338.570007,325.529999,333.76001,462500,329.300964
"2020-12-01",336.640015,343.25,334.619995,342.230011,378500,337.657806
"2020-12-02",340.640015,342.600006,333.380005,336.149994,188100,331.659027
"2020-12-03",335.450012,347.75,334.859985,346.570007,297600,341.939819
"2020-12-04",348.549988,351.940002,347.850006,351.01001,195400,346.320526
"2020-12-07",352.570007,353.579987,347.73999,351.709991,174500,347.011139
"2020-12-08",349.109985,354.980011,347.73999,348.570007,207000,343.913116
"2020-12-09",348,350.730011,341.429993,345.76001,216900,341.140656
"2020-12-10",345.5,349.100006,342.600006,348.690002,214300,344.031525
"2020-12-11",345.929993,352.709991,345.480011,351.470001,205400,346.774353
"2020-12-14",353.679993,357.690002,344.390015,344.890015,188000,340.282318
"2020-12-15",347.890015,349.25,343.170013,347.98999,214300,343.340851
"2020-12-16",350.130005,350.76001,343.059998,345.380005,205000,340.765717
"2020-12-17",344.920013,346.23999,339.369995,345.230011,215500,340.617706
"2020-12-18",348.600006,348.600006,341.690002,347.029999,466900,342.393677
"2020-12-21",343.149994,346.589996,330.459991,332.649994,358300,328.205811
"2020-12-22",331.01001,336.470001,328.299988,331,238900,326.57782
"2020-12-23",330.779999,335,324.51001,325.079987,213100,320.736908
"2020-12-24",327.230011,329.029999,324.76001,327.429993,70300,323.055511
"2020-12-28",330,332.269989,327.790009,330.019989,166800,325.610931
"2020-12-29",332.25,332.880005,326.73999,327.329987,156000,322.956848
"2020-12-30",329.179993,332.220001,327.100006,328.380005,148300,323.992828
"2020-12-31",328.630005,333.420013,327.410004,332.5,159900,328.05777
"2021-01-04",332.869995,335.609985,327.23999,330.589996,295400,326.173309
"2021-01-05",329.5,333.5,326.380005,329.579987,149400,325.176758
"2021-01-06",328.970001,335.23999,326.679993,332.230011,250900,327.791443
"2021-01-07",332.179993,336.850006,332.179993,334.399994,204900,329.932373
"2021-01-08",334.980011,337.700012,330.48999,334.450012,165900,329.98175
"2021-01-11",332.48999,334.410004,330.309998,332.25,139200,327.811096
"2021-01-12",331.799988,336.450012,331.709991,335.440002,183900,330.958496
"2021-01-13",336.059998,336.059998,329.649994,330.98999,144000,326.567963
"2021-01-14",330.709991,331.279999,319.089996,320.640015,194700,316.356201
"2021-01-15",318.660004,320.940002,315.890015,318.200012,173900,313.948853
"2021-01-19",319.26001,320.75,315.769989,319.350006,206100,315.083466
"2021-01-20",322.5,328.75,319.730011,327.450012,240600,323.075287
"2021-01-21",326.440002,329.220001,324.5,324.720001,224100,320.381683
"2021-01-22",324.070007,325.540009,320.070007,320.230011,193200,315.951752
"2021-01-25",319.589996,321.51001,310.100006,317.519989,256200,313.277924
"2021-01-26",318.190002,318.190002,311.649994,311.899994,235800,307.732971
"2021-01-27",309.959991,314.299988,306.829987,312.690002,348000,308.512421
"2021-01-28",315.23999,319.420013,307.690002,308.790009,239600,304.664581
"2021-01-29",307.529999,309.660004,301.089996,302.339996,525400,298.30072
"2021-02-01",305.440002,313.130005,305.440002,312.26001,199700,308.088196
"2021-02-02",314.450012,318.26001,312.660004,317.700012,232100,313.455536
"2021-02-03",315.720001,318.929993,313.640015,315.350006,142500,311.136871
"2021-02-04",313.769989,316.350006,312.940002,315.839996,198200,311.620361
"2021-02-05",318.320007,319.390015,316.040009,317.970001,160600,313.721863
"2021-02-08",320.920013,322.519989,319,320.950012,124000,316.662079
"2021-02-09",321.200012,323.690002,312.670013,313.600006,208100,309.410309
