"","MRK.Open","MRK.High","MRK.Low","MRK.Close","MRK.Volume","MRK.Adjusted"
"2020-07-01",73.883591,75.324425,73.587784,74.541985,9948769,69.656235
"2020-07-02",74.971375,75.677483,74.637405,75.171753,6827825,70.244713
"2020-07-06",75.610687,76.354965,75.286263,75.935112,8058282,70.958054
"2020-07-07",75.381676,76.030533,74.990456,75.114502,6956414,70.191231
"2020-07-08",75.028625,75.343513,73.931297,74.351143,8211394,69.477898
"2020-07-09",74.370232,74.761452,72.557251,73.177483,7966058,68.381157
"2020-07-10",73.234734,73.807251,72.900764,73.215652,5161400,68.416824
"2020-07-13",73.473282,74.980919,73.215652,73.807251,8114245,68.969643
"2020-07-14",73.988548,75.009544,73.816795,74.666031,8397100,69.772133
"2020-07-15",75.610687,76.307251,75.229012,75.801529,7709717,70.833221
"2020-07-16",76.125954,76.154579,75.143127,75.763359,5850774,70.797539
"2020-07-17",76.068703,76.574425,75.677483,76.21183,8191378,71.216621
"2020-07-20",76.21183,76.526718,75.448471,75.772903,5434194,70.806473
"2020-07-21",76.068703,76.450378,75.181297,75.276718,8967526,70.342804
"2020-07-22",75.687019,76.106873,74.446564,75.171753,12362103,70.244713
"2020-07-23",75.524811,75.572517,73.959923,74.484734,11558916,69.60273
"2020-07-24",74.284348,74.417938,72.862595,73.568703,9068763,68.746742
"2020-07-27",72.910301,75.515266,72.814888,75.314888,10958307,70.378464
"2020-07-28",75.562981,76.536263,75.35305,76.040077,8494564,71.056129
"2020-07-29",75.620232,76.087784,75.133591,75.715652,6398040,70.752975
"2020-07-30",75.124046,75.648857,74.074425,75.372139,7152600,70.431976
"2020-07-31",77.185112,77.938934,75.524811,76.564888,12291154,71.546539
"2020-08-03",78.387405,79.96183,78.110687,78.759544,10601463,73.597359
"2020-08-04",78.769081,78.769081,77.356873,77.92939,7218729,72.821609
"2020-08-05",78.311066,78.692749,77.433205,77.900764,6492465,72.794868
"2020-08-06",77.729012,78.616409,76.889313,77.337784,7256562,72.268784
"2020-08-07",77.089699,77.309158,76.364502,77.309158,6977584,72.242035
"2020-08-10",77.299622,77.490456,76.622139,77.204201,5782445,72.143967
"2020-08-11",78.005722,78.120232,76.937019,77.204201,7636671,72.143967
"2020-08-12",77.643127,79.112595,77.614502,78.893127,7295652,73.722183
"2020-08-13",78.368324,79.799622,78.253815,79.713737,7455262,74.488998
"2020-08-14",79.561066,80.562981,79.360687,79.656487,7390496,74.435516
"2020-08-17",80.419846,81.278625,80.162216,80.877861,8764319,75.576828
"2020-08-18",81.001907,81.116409,79.933205,80.687019,6551572,75.398499
"2020-08-19",80.687019,81.784348,80.687019,81.135498,6896050,75.817574
"2020-08-20",80.916031,81.402672,80.524811,81.135498,6380434,75.817574
"2020-08-21",81.202293,81.278625,80.267174,81.087784,6890495,75.772995
"2020-08-24",81.297707,81.555344,80.610687,81.507637,7582280,76.165321
"2020-08-25",81.975189,82.337784,81.297707,81.755722,10245982,76.397156
"2020-08-26",81.402672,81.755722,80.78244,81.622139,7844175,76.272324
"2020-08-27",81.536263,82.213737,81.183205,81.889313,6464902,76.52198
"2020-08-28",81.946564,81.946564,81.020988,81.727097,6134049,76.370407
"2020-08-31",81.67939,81.994278,81.240456,81.364502,7929273,76.031578
"2020-09-01",81.440842,81.870232,80.07634,80.562981,6797433,75.282585
"2020-09-02",80.610687,83.215652,80.410301,82.948471,11571597,77.511719
"2020-09-03",83.67366,83.778625,81.049622,81.574425,12983672,76.227737
"2020-09-04",81.631676,82.910301,80.39122,81.335876,9359688,76.004837
"2020-09-08",82.003815,82.003815,79.198471,79.513359,9095592,74.301758
"2020-09-09",79.933205,81.889313,79.828247,80.992363,8862307,75.683823
"2020-09-10",80.849236,80.992363,79.465652,79.742363,6907578,74.515755
"2020-09-11",80,80.992363,79.942749,80.610687,7171254,75.327171
"2020-09-14",80.343513,81.202293,79.895035,80.305344,8575994,75.587624
"2020-09-15",80.849236,81.269081,79.818703,80.35305,10826678,75.63253
"2020-09-16",80.629768,82.156487,80.629768,81.650764,10380230,76.854012
"2020-09-17",81.469467,81.841606,80.582062,81.71756,8090455,76.916878
"2020-09-18",81.650764,82.347328,81.049622,81.879768,12308446,77.06955
"2020-09-21",81.030533,81.431297,78.330154,79.322517,10445311,74.662544
"2020-09-22",79.293892,79.742363,78.435112,79.14122,8143170,74.491898
"2020-09-23",79.284348,79.980919,78.797707,78.845421,7085842,74.213478
"2020-09-24",78.339699,79.656487,78.101143,79.341606,7844280,74.680504
"2020-09-25",78.387405,79.427483,78.053436,79.131676,6932101,74.482903
"2020-09-28",79.389313,79.866409,78.778625,78.969467,6123674,74.330223
"2020-09-29",78.893127,79.341606,77.958015,78.148857,6742413,73.557831
"2020-09-30",78.492363,79.503815,78.263359,79.150764,11593605,74.500885
"2020-10-01",79.370232,79.522903,77.528625,77.900764,8410305,73.324318
"2020-10-02",77.099236,77.996185,76.765266,77.099236,5255406,72.56987
"2020-10-05",77.509544,77.805344,76.927483,77.519081,8807182,72.965042
"2020-10-06",77.414124,77.42366,75.877861,75.982826,10273230,71.519043
"2020-10-07",76.421753,76.669846,75.868324,76.374046,9845226,71.887283
"2020-10-08",76.708015,78.082062,76.488548,76.793892,9217160,72.282455
"2020-10-09",77.175575,77.366409,76.383591,76.67939,5956098,72.174683
"2020-10-12",76.822517,77.022903,76.25,76.67939,8276370,72.174683
"2020-10-13",76.622139,77.223282,76.374046,77.013359,9125774,72.489029
"2020-10-14",77.14695,77.223282,76.402672,76.822517,9166122,72.309395
"2020-10-15",76.145035,76.278625,75.171753,75.438934,9151974,71.007103
"2020-10-16",75.667938,76.622139,75.486641,76.17366,7903492,71.698669
"2020-10-19",76.450378,76.803436,74.742363,75.066795,8614455,70.656822
"2020-10-20",75.35305,75.35305,74.503815,74.685112,11144746,70.297577
"2020-10-21",74.675575,75.238548,74.456108,74.494278,9689808,70.117943
"2020-10-22",74.522903,75.811066,74.522903,75.582062,6075990,71.141823
"2020-10-23",75.629768,76.927483,75.629768,76.17366,7309381,71.698669
"2020-10-26",75.696564,76.145035,74.675575,75.229012,9122840,70.809517
"2020-10-27",75.314888,76.555344,74.417938,74.417938,12241374,70.046089
"2020-10-28",73.597328,74.169846,72.53817,72.690842,8989954,68.420456
"2020-10-29",72.681297,73.082062,71.25,72.414124,9314310,68.159996
"2020-10-30",71.927483,72.414124,70.553436,71.765266,11096748,67.549248
"2020-11-02",72.948471,73.339699,72.175575,73.196564,8145475,68.896477
"2020-11-03",73.921753,74.64695,73.244278,73.39695,7693578,69.085091
"2020-11-04",76.278625,79.093513,75.89695,76.927483,14731422,72.408211
"2020-11-05",78.301529,79.10305,76.755722,76.774811,9277210,72.264511
"2020-11-06",75.811066,77.42366,75.811066,76.67939,6945515,72.174683
"2020-11-09",80.89695,81.269081,76.669846,76.812981,11184046,72.300423
"2020-11-10",78.034348,78.272903,77.299622,77.395035,8593914,72.848289
"2020-11-11",78.120232,78.120232,76.898857,77.347328,5741678,72.803383
"2020-11-12",76.860687,77.290077,75.410301,76.202293,7464799,71.725624
"2020-11-13",76.564888,78.101143,76.068703,77.375954,7694206,72.830322
"2020-11-16",77.509544,78.139313,76.049622,76.507637,9503474,72.013039
"2020-11-17",77.347328,78.206108,76.727097,77.767174,9509133,73.19857
"2020-11-18",77.700378,78.215652,76.555344,76.574425,8678174,72.075882
"2020-11-19",77.07061,77.07061,75.696564,76.708015,7037110,72.201622
"2020-11-20",76.784348,77.10878,76.078247,76.765266,8415440,72.255516
"2020-11-23",76.917938,77.442749,75.744278,76.60305,9498548,72.102829
"2020-11-24",76.354965,77.185112,76.020988,76.469467,12790840,71.977089
"2020-11-25",76.469467,76.774811,75.954201,76.393127,6023590,71.905243
"2020-11-27",76.622139,76.984734,75.916031,76.202293,5644528,71.725624
"2020-11-30",76.335876,76.851143,75.772903,76.708015,14501910,72.201622
"2020-12-01",77.242363,78.683205,77.118324,77.814888,10166543,73.243484
"2020-12-02",78.187019,78.950378,77.566795,78.082062,7165805,73.494949
"2020-12-03",78.187019,78.215652,77.118324,77.719467,7085109,73.153664
"2020-12-04",77.42366,78.206108,77.395035,78.187019,8651554,73.593742
"2020-12-07",78.301529,79.64695,78.291985,78.730919,8829190,74.10569
"2020-12-08",78.520988,79.904579,78.492363,79.370232,8664969,74.707451
"2020-12-09",79.980919,80.03817,78.759544,79.64695,7168320,74.967911
"2020-12-10",79.828247,80.095421,78.931297,79.188934,7349205,74.536804
"2020-12-11",79.055344,79.599236,78.740456,79.160301,7979158,74.50985
"2020-12-14",78.845421,79.274811,76.374046,76.64122,13139300,72.708443
"2020-12-15",76.812981,77.328247,76.335876,76.793892,10087838,72.853271
"2020-12-16",76.60305,77.051529,76.001907,76.17366,9487649,72.26487
"2020-12-17",76.708015,76.870232,76.030533,76.164124,11710038,72.255829
"2020-12-18",76.059158,76.507637,74.856873,75.887405,33161759,71.993301
"2020-12-21",75.190842,75.696564,74.17939,75.658394,11140764,71.776047
"2020-12-22",75.372139,76.32634,74.656487,75.78244,9052414,71.893723
"2020-12-23",75.944656,76.746185,75.925575,76.106873,6056078,72.201515
"2020-12-24",76.335876,76.746185,76.21183,76.469467,2957456,72.545486
"2020-12-28",76.956108,77.42366,76.459923,76.765266,4804242,72.826118
"2020-12-29",77.099236,77.85305,77.061066,77.690842,5708037,73.704201
"2020-12-30",77.919846,77.986641,76.851143,76.898857,5933357,72.95285
"2020-12-31",76.946564,78.187019,76.698471,78.053436,5511118,74.048187
"2021-01-04",78.244278,78.330154,76.221375,77.251907,10502637,73.287788
"2021-01-05",76.975189,77.671753,76.25,77.385498,10956526,73.41452
"2021-01-06",76.889313,78.950378,76.631676,78.606873,10521396,74.573219
"2021-01-07",78.769081,80.505722,78.311066,80.171753,10447931,76.057808
"2021-01-08",80.505722,80.505722,78.769081,79.227097,9563105,75.161621
"2021-01-11",79.675575,81.67939,79.437019,81.106873,13488179,76.944931
"2021-01-12",81.221375,81.240456,78.769081,79.284348,10128606,75.215927
"2021-01-13",79.551529,79.551529,78.454201,78.568703,10093812,74.537018
"2021-01-14",78.645035,79.007637,78.129768,78.406487,11366398,74.383118
"2021-01-15",78.091606,79.675575,77.824425,79.561066,10203538,75.478447
"2021-01-19",79.742363,80.057251,78.874046,79.379768,8467316,75.306465
