"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2020-09-18",140.869995,141.520004,138.119995,138.919998,1567900,134.245102
"2020-09-21",138,138.669998,135.009995,137,1291200,132.389709
"2020-09-22",136.979996,138.309998,136.539993,137.429993,623000,132.805237
"2020-09-23",138.059998,138.490005,134,134.339996,1083900,129.819214
"2020-09-24",134.529999,137.910004,134.520004,137.660004,963900,133.027527
"2020-09-25",137.160004,139.559998,136.5,139.520004,684900,134.824921
"2020-09-28",140.309998,141.919998,139.649994,140.410004,589900,135.684967
"2020-09-29",142.300003,142.779999,140.300003,141.190002,735300,136.438705
"2020-09-30",141.429993,144.399994,141.220001,143.339996,798500,138.516373
"2020-10-01",143.490005,144.520004,141.710007,143.929993,759700,139.086502
"2020-10-02",143.5,144.050003,142.089996,142.919998,535700,138.110489
"2020-10-05",143.179993,144.139999,142.619995,143.770004,432700,138.931885
"2020-10-06",143.419998,143.759995,141.089996,141.559998,680300,136.796249
"2020-10-07",142.020004,144.080002,141.75,143.410004,615300,138.584
"2020-10-08",143.160004,144.160004,142.679993,143.509995,474300,138.680634
"2020-10-09",144.25,146.410004,143.850006,145.630005,612700,140.729309
"2020-10-12",147.020004,148.970001,146.529999,148.080002,601600,143.096863
"2020-10-13",147.419998,149.360001,147.130005,148.850006,574300,143.840942
"2020-10-14",148.509995,150.229996,148.259995,149.470001,577000,144.440094
"2020-10-15",148.570007,150.839996,148.089996,150.419998,579600,145.358109
"2020-10-16",150.929993,151.649994,149.809998,149.919998,912200,144.874908
"2020-10-19",150.600006,150.75,147.259995,147.5,614200,142.536377
"2020-10-20",148.639999,149.210007,146.729996,146.880005,434700,141.937241
"2020-10-21",146.389999,147.320007,145.080002,145.580002,688600,140.680984
"2020-10-22",145.919998,146.080002,144.460007,145.440002,442500,140.545685
"2020-10-23",146.399994,146.669998,145.820007,146.339996,383700,141.415405
"2020-10-26",145.889999,145.889999,143.179993,144.199997,610600,139.347427
"2020-10-27",144.619995,144.869995,142.360001,142.5,825100,137.70462
"2020-10-28",140.619995,141.839996,138.119995,138.199997,858300,133.549332
"2020-10-29",137.910004,139.460007,136.479996,137.830002,710800,133.191757
"2020-10-30",137.130005,138.210007,135.830002,137.460007,783900,132.834229
"2020-11-02",139.660004,142,139.179993,140.779999,1266100,136.042511
"2020-11-03",141.820007,144.559998,141.759995,142.720001,569800,137.917221
"2020-11-04",143.800003,146.589996,143.119995,143.940002,985000,139.096176
"2020-11-05",145.580002,146.279999,143.850006,144.600006,923600,139.733963
"2020-11-06",148.899994,150.729996,146.809998,149.399994,1354900,144.372452
"2020-11-09",152.570007,154.490005,149.610001,149.720001,1168400,144.681671
"2020-11-10",150.179993,153.559998,149.460007,152.259995,987700,147.136185
"2020-11-11",152.929993,153.830002,151.550003,153.660004,697200,148.489075
"2020-11-12",153.990005,154.179993,151.899994,153.559998,584500,148.392426
"2020-11-13",154.070007,154.320007,152.240005,154,580400,148.817657
"2020-11-16",154.949997,155.490005,153.789993,155.119995,783900,149.899933
"2020-11-17",154.520004,154.970001,152.600006,152.929993,701000,147.783615
"2020-11-18",153.509995,154.389999,150.559998,150.639999,678200,145.570694
