"","ABT.Open","ABT.High","ABT.Low","ABT.Close","ABT.Volume","ABT.Adjusted"
"2020-07-01",91.980003,91.980003,90.43,91.639999,3389600,88.534546
"2020-07-02",92.5,93.059998,91.93,92.230003,3845300,89.104568
"2020-07-06",92.760002,93.970001,92.449997,92.970001,5919100,89.819496
"2020-07-07",92.459999,93.400002,92.089996,92.459999,3389200,89.326767
"2020-07-08",92.839996,93.669998,91.5,92.580002,3815300,89.442711
"2020-07-09",92.739998,94.879997,91.849998,93.669998,4576800,90.495773
"2020-07-10",93.470001,93.800003,92.32,93.040001,2923200,89.887115
"2020-07-13",93.139999,95.620003,92.790001,93.089996,4297300,89.93541
"2020-07-14",92.639999,94.980003,91.709999,94.82,4122800,91.962433
"2020-07-15",95.900002,97.129997,95.769997,96.730003,6205000,93.814873
"2020-07-16",97.849998,97.989998,94.290001,96.400002,7582200,93.494812
"2020-07-17",97.870003,100,97.68,99.25,8315500,96.258919
"2020-07-20",100,100.709999,98.720001,99.080002,5677900,96.094055
"2020-07-21",98.879997,99.480003,97.760002,98.190002,5063500,95.230881
"2020-07-22",98.110001,100.57,98,100.190002,4662000,97.170601
"2020-07-23",100.279999,101.980003,100.07,100.82,5905800,97.781609
"2020-07-24",100.209999,100.209999,98.360001,98.949997,4534400,95.967964
"2020-07-27",98.550003,100.279999,98.410004,99.989998,3717900,96.976631
"2020-07-28",100.139999,100.790001,99.269997,99.860001,4114200,96.850548
"2020-07-29",100.18,102.889999,100.089996,102.519997,4744200,99.430374
"2020-07-30",100.980003,101.580002,100.239998,101.529999,3176900,98.470207
"2020-07-31",101.209999,101.370003,99.120003,100.639999,4604000,97.607048
"2020-08-03",101.080002,101.550003,100.209999,100.68,3670900,97.645828
"2020-08-04",100.160004,100.68,99.279999,99.93,2730600,96.918434
"2020-08-05",99.970001,102.360001,99.879997,102.139999,4415300,99.061836
"2020-08-06",101.519997,101.800003,99.919998,101.75,3943000,98.683578
"2020-08-07",101.699997,102.300003,100.559998,101.230003,3141900,98.179253
"2020-08-10",100.940002,101.260002,100.029999,100.040001,2776300,97.025124
"2020-08-11",100.43,100.43,98.669998,99.059998,4823000,96.074661
"2020-08-12",99.550003,101.099998,99.32,100.650002,2668900,97.61673
"2020-08-13",100.339996,101.269997,100,101.099998,2951700,98.053169
"2020-08-14",100.93,101.220001,99.580002,99.989998,2739900,96.976631
"2020-08-17",100.300003,101.419998,100.209999,100.709999,4657400,97.674927
"2020-08-18",101.089996,101.720001,100.43,100.959999,3777600,97.917389
"2020-08-19",101.080002,101.620003,100.330002,100.480003,2716800,97.451859
"2020-08-20",99.989998,102.019997,99.75,101.629997,3548600,98.5672
"2020-08-21",101.629997,102.540001,100.839996,102.400002,3585000,99.313988
"2020-08-24",102.699997,103.230003,100.699997,101.389999,3212700,98.334419
"2020-08-25",101.980003,102.900002,101.519997,102.470001,2626400,99.381874
"2020-08-26",101.989998,103.290001,101.260002,103.190002,2968800,100.080193
"2020-08-27",111.010002,114,109.519997,111.290001,36319000,107.936081
"2020-08-28",113.540001,114.199997,109.410004,110.790001,17204000,107.451141
"2020-08-31",110.699997,111.739998,109.260002,109.470001,6943200,106.170929
"2020-09-01",108.93,109.07,105.580002,106.550003,7963100,103.338936
"2020-09-02",106.449997,109.910004,105.879997,109.440002,5843700,106.141838
"2020-09-03",108.699997,108.940002,104.300003,105.529999,6096900,102.34967
"2020-09-04",105.449997,106.040001,102.419998,104.160004,5027700,101.020958
"2020-09-08",103.169998,103.82,102.43,102.839996,5217700,99.74073
"2020-09-09",104.260002,106.93,104.129997,105.809998,4365100,102.621231
