"","SBAC.Open","SBAC.High","SBAC.Low","SBAC.Close","SBAC.Volume","SBAC.Adjusted"
"2021-06-18",320.100006,321.899994,317.230011,318.440002,982300,316.000793
"2021-06-21",320.109985,321.450012,316.269989,321.119995,520100,318.660248
"2021-06-22",320.410004,322.170013,318.410004,321.029999,391400,318.570953
"2021-06-23",321.019989,321.019989,316.799988,317.220001,508700,314.790161
"2021-06-24",319.350006,319.640015,315.309998,315.730011,570200,313.311554
"2021-06-25",315.269989,319.459991,314.980011,319.100006,2049600,316.655762
"2021-06-28",320.140015,323.589996,318.320007,322.839996,607700,320.367096
"2021-06-29",321.350006,323.299988,320.01001,322.01001,396500,319.543457
"2021-06-30",322.23999,323.980011,318.049988,318.700012,614400,316.25882
"2021-07-01",318.549988,322.079987,316.359985,320.040009,612600,317.588562
"2021-07-02",320.899994,323.660004,320.839996,322.839996,389400,320.367096
"2021-07-06",322.179993,327.029999,320.929993,326.200012,436600,323.701385
"2021-07-07",326.890015,332.600006,324.109985,330.799988,722800,328.266113
"2021-07-08",329.910004,332.660004,327.549988,328.910004,669800,326.390625
"2021-07-09",328.910004,330.070007,326.119995,329.329987,421100,326.807404
"2021-07-12",329.369995,331.529999,327.540009,330.600006,401100,328.067688
"2021-07-13",330.48999,332.130005,328.589996,329.149994,424300,326.628754
"2021-07-14",329.399994,332.690002,327.570007,331.779999,356800,329.238617
"2021-07-15",332.589996,333.399994,329.899994,332.320007,374000,329.774475
"2021-07-16",331.690002,335.890015,331.690002,334.109985,247000,331.550751
"2021-07-19",333.220001,336.670013,330.440002,334.529999,550400,331.96756
"2021-07-20",335.529999,337.980011,333.339996,335.299988,545000,332.731659
"2021-07-21",335.299988,335.299988,330.75,331.959991,349500,329.417236
"2021-07-22",330.779999,334.5,327.559998,334.100006,508600,331.540863
"2021-07-23",334.809998,337.350006,332.179993,337.040009,290500,334.458344
"2021-07-26",336.570007,338.579987,333.140015,338.190002,464900,335.599518
"2021-07-27",338.160004,341.200012,335.76001,340.790009,389200,338.179596
"2021-07-28",340.019989,342.859985,338.890015,340.320007,449200,337.713226
"2021-07-29",339.809998,343.459991,337.170013,338.440002,425800,335.847595
"2021-07-30",338.899994,346.51001,338.899994,340.98999,851900,338.378113
"2021-08-02",340.98999,344.869995,339.450012,342.359985,493300,339.737549
"2021-08-03",350,350.630005,332.5,346.019989,540700,343.369507
"2021-08-04",344.75,350.070007,341.829987,349.070007,583700,346.396179
"2021-08-05",350.910004,350.910004,343.299988,346.929993,511500,344.272552
"2021-08-06",346.220001,348.519989,344.970001,347.01001,364800,344.35199
"2021-08-09",346,348.160004,345.25,346.589996,290000,343.935211
"2021-08-10",346.5,347.720001,341.059998,341.299988,282900,338.685699
"2021-08-11",341.76001,349.380005,341.329987,346.48999,406300,343.835968
"2021-08-12",346.309998,350.600006,345.459991,350.220001,369000,347.537354
"2021-08-13",350.980011,354.290009,349.709991,353.809998,507700,351.099884
"2021-08-16",353.859985,355.529999,351.630005,352.450012,672400,349.750305
"2021-08-17",352.890015,359.959991,351.850006,359.700012,482900,356.944763
"2021-08-18",358.559998,359.380005,351.459991,353.649994,664300,350.941101
"2021-08-19",354.809998,361.059998,351.880005,359.859985,504300,357.103516
"2021-08-20",360.170013,364.220001,358.549988,362.160004,489500,359.385925
"2021-08-23",360.950012,360.950012,357.820007,358.089996,293600,355.347107
"2021-08-24",358.940002,358.940002,351.809998,352.640015,540900,349.938843
"2021-08-25",352.670013,352.670013,348.359985,349.579987,547700,347.473755
"2021-08-26",350.609985,352.040009,348.089996,350.480011,632200,348.368378
"2021-08-27",350.26001,353.950012,348.910004,352.829987,806300,350.704193
"2021-08-30",353.380005,359.190002,352.700012,358.640015,405300,356.479218
"2021-08-31",356.880005,359.51001,354.350006,358.970001,646700,356.80719
"2021-09-01",359.820007,367.399994,357.429993,366.380005,469800,364.172546
"2021-09-02",366.75,368.910004,361.940002,366.709991,528000,364.50058
"2021-09-03",366.779999,368.179993,362.940002,366.480011,749500,364.271942
"2021-09-07",365.73999,366.779999,359.019989,365.160004,443900,362.9599
"2021-09-08",366.079987,369.559998,363.290009,368.579987,402400,366.359314
"2021-09-09",368.880005,368.880005,359.559998,359.649994,692600,357.483093
"2021-09-10",361.029999,361.130005,351.5,352.820007,749200,350.694244
"2021-09-13",356.839996,357.920013,351.200012,352.660004,498900,350.535248
"2021-09-14",355.049988,359.839996,352.75,356.570007,542100,354.421661
"2021-09-15",355.589996,357.140015,352.5,355.459991,385500,353.318329
"2021-09-16",356.089996,356.980011,352.5,355.429993,325600,353.288544
"2021-09-17",352.450012,355.670013,350.029999,352.700012,825800,350.575012
"2021-09-20",351.309998,356.660004,349.679993,353.429993,521500,351.300598
"2021-09-21",354.100006,359.019989,352.839996,354.350006,358000,352.215057
"2021-09-22",355.769989,360.799988,352.709991,358.480011,355400,356.32016
"2021-09-23",357.690002,358.429993,350.690002,353.649994,402500,351.519257
"2021-09-24",351.920013,353.579987,343.630005,344.929993,683700,342.851776
"2021-09-27",344.619995,344.619995,335.850006,336,584000,333.975586
"2021-09-28",333.220001,335.299988,329.570007,331.600006,623700,329.602112
"2021-09-29",333.559998,335.540009,331.670013,332.779999,442300,330.774994
"2021-09-30",334.26001,335.440002,330.540009,330.570007,472200,328.578339
"2021-10-01",331.179993,336.200012,328.779999,333.570007,429300,331.560242
"2021-10-04",332.350006,335.26001,329.690002,334.160004,457900,332.146698
"2021-10-05",334.160004,335.059998,329.170013,330.76001,490200,328.767151
"2021-10-06",329.609985,337.070007,327.119995,336.820007,687300,334.79068
"2021-10-07",337.359985,343.559998,337.359985,337.899994,434400,335.864166
"2021-10-08",337.559998,337.559998,329.410004,329.859985,395200,327.872589
"2021-10-11",329.910004,332.980011,328.200012,329.820007,318000,327.832825
"2021-10-12",330.700012,336.369995,329.899994,333.920013,362700,331.908142
"2021-10-13",331.269989,332.799988,323.890015,326.700012,899700,324.731659
"2021-10-14",328.470001,331.619995,325.98999,326.869995,614000,324.900635
"2021-10-15",328.48999,330.98999,322.679993,326.899994,486800,324.93042
"2021-10-18",324.519989,327.170013,323.019989,323.399994,393800,321.451508
"2021-10-19",329.600006,335.709991,327.059998,332.179993,549900,330.178589
"2021-10-20",332.200012,337.109985,332.200012,336.309998,280000,334.283722
"2021-10-21",336.48999,340.390015,333.779999,340.160004,307100,338.110535
"2021-10-22",341.049988,348.709991,339.630005,345.619995,746500,343.537628
"2021-10-25",346.429993,349.980011,342.290009,349.220001,459000,347.115967
